frame,time,refined_time,source,evidence,event_type,interaction_mode,contact_quality,impact,relevant,target_entity,contact_target,contact_constraint,object_local_x,object_local_y,object_local_z,semantic_contact_part,vlm_hand_part,vlm_handle_contact,vlm_rim_contact,vlm_constraint,vlm_object_conf,contact_state,interval_id,stable_entity,manip_gamma,manip_weight,promote_anchor,allow_slide,audio_support,confidence
2,0.048,0.03,audio,audio,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,0,left_hand,1.0,0.5,0,0,0.108,0.8
13,0.52,0.5384,audio,audio,none,none,na,medium,0,right_hand,part,none,,,,,,,,,,no_contact,-1,none,0.8,0.0,0,0,0.058,0.8
18,0.688,0.5467,audio,audio,none,none,na,medium,1,left_hand,part,none,,,,,,,,,,direct_contact,1,left_hand,0.8,0.0,0,0,0.036,0.8
38,1.528,1.5201,audio,audio,strike,impulsive,hard,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,2,left_hand,1.0,1.0,1,0,0.728,0.8
56,2.2917,2.1501,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,3,right_hand,1.0,0.5,0,0,0.008,0.8
66,2.72,2.7167,audio,audio,strike,impulsive,hard,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,4,left_hand,1.0,1.0,1,0,0.613,0.8
70,2.864,2.7184,audio,audio,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,keep_grasp,4,left_hand,1.0,0.5,0,0,0.641,0.8
88,3.608,3.5884,audio+visual,audio+visual,none,none,na,medium,1,right_hand,part,none,,,,,,,,,,direct_contact,5,right_hand,0.8,0.0,0,0,0.046,0.8
97,3.984,3.9484,audio,audio,tap,impulsive,soft,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,6,left_hand,1.0,0.5,0,0,0.004,0.8
104,4.272,4.2301,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,7,right_hand,1.0,0.5,0,0,0.007,0.8
109,4.5,4.3484,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,7,right_hand,1.0,0.5,0,0,0.003,0.8
123,5.08,5.0717,audio+visual,audio+visual,strike,impulsive,hard,medium,1,left_hand,part,point,,,,,,,,,,direct_contact,8,left_hand,1.0,1.0,1,0,0.658,0.8
146,6.0417,5.8851,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,9,right_hand,1.0,0.5,0,0,0.003,0.8
159,6.6,6.5967,audio,audio,strike,impulsive,hard,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,9,right_hand,1.0,1.0,1,0,0.725,0.8
162,6.72,6.5967,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,keep_grasp,9,right_hand,1.0,0.5,0,0,0.725,0.8
182,7.54,7.5501,audio,audio,none,none,na,medium,0,right_hand,part,none,,,,,,,,,,no_contact,-1,none,0.8,0.0,0,0,0.08,0.8
190,7.872,7.8634,audio,audio,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,10,right_hand,1.0,0.5,0,0,0.564,0.8
