frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,da3_mask_depth_m,da3_depth_conf,residual_norm,source
28,1.125000,0.625276407,0.874001076,5.388661621,0.617660338,0.211718219,-0.193410062,0.732300246,-0.164626139,0.581775632,0.026291029,-0.561405152,-0.161722274,1468.604736328,1468.604736328,640.000000000,360.000000000,3.236993074,0.937390537,2.471364524,chair_metric_articulated_6d_sam2_cotracker_da3
29,1.166667,0.644347853,0.879279050,5.561215345,0.638787886,0.226712261,-0.206559795,0.705609409,-0.096086352,0.623025784,0.028978342,-0.746344924,-0.133982154,1468.604736328,1468.604736328,640.000000000,360.000000000,3.253787518,0.934293968,2.475508176,chair_metric_articulated_6d_sam2_cotracker_da3
30,1.208333,0.654753267,0.856094307,5.536799822,0.642153456,0.220053174,-0.204980759,0.705122988,-0.090484517,0.610755537,0.021658415,-0.830167634,-0.149448900,1468.604736328,1468.604736328,640.000000000,360.000000000,3.261694431,0.943127349,2.604241968,chair_metric_articulated_6d_sam2_cotracker_da3
31,1.250000,0.674099426,0.850840213,5.638087681,0.658060486,0.221563746,-0.215270732,0.686676354,-0.041144964,0.628096934,0.009048332,-0.781786520,-0.099374717,1468.604736328,1468.604736328,640.000000000,360.000000000,3.281002760,0.943768914,2.576232057,chair_metric_articulated_6d_sam2_cotracker_da3
32,1.291667,0.690456959,0.838515840,5.696721290,0.666512526,0.214701891,-0.221382987,0.678714759,-0.017542752,0.626944956,-0.009605194,-0.810079422,-0.058185744,1468.604736328,1468.604736328,640.000000000,360.000000000,3.303551197,0.945269514,2.542038425,chair_metric_articulated_6d_sam2_cotracker_da3
33,1.333333,0.695974648,0.824622888,5.732333368,0.669477635,0.200968970,-0.211845370,0.683031997,-0.019452506,0.592449405,-0.015609238,-0.923026339,-0.026661110,1468.604736328,1468.604736328,640.000000000,360.000000000,3.334732771,0.931180976,2.703118840,chair_metric_articulated_6d_sam2_cotracker_da3
34,1.375000,0.696030140,0.806648582,5.753322067,0.667530674,0.187279414,-0.197926711,0.692931625,-0.036384515,0.551772165,-0.015251268,-0.885597966,-0.015957347,1468.604736328,1468.604736328,640.000000000,360.000000000,3.346376657,0.921879292,2.839672241,chair_metric_articulated_6d_sam2_cotracker_da3
35,1.416667,0.696932114,0.785513156,5.769833080,0.666103407,0.179342166,-0.190552491,0.698449988,-0.046288055,0.529320370,-0.016042010,-0.734083039,-0.009054383,1468.604736328,1468.604736328,640.000000000,360.000000000,3.430277348,0.915909225,2.810626705,chair_metric_articulated_6d_sam2_cotracker_da3
36,1.458333,0.687245180,0.752221534,5.700276384,0.652427812,0.172372678,-0.185672928,0.714248678,-0.088420864,0.512103830,-0.019023021,-0.491089216,-0.059401386,1468.604736328,1468.604736328,640.000000000,360.000000000,3.451496124,0.924057033,2.770626785,chair_metric_articulated_6d_sam2_cotracker_da3
37,1.500000,0.669732202,0.720070337,5.636487846,0.641322519,0.181119240,-0.187631243,0.721592519,-0.114911730,0.527890319,-0.009322356,-0.246006252,-0.106263716,1468.604736328,1468.604736328,640.000000000,360.000000000,3.579167366,0.943578650,2.641558596,chair_metric_articulated_6d_sam2_cotracker_da3
