frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
13,0.541667,1,0.329627,-0.050229,4.112888,0.316603,0.015891,4.103182,0.359839,0.055594,4.050641,0.353355,0.099246,4.067030,0.355627,0.103876,4.086359,0.354022,0.097947,4.105463,0.348649,0.078191,4.126647,1,-0.276596,0.056767,3.860329,-0.309544,0.104850,3.835306,-0.242598,0.146459,3.775093,-0.345402,0.177891,3.776575,-0.357177,0.187998,3.796109,-0.355369,0.184820,3.821166,-0.341499,0.171213,3.854752
14,0.583333,1,0.343221,-0.039601,4.123569,0.328755,0.026052,4.108558,0.373293,0.065959,4.057081,0.365215,0.110096,4.074418,0.368239,0.114165,4.093819,0.366532,0.107818,4.112473,0.360793,0.087523,4.133256,1,-0.278057,0.024085,3.841213,-0.311766,0.077880,3.812219,-0.243067,0.114885,3.746469,-0.351759,0.139409,3.743963,-0.368584,0.149039,3.764492,-0.367433,0.149102,3.790657,-0.351960,0.141259,3.827119
15,0.625000,1,0.353140,-0.030533,4.121022,0.338200,0.035264,4.111052,0.383518,0.075587,4.060321,0.374575,0.119452,4.078913,0.378567,0.122780,4.097964,0.377160,0.115951,4.116093,0.371168,0.095489,4.136201,1,-0.274693,-0.000812,3.816177,-0.309216,0.053480,3.785803,-0.237172,0.087243,3.719542,-0.345933,0.102856,3.706898,-0.369971,0.111462,3.727557,-0.371030,0.115481,3.754818,-0.356191,0.113497,3.793553
16,0.666667,1,0.359460,-0.021735,4.118006,0.343978,0.043123,4.110625,0.389607,0.084064,4.060432,0.380730,0.127058,4.080183,0.385258,0.129774,4.098655,0.384240,0.122508,4.116500,0.378026,0.102131,4.135903,1,-0.267072,-0.013515,3.794228,-0.302241,0.037137,3.759707,-0.226064,0.071332,3.698716,-0.327039,0.076849,3.672094,-0.358688,0.083859,3.690668,-0.363944,0.091434,3.717924,-0.353148,0.093659,3.757437
17,0.708333,1,0.362444,-0.015442,4.118900,0.345354,0.049315,4.107387,0.390846,0.091053,4.057582,0.382646,0.132873,4.077898,0.387138,0.135211,4.095799,0.386430,0.127629,4.113743,0.380040,0.107537,4.132639,1,-0.259272,-0.012793,3.781233,-0.293518,0.034698,3.738492,-0.214499,0.072697,3.685581,-0.303492,0.070467,3.647919,-0.339390,0.076083,3.662379,-0.349709,0.085111,3.688126,-0.344853,0.088508,3.726624
18,0.750000,1,0.361659,-0.010916,4.110191,0.341386,0.053536,4.101265,0.386021,0.096282,4.051733,0.378894,0.136705,4.071638,0.382984,0.138829,4.089108,0.382535,0.131108,4.107416,0.376086,0.111567,4.126118,1,-0.251717,0.006941,3.764746,-0.286761,0.051554,3.726735,-0.207658,0.094099,3.680814,-0.287985,0.091584,3.640458,-0.322199,0.097240,3.651487,-0.335803,0.104725,3.675257,-0.335668,0.105492,3.711739
19,0.791667,1,0.354653,-0.007693,4.102300,0.331257,0.055634,4.092871,0.373829,0.099686,4.043470,0.368060,0.138424,4.062048,0.371850,0.140306,4.079203,0.371860,0.132567,4.097876,0.365596,0.113914,4.116647,1,-0.250695,0.043707,3.760384,-0.283442,0.087475,3.725840,-0.206768,0.133177,3.685104,-0.284434,0.139723,3.649557,-0.313163,0.146603,3.659711,-0.326973,0.150181,3.682047,-0.328675,0.144987,3.716518
20,0.833333,1,0.338729,-0.008398,4.087817,0.315358,0.055898,4.083642,0.354345,0.101259,4.033772,0.350024,0.138411,4.050867,0.354172,0.139869,4.067758,0.355130,0.132133,4.086592,0.349411,0.114609,4.105574,1,-0.253698,0.094738,3.763305,-0.282113,0.133036,3.731915,-0.208809,0.180726,3.697186,-0.285810,0.200799,3.668281,-0.309840,0.208383,3.678637,-0.322306,0.207186,3.699649,-0.323726,0.194973,3.732310
21,0.875000,1,0.319678,-0.009503,4.086076,0.295674,0.055099,4.075004,0.329843,0.101014,4.023279,0.326957,0.137536,4.039921,0.332195,0.138493,4.056640,0.334498,0.130833,4.075438,0.329581,0.114450,4.094771,1,-0.255738,0.134804,3.776988,-0.282027,0.174771,3.737936,-0.210684,0.223836,3.711233,-0.286656,0.254953,3.685925,-0.308346,0.262308,3.696096,-0.319735,0.257185,3.715376,-0.320413,0.239543,3.746269
22,0.916667,1,0.297052,-0.009746,4.065720,0.274766,0.054113,4.068473,0.303898,0.099534,4.013567,0.302383,0.136619,4.031339,0.308951,0.137219,4.047935,0.312518,0.129832,4.066588,0.308387,0.114367,4.086454,1,-0.259308,0.162830,3.766181,-0.284391,0.203104,3.738074,-0.212172,0.251745,3.718020,-0.287634,0.289327,3.693012,-0.308028,0.296796,3.703515,-0.319022,0.289809,3.721392,-0.319869,0.269388,3.750756
23,0.958333,1,0.277588,-0.011996,4.065879,0.254703,0.053670,4.065685,0.279826,0.098416,4.007881,0.279202,0.136379,4.027456,0.286963,0.136735,4.043648,0.291438,0.129633,4.062034,0.288010,0.114614,4.082371,1,-0.267998,0.173497,3.764003,-0.290131,0.214253,3.729608,-0.214711,0.259007,3.709827,-0.290425,0.300394,3.684037,-0.310358,0.309147,3.696329,-0.321488,0.302462,3.714232,-0.323706,0.281734,3.743125
24,1.000000,1,0.257994,-0.011279,4.075878,0.237010,0.054416,4.067071,0.259804,0.099371,4.008237,0.258948,0.137686,4.028997,0.267901,0.137632,4.044202,0.273202,0.130344,4.062097,0.270569,0.115136,4.082403,1,-0.280367,0.168000,3.755277,-0.298642,0.207871,3.712407,-0.218543,0.245712,3.686394,-0.295683,0.288833,3.658230,-0.317202,0.299641,3.672909,-0.328978,0.294872,3.692470,-0.332719,0.276170,3.722938
25,1.041667,1,0.242663,-0.008735,4.066486,0.222776,0.056713,4.071814,0.244521,0.102942,4.013832,0.242269,0.141120,4.034950,0.252632,0.140311,4.048712,0.259008,0.132120,4.065845,0.257311,0.116228,4.085471,1,-0.290816,0.147527,3.719764,-0.308079,0.185952,3.689408,-0.221906,0.216708,3.656723,-0.302709,0.257837,3.621835,-0.327909,0.270561,3.637755,-0.340859,0.268727,3.659707,-0.345111,0.254180,3.693632
26,1.083333,1,0.232913,-0.004617,4.077540,0.212330,0.060373,4.078864,0.233323,0.108647,4.023096,0.229297,0.146401,4.044006,0.241043,0.144654,4.056366,0.248565,0.135158,4.072529,0.247774,0.118420,4.091120,1,-0.300446,0.110861,3.703803,-0.315841,0.153452,3.665999,-0.222718,0.179485,3.631814,-0.308258,0.214199,3.585606,-0.337799,0.228169,3.600655,-0.352485,0.229647,3.624490,-0.356440,0.220597,3.662140
27,1.125000,1,0.225996,0.001268,4.085626,0.205558,0.064914,4.086442,0.225689,0.115642,4.034097,0.220168,0.152679,4.054080,0.232754,0.150252,4.065560,0.241020,0.139628,4.080737,0.240978,0.122104,4.098303,1,-0.305170,0.069864,3.690312,-0.319490,0.117754,3.646210,-0.220397,0.141883,3.615869,-0.307854,0.166929,3.556527,-0.341535,0.181493,3.568836,-0.358648,0.186005,3.593221,-0.362835,0.182870,3.633369
