frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
52,2.125000,-0.813991,0.727142,6.466543,-0.920722,0.902002,6.374391,22.5,0,right_foot,right_foot_toe,8481
53,2.166667,-0.821363,0.733364,6.515686,-0.879636,0.848561,6.382297,18.6,1,right_foot,right_foot_toe,8585
54,2.208333,-0.759316,0.501025,6.453554,-0.966268,0.564376,6.425914,21.8,0,right_foot,right_foot_heel,6465
55,2.250000,-0.722178,0.264819,6.398654,-0.986755,0.346189,6.484795,29.0,0,right_foot,right_foot_heel,6437
56,2.291667,-0.701627,0.106169,6.353359,-0.745532,0.049803,6.704006,35.8,0,right_foot,right_foot_heel,5343
57,2.333333,-0.674068,-0.046345,6.316157,-0.756235,-0.004951,6.660870,35.7,0,right_foot,right_foot_heel,5368
58,2.375000,-0.649509,-0.190855,6.288020,-0.775548,-0.029786,6.627595,39.6,0,right_foot,right_foot_heel,5368
59,2.416667,-0.643434,-0.194046,6.268551,-0.714774,0.004572,6.606403,39.8,0,right_foot,right_foot_heel,4935
60,2.458333,-0.633990,-0.317628,6.256591,-0.806193,-0.066580,6.596007,45.6,0,right_foot,right_foot_heel,5368
61,2.500000,-0.624661,-0.422097,6.250658,-0.821634,-0.078119,6.588603,52.1,0,right_foot,right_foot_heel,5369
62,2.541667,-0.626493,-0.517806,6.249233,-0.841236,-0.091088,6.598830,59.2,0,right_foot,right_foot_heel,5364
63,2.583333,-0.622106,-0.591242,6.250935,-1.052203,-0.631761,6.689784,61.6,0,right_foot,right_foot_heel,8970
64,2.625000,-0.622806,-0.593016,6.254596,-1.055758,-0.642067,6.691001,61.7,0,right_foot,right_foot_heel,8970
65,2.666667,-0.628609,-0.617843,6.259286,-1.060507,-0.650904,6.675000,60.0,0,left_foot,left_foot_heel,8970
66,2.708333,-0.621593,-0.680258,6.264294,-1.065769,-0.659142,6.666251,59.9,0,left_foot,left_foot_heel,8970
67,2.750000,-0.617897,-0.712117,6.269090,-1.070044,-0.663841,6.651102,59.4,0,left_foot,left_foot_heel,8970
68,2.791667,-0.617236,-0.711172,6.273280,-1.070441,-0.667402,6.638982,58.4,0,left_foot,left_foot_heel,8970
69,2.833333,-0.615978,-0.719815,6.276565,-1.073507,-0.670874,6.623216,57.6,0,left_foot,left_foot_heel,8970
70,2.875000,-0.613388,-0.713621,6.278717,-1.077439,-0.669364,6.612060,57.3,0,left_foot,left_foot_heel,9008
71,2.916667,-0.614696,-0.703583,6.279564,-1.082603,-0.670392,6.599919,56.8,0,left_foot,left_foot_heel,9008
72,2.958333,-0.608550,-0.675593,6.279003,-1.084349,-0.666759,6.586160,56.6,0,left_foot,left_foot_heel,9008
73,3.000000,-0.603653,-0.628266,6.277039,-1.086674,-0.660890,6.582060,57.2,0,left_foot,left_foot_heel,9008
74,3.041667,-0.602044,-0.624766,6.273849,-1.086285,-0.654360,6.578445,57.3,0,left_foot,left_foot_heel,9008
75,3.083333,-0.598253,-0.575842,6.269873,-1.080505,-0.643203,6.562384,56.8,0,left_foot,left_foot_heel,9008
76,3.125000,-0.595877,-0.510085,6.265932,-1.075117,-0.632147,6.553113,57.2,0,left_foot,left_foot_heel,9008
77,3.166667,-0.595798,-0.424766,6.263362,-1.067517,-0.619817,6.533403,57.7,0,left_foot,left_foot_heel,9008
78,3.208333,-0.589027,-0.338354,6.264138,-1.062572,-0.608259,6.523415,60.4,0,left_foot,left_foot_heel,9008
79,3.250000,-0.589205,-0.334369,6.270989,-1.059032,-0.598078,6.511603,59.0,0,left_foot,left_foot_heel,9008
80,3.291667,-0.593070,-0.232976,6.287435,-1.129333,-0.176736,6.556500,60.3,0,left_foot,left_foot_heel,3851
81,3.333333,-0.602503,-0.126147,6.317716,-0.944695,0.190144,6.546520,51.9,0,left_foot,left_foot_heel,3576
82,3.375000,-0.607415,0.003431,6.366534,-0.856319,0.278103,6.508820,39.7,0,left_foot,left_foot_heel,3662
83,3.416667,-0.613889,0.009733,6.438518,-0.857790,0.265220,6.495596,35.8,0,left_foot,left_foot_heel,3662
84,3.458333,-0.622536,0.155718,6.537302,-0.828014,0.274692,6.499166,24.0,0,left_foot,left_foot_heel,3674
85,3.500000,-0.634025,0.323301,6.664119,-0.795576,0.387068,6.517938,22.7,0,left_foot,left_foot_heel,3703
86,3.541667,-0.650708,0.510604,6.815890,-0.787722,0.456364,6.527247,32.4,0,left_foot,left_foot_heel,3726
87,3.583333,-0.669692,0.611595,6.996238,-0.799603,0.458838,6.529172,50.8,0,left_foot,left_foot_heel,4102
88,3.625000,-0.656468,0.500180,6.867636,-0.775655,0.449765,6.528645,36.3,0,left_foot,left_foot_heel,3726
89,3.666667,-0.644374,0.485676,6.748868,-0.785435,0.458717,6.542901,25.1,0,left_foot,left_foot_heel,3726
90,3.708333,-0.641738,0.412648,6.641810,-0.784103,0.433756,6.547329,17.2,1,left_foot,left_foot_heel,3712
91,3.750000,-0.642778,0.333432,6.552002,-0.793219,0.360092,6.504191,16.0,1,left_foot,left_foot_heel,3684
92,3.791667,-0.635783,0.275535,6.477530,-0.802194,0.339333,6.482382,17.8,1,left_foot,left_foot_heel,3674
93,3.833333,-0.635035,0.241614,6.420346,-0.840699,0.351918,6.473204,23.9,0,left_foot,left_foot_heel,3662
94,3.875000,-0.631894,0.237804,6.379746,-0.862899,0.343677,6.497934,28.0,0,left_foot,left_foot_heel,3659
95,3.916667,-0.631327,0.228351,6.353549,-0.883497,0.310042,6.526611,31.7,0,left_foot,left_foot_heel,5700
96,3.958333,-0.626827,0.231916,6.338961,-0.898301,0.291265,6.503830,32.3,0,left_foot,left_foot_heel,3576
97,4.000000,-0.628612,0.248786,6.333146,-0.886358,0.300160,6.489185,30.6,0,left_foot,left_foot_heel,3576
98,4.041667,-0.627875,0.251551,6.333565,-0.900755,0.322623,6.288259,28.6,0,right_foot,right_foot_heel,6562
99,4.083333,-0.625448,0.266843,6.338140,-0.857626,0.316504,6.266477,24.8,0,right_foot,right_foot_heel,6565
100,4.125000,-0.627563,0.305405,6.345301,-0.835235,0.303873,6.251594,22.8,0,right_foot,right_foot_heel,6408
101,4.166667,-0.624608,0.383514,6.353946,-0.839081,0.329714,6.265966,23.8,0,right_foot,right_foot_heel,6540
102,4.208333,-0.625545,0.467630,6.363357,-0.833251,0.453173,6.267079,22.9,0,right_foot,right_foot_heel,6480
103,4.250000,-0.629365,0.545042,6.373083,-0.799373,0.518936,6.226159,22.6,0,right_foot,right_foot_heel,6497
104,4.291667,-0.631801,0.549161,6.392612,-0.797925,0.524588,6.225029,23.7,0,right_foot,right_foot_heel,6497
105,4.333333,-0.637774,0.473562,6.413216,-0.829579,0.473889,6.280919,23.3,0,right_foot,right_foot_heel,6480
106,4.375000,-0.646225,0.397241,6.412754,-0.868619,0.367944,6.323692,24.1,0,right_foot,right_foot_heel,6540
107,4.416667,-0.653423,0.323989,6.410084,-0.875635,0.319655,6.327334,23.7,0,right_foot,right_foot_heel,6409
108,4.458333,-0.661542,0.277723,6.406519,-0.906028,0.326472,6.372403,25.2,0,right_foot,right_foot_heel,6564
109,4.500000,-0.663279,0.270957,6.403548,-0.923560,0.352786,6.392699,27.3,0,right_foot,right_foot_heel,6564
110,4.541667,-0.664554,0.240780,6.401825,-0.595624,0.049585,6.543450,24.8,0,left_foot,left_foot_heel,5058
111,4.583333,-0.659795,0.219144,6.401729,-0.618559,0.064494,6.556017,22.2,0,left_foot,left_foot_heel,5058
112,4.625000,-0.668455,0.206303,6.403454,-0.634063,0.082806,6.575096,21.4,0,left_foot,left_foot_heel,5058
113,4.666667,-0.670836,0.205782,6.407065,-0.847655,0.248279,6.515160,21.2,0,left_foot,left_foot_heel,3577
114,4.708333,-0.676367,0.212495,6.412516,-0.818914,0.278880,6.529212,19.6,1,left_foot,left_foot_heel,3575
115,4.750000,-0.678971,0.233556,6.419636,-0.817750,0.277896,6.528303,18.2,1,left_foot,left_foot_heel,3575
116,4.791667,-0.686581,0.247493,6.428072,-0.821581,0.281277,6.517134,16.5,1,left_foot,left_foot_heel,3575
117,4.833333,-0.690391,0.257718,6.437207,-0.827316,0.286823,6.521915,16.4,1,left_foot,left_foot_heel,3575
118,4.875000,-0.693546,0.295270,6.446049,-0.838479,0.327352,6.531172,17.1,1,left_foot,left_foot_heel,5700
119,4.916667,-0.696100,0.311821,6.453102,-0.842128,0.333978,6.532775,16.8,1,left_foot,left_foot_heel,5700
120,4.958333,-0.706768,0.373013,6.456249,-0.840719,0.399260,6.512240,14.8,1,left_foot,left_foot_heel,3659
121,5.000000,-0.714815,0.451776,6.452667,-0.837821,0.462845,6.498262,13.2,1,left_foot,left_foot_heel,3673
122,5.041667,-0.720143,0.538808,6.438813,-0.851595,0.491804,6.528967,16.6,1,left_foot,left_foot_heel,3676
123,5.083333,-0.736163,0.641859,6.399757,-0.912920,0.617894,6.338329,18.9,1,right_foot,right_foot_heel,6547
124,5.125000,-0.727304,0.629836,6.327564,-0.897971,0.614270,6.334690,17.2,1,right_foot,right_foot_heel,6547
125,5.166667,-0.734892,0.627004,6.359875,-0.888328,0.611563,6.336809,15.6,1,right_foot,right_foot_heel,6547
126,5.208333,-0.706696,0.507210,6.382889,-0.893402,0.534210,6.355433,19.1,1,right_foot,right_foot_heel,6546
127,5.250000,-0.707499,0.444354,6.401948,-0.902992,0.414109,6.366177,20.1,0,right_foot,right_foot_heel,6540
128,5.291667,-0.712800,0.443775,6.417652,-0.899459,0.393639,6.363257,20.1,0,right_foot,right_foot_heel,6411
129,5.333333,-0.714570,0.371569,6.429641,-0.910292,0.347038,6.395754,20.0,0,right_foot,right_foot_heel,6565
130,5.375000,-0.713310,0.291889,6.438028,-0.930889,0.337349,6.420405,22.3,0,right_foot,right_foot_heel,6562
131,5.416667,-0.705623,0.228020,6.443223,-0.634705,0.088482,6.525366,17.7,1,left_foot,left_foot_heel,5059
132,5.458333,-0.696541,0.173149,6.445819,-0.650689,0.098300,6.535153,12.5,1,left_foot,left_foot_heel,5059
133,5.500000,-0.690953,0.147384,6.446543,-0.667683,0.092120,6.539088,11.0,1,left_foot,left_foot_heel,4934
134,5.541667,-0.685425,0.148624,6.446262,-0.674466,0.107443,6.563885,12.5,1,left_foot,left_foot_heel,4934
135,5.583333,-0.673753,0.147322,6.446020,-0.688498,0.132074,6.614044,16.9,1,left_foot,left_foot_heel,4935
136,5.625000,-0.662505,0.158419,6.447102,-0.834877,0.226333,6.554427,21.4,0,left_foot,left_foot_heel,3577
137,5.666667,-0.652867,0.189248,6.451085,-0.819547,0.278317,6.545542,21.1,0,left_foot,left_foot_heel,3819
138,5.708333,-0.635203,0.250685,6.459880,-0.784556,0.331726,6.537220,18.7,1,left_foot,left_foot_heel,3659
