frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
31,1.250000,-0.304704,0.172476,3.763763,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.106,427.299,47.877,521.106,427.299,46.823,474.123,668.476,0.000426,0,0,0
32,1.291667,-0.299977,0.219107,3.756969,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.738,445.650,49.416,522.739,445.649,46.908,492.558,668.476,0.000962,0,0,0
33,1.333333,-0.275913,0.291964,3.750174,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,531.951,474.335,50.384,531.950,474.336,46.993,521.329,668.476,0.001579,0,0,0
34,1.375000,-0.285820,0.439372,3.743379,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.866,532.374,46.859,527.867,532.374,47.078,579.453,668.476,0.001000,0,0,0
35,1.416667,-0.274224,0.599762,3.736584,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.221,595.727,46.079,532.221,595.727,47.164,642.891,668.476,0.000300,0,0,0
36,1.458333,-0.271069,0.663406,3.729790,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.267,619.694,45.488,533.267,621.216,47.250,668.466,668.476,1.522256,1,1,0
37,1.500000,-0.288990,0.544468,3.747346,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,44.797,526.743,573.380,47.029,620.409,668.476,0.001981,0,0,0
38,1.541667,-0.300534,0.438328,3.754363,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,48.341,522.439,531.462,46.941,578.403,668.476,0.000221,0,0,0
39,1.583333,-0.302739,0.347841,3.761379,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,47.358,521.798,495.812,46.853,542.665,668.476,0.000263,0,0,0
40,1.625000,-0.314095,0.278189,3.768395,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,46.615,517.592,468.415,46.766,515.181,668.476,0.000092,0,0,0
41,1.666667,-0.328960,0.225925,3.775412,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,47.267,512.037,447.883,46.679,494.562,668.476,0.000259,0,0,0
42,1.708333,-0.333953,0.192106,3.782428,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,47.230,510.336,434.589,46.592,481.181,668.476,0.000241,0,0,0
43,1.750000,-0.340587,0.173700,3.789445,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,47.605,508.005,427.318,46.506,473.824,668.476,0.000205,0,0,0
44,1.791667,-0.336996,0.166844,3.796461,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,47.556,509.638,424.541,46.420,470.961,668.476,0.000133,0,0,0
45,1.833333,-0.322458,0.184154,3.803478,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,47.982,515.492,431.106,46.335,477.441,668.476,0.000164,0,0,0
46,1.875000,-0.308627,0.234695,3.810494,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,49.025,521.052,450.454,46.249,496.703,668.476,0.000108,0,0,0
47,1.916667,-0.291407,0.325878,3.817511,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.895,485.366,48.391,527.895,485.366,46.164,531.530,668.476,0.000123,0,0,0
48,1.958333,-0.268731,0.454923,3.824527,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,49.885,536.808,534.689,46.080,580.768,668.476,0.000895,0,0,0
49,2.000000,-0.237686,0.607254,3.831543,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,48.185,548.897,592.756,45.995,638.752,668.476,0.000569,0,0,0
50,2.041667,-0.221004,0.686316,3.838560,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,44.702,555.445,622.580,45.911,668.491,668.476,2.300477,1,1,0
51,2.083333,-0.198516,0.561806,3.718137,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,46.237,561.589,581.904,47.398,629.302,668.476,0.002345,0,0,0
52,2.125000,-0.192089,0.457375,3.727400,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,47.868,564.316,540.207,47.280,587.487,668.476,0.000407,0,0,0
53,2.166667,-0.173648,0.370515,3.736663,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,44.883,571.752,505.622,47.163,552.785,668.476,0.000037,0,0,0
54,2.208333,-0.154962,0.303140,3.745925,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,46.847,579.247,478.847,47.046,525.894,668.476,0.000320,0,0,0
55,2.250000,-0.146629,0.253703,3.755188,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,46.945,582.655,459.220,46.930,506.150,668.476,0.000398,0,0,0
56,2.291667,-0.128162,0.216672,3.764451,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,47.220,590.001,444.529,46.815,491.344,668.476,0.000314,0,0,0
57,2.333333,-0.114907,0.201759,3.773714,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,46.387,595.282,438.518,46.700,485.218,668.476,0.000288,0,0,0
58,2.375000,-0.097823,0.200116,3.782977,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.024,437.688,47.670,602.024,437.688,46.586,484.274,668.476,0.000220,0,0,0
59,2.416667,-0.085896,0.224301,3.792240,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.735,446.864,47.035,606.735,446.864,46.472,493.336,668.476,0.000298,0,0,0
60,2.458333,-0.066756,0.288063,3.801503,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.211,471.285,46.761,614.211,471.285,46.359,517.644,668.476,0.000345,0,0,0
61,2.500000,-0.056871,0.405536,3.810766,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.083,516.286,46.388,618.083,516.287,46.246,562.533,668.476,0.000679,0,0,0
62,2.541667,-0.053442,0.563716,3.820029,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,619.454,576.719,46.101,619.454,576.720,46.134,622.854,668.476,0.001038,0,0,0
63,2.583333,-0.049713,0.684326,3.829292,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,620.935,622.173,46.303,620.934,622.452,46.022,668.474,668.476,0.278958,1,1,0
64,2.625000,-0.070873,0.594593,3.882867,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,613.193,584.890,47.080,613.194,584.891,45.387,630.278,668.476,0.001357,0,0,0
65,2.666667,-0.067955,0.468277,3.867208,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.194,537.831,46.239,614.194,537.832,45.571,583.403,668.476,0.001130,0,0,0
66,2.708333,-0.076423,0.382499,3.851548,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,610.860,505.848,47.271,610.860,505.848,45.756,551.604,668.476,0.000300,0,0,0
67,2.750000,-0.094355,0.313849,3.835888,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,603.875,480.160,47.448,603.875,480.160,45.943,526.103,668.476,0.000224,0,0,0
68,2.791667,-0.104836,0.263219,3.820228,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.698,461.189,46.503,599.698,461.189,46.131,507.320,668.476,0.000070,0,0,0
69,2.833333,-0.112368,0.233087,3.804569,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,596.625,449.974,46.322,596.625,449.974,46.321,496.295,668.476,0.000133,0,0,0
70,2.875000,-0.122897,0.219346,3.788909,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.364,445.020,47.024,592.364,445.020,46.513,491.533,668.476,0.000275,0,0,0
71,2.916667,-0.130132,0.221649,3.773249,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,589.351,446.269,47.364,589.351,446.269,46.706,492.975,668.476,0.000283,0,0,0
72,2.958333,-0.147537,0.257458,3.757590,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.337,460.624,47.866,582.337,460.624,46.900,507.525,668.476,0.000204,0,0,0
73,3.000000,-0.162967,0.334110,3.741930,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.040,491.129,47.130,576.040,491.129,47.097,538.226,668.476,0.000107,0,0,0
74,3.041667,-0.182895,0.451781,3.726270,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,567.917,538.055,47.730,567.917,538.057,47.295,585.351,668.476,0.001667,0,0,0
75,3.083333,-0.203502,0.612943,3.710610,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,559.457,602.595,45.833,559.457,602.594,47.494,650.088,668.476,0.001277,0,0,0
76,3.125000,-0.230797,0.656065,3.694951,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.267,617.725,46.876,548.267,620.761,47.696,668.457,668.476,3.036182,1,1,0
77,3.166667,-0.267981,0.545927,3.763196,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.419,573.049,45.140,535.419,573.050,46.831,619.881,668.476,0.001424,0,0,0
78,3.208333,-0.292475,0.437706,3.758676,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.723,531.022,47.813,525.723,531.022,46.887,577.909,668.476,0.000164,0,0,0
