frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
94,502.272,444.268,502.272,444.268,-0.000225,0.000091,0.000243
95,503.570,444.514,503.570,444.514,0.000305,-0.000387,0.000492
96,508.172,453.557,508.171,453.557,-0.000540,0.000389,0.000665
97,509.149,487.203,509.150,487.203,0.000570,0.000231,0.000615
98,521.117,545.771,521.117,545.773,-0.000040,0.002225,0.002226
99,535.908,614.311,535.908,620.337,-0.000153,6.025680,6.025680
100,544.560,611.858,544.560,618.919,-0.000001,7.060868,7.060868
101,552.230,571.178,552.230,571.179,-0.000211,0.001214,0.001232
102,555.017,534.601,555.017,534.601,0.000356,-0.000059,0.000361
103,561.283,506.441,561.283,506.441,-0.000263,0.000104,0.000282
104,564.695,486.443,564.695,486.443,0.000170,-0.000185,0.000251
105,569.602,470.216,569.602,470.216,-0.000060,0.000071,0.000093
106,573.518,460.789,573.518,460.789,-0.000090,-0.000022,0.000093
107,576.370,458.333,576.370,458.333,0.000138,-0.000180,0.000227
108,581.543,463.863,581.543,463.863,-0.000050,0.000092,0.000105
109,587.105,485.174,587.105,485.174,-0.000009,0.000338,0.000338
110,593.026,526.415,593.026,526.415,0.000129,0.000336,0.000360
111,599.609,579.179,599.609,579.180,-0.000060,0.001236,0.001237
112,602.478,626.350,602.478,623.083,-0.000227,-3.266722,3.266722
113,595.327,597.840,595.327,618.282,0.000187,20.442061,20.442061
114,592.297,553.520,592.297,553.522,-0.000093,0.001766,0.001768
115,587.918,515.617,587.918,515.617,0.000096,-0.000302,0.000317
116,584.592,488.236,584.592,488.236,-0.000092,-0.000111,0.000144
117,580.695,467.961,580.695,467.961,0.000060,0.000091,0.000109
118,578.361,455.950,578.361,455.950,-0.000032,-0.000022,0.000039
119,577.277,449.699,577.277,449.699,0.000075,-0.000128,0.000149
120,578.407,447.631,578.407,447.631,-0.000041,-0.000199,0.000203
121,579.776,453.166,579.776,453.166,0.000026,0.000274,0.000276
122,581.042,477.177,581.042,477.177,-0.000026,0.000147,0.000149
123,580.891,519.951,580.891,519.952,-0.000051,0.000505,0.000508
124,579.022,576.362,579.022,576.363,0.000171,0.001397,0.001408
125,576.998,625.456,576.998,623.116,-0.000234,-2.339908,2.339908
126,566.935,598.351,566.935,598.352,0.000175,0.001495,0.001505
127,558.272,553.177,558.272,553.178,-0.000331,0.000692,0.000767
128,545.594,515.876,545.594,515.875,0.000383,-0.000740,0.000833
129,538.774,477.491,538.774,477.492,-0.000121,0.000648,0.000659
130,532.924,457.568,532.924,457.568,0.000009,0.000026,0.000028
131,527.804,450.719,527.804,450.719,-0.000034,-0.000248,0.000250
132,522.814,450.563,522.814,450.563,-0.000018,-0.000217,0.000217
133,518.675,460.238,518.675,460.238,0.000165,0.000352,0.000389
134,516.800,491.164,516.800,491.164,-0.000244,0.000094,0.000262
