case,baseline_method,method,delta_overlay_hard_score,delta_contact_gap_mm,delta_contact_proxy,delta_part_correct_ratio,delta_penetration_frame_ratio,delta_penetration_depth_max_mm,delta_floating_rate,delta_tradeoff_score,delta_object_jerk,delta_translation_spike_count,delta_rotation_spike_count,delta_event_aligned_spike_count,delta_non_event_spike_count,delta_high_speed_recall,delta_oversmooth_rate,delta_contact_ratio_audio_windows,delta_jump_count,delta_static_tail_drift_m,delta_gate_event_count,delta_gate_active_count,delta_gate_reject_unclear_count,delta_stage_residual_reweight_count,delta_optimizer_reoptimized_frames,delta_optimizer_reweighted_frames,delta_anchor_update_allowed_count,delta_anchor_update_blocked_count,delta_freeze_interpolation_frames,delta_pose_delta_translation_mean_m,delta_pose_delta_translation_max_m,delta_pose_delta_rotation_mean_rad,delta_pose_delta_rotation_max_rad,intervention_valid,mechanism_changed,outcome_changed,causal_interpretation
volleyball,full,no_audio,0.0016346026184894669,88.8013119755912,-0.003850793309503044,,,,,-0.04007027108999231,,0.0,0.0,0.0,0.0,,,,,,-12.0,-25.0,-11.0,-1.0,0.0,0.0,-50.0,19.0,0.0,,,,,True,True,True,measurable_downstream_effect
volleyball,full,no_vlm,-0.26687813067203886,46.306339544513435,-0.0027995416738108977,,,,,-0.025235755593822067,,0.0,0.0,0.0,0.0,,,,,,-25.0,-25.0,-11.0,-1.0,0.0,0.0,-6.0,-14.0,0.0,,,,,True,True,True,measurable_downstream_effect
