frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
29,0.933333,0.981071,0.046051,1.000000,0,0,1,1,0,strong,floor,floor,,foot,40.089261,40.089261,0.098975,0.000000,unknown_plane,local_plane,-0.000112,0.999427,boundary_015,617.000,842.000,,
30,0.966667,0.982985,0.041645,1.000000,0,0,1,1,0,strong,floor,floor,,foot,40.893937,40.893937,0.108579,0.000000,unknown_plane,local_plane,-0.000066,0.999599,boundary_015,617.000,842.000,,
31,1.000000,0.984402,0.038370,1.000000,0,0,1,1,0,strong,floor,floor,,foot,41.537879,41.537879,0.129213,0.000000,unknown_plane,local_plane,-0.000038,0.999719,boundary_015,617.000,842.000,,
32,1.033333,0.986499,0.030485,1.000000,0,0,1,1,0,strong,floor,floor,,foot,43.294930,43.294930,0.131726,0.000000,unknown_plane,local_plane,-0.000018,0.997895,boundary_017,618.000,850.000,,
33,1.066667,0.978352,0.031094,1.000000,0,0,1,1,0,strong,floor,floor,,foot,43.146654,43.146654,0.148562,0.000000,unknown_plane,local_plane,-0.000004,0.984525,boundary_015,617.000,843.000,,
34,1.100000,0.975325,0.032885,1.000000,0,0,1,1,0,strong,floor,floor,,foot,42.724083,42.724083,0.143099,0.000000,unknown_plane,local_plane,0.000005,0.980591,boundary_015,617.000,843.000,,
35,1.133333,0.974154,0.034117,1.000000,0,0,1,1,0,strong,floor,floor,,foot,42.444206,42.444206,0.133222,0.000000,unknown_plane,local_plane,0.000012,0.979421,boundary_015,617.000,843.000,,
36,1.166667,0.968180,0.040270,1.000000,0,0,1,1,0,strong,floor,floor,,foot,41.159090,41.159090,0.092147,0.000000,unknown_plane,local_plane,0.000017,0.979209,boundary_015,617.000,843.000,,
37,1.200000,0.943704,0.048578,1.000000,0,0,1,1,0,strong,floor,floor,,foot,39.655166,39.655166,0.041779,0.000000,unknown_plane,local_plane,0.000020,0.979343,boundary_019,618.000,844.000,,
38,1.233333,0.936457,0.054406,1.000000,0,0,1,1,0,strong,floor,floor,,foot,38.718373,38.718373,0.098543,0.000000,unknown_plane,local_plane,0.000023,0.979578,boundary_019,618.000,844.000,,
39,1.266667,0.922397,0.083624,1.000000,0,0,1,1,0,strong,floor,floor,,foot,34.936576,34.936576,0.027629,0.000000,unknown_plane,local_plane,0.000024,0.975416,boundary_016,618.000,847.000,,
40,1.300000,0.694838,0.146155,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,29.304656,29.304656,0.017574,0.000000,unknown_plane,local_plane,-0.044975,0.948061,boundary_016,616.000,845.000,586.866,848.159
41,1.333333,0.554284,0.163133,0.976220,0,0,0,0,0,strong,foot,left_foot,left,foot,28.063295,28.063295,0.021087,0.000000,unknown_plane,local_plane,-0.331474,0.957691,boundary_019,618.000,843.000,590.660,849.329
42,1.366667,0.445762,0.235143,0.996433,0,0,0,0,0,strong,foot,left_foot,left,foot,23.465299,23.465299,0.015268,0.000000,unknown_plane,local_plane,-0.277023,0.966901,boundary_016,618.000,846.000,594.960,850.450
43,1.400000,0.377834,0.273249,1.000000,0,0,1,1,0,strong,floor,floor,,foot,21.290786,21.290786,-0.006599,0.000000,unknown_plane,local_plane,-0.193908,0.964129,boundary_022,619.000,854.000,,
44,1.433333,0.300782,0.221461,1.000000,0,0,1,1,0,strong,floor,floor,,foot,24.278969,24.278969,-0.000058,0.000000,floor,gvhmr_floor,-1.830895,0.750000,boundary_022,619.000,854.000,,
45,1.466667,0.281889,0.281889,1.000000,0,0,1,1,0,strong,floor,floor,,foot,20.811669,20.811669,0.000693,0.000000,floor,gvhmr_floor,-2.976787,0.750000,boundary_022,619.000,854.000,,
46,1.500000,0.313527,0.313527,1.000000,0,0,1,1,0,strong,floor,floor,,foot,19.083933,19.083933,0.017407,0.000000,floor,gvhmr_floor,-3.778911,0.750000,boundary_022,619.000,854.000,,
47,1.533333,0.293029,0.290384,1.000000,0,0,1,1,0,strong,floor,floor,,foot,20.344198,20.344198,-0.021845,0.000000,floor,gvhmr_floor,-4.340397,0.750000,boundary_022,619.000,854.000,,
48,1.566667,0.311105,0.311105,1.000000,0,0,1,1,0,strong,floor,floor,,foot,19.215170,19.215170,-0.043465,0.000000,floor,gvhmr_floor,-4.733438,0.750000,boundary_022,619.000,854.000,,
49,1.600000,0.294062,0.294062,1.000000,0,0,1,1,0,strong,floor,floor,,foot,20.142779,20.142779,0.000840,0.000000,floor,gvhmr_floor,-5.008567,0.750000,boundary_022,620.000,854.000,,
50,1.633333,1.000000,0.334782,1.000000,1,1,1,0,1,strong,foot,left_foot,left,foot,17.935761,17.935761,0.057731,1.000000,floor,gvhmr_floor,-5.201157,0.750000,boundary_022,619.000,854.000,602.778,861.651
51,1.666667,1.000000,0.502928,0.976220,1,1,0,1,0,strong,foot,left_foot,left,foot,15.317398,15.317398,-0.033990,1.000000,floor,gvhmr_floor,-5.635970,0.750000,boundary_023,620.000,854.000,605.899,859.982
52,1.700000,0.600000,0.181369,0.000001,1,1,0,1,0,none,foot,right_foot,right,foot,62.332666,62.332666,1.512038,0.284570,floor,gvhmr_floor,-19.530339,0.750000,boundary_024,660.000,813.000,614.471,855.574
53,1.733333,1.000000,0.357933,0.000000,1,1,0,1,0,proposal,foot,right_foot,right,foot,31.587816,31.587816,0.833151,1.000000,floor,gvhmr_floor,-29.466397,0.750000,boundary_024,662.000,813.000,649.202,841.879
