frame,time,ball_center_x,ball_center_y,radius,mask_area
134,5.541667,607.128,123.177,25.168,1990.0
135,5.583333,606.248,94.200,24.741,1923.0
136,5.625000,604.581,72.989,25.022,1967.0
137,5.666667,601.789,58.521,25.607,2060.0
138,5.708333,597.775,54.229,22.140,1540.0
139,5.750000,594.990,53.657,19.024,1137.0
140,5.791667,593.863,51.374,17.535,966.0
141,5.833333,593.284,49.984,16.897,897.0
142,5.875000,592.846,47.851,15.461,751.0
143,5.916667,592.976,45.198,14.948,702.0
144,5.958333,593.357,44.342,14.439,655.0
145,6.000000,593.893,44.792,13.387,563.0
146,6.041667,594.605,44.843,13.493,572.0
147,6.083333,595.758,44.967,14.172,631.0
148,6.125000,596.707,45.688,14.636,673.0
149,6.166667,597.457,47.309,15.482,753.0
150,6.208333,598.630,50.243,15.635,768.0
151,6.250000,596.934,43.662,17.992,1017.0
152,6.291667,597.249,51.281,21.844,1499.0
153,6.333333,600.715,51.756,25.382,2024.0
154,6.375000,604.296,89.105,26.744,2247.0
155,6.416667,608.114,131.294,26.427,2194.0
156,6.458333,614.194,172.137,26.354,2182.0
157,6.500000,622.132,219.145,26.999,2290.0
158,6.541667,627.989,286.109,26.415,2192.0
159,6.583333,625.903,299.088,22.003,1521.0
160,6.625000,626.079,297.717,22.126,1538.0
161,6.666667,625.558,297.361,23.296,1705.0
162,6.708333,624.751,292.872,22.652,1612.0
163,6.750000,623.288,290.792,24.456,1879.0
164,6.791667,620.785,285.853,24.618,1904.0
165,6.833333,615.795,273.716,21.683,1477.0
166,6.875000,611.714,268.435,20.806,1360.0
167,6.916667,606.028,267.722,21.887,1505.0
168,6.958333,600.658,267.096,21.424,1442.0
169,7.000000,593.153,270.494,21.499,1452.0
170,7.041667,584.503,274.810,22.869,1643.0
171,7.083333,577.922,277.189,22.298,1562.0
172,7.125000,574.272,279.355,19.593,1206.0
173,7.166667,565.805,284.999,20.714,1348.0
174,7.208333,559.954,289.191,20.232,1286.0
175,7.250000,554.376,293.065,19.979,1254.0
176,7.291667,549.313,295.096,19.851,1238.0
177,7.333333,544.689,294.918,19.503,1195.0
178,7.375000,540.761,294.911,19.049,1140.0
179,7.416667,536.821,296.103,18.763,1106.0
180,7.458333,533.102,296.877,18.771,1107.0
181,7.500000,529.488,297.751,18.848,1116.0
182,7.541667,525.976,297.531,18.974,1131.0
