frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg
214,8.875000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
215,8.916667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
216,8.958333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
217,9.000000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
218,9.041667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
219,9.083333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
220,9.125000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
221,9.166667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
222,9.208333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
223,9.250000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
224,9.291667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
225,9.333333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
226,9.375000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
227,9.416667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
228,9.458333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
229,9.500000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
230,9.541667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
231,9.583333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
232,9.625000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
233,9.666667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
234,9.708333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
235,9.750000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
236,9.791667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
237,9.833333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
238,9.875000,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
239,9.916667,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
240,9.958333,-0.554048,-31.7446,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993
