frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg
60,2.458333,-3.042549,-174.3252,-2.825975,-161.9164,0,-0.216574,-12.4088,visible,0.006374,0.221106,-18.4488
61,2.500000,3.059152,175.2765,-3.475607,-199.1376,0,6.534759,374.4141,visible,0.094822,-0.155970,13.6965
62,2.541667,2.922091,167.4235,2.816976,161.4008,0,0.105116,6.0227,hidden,0.089580,-0.015415,13.4597
63,2.583333,2.857423,163.7183,2.828585,162.0660,0,0.028838,1.6523,visible,0.075265,0.046481,13.6176
64,2.625000,2.839691,162.7023,2.841264,162.7925,0,-0.001574,-0.0902,hidden,0.084657,0.086225,12.3512
65,2.666667,2.834751,162.4193,2.851509,163.3794,0,-0.016758,-0.9602,visible,0.149645,0.166193,8.0142
66,2.708333,2.826189,161.9287,2.851669,163.3886,0,-0.025480,-1.4599,hidden,0.235357,0.260042,2.9988
67,2.750000,2.811792,161.1038,2.834775,162.4207,0,-0.022983,-1.3168,hidden,0.360789,0.382127,-3.5693
68,2.791667,2.794128,160.0918,2.801485,160.5133,0,-0.007357,-0.4215,hidden,0.414575,0.421259,-5.0059
69,2.833333,2.775368,159.0169,2.755436,157.8749,0,0.019931,1.1420,hidden,0.479441,0.461856,-6.5238
70,2.875000,2.756376,157.9287,2.702196,154.8244,0,0.054180,3.1043,hidden,0.486108,0.438070,-3.9095
71,2.916667,2.737353,156.8387,2.649368,151.7976,0,0.087985,5.0411,hidden,0.476670,0.397580,-0.2657
72,2.958333,2.718327,155.7486,2.604862,149.2476,0,0.113465,6.5010,hidden,0.503868,0.402830,0.4961
73,3.000000,2.699300,154.6585,2.571940,147.3613,0,0.127360,7.2972,hidden,0.528578,0.416475,0.7292
74,3.041667,2.680274,153.5684,2.550776,146.1487,0,0.129498,7.4197,hidden,0.572428,0.461748,-1.0684
75,3.083333,2.661248,152.4783,2.538851,145.4655,0,0.122397,7.0128,hidden,0.617984,0.517374,-3.6346
76,3.125000,2.642222,151.3882,2.532275,145.0887,0,0.109948,6.2995,hidden,0.638191,0.549862,-4.7457
77,3.166667,2.623196,150.2981,2.527401,144.8094,0,0.095795,5.4886,hidden,0.640993,0.564640,-4.6754
78,3.208333,2.604170,149.2080,2.522729,144.5417,0,0.081441,4.6662,hidden,0.645168,0.580874,-4.7200
79,3.250000,2.585144,148.1179,2.515476,144.1262,0,0.069668,3.9917,hidden,0.668553,0.615164,-6.0817
80,3.291667,2.566118,147.0277,2.500690,143.2790,0,0.065429,3.7488,hidden,0.706644,0.658869,-8.2415
81,3.333333,2.547092,145.9376,2.472088,141.6402,0,0.075005,4.2975,hidden,0.735851,0.683040,-9.0193
82,3.375000,2.528066,144.8475,2.426116,139.0062,0,0.101951,5.8413,hidden,0.750565,0.679415,-7.6455
83,3.416667,2.509040,143.7574,2.366136,135.5696,0,0.142905,8.1878,hidden,0.724068,0.618457,-1.9610
84,3.458333,2.490022,142.6677,2.303825,131.9995,0,0.186197,10.6683,hidden,0.639349,0.485954,8.2573
85,3.500000,2.471091,141.5831,2.254125,129.1519,0,0.216965,12.4312,hidden,0.540596,0.346821,18.1239
86,3.541667,2.452803,140.5353,2.239640,128.3219,0,0.213163,12.2134,hidden,0.413191,0.211190,27.2726
87,3.583333,2.437549,139.6613,2.268656,129.9844,0,0.168893,9.6768,hidden,0.297586,0.132876,32.7029
88,3.625000,2.431439,139.3112,2.325553,133.2443,0,0.105887,6.0669,hidden,0.203698,0.099084,35.0024
