frame,time,audio_score,event_type,gamma,w_audio_scale,promote_anchor,contact_target,attack,decay_ms,centroid,hf_ratio,rms
10,0.432000,0.948379,bounce,1.000,0.000,0,support,0.7660,10.00,1704.2,0.2753,0.2458
23,0.976000,1.000000,bounce,1.000,0.000,0,support,0.8848,12.00,1454.7,0.2303,0.3153
36,1.504000,0.911507,placement,0.700,0.600,0,support,0.4137,16.00,1175.3,0.1475,0.3547
51,2.112000,0.985681,bounce,1.000,0.000,0,support,0.8991,12.00,1488.5,0.2477,0.3374
64,2.656000,0.956252,bounce,1.000,0.000,0,support,0.9231,15.00,1275.4,0.2116,0.3299
76,3.184000,0.754791,bounce,1.000,0.000,0,support,0.8975,10.00,1521.9,0.2688,0.3052
88,3.680000,0.795746,bounce,1.000,0.000,0,support,0.8595,14.00,1579.1,0.2718,0.2817
100,4.160000,0.845138,bounce,1.000,0.000,0,support,0.8645,15.00,1973.3,0.3374,0.2759
113,4.704000,0.892643,bounce,1.000,0.000,0,support,0.9045,9.00,1673.5,0.2740,0.3097
126,5.248000,0.872131,bounce,1.000,0.000,0,support,0.9097,10.00,1512.2,0.2467,0.2644
137,5.728000,0.841171,bounce,1.000,0.000,0,support,0.9114,11.00,1571.1,0.2804,0.3310
149,6.208000,0.802351,bounce,1.000,0.000,0,support,0.9122,12.00,1349.2,0.2222,0.3296
161,6.704000,0.697498,bounce,1.000,0.000,0,support,0.8383,15.00,1510.2,0.2662,0.2485
174,7.248000,0.977351,bounce,1.000,0.000,0,support,0.9150,15.00,1586.8,0.2653,0.3081
187,7.808000,0.833972,bounce,1.000,0.000,0,support,0.8990,10.00,1571.6,0.2855,0.2457
