frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
66,2.166667,1.034526,1.972838,0.688388,1.260683,4792,0.457250,0.4989,0.0000,mask
67,2.200000,1.036568,1.973005,0.686635,1.261262,4843,0.470383,0.5171,0.0000,mask
68,2.233333,1.045659,1.977740,0.687661,1.258681,4843,0.453762,0.5016,0.0000,mask
69,2.266667,1.047276,1.977392,0.690732,1.254005,4827,0.478951,0.5235,0.0000,mask
70,2.300000,1.051391,1.979142,0.693903,1.249579,4817,0.485471,0.5321,0.0000,mask
71,2.333333,1.057599,1.982865,0.695840,1.246945,4817,0.483694,0.5315,0.0000,mask
72,2.366667,1.056693,1.982078,0.696939,1.245627,4801,0.482386,0.5247,0.0000,mask
73,2.400000,1.065034,1.987995,0.698694,1.243862,4766,0.487176,0.5262,0.0000,mask
74,2.433333,1.051887,1.978912,0.702177,1.240302,4761,0.484407,0.5291,0.0000,mask
75,2.466667,1.055624,1.981500,0.707256,1.234903,4765,0.490232,0.5344,0.0000,mask
76,2.500000,1.052435,1.978922,0.712977,1.228560,4758,0.501867,0.5459,0.0000,mask
77,2.533333,1.055628,1.980596,0.718283,1.222356,4759,0.500048,0.5442,0.0000,mask
78,2.566667,1.052406,1.977468,0.722352,1.217261,4749,0.505099,0.5524,0.0000,mask
79,2.600000,1.057939,1.980724,0.724622,1.214118,4760,0.513031,0.5592,0.0000,mask
80,2.633333,1.057736,1.980210,0.724923,1.213433,4737,0.517241,0.5650,0.0000,mask
81,2.666667,1.057338,1.980146,0.723677,1.214974,4747,0.515969,0.5637,0.0000,mask
82,2.700000,1.057229,1.980883,0.721796,1.217780,4750,0.507471,0.5534,0.0000,mask
83,2.733333,1.054019,1.979832,0.720195,1.220733,4765,0.511624,0.5537,0.0000,mask
84,2.766667,1.052854,1.980558,0.719320,1.223218,4782,0.507944,0.5539,0.0000,mask
85,2.800000,1.053964,1.983127,0.718926,1.225405,4787,0.517228,0.5586,0.0000,mask
86,2.833333,1.041405,1.976016,0.718065,1.228220,4807,0.520511,0.5683,0.0000,mask
87,2.866667,1.037353,1.975117,0.715369,1.233027,4813,0.522035,0.5720,0.0000,mask
88,2.900000,1.038744,1.978197,0.709811,1.240885,4841,0.499782,0.5456,0.0000,mask
89,2.933333,1.044645,1.984532,0.701682,1.251524,4831,0.507421,0.5508,0.0000,mask
90,2.966667,1.036299,1.980960,0.693131,1.262669,4793,0.490011,0.5355,0.0000,mask
91,3.000000,1.024905,1.975285,0.687534,1.270629,4796,0.493255,0.5371,0.0000,mask
92,3.033333,1.022650,1.975560,0.687782,1.272201,4804,0.506929,0.5609,0.0000,mask
93,3.066667,1.025479,1.978907,0.694555,1.266655,4836,0.520211,0.5749,0.0000,mask
94,3.100000,1.026484,1.980767,0.705694,1.256384,4859,0.518412,0.5724,0.0000,mask
95,3.133333,1.019138,1.976606,0.717031,1.245853,4870,0.530752,0.5905,0.0000,mask
96,3.166667,1.005837,1.969205,0.724439,1.239339,4821,0.510692,0.5792,0.0113,mask
97,3.200000,1.022186,1.981055,0.725986,1.238745,4808,0.485981,0.5437,0.0022,mask
98,3.233333,1.008151,1.974460,0.722336,1.243338,4837,0.470442,0.5463,0.0286,mask
99,3.266667,1.013314,1.980194,0.714933,1.251701,4764,0.437488,0.5176,0.0408,mask
100,3.300000,0.998957,1.978624,0.704235,1.263453,4849,0.421348,0.5398,0.1152,mask
101,3.333333,1.005116,1.978386,0.690631,1.278162,4775,0.454178,0.5500,0.0605,mask
102,3.366667,0.998293,1.969847,0.676994,1.292723,4821,0.418297,0.4843,0.0126,mask
103,3.400000,1.032744,1.992083,0.668858,1.301324,4871,0.410685,0.4673,0.0000,mask
104,3.433333,1.036723,1.994630,0.671088,1.298897,4892,0.407145,0.4717,0.0000,mask
105,3.466667,1.024027,1.985518,0.685099,1.283958,4889,0.446394,0.5110,0.0000,mask
106,3.500000,1.020883,1.982402,0.709177,1.258415,4854,0.394011,0.4491,0.0000,mask
107,3.533333,1.031133,1.989228,0.739520,1.226683,4840,0.434102,0.4887,0.0000,mask
108,3.566667,1.034031,1.991888,0.770660,1.195001,4999,0.464173,0.5350,0.0000,mask
109,3.600000,1.017252,1.986292,0.797392,1.168836,4862,0.481806,0.5661,0.0535,mask
110,3.633333,1.012943,1.977995,0.817541,1.149873,5025,0.416964,0.4741,0.0000,mask
111,3.666667,1.031876,1.995099,0.831556,1.137036,4892,0.455606,0.5226,0.0000,mask
112,3.700000,1.045678,2.008040,0.839200,1.130507,4876,0.470669,0.5476,0.0000,mask
113,3.733333,1.045569,2.009386,0.838104,1.133091,5067,0.462162,0.5191,0.0000,mask
114,3.766667,1.045497,2.011070,0.825621,1.147885,5170,0.498031,0.5571,0.0000,mask
115,3.800000,1.056751,2.022418,0.801268,1.175677,4922,0.490512,0.5557,0.0000,mask
116,3.833333,1.059983,2.027726,0.767844,1.213825,4962,0.501064,0.5833,0.0000,mask
117,3.866667,1.059946,2.031326,0.730635,1.256892,4908,0.517827,0.5946,0.0000,mask
118,3.900000,1.051807,2.029955,0.693880,1.300128,4853,0.314389,0.3583,0.0000,mask
119,3.933333,1.022878,2.015499,0.657209,1.343254,4902,0.567804,0.6353,0.0000,mask
120,3.966667,1.003002,2.008165,0.618302,1.388007,4861,0.538868,0.6129,0.0000,mask
121,4.000000,1.027061,2.026682,0.580696,1.430272,4712,0.291164,0.3223,0.0000,mask
122,4.033333,1.008005,2.018419,0.555661,1.458310,4699,0.330711,0.3606,0.0000,mask
123,4.066667,1.022914,2.027929,0.553517,1.461729,4625,0.324560,0.3609,0.0000,mask
124,4.100000,1.016590,2.024732,0.573751,1.441463,4715,0.313493,0.3465,0.0000,mask
125,4.133333,0.989806,2.008308,0.604506,1.409965,4585,0.563244,0.6102,0.0000,mask
126,4.166667,0.976962,2.004717,0.632132,1.381218,4583,0.547239,0.6162,0.0462,mask
127,4.200000,0.977598,2.004657,0.651862,1.359914,4682,0.523944,0.6041,0.0547,mask
128,4.233333,0.964921,2.001445,0.668771,1.340757,4620,0.270476,0.3419,0.1671,mask
129,4.266667,0.962110,2.005039,0.688609,1.318040,4623,0.482850,0.6208,0.1781,mask
130,4.300000,0.960055,2.001179,0.710289,1.293266,4621,0.501267,0.6314,0.1827,mask
131,4.333333,0.954591,2.001560,0.728228,1.272498,4601,0.483224,0.6346,0.2314,mask
132,4.366667,0.956052,1.997094,0.738935,1.259418,4707,0.477274,0.6345,0.2073,mask
133,4.400000,0.947341,1.999669,0.743242,1.253044,4738,0.451619,0.6427,0.2829,mask
134,4.433333,0.950380,1.993033,0.743881,1.250359,4606,0.481183,0.6471,0.2316,mask
135,4.466667,0.953396,1.990177,0.742767,1.249294,4641,0.487419,0.6452,0.2081,mask
136,4.500000,0.954600,1.980979,0.740206,1.249640,4601,0.534195,0.6661,0.1504,mask
137,4.533333,0.955420,1.979295,0.735744,1.252103,4670,0.528453,0.6613,0.1463,mask
138,4.566667,0.957801,1.975010,0.729425,1.256831,4646,0.548974,0.6657,0.1163,mask
139,4.600000,0.957865,1.969669,0.722311,1.262811,4628,0.552467,0.6652,0.0865,mask
140,4.633333,0.958959,1.967019,0.715875,1.268555,4608,0.567168,0.6710,0.0681,mask
141,4.666667,0.955908,1.963627,0.711084,1.273106,4678,0.564571,0.6667,0.0609,mask
142,4.700000,0.951216,1.956854,0.708000,1.276387,4682,0.575277,0.6674,0.0391,mask
143,4.733333,0.954577,1.959641,0.706030,1.278889,4668,0.576791,0.6711,0.0382,mask
144,4.766667,0.952274,1.960324,0.704300,1.281345,4670,0.563048,0.6674,0.0474,mask
145,4.800000,0.952329,1.958396,0.701682,1.284804,4668,0.573764,0.6695,0.0298,mask
146,4.833333,0.953910,1.960698,0.696585,1.290891,4664,0.579909,0.6763,0.0302,mask
147,4.866667,0.954425,1.962383,0.687211,1.301462,4673,0.575537,0.6718,0.0287,mask
148,4.900000,0.952443,1.961519,0.672942,1.317086,4673,0.581729,0.6729,0.0202,mask
149,4.933333,0.955218,1.965498,0.656253,1.335056,4680,0.578038,0.6703,0.0209,mask
150,4.966667,0.954864,1.966538,0.642854,1.349287,4676,0.435252,0.5077,0.0277,mask
151,5.000000,0.959183,1.968401,0.638323,1.353879,4678,0.433752,0.5016,0.0183,mask
152,5.033333,0.970953,1.974992,0.643505,1.347980,4678,0.470118,0.5426,0.0184,mask
153,5.066667,0.970281,1.972748,0.653545,1.336830,4677,0.602471,0.6924,0.0102,mask
