frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,line_rmse_px,endpoint_rmse_px,side_ratio_rmse_px,rail_rmse_px,source
1,0.000000,0.551525,0.890651,4.977552,0.616520,0.366479,-0.323996,0.616946,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.861641221,1.686410436,1.039021467,6.000428636,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
2,0.041667,0.551577,0.890620,4.977495,0.616583,0.366456,-0.324090,0.616848,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.861431785,1.569215291,1.037961205,5.912049192,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
3,0.083333,0.551630,0.890587,4.977437,0.616648,0.366432,-0.324186,0.616747,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.882285139,1.638580093,1.025901123,5.739806013,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
4,0.125000,0.551685,0.890552,4.977375,0.616715,0.366407,-0.324286,0.616642,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,0.922947848,1.750254768,1.007449676,5.538932076,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
5,0.166667,0.551743,0.890514,4.977309,0.616787,0.366380,-0.324393,0.616530,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.018043807,2.369652199,0.980032911,5.296272895,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
6,0.208333,0.551805,0.890471,4.977238,0.616864,0.366352,-0.324507,0.616409,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.325460175,3.749555258,0.970118694,5.571095937,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
7,0.250000,0.551871,0.890420,4.977158,0.616948,0.366322,-0.324631,0.616278,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.366027555,3.877381191,0.969057303,5.550574219,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
8,0.291667,0.551942,0.890360,4.977069,0.617040,0.366289,-0.324767,0.616134,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.441411004,4.136015612,0.971864471,5.672148171,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
9,0.333333,0.552018,0.890289,4.976970,0.617140,0.366254,-0.324916,0.615975,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.505616621,4.354328105,0.977297500,5.811609464,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
10,0.375000,0.552100,0.890202,4.976857,0.617251,0.366217,-0.325079,0.615800,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.552221051,4.511702067,0.982658760,5.945733456,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
11,0.416667,0.552186,0.890098,4.976729,0.617372,0.366177,-0.325259,0.615608,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.584978442,4.619563153,0.986505860,6.043583395,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
12,0.458333,0.552276,0.889972,4.976584,0.617505,0.366135,-0.325455,0.615395,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.611683550,4.702591777,0.989852000,6.095650565,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
13,0.500000,0.552371,0.889819,4.976419,0.617651,0.366091,-0.325671,0.615161,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.622503444,4.734706132,0.991474364,6.103163298,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
14,0.541667,0.552468,0.889634,4.976231,0.617810,0.366044,-0.325905,0.614905,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.622208762,4.733238833,0.991757994,6.099219172,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
15,0.583333,0.552568,0.889412,4.976019,0.617982,0.365997,-0.326160,0.614625,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.621082741,4.727840731,0.991640090,6.084243222,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
16,0.625000,0.552668,0.889145,4.975778,0.618169,0.365948,-0.326434,0.614320,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.624664871,4.735750382,0.992192133,6.097998675,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
17,0.666667,0.552765,0.888826,4.975506,0.618370,0.365900,-0.326729,0.613990,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.628107240,4.742201014,0.993049983,6.131920617,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
18,0.708333,0.552858,0.888445,4.975199,0.618584,0.365853,-0.327044,0.613635,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.626623290,4.728957055,0.993203191,6.152961114,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
19,0.750000,0.552943,0.887991,4.974854,0.618812,0.365809,-0.327376,0.613254,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.583607867,4.634060606,0.988514871,6.303793027,chair_twohand_endpoint_se3_boundary_freeze_prefix+sequence_se3_optimizer
20,0.791667,0.553004,0.887368,4.974429,0.619062,0.365773,-0.327740,0.612829,-0.001879783,1.019853591,0.063879613,0.206383162,0.050191601,1468.604736328,1468.604736328,640.000000000,360.000000000,1.740041200,4.577574433,1.045339795,6.208710568,chair_twohand_endpoint_se3_contact_refined+sequence_se3_optimizer
21,0.833333,0.553017,0.886463,4.973898,0.619331,0.365756,-0.328130,0.612358,0.002729142,1.023281087,0.060681150,0.202113155,0.049531422,1468.604736328,1468.604736328,640.000000000,360.000000000,1.637990527,3.518623147,1.032128919,9.076705525,chair_twohand_endpoint_se3_contact_refined+sequence_se3_optimizer
22,0.875000,0.552927,0.884982,4.973220,0.619607,0.365779,-0.328526,0.611853,0.009065997,1.027225009,0.056346073,0.198393028,0.048710949,1468.604736328,1468.604736328,640.000000000,360.000000000,1.594877123,3.336311197,1.018059692,9.423987099,chair_twohand_endpoint_se3_contact_refined+sequence_se3_optimizer
23,0.916667,0.552754,0.883181,4.972457,0.619874,0.365836,-0.328910,0.611342,0.015902306,1.031265040,0.051610545,0.195918977,0.047761599,1468.604736328,1468.604736328,640.000000000,360.000000000,1.552741952,4.213192929,0.986100519,6.873239867,chair_twohand_endpoint_se3_contact_refined+sequence_se3_optimizer
