case,baseline_method,method,delta_overlay_hard_score,delta_contact_gap_mm,delta_contact_proxy,delta_part_correct_ratio,delta_penetration_frame_ratio,delta_penetration_depth_max_mm,delta_floating_rate,delta_tradeoff_score,delta_object_jerk,delta_translation_spike_count,delta_rotation_spike_count,delta_event_aligned_spike_count,delta_non_event_spike_count,delta_high_speed_recall,delta_oversmooth_rate,delta_contact_ratio_audio_windows,delta_jump_count,delta_static_tail_drift_m,delta_gate_event_count,delta_gate_active_count,delta_gate_reject_unclear_count,delta_stage_residual_reweight_count,delta_optimizer_reoptimized_frames,delta_optimizer_reweighted_frames,delta_anchor_update_allowed_count,delta_anchor_update_blocked_count,delta_freeze_interpolation_frames,delta_pose_delta_translation_mean_m,delta_pose_delta_translation_max_m,delta_pose_delta_rotation_mean_rad,delta_pose_delta_rotation_max_rad,intervention_valid,mechanism_changed,outcome_changed,causal_interpretation
back_view_basketball,full,no_vlm,0.004541584495599271,-97.55300773694393,0.21095216984340887,,,,,0.30893909214389137,,0.0,0.0,0.0,0.0,,,,,,-14.0,-5.0,-5.0,-1.0,0.0,0.0,36.0,-36.0,0.0,,,,,True,True,True,measurable_downstream_effect
back_view_basketball,full,no_audio,-3.463198540354373e-05,50.80104545454549,-0.022295793609660716,,,,,-0.07446150884751233,,0.0,0.0,0.0,0.0,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,,,,,True,True,True,measurable_downstream_effect
