frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
50,2.041667,left,handle:left:rigid_keyframe_contact_region,487.604,133.649,38.069555,38.069555,0.832155,0.447016,proposal,1,1
51,2.083333,left,handle:left:rigid_keyframe_contact_region,485.980,130.992,38.685107,38.685107,0.498383,0.435435,proposal,1,1
52,2.125000,left,handle:left:rigid_keyframe_contact_region,484.396,133.488,39.376613,39.376613,0.422571,0.422571,proposal,1,1
53,2.166667,left,handle:left:rigid_keyframe_contact_region,481.146,123.702,42.006005,42.006005,0.443753,0.375206,proposal,1,1
54,2.208333,left,handle:left:rigid_keyframe_contact_region,479.805,124.192,42.312243,42.312243,0.585227,0.369862,proposal,1,1
55,2.250000,left,handle:left:rigid_keyframe_contact_region,476.911,122.409,44.824525,44.824525,0.327508,0.327508,proposal,1,1
56,2.291667,left,handle:left:rigid_keyframe_contact_region,475.204,121.306,45.871225,45.871225,0.310683,0.310683,proposal,1,1
57,2.333333,left,handle:left:rigid_keyframe_contact_region,476.522,118.343,44.224550,44.224550,0.337375,0.337375,proposal,1,1
58,2.375000,left,handle:left:rigid_keyframe_contact_region,476.307,115.750,43.886980,43.886980,0.342996,0.342996,proposal,1,1
59,2.416667,left,handle:left:rigid_keyframe_contact_region,474.618,115.505,44.926082,44.926082,0.325854,0.325854,proposal,1,1
60,2.458333,left,handle:left:rigid_keyframe_contact_region,471.917,112.885,47.221655,47.221655,0.289724,0.289724,proposal,1,1
61,2.500000,left,handle:left:rigid_keyframe_contact_region,472.353,113.477,46.162601,46.162601,0.306089,0.306089,proposal,1,1
62,2.541667,left,handle:left:rigid_keyframe_contact_region,472.321,111.266,46.082056,46.082056,0.307355,0.307355,proposal,1,1
63,2.583333,left,handle:left:rigid_keyframe_contact_region,469.884,111.396,47.997896,47.997896,0.278069,0.278069,proposal,1,1
64,2.625000,left,handle:left:rigid_keyframe_contact_region,470.866,110.917,46.672071,46.672071,0.454676,0.298151,proposal,1,1
65,2.666667,left,handle:left:rigid_keyframe_contact_region,469.037,106.629,49.084082,49.084082,0.959361,0.262246,proposal,1,0
66,2.708333,left,handle:left:rigid_keyframe_contact_region,469.257,106.132,48.638044,48.638044,0.268674,0.268674,proposal,1,0
67,2.750000,left,handle:left:rigid_keyframe_contact_region,467.383,102.610,51.346064,51.346064,0.231153,0.231153,none,1,0
68,2.791667,left,handle:left:rigid_keyframe_contact_region,469.804,102.109,48.876823,48.876823,0.370632,0.265221,proposal,1,0
69,2.833333,left,handle:left:rigid_keyframe_contact_region,470.507,98.450,48.759331,48.759331,0.266917,0.266917,proposal,1,0
70,2.875000,left,handle:left:rigid_keyframe_contact_region,470.322,99.576,48.589290,48.589290,0.269383,0.269383,proposal,1,0
71,2.916667,left,handle:left:rigid_keyframe_contact_region,469.200,97.763,50.252993,50.252993,0.245863,0.245863,none,1,0
72,2.958333,left,handle:left:rigid_keyframe_contact_region,468.089,97.020,51.497552,51.497552,0.229161,0.229161,none,1,0
73,3.000000,left,handle:left:rigid_keyframe_contact_region,467.110,94.767,53.115471,53.115471,0.208595,0.208595,none,1,0
74,3.041667,left,handle:left:rigid_keyframe_contact_region,468.689,94.190,51.984047,51.984047,0.222840,0.222840,none,1,0
75,3.083333,left,handle:left:rigid_keyframe_contact_region,468.006,94.652,52.214060,52.214060,0.219893,0.219893,none,1,0
76,3.125000,left,handle:left:rigid_keyframe_contact_region,464.629,93.862,55.733341,55.733341,0.178054,0.178054,none,1,0
77,3.166667,left,handle:left:rigid_keyframe_contact_region,466.611,91.865,54.304912,54.304912,0.202574,0.194301,none,1,0
78,3.208333,left,handle:left:rigid_keyframe_contact_region,469.012,93.122,51.430812,51.430812,0.272361,0.230037,none,1,0
79,3.250000,left,handle:left:rigid_keyframe_contact_region,466.483,92.625,53.797093,53.797093,0.200318,0.200318,none,1,0
80,3.291667,left,handle:left:rigid_keyframe_contact_region,467.730,93.207,52.405342,52.405342,0.217462,0.217462,none,1,0
81,3.333333,left,handle:left:rigid_keyframe_contact_region,467.339,90.882,53.480034,53.480034,0.305083,0.204139,none,1,0
82,3.375000,left,handle:left:rigid_keyframe_contact_region,468.268,93.433,51.659366,51.659366,0.580023,0.227045,none,1,0
