frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
50,1,64,2.041667,anchor_contact_event,left_hand,0.447016,proposal,0.000000,0.447016,0.832155,0.000000,0.000000,0.000000
51,1,64,2.083333,anchor_contact_event,left_hand,0.435435,proposal,0.000000,0.435435,0.498383,0.000000,0.000000,0.000000
52,1,64,2.125000,anchor_contact_event,left_hand,0.422571,proposal,0.000000,0.422571,0.248879,0.000000,0.000000,0.000000
53,1,64,2.166667,anchor_contact_event,left_hand,0.375206,proposal,0.000000,0.375206,0.443753,0.000000,0.000000,0.000000
54,1,64,2.208333,anchor_contact_event,left_hand,0.369862,proposal,0.000000,0.369862,0.585227,0.000000,0.000000,0.000000
55,1,64,2.250000,anchor_contact_event,left_hand,0.327508,proposal,0.000000,0.327508,0.267733,0.000000,0.000000,0.000000
56,1,64,2.291667,anchor_contact_event,left_hand,0.310683,proposal,0.000000,0.310683,0.000000,0.000000,0.000000,0.000000
57,1,64,2.333333,anchor_contact_event,left_hand,0.337375,proposal,0.000000,0.337375,0.000000,0.000000,0.000000,0.000000
58,1,64,2.375000,anchor_contact_event,left_hand,0.342996,proposal,0.000000,0.342996,0.263487,0.000000,0.000000,0.000000
59,1,64,2.416667,anchor_contact_event,left_hand,0.325854,proposal,0.000000,0.325854,0.000000,0.000000,0.000000,0.000000
60,1,64,2.458333,anchor_contact_event,left_hand,0.289724,proposal,0.000000,0.289724,0.000000,0.000000,0.000000,0.000000
61,1,64,2.500000,anchor_contact_event,left_hand,0.306089,proposal,0.000000,0.306089,0.293191,0.000000,0.000000,0.000000
62,1,64,2.541667,anchor_contact_event,left_hand,0.307355,proposal,0.000000,0.307355,0.078309,0.000000,0.000000,0.000000
63,1,64,2.583333,anchor_contact_event,left_hand,0.278069,proposal,0.000000,0.278069,0.000000,0.000000,0.000000,0.000000
64,1,64,2.625000,anchor_contact_event,left_hand,0.298151,proposal,0.000000,0.298151,0.454676,0.000000,0.000000,0.000000
