frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-0.147454,0.256118,2.041519,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,533.926,544.243,39.827,533.926,544.243,32.372,576.615,612.450,0.000032,0,0,0
2,0.041667,-0.146098,0.256091,2.040860,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,534.868,544.283,40.479,534.868,544.283,32.382,576.665,612.450,0.000037,0,0,0
3,0.083333,-0.145657,0.255923,2.040200,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,535.151,544.222,40.421,535.151,544.222,32.393,576.615,612.450,0.000003,0,0,0
4,0.125000,-0.145121,0.255806,2.039540,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,535.503,544.197,40.397,535.503,544.197,32.403,576.600,612.450,0.000008,0,0,0
5,0.166667,-0.143780,0.255506,2.038881,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,536.435,544.041,40.239,536.435,544.041,32.413,576.454,612.450,0.000006,0,0,0
6,0.208333,-0.142371,0.255125,2.038221,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,537.417,543.826,40.096,537.417,543.826,32.424,576.250,612.450,0.000003,0,0,0
7,0.250000,-0.140716,0.254235,2.037561,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,538.577,543.244,40.338,538.577,543.244,32.434,575.678,612.450,0.000008,0,0,0
8,0.291667,-0.138258,0.252684,2.036902,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,540.316,542.185,40.522,540.316,542.185,32.445,574.630,612.450,0.000006,0,0,0
9,0.333333,-0.135691,0.250848,2.036242,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,542.135,540.920,41.329,542.135,540.920,32.455,573.375,612.450,0.000004,0,0,0
10,0.375000,-0.133001,0.248246,2.035582,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,544.044,539.101,41.144,544.044,539.101,32.466,571.567,612.450,0.000006,0,0,0
11,0.416667,-0.129631,0.244008,2.034923,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,546.445,536.101,41.434,546.445,536.101,32.477,568.578,612.450,0.000005,0,0,0
12,0.458333,-0.125317,0.238322,2.034263,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,549.529,532.053,41.211,549.529,532.053,32.487,564.540,612.450,0.000005,0,0,0
13,0.500000,-0.120724,0.231667,2.033603,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,552.817,527.303,41.644,552.817,527.303,32.498,559.801,612.450,0.000014,0,0,0
14,0.541667,-0.115873,0.223864,2.032944,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,556.293,521.720,42.039,556.293,521.720,32.508,554.228,612.450,0.000028,0,0,0
15,0.583333,-0.109123,0.212773,2.032284,1.000000,0.000000,0.000000,0.000000,0.045000,gvhmr_incam,561.144,513.758,42.546,561.144,513.758,32.519,546.277,612.450,0.000019,0,0,0
