frame,u_obs,v_obs,u_reproj,v_reproj,error_u,error_v,error_px
42,721.192,228.179,721.192,228.179,-0.000013,0.000028,0.000031
43,722.664,225.611,722.664,225.611,0.000010,-0.000022,0.000024
44,724.180,222.407,724.180,222.407,-0.000003,0.000008,0.000008
45,725.287,219.731,725.287,219.731,-0.000001,0.000006,0.000006
46,725.924,217.691,725.924,217.691,-0.000001,-0.000002,0.000002
47,726.229,215.619,726.229,215.619,0.000003,-0.000010,0.000011
48,726.468,213.085,726.468,213.085,-0.000004,0.000010,0.000011
49,726.470,211.046,726.470,211.046,0.000005,0.000002,0.000005
50,726.652,209.101,726.652,209.101,-0.000001,-0.000013,0.000013
51,726.772,206.539,726.772,206.539,-0.000000,0.000008,0.000008
52,726.697,204.362,726.697,204.362,-0.000003,0.000003,0.000005
53,726.327,202.445,726.327,202.445,0.000003,-0.000006,0.000006
54,726.014,200.203,726.014,200.203,0.000001,-0.000002,0.000003
55,725.746,197.809,725.746,197.809,-0.000002,0.000005,0.000006
56,725.431,195.771,725.431,195.771,0.000005,0.000004,0.000007
57,725.312,193.915,725.312,193.915,-0.000005,-0.000014,0.000015
58,724.967,191.490,724.967,191.490,0.000006,0.000011,0.000013
59,724.652,189.687,724.652,189.687,-0.000009,-0.000002,0.000009
60,723.826,188.180,723.826,188.180,0.000006,-0.000001,0.000006
61,723.174,186.891,723.174,186.891,-0.000002,0.000001,0.000002
62,722.542,185.819,722.542,185.819,0.000000,0.000001,0.000001
63,721.987,184.846,721.987,184.846,-0.000051,-0.000032,0.000060
64,721.508,183.746,721.508,183.746,0.000147,0.000089,0.000172
65,727.984,186.562,727.984,186.562,-0.000134,-0.000090,0.000162
66,728.438,185.325,728.438,185.325,0.000030,0.000033,0.000045
67,727.993,184.223,727.993,184.223,0.000009,-0.000003,0.000009
68,727.685,183.016,727.685,183.016,-0.000002,0.000001,0.000003
69,727.363,181.837,727.363,181.837,0.000003,-0.000001,0.000003
70,727.177,180.639,727.177,180.639,-0.000005,0.000001,0.000005
71,726.841,179.468,726.841,179.468,0.000005,-0.000004,0.000007
72,726.723,178.195,726.723,178.195,-0.000006,0.000006,0.000008
73,726.449,177.283,726.449,177.283,0.000006,-0.000003,0.000007
74,726.391,176.429,726.391,176.429,-0.000009,0.000001,0.000009
75,726.067,175.763,726.067,175.763,0.000010,-0.000000,0.000010
76,726.172,175.219,726.172,175.219,-0.000005,-0.000001,0.000005
77,726.084,174.756,726.084,174.756,-0.000002,0.000002,0.000003
78,725.895,174.428,725.895,174.428,0.000005,-0.000003,0.000006
79,725.927,174.001,725.927,174.001,-0.000004,0.000001,0.000004
80,725.809,173.708,725.809,173.708,0.000001,0.000000,0.000001
81,725.747,173.673,725.747,173.673,0.000001,0.000001,0.000001
82,725.753,173.961,725.753,173.961,-0.000000,-0.000002,0.000002
83,725.719,174.513,725.719,174.513,-0.000002,0.000000,0.000002
84,725.581,175.514,725.581,175.514,0.000002,0.000006,0.000006
85,725.505,177.148,725.505,177.148,-0.000002,-0.000004,0.000005
86,725.352,178.831,725.352,178.831,0.000001,-0.000002,0.000002
87,725.297,180.553,725.297,180.553,0.000004,-0.000004,0.000006
88,725.352,182.546,725.352,182.546,-0.000007,0.000013,0.000015
89,724.960,185.565,724.960,185.565,0.000001,-0.000010,0.000010
90,724.577,188.533,724.577,188.533,0.000008,0.000001,0.000008
91,724.555,191.799,724.555,191.799,-0.000009,0.000005,0.000011
92,724.172,195.522,724.172,195.522,0.000009,-0.000003,0.000010
93,724.006,199.231,724.006,199.231,-0.000007,0.000002,0.000007
94,723.331,202.921,723.331,202.921,0.000006,-0.000000,0.000006
95,722.366,206.345,722.366,206.345,0.000023,0.000039,0.000045
