frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,tx,ty,tz,qw,qx,qy,qz,se3_schema,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
17,0.666667,0.024038588,0.017621451,3.983580512,-0.063645125,-3.646597,-0.090817199,-5.203442,-0.017293762,-0.990860,1.163538164,-0.079938376,-4.580132,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.012818,-0.001954,3.983188,0.998916,-0.008143,-0.033175,-0.031618,1,unchanged,60,70,160,,,
18,0.708333,0.021263039,0.012503243,3.980364309,-0.065934552,-3.777772,-0.092448015,-5.296881,-0.017101863,-0.979865,1.163623824,-0.080182399,-4.594113,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.010226,-0.005286,3.978632,0.998885,-0.008071,-0.032786,-0.032999,1,unchanged,60,70,160,,,
19,0.750000,0.015997414,0.003719921,3.977225510,-0.068637571,-3.932643,-0.091007273,-5.214333,-0.017141292,-0.982124,1.162810068,-0.080272302,-4.599264,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.007000,-0.010079,3.973643,0.998851,-0.008014,-0.032300,-0.034479,1,unchanged,60,70,160,,,
20,0.791667,0.011785424,-0.010394194,3.974124242,-0.071782004,-4.112806,-0.086370651,-4.948674,-0.017595793,-1.008165,1.161389376,-0.080285146,-4.600000,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,0.002958,-0.018649,3.968165,0.998814,-0.007972,-0.031727,-0.036061,1,unchanged,60,70,160,,,
21,0.833333,0.006961271,-0.024910515,3.970903871,-0.075125219,-4.304358,-0.079964141,-4.581608,-0.017985885,-1.030515,1.161265818,-0.060629665,-3.473824,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.002142,-0.035478,3.962140,0.998772,-0.007946,-0.031083,-0.037741,1,unchanged,60,70,160,,,
22,0.875000,0.002481294,-0.043143318,3.967269828,-0.078720202,-4.510335,-0.070463663,-4.037270,-0.018271811,-1.046898,1.158450771,-0.007070774,-0.405126,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.008495,-0.054196,3.955510,0.998725,-0.007937,-0.030387,-0.039517,1,unchanged,60,70,160,,,
23,0.916667,-0.006488603,-0.062577535,3.962963611,-0.082691264,-4.737860,-0.059704396,-3.420810,-0.019220298,-1.101242,1.157454482,0.072280205,4.141351,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.016008,-0.073900,3.948235,0.998672,-0.007944,-0.029659,-0.041380,1,unchanged,60,70,160,,,
24,0.958333,-0.016077442,-0.083312982,3.957602116,-0.086817008,-4.974248,-0.048472571,-2.777274,-0.019545720,-1.119887,1.153571689,0.169311949,9.700860,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.024394,-0.094244,3.940310,0.998611,-0.007969,-0.028921,-0.043321,1,unchanged,60,70,160,,,
25,1.000000,-0.028862999,-0.107348856,3.950596505,-0.091013322,-5.214679,-0.040389728,-2.314161,-0.019769923,-1.132733,1.151916124,0.275913134,15.808658,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.033421,-0.115041,3.931776,0.998542,-0.008013,-0.028198,-0.045330,1,unchanged,60,70,160,,,
26,1.041667,-0.042473497,-0.131983965,3.941586950,-0.095471501,-5.470114,-0.034112537,-1.954504,-0.020264066,-1.161045,1.148687268,0.383972435,22.000000,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.042928,-0.136167,3.922701,0.998465,-0.008079,-0.027509,-0.047394,1,unchanged,60,70,160,,,
27,1.083333,-0.055981381,-0.156190637,3.930293815,-0.100262306,-5.744607,-0.029236111,-1.675106,-0.020927762,-1.199072,1.146141867,0.506145483,29.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.055649,-0.157816,3.912324,0.998376,-0.008186,-0.026911,-0.049533,1,unchanged,60,70,160,,,
28,1.125000,-0.069242373,-0.179808821,3.916683461,-0.104997653,-6.015922,-0.025653553,-1.469840,-0.020956848,-1.200739,1.141920510,0.628318531,36.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.068973,-0.179739,3.901305,0.998277,-0.008341,-0.026455,-0.051710,1,unchanged,60,70,160,,,
29,1.166667,-0.082422513,-0.202998120,3.901052917,-0.109714883,-6.286200,-0.024072553,-1.379256,-0.021340745,-1.222735,1.137054088,0.750491578,43.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.082664,-0.201801,3.889918,0.998156,-0.008552,-0.026201,-0.054083,1,unchanged,60,70,160,,,
30,1.208333,-0.095740944,-0.225938073,3.883901854,-0.114412481,-6.555352,-0.026308360,-1.507358,-0.021594095,-1.237251,1.133473275,0.872664626,50.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.096511,-0.223900,3.878401,0.998049,-0.008808,-0.026069,-0.056042,1,unchanged,60,70,160,,,
31,1.250000,-0.109341822,-0.248717800,3.865732506,-0.119107134,-6.824336,-0.030878376,-1.769201,-0.021248620,-1.217456,1.128669598,0.994837674,57.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.110487,-0.245997,3.866828,0.997885,-0.009121,-0.026072,-0.058841,1,unchanged,60,70,160,,,
32,1.291667,-0.123281068,-0.271323533,3.846999661,-0.123927817,-7.100541,-0.036159352,-2.071778,-0.020729837,-1.187732,1.123545067,1.117010721,64.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.124562,-0.268053,3.855275,0.997734,-0.009507,-0.026227,-0.061218,1,unchanged,60,70,160,,,
33,1.333333,-0.137531274,-0.293667824,3.828140584,-0.128889112,-7.384802,-0.042333007,-2.425503,-0.020189800,-1.156790,1.119100308,1.239183769,71.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.138711,-0.290033,3.843818,0.997547,-0.009986,-0.026544,-0.063994,1,unchanged,60,70,160,,,
34,1.375000,-0.152011922,-0.315628765,3.809610813,-0.134010755,-7.678251,-0.048199709,-2.761640,-0.019396367,-1.111330,1.114418624,1.361356817,78.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.152906,-0.311902,3.832533,0.997348,-0.010580,-0.027033,-0.066744,1,unchanged,60,70,160,,,
35,1.416667,-0.166639851,-0.337078035,3.792014690,-0.138944379,-7.960927,-0.053377084,-3.058282,-0.015372581,-0.880784,1.113716956,1.483529864,85.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.167120,-0.333624,3.821494,0.997129,-0.011315,-0.027701,-0.069563,1,unchanged,60,70,160,,,
36,1.458333,-0.181322301,-0.357902386,3.776456589,-0.142856727,-8.185088,-0.053886450,-3.087466,0.001646329,0.094328,1.131247282,1.605702912,92.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.181326,-0.355168,3.810767,0.996885,-0.012221,-0.028559,-0.072500,1,unchanged,60,70,160,,,
37,1.500000,-0.195971982,-0.378000104,3.764160219,-0.150313840,-8.612349,-0.058108020,-3.329344,-0.001398425,-0.080124,1.105112845,1.727875959,99.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.195468,-0.376285,3.800859,0.996504,-0.014040,-0.032098,-0.075840,1,unchanged,60,70,160,,,
38,1.541667,-0.210490297,-0.397289965,3.755640217,-0.162189437,-9.292770,-0.068657718,-3.933797,-0.033327485,-1.909524,1.103225234,1.850049007,106.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.209464,-0.396714,3.792356,0.995804,-0.016440,-0.041932,-0.079656,1,unchanged,60,70,160,,,
39,1.583333,-0.224785460,-0.415715353,3.750179332,-0.169354097,-9.703275,-0.083239955,-4.769298,-0.038350809,-2.197340,1.102763159,1.972222055,113.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.223210,-0.414138,3.789679,0.994893,-0.019196,-0.052681,-0.083927,1,unchanged,60,70,160,,,
40,1.625000,-0.238781729,-0.433252715,3.746863242,-0.176315786,-10.102150,-0.105498462,-6.044617,-0.040752082,-2.334922,1.083495771,2.094395102,120.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.236781,-0.431129,3.787572,0.993810,-0.022086,-0.063609,-0.088362,1,unchanged,60,70,160,,,
41,1.666667,-0.252418984,-0.449905408,3.745072064,-0.188316441,-10.789737,-0.131307486,-7.523365,-0.059209575,-3.392459,1.064437538,2.216568150,127.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.250136,-0.447614,3.786028,0.992549,-0.025089,-0.074688,-0.092947,1,unchanged,60,70,160,,,
42,1.708333,-0.265653945,-0.465686584,3.744382142,-0.201522900,-11.546412,-0.156929669,-8.991408,-0.079090300,-4.531540,1.069557787,2.331971280,133.612112,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.263228,-0.463510,3.785022,0.991108,-0.028181,-0.085882,-0.097651,1,unchanged,60,70,160,,,
43,1.750000,-0.278463518,-0.480615183,3.744642212,-0.214544064,-12.292469,-0.181299392,-10.387690,-0.096592253,-5.534328,1.052844940,2.411342011,138.159720,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.276008,-0.478731,3.784520,0.989487,-0.031338,-0.097155,-0.102438,1,unchanged,60,70,160,,,
44,1.791667,-0.290828661,-0.494717052,3.745776022,-0.223030851,-12.778726,-0.200426876,-11.483614,-0.099167366,-5.681872,1.060501702,2.478296377,141.995923,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.288417,-0.493191,3.784488,0.987691,-0.034542,-0.108472,-0.107270,1,unchanged,60,70,160,,,
45,1.833333,-0.302716501,-0.508027120,3.747912303,-0.238224954,-13.649284,-0.220831017,-12.652685,-0.113872999,-6.524442,1.066850201,2.530727415,145.000000,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.300390,-0.506826,3.784896,0.985724,-0.037782,-0.119799,-0.112112,1,unchanged,60,70,160,,,
46,1.875000,-0.314081767,-0.520581107,3.751141595,-0.253672905,-14.534387,-0.248152667,-14.218100,-0.130383629,-7.470432,1.056232780,2.571501373,147.336176,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.311855,-0.519594,3.785712,0.983593,-0.041051,-0.131105,-0.116926,1,unchanged,60,70,160,,,
47,1.916667,-0.324865260,-0.532403885,3.755476540,-0.263348190,-15.088740,-0.274481813,-15.726649,-0.134241170,-7.691453,1.041797756,2.605972009,149.311198,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.322728,-0.531486,3.786901,0.981308,-0.044346,-0.142352,-0.121673,1,unchanged,60,70,160,,,
48,1.958333,-0.334992215,-0.543497879,3.761053992,-0.279754089,-16.028729,-0.299251978,-17.145875,-0.147034511,-8.424457,1.055588545,2.635763629,151.018132,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.332922,-0.542519,3.788421,0.978883,-0.047671,-0.153501,-0.126304,1,unchanged,60,70,160,,,
49,2.000000,-0.344412933,-0.553879187,3.768162649,-0.298244051,-17.088125,-0.321791144,-18.437274,-0.162573135,-9.314754,1.068200522,2.662500540,152.550044,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.342350,-0.552729,3.790226,0.976340,-0.051034,-0.164504,-0.130746,1,unchanged,60,70,160,,,
50,2.041667,-0.353098607,-0.563531007,3.776559377,-0.314311377,-18.008715,-0.345500704,-19.795732,-0.177647341,-10.178443,1.059352538,2.687807048,154.000000,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.350942,-0.562168,3.792260,0.973714,-0.054449,-0.175298,-0.134856,1,unchanged,60,70,160,,,
