frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
14,0.541667,0.570596,-0.257370,3.481720,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,880.680,251.440,,880.680,251.440,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.371420,3.365014,880.680,251.440,897.153,202.270,-0.093095,-0.093095,3.388625,3.522973,3.580471,3.522973,0.023611,0.070919,0.000000,
15,0.583333,0.553336,-0.256402,3.523529,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,870.630,253.132,,870.630,253.132,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.369685,3.384464,870.630,253.132,886.930,204.490,-0.080216,-0.080216,3.443313,3.528995,3.580471,3.528995,0.058849,0.086904,0.000000,
16,0.625000,0.533972,-0.238830,3.590962,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,858.380,262.325,,858.380,262.325,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.350259,3.405329,858.380,262.325,872.574,213.058,-0.073961,-0.073961,3.517001,3.535017,3.580471,3.535017,0.111673,0.119168,0.000000,
17,0.666667,0.505126,-0.193785,3.691137,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,840.976,282.898,,840.976,282.898,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,-0.301726,3.423162,840.976,282.898,853.695,229.609,-0.115728,-0.115728,3.575409,3.541039,3.580471,3.541039,0.152247,0.184786,0.000000,
18,0.708333,0.474620,-0.120014,3.829998,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,821.992,313.981,,821.992,313.981,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.040359,3.958262,821.992,313.981,858.182,283.781,-0.030969,-0.030969,3.799029,3.547061,3.463010,3.547061,-0.159233,0.331418,0.000000,
19,0.750000,0.440856,-0.012046,4.010750,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,801.427,355.589,,801.427,355.589,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.003699,3.949387,801.427,355.589,836.064,324.997,-0.068612,-0.068612,3.942138,3.553083,3.367767,3.553083,-0.007248,0.291870,0.000000,
20,0.791667,0.403681,0.139082,4.231177,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,780.114,408.274,,780.114,408.274,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.039566,3.922383,780.114,408.274,804.523,368.563,-0.047338,-0.047338,4.183839,3.559105,3.367767,3.559105,0.261456,0.382646,0.000000,
21,0.833333,0.293229,0.344607,4.481179,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.099,472.937,,736.099,472.937,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.062741,3.898237,736.099,472.937,746.253,447.355,-0.068621,-0.068621,4.412558,3.565127,3.367767,3.565127,0.514321,0.589137,0.000000,
22,0.875000,0.153662,0.571820,4.739045,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,687.619,537.204,,687.619,537.204,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.070810,3.892159,687.619,537.204,650.872,548.114,0.726033,0.726033,5.465078,3.571149,3.367767,3.571149,1.572919,0.877396,0.000000,
23,0.916667,0.046375,0.693061,4.966927,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.712,564.922,,653.712,564.922,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,1,0,1,floor,,floor,right_hand,0.119901,3.687804,653.712,564.922,608.575,570.347,0.470215,0.470215,5.437142,3.577170,3.387653,3.577170,1.749338,1.286786,0.000000,
