frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
128,right_hand,penetration,0.0667,0.1009,0.1000,2.03
129,right_hand,penetration,0.0528,0.1006,0.1000,2.63
130,right_hand,penetration,0.0493,0.1010,0.1000,2.76
131,right_hand,penetration,0.0346,0.1004,0.1000,3.47
132,right_hand,penetration,0.0355,0.1005,0.1000,3.41
133,right_hand,penetration,0.0419,0.1007,0.1000,3.23
134,right_hand,penetration,0.0488,0.1003,0.1000,3.31
135,right_hand,penetration,0.0687,0.1027,0.1000,2.51
136,right_hand,penetration,0.0763,0.1069,0.1000,2.30
137,right_hand,penetration,0.0447,0.1146,0.1000,2.76
138,right_hand,penetration,0.0195,0.1104,0.1000,3.61
139,right_hand,penetration,0.0319,0.1250,0.1000,3.50
140,right_hand,touch,0.0271,0.1010,0.1000,2.72
141,right_hand,touch,0.0297,0.1008,0.1000,2.56
142,right_hand,touch,0.0424,0.1009,0.1000,2.14
143,right_hand,touch,0.0477,0.1009,0.1000,1.78
144,right_hand,touch,0.0512,0.1009,0.1000,1.63
145,right_hand,touch,0.0559,0.1010,0.1000,1.52
146,right_hand,touch,0.0568,0.1010,0.1000,1.50
147,right_hand,touch,0.0556,0.1009,0.1000,1.48
148,right_hand,touch,0.0534,0.1009,0.1000,1.70
149,right_hand,touch,0.0487,0.1008,0.1000,2.05
150,right_hand,touch,0.0430,0.1008,0.1000,2.64
151,right_hand,penetration,0.0338,0.1004,0.1000,3.41
152,right_hand,penetration,0.0436,0.0986,0.1000,4.14
153,right_hand,penetration,0.0976,0.1287,0.1000,2.70
154,right_hand,penetration,0.0804,0.1052,0.1000,1.94
155,right_hand,penetration,0.0813,0.1009,0.1000,1.65
156,right_hand,penetration,0.0806,0.1009,0.1000,1.93
157,right_hand,penetration,0.0629,0.1001,0.1000,2.62
158,right_hand,touch,0.0571,0.1009,0.1000,2.41
159,right_hand,penetration,0.0595,0.1008,0.1000,2.29
160,right_hand,penetration,0.0597,0.1007,0.1000,2.32
161,right_hand,penetration,0.0685,0.1010,0.1000,2.03
162,right_hand,penetration,0.0668,0.1009,0.1000,2.14
163,right_hand,penetration,0.0688,0.1010,0.1000,2.12
164,right_hand,penetration,0.0665,0.1028,0.1000,2.42
