frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
143,5.916667,-0.291980956,-16.729276,-0.441323,-25.2860,0,0.003578,0.2050,visible,-0.396155,-0.392867,1.9479,-0.291980956,-16.729276,smooth_entry_physical_phase_no_hide
144,5.958333,-0.326440116,-18.703641,-0.439786,-25.1979,0,0.003528,0.2022,visible,-0.395079,-0.391835,1.9270,-0.326440116,-18.703641,smooth_entry_physical_phase_no_hide
145,6.000000,-0.349065850,-20.000000,-0.434888,-24.9173,0,0.002972,0.1703,visible,-0.390974,-0.388237,1.9022,-0.349065850,-20.000000,smooth_entry_physical_phase_no_hide
146,6.041667,-0.363425851,-20.822767,-0.427183,-24.4758,0,0.002015,0.1155,visible,-0.384325,-0.382464,1.8739,-0.363425851,-20.822767,smooth_entry_physical_phase_no_hide
147,6.083333,-0.375264184,-21.501054,-0.417567,-23.9248,0,0.000739,0.0424,visible,-0.375937,-0.375252,1.8426,-0.375264184,-21.501054,smooth_entry_physical_phase_no_hide
148,6.125000,-0.385158505,-22.067957,-0.407025,-23.3208,0,-0.000962,-0.0551,visible,-0.366689,-0.367584,1.8092,-0.385158505,-22.067957,smooth_entry_physical_phase_no_hide
149,6.166667,-0.393686468,-22.556573,-0.397542,-22.7775,0,-0.002270,-0.1300,visible,-0.358369,-0.360487,1.7774,-0.393686468,-22.556573,smooth_entry_physical_phase_no_hide
150,6.208333,-0.401425728,-23.000000,-0.390461,-22.3718,0,-0.002764,-0.1584,visible,-0.352235,-0.354821,1.7477,-0.401425728,-23.000000,smooth_entry_physical_phase_no_hide
151,6.250000,-0.408975465,-23.432568,-0.386226,-22.1291,0,-0.002411,-0.1382,visible,-0.348728,-0.350987,1.7196,-0.408975465,-23.432568,smooth_entry_physical_phase_no_hide
152,6.291667,-0.416537218,-23.865825,-0.384355,-22.0219,0,-0.001496,-0.0857,visible,-0.347366,-0.348768,1.6957,-0.416537218,-23.865825,smooth_entry_physical_phase_no_hide
153,6.333333,-0.424092183,-24.298692,-0.384088,-22.0066,0,-0.000102,-0.0059,visible,-0.347425,-0.347521,1.6767,-0.424092183,-24.298692,smooth_entry_physical_phase_no_hide
154,6.375000,-0.431621556,-24.730094,-0.383717,-21.9854,0,0.000939,0.0538,visible,-0.347341,-0.346460,1.6606,-0.431621556,-24.730094,smooth_entry_physical_phase_no_hide
155,6.416667,-0.439106531,-25.158951,-0.382221,-21.8997,0,0.001311,0.0751,visible,-0.346151,-0.344921,1.6476,-0.439106531,-25.158951,smooth_entry_physical_phase_no_hide
156,6.458333,-0.446528305,-25.584187,-0.379026,-21.7166,0,0.000688,0.0394,visible,-0.343281,-0.342634,1.6397,-0.446528305,-25.584187,smooth_entry_physical_phase_no_hide
157,6.500000,-0.453868071,-26.004725,-0.375260,-21.5008,0,-0.000113,-0.0065,visible,-0.339739,-0.339845,1.6398,-0.453868071,-26.004725,smooth_entry_physical_phase_no_hide
158,6.541667,-0.461107027,-26.419487,-0.371603,-21.2913,0,-0.001431,-0.0820,visible,-0.336192,-0.337540,1.6463,-0.461107027,-26.419487,smooth_entry_physical_phase_no_hide
159,6.583333,-0.468226366,-26.827395,-0.367868,-21.0773,0,-0.005276,-0.3023,visible,-0.332556,-0.337527,1.6533,-0.468226366,-26.827395,smooth_entry_physical_phase_no_hide
160,6.625000,-0.475207285,-27.227372,-0.364212,-20.8678,0,-0.013012,-0.7456,visible,-0.329022,-0.341282,1.6584,-0.475207285,-27.227372,smooth_entry_physical_phase_no_hide
161,6.666667,-0.482030978,-27.618341,-0.392503,-22.4888,0,0.008079,0.4629,visible,-0.315762,-0.308086,4.0819,-0.482030978,-27.618341,smooth_entry_physical_phase_no_hide
162,6.708333,-0.488678642,-27.999224,-0.394617,-22.6099,0,0.002626,0.1505,visible,-0.317821,-0.315330,4.0787,-0.488678642,-27.999224,smooth_entry_physical_phase_no_hide
163,6.750000,-0.495131470,-28.368944,-0.397620,-22.7820,0,-0.000939,-0.0538,visible,-0.320709,-0.321598,4.0762,-0.495131470,-28.368944,smooth_entry_physical_phase_no_hide
164,6.791667,-0.501370660,-28.726423,-0.402540,-23.0639,0,-0.002664,-0.1527,visible,-0.325318,-0.327836,4.0790,-0.501370660,-28.726423,smooth_entry_physical_phase_no_hide
165,6.833333,-0.507377405,-29.070584,-0.410044,-23.4938,0,-0.003634,-0.2082,visible,-0.332237,-0.335662,4.0892,-0.507377405,-29.070584,smooth_entry_physical_phase_no_hide
166,6.875000,-0.513132902,-29.400350,-0.420798,-24.1100,0,-0.004377,-0.2508,visible,-0.342049,-0.346158,4.1082,-0.513132902,-29.400350,smooth_entry_physical_phase_no_hide
167,6.916667,-0.518618345,-29.714642,-0.435614,-24.9588,0,-0.004710,-0.2698,visible,-0.355414,-0.359813,4.1400,-0.518618345,-29.714642,smooth_entry_physical_phase_no_hide
168,6.958333,-0.523814931,-30.012385,-0.454861,-26.0616,0,-0.004369,-0.2503,visible,-0.372583,-0.376633,4.1866,-0.523814931,-30.012385,smooth_entry_physical_phase_no_hide
169,7.000000,-0.528703853,-30.292499,-0.478584,-27.4209,0,-0.002615,-0.1498,visible,-0.393504,-0.395907,4.2482,-0.528703853,-30.292499,smooth_entry_physical_phase_no_hide
170,7.041667,-0.533266309,-30.553909,-0.505557,-28.9663,0,0.001273,0.0729,visible,-0.416964,-0.415807,4.3232,-0.533266309,-30.553909,smooth_entry_physical_phase_no_hide
171,7.083333,-0.537483492,-30.795536,-0.532854,-30.5303,0,0.007641,0.4378,visible,-0.440300,-0.433427,4.4072,-0.537483492,-30.795536,smooth_entry_physical_phase_no_hide
172,7.125000,-0.541336599,-31.016302,-0.554048,-31.7446,0,0.013419,0.7689,visible,-0.457801,-0.445830,4.4993,-0.541336599,-31.016302,smooth_entry_physical_phase_no_hide
173,7.166667,-0.544806824,-31.215132,-0.554048,-31.7446,0,0.004749,0.2721,visible,-0.457801,-0.453574,4.4993,-0.544806824,-31.215132,smooth_entry_physical_phase_no_hide
174,7.208333,-0.547875364,-31.390946,-0.554048,-31.7446,0,0.001218,0.0698,visible,-0.457801,-0.456718,4.4993,-0.547875364,-31.390946,smooth_entry_physical_phase_no_hide
175,7.250000,-0.550523412,-31.542668,-0.554048,-31.7446,0,0.000218,0.0125,visible,-0.457801,-0.457608,4.4993,-0.550523412,-31.542668,smooth_entry_physical_phase_no_hide
176,7.291667,-0.552732166,-31.669220,-0.554048,-31.7446,0,0.000026,0.0015,visible,-0.457801,-0.457778,4.4993,-0.552732166,-31.669220,smooth_entry_physical_phase_no_hide
177,7.333333,-0.554482819,-31.769525,-0.554048,-31.7446,0,0.000002,0.0001,visible,-0.457801,-0.457799,4.4993,-0.554482819,-31.769525,smooth_entry_physical_phase_no_hide
178,7.375000,-0.555756567,-31.842506,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555756567,-31.842506,smooth_entry_physical_phase_no_hide
179,7.416667,-0.556534607,-31.887084,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556534607,-31.887084,smooth_entry_physical_phase_no_hide
180,7.458333,-0.556798132,-31.902183,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556798132,-31.902183,smooth_entry_physical_phase_no_hide
181,7.500000,-0.556798119,-31.902182,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556798119,-31.902182,smooth_entry_physical_phase_no_hide
182,7.541667,-0.556798030,-31.902177,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556798030,-31.902177,smooth_entry_physical_phase_no_hide
183,7.583333,-0.556797788,-31.902163,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556797788,-31.902163,smooth_entry_physical_phase_no_hide
184,7.625000,-0.556797317,-31.902136,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556797317,-31.902136,smooth_entry_physical_phase_no_hide
185,7.666667,-0.556796540,-31.902092,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556796540,-31.902092,smooth_entry_physical_phase_no_hide
186,7.708333,-0.556795381,-31.902025,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556795381,-31.902025,smooth_entry_physical_phase_no_hide
187,7.750000,-0.556793764,-31.901933,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556793764,-31.901933,smooth_entry_physical_phase_no_hide
188,7.791667,-0.556791611,-31.901809,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556791611,-31.901809,smooth_entry_physical_phase_no_hide
189,7.833333,-0.556788848,-31.901651,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556788848,-31.901651,smooth_entry_physical_phase_no_hide
190,7.875000,-0.556785396,-31.901453,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556785396,-31.901453,smooth_entry_physical_phase_no_hide
191,7.916667,-0.556781181,-31.901212,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556781181,-31.901212,smooth_entry_physical_phase_no_hide
192,7.958333,-0.556776125,-31.900922,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556776125,-31.900922,smooth_entry_physical_phase_no_hide
193,8.000000,-0.556770152,-31.900580,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556770152,-31.900580,smooth_entry_physical_phase_no_hide
194,8.041667,-0.556763186,-31.900181,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556763186,-31.900181,smooth_entry_physical_phase_no_hide
195,8.083333,-0.556755149,-31.899720,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556755149,-31.899720,smooth_entry_physical_phase_no_hide
196,8.125000,-0.556745967,-31.899194,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556745967,-31.899194,smooth_entry_physical_phase_no_hide
197,8.166667,-0.556735562,-31.898598,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556735562,-31.898598,smooth_entry_physical_phase_no_hide
198,8.208333,-0.556723858,-31.897927,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556723858,-31.897927,smooth_entry_physical_phase_no_hide
199,8.250000,-0.556710779,-31.897178,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556710779,-31.897178,smooth_entry_physical_phase_no_hide
200,8.291667,-0.556696247,-31.896345,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556696247,-31.896345,smooth_entry_physical_phase_no_hide
201,8.333333,-0.556680188,-31.895425,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556680188,-31.895425,smooth_entry_physical_phase_no_hide
202,8.375000,-0.556662524,-31.894413,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556662524,-31.894413,smooth_entry_physical_phase_no_hide
203,8.416667,-0.556643178,-31.893305,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556643178,-31.893305,smooth_entry_physical_phase_no_hide
204,8.458333,-0.556622075,-31.892096,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556622075,-31.892096,smooth_entry_physical_phase_no_hide
205,8.500000,-0.556599139,-31.890782,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556599139,-31.890782,smooth_entry_physical_phase_no_hide
206,8.541667,-0.556574292,-31.889358,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556574292,-31.889358,smooth_entry_physical_phase_no_hide
207,8.583333,-0.556547458,-31.887820,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556547458,-31.887820,smooth_entry_physical_phase_no_hide
208,8.625000,-0.556518561,-31.886165,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556518561,-31.886165,smooth_entry_physical_phase_no_hide
209,8.666667,-0.556487524,-31.884386,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556487524,-31.884386,smooth_entry_physical_phase_no_hide
210,8.708333,-0.556454272,-31.882481,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556454272,-31.882481,smooth_entry_physical_phase_no_hide
211,8.750000,-0.556418727,-31.880445,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556418727,-31.880445,smooth_entry_physical_phase_no_hide
212,8.791667,-0.556380813,-31.878272,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556380813,-31.878272,smooth_entry_physical_phase_no_hide
213,8.833333,-0.556340454,-31.875960,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556340454,-31.875960,smooth_entry_physical_phase_no_hide
214,8.875000,-0.556297573,-31.873503,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556297573,-31.873503,smooth_entry_physical_phase_no_hide
215,8.916667,-0.556252094,-31.870897,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556252094,-31.870897,smooth_entry_physical_phase_no_hide
216,8.958333,-0.556203941,-31.868138,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556203941,-31.868138,smooth_entry_physical_phase_no_hide
217,9.000000,-0.556153037,-31.865222,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556153037,-31.865222,smooth_entry_physical_phase_no_hide
218,9.041667,-0.556099306,-31.862143,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556099306,-31.862143,smooth_entry_physical_phase_no_hide
219,9.083333,-0.556042671,-31.858898,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.556042671,-31.858898,smooth_entry_physical_phase_no_hide
220,9.125000,-0.555983055,-31.855483,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555983055,-31.855483,smooth_entry_physical_phase_no_hide
221,9.166667,-0.555920384,-31.851892,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555920384,-31.851892,smooth_entry_physical_phase_no_hide
222,9.208333,-0.555854579,-31.848121,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555854579,-31.848121,smooth_entry_physical_phase_no_hide
223,9.250000,-0.555785565,-31.844167,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555785565,-31.844167,smooth_entry_physical_phase_no_hide
224,9.291667,-0.555713265,-31.840025,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555713265,-31.840025,smooth_entry_physical_phase_no_hide
225,9.333333,-0.555637603,-31.835690,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555637603,-31.835690,smooth_entry_physical_phase_no_hide
226,9.375000,-0.555558502,-31.831157,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555558502,-31.831157,smooth_entry_physical_phase_no_hide
227,9.416667,-0.555475887,-31.826424,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555475887,-31.826424,smooth_entry_physical_phase_no_hide
228,9.458333,-0.555389680,-31.821485,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555389680,-31.821485,smooth_entry_physical_phase_no_hide
229,9.500000,-0.555299805,-31.816335,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555299805,-31.816335,smooth_entry_physical_phase_no_hide
230,9.541667,-0.555206186,-31.810971,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555206186,-31.810971,smooth_entry_physical_phase_no_hide
231,9.583333,-0.555108746,-31.805388,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555108746,-31.805388,smooth_entry_physical_phase_no_hide
232,9.625000,-0.555007409,-31.799582,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.555007409,-31.799582,smooth_entry_physical_phase_no_hide
233,9.666667,-0.554902098,-31.793548,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554902098,-31.793548,smooth_entry_physical_phase_no_hide
234,9.708333,-0.554792738,-31.787282,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554792738,-31.787282,smooth_entry_physical_phase_no_hide
235,9.750000,-0.554679251,-31.780780,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554679251,-31.780780,smooth_entry_physical_phase_no_hide
236,9.791667,-0.554561562,-31.774037,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554561562,-31.774037,smooth_entry_physical_phase_no_hide
237,9.833333,-0.554439593,-31.767049,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554439593,-31.767049,smooth_entry_physical_phase_no_hide
238,9.875000,-0.554313269,-31.759811,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554313269,-31.759811,smooth_entry_physical_phase_no_hide
239,9.916667,-0.554182513,-31.752319,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554182513,-31.752319,smooth_entry_physical_phase_no_hide
240,9.958333,-0.554047249,-31.744569,-0.554048,-31.7446,0,-0.000000,-0.0000,visible,-0.457801,-0.457801,4.4993,-0.554047249,-31.744569,smooth_entry_physical_phase_no_hide
