frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema,object_pixel_len,z_from_geometry_len_m,generic_geometry_pose_prior,geometry_pose_prior_source,u_contact_lock,v_contact_lock,contact_lock_pixel_len,contact_lock_angle_rad,blend_visible_weight,visible_len_px,contact_len_px,angle_gap_deg,center_gap_px,mean_palm_to_visible_line_px,left_local_s_source,right_local_s_source,left_local_s_used,right_local_s_used,blend_reason,depth_anchor_source,depth_anchor_z,depth_anchor_sides,depth_anchor_mean_dist_px,line_contact_se3_refined,line_contact_se3_cost,line_contact_se3_overlay_err_px,line_contact_se3_max_gap_m,line_contact_se3_anchor_count,line_contact_se3_local_s_adjustments,z_from_pixel_len_m,line_contact_pose_prior,line_contact_se3_reason
11,0.416667,0.392998,-0.148421,4.115519,0.979299,-0.013006,-0.159134,-0.124423,0.120000,gvhmr_incam,728.214,323.313,757.796,310.419,386.521,386.521,728.214,323.313,386.521,1.084543,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,620.896,4.399460,1,line_correspondence_schema,757.796,310.419,602.896,-0.251223582,1.000000,620.895546,621.373755,2.244186,1.455255,3.456500,stable_pose_anchor,stable_pose_anchor,0.599788,0.315693,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.099570,left+right,3.456500,1,0.775556,0.688212,0.051528,2.000000,left:0.5998->0.5998|right:0.3157->0.3157,4.399460,1,
12,0.458333,0.426053,-0.144558,4.116085,0.975920,-0.007729,-0.204296,-0.076045,0.120000,gvhmr_incam,734.535,319.183,764.081,310.575,355.657,355.657,734.535,319.183,355.657,1.084662,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,596.781,4.577230,1,line_correspondence_schema,764.081,310.575,586.334,-0.150581534,1.000000,596.781171,597.342693,2.480082,0.496783,3.624500,stable_pose_anchor,stable_pose_anchor,0.615700,0.335254,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.108528,left+right,3.624500,1,1.098037,0.656144,0.063286,2.000000,left:0.6157->0.6157|right:0.3353->0.3353,4.577230,1,
13,0.500000,0.435785,-0.140969,4.117285,0.968045,0.015991,-0.249519,-0.019341,0.120000,gvhmr_incam,735.600,313.003,768.593,310.468,319.222,319.222,735.600,313.003,319.222,1.085228,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,554.443,4.926754,1,line_correspondence_schema,768.593,310.468,570.775,-0.028369205,1.000000,554.443096,555.380354,3.330566,0.390648,4.537000,stable_pose_anchor,stable_pose_anchor,0.635243,0.353985,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.110965,left+right,4.537000,1,1.612141,0.658482,0.079804,2.000000,left:0.6352->0.6352|right:0.3540->0.3540,4.926754,1,
14,0.541667,0.437451,-0.138309,4.119321,0.953408,0.049026,-0.293825,0.047719,0.120000,gvhmr_incam,736.061,306.129,771.871,310.367,338.210,338.210,736.061,306.129,338.210,1.085683,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,502.167,5.439635,1,line_correspondence_schema,771.871,310.367,520.167,0.122871765,1.000000,502.166959,502.795612,2.861251,0.570558,3.548000,stable_pose_anchor,stable_pose_anchor,0.655862,0.373118,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.130468,left+right,3.548000,1,1.991641,0.627995,0.089536,2.000000,left:0.6559->0.6559|right:0.3731->0.3731,5.439635,1,
15,0.583333,0.437341,-0.139373,4.123646,0.929223,0.081991,-0.336004,0.130094,0.120000,gvhmr_incam,732.075,302.245,774.335,310.683,369.448,369.448,732.075,302.245,369.448,1.085797,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,452.537,6.036201,1,line_correspondence_schema,774.335,310.683,470.537,0.309407538,1.000000,452.537115,452.814705,1.996166,0.202530,2.234500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.160603,left+right,2.234500,1,2.203023,0.617620,0.094214,2.000000,left:0.6745->0.6745|right:0.3912->0.3912,6.036201,1,
16,0.625000,0.436113,-0.166460,4.141466,0.894144,0.113402,-0.361076,0.239314,0.120000,gvhmr_incam,728.155,299.933,776.060,311.719,396.853,396.853,728.155,299.933,396.853,1.085853,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,776.060,311.719,540.205,0.530376910,1.000000,405.042116,400.111760,1.360664,6.717671,1.346500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.177377,left+right,1.346500,1,1.584554,0.577034,0.073847,2.000000,left:0.6745->0.6745|right:0.3912->0.3912,6.744002,1,
17,0.666667,0.433544,-0.194795,4.287881,0.896897,0.119638,-0.240931,0.351018,0.120000,gvhmr_incam,721.679,296.319,776.686,313.368,420.293,420.293,721.679,296.319,420.293,1.085791,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,776.686,313.368,536.649,0.788646442,1.000000,370.503281,359.480552,0.352900,7.948287,1.533500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.197693,left+right,1.533500,1,1.401119,0.637713,0.066409,2.000000,left:0.6745->0.6745|right:0.3912->0.3912,7.372687,1,
18,0.708333,0.429319,-0.223153,4.435985,0.833139,-0.150594,0.280696,0.452117,0.120000,gvhmr_incam,720.370,295.194,775.871,315.519,435.670,435.670,720.370,295.194,435.670,1.085883,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,775.871,315.519,535.148,1.052597435,1.000000,320.685996,321.190815,0.003744,5.249565,4.104000,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.199949,left+right,4.104000,1,8.151560,8.650708,0.341420,2.000000,left:0.6745->0.6444|right:0.3912->0.7412,8.518005,1,
19,0.750000,0.423451,-0.250774,4.582130,0.709234,-0.247367,0.386489,0.535185,0.120000,gvhmr_incam,720.890,295.897,773.271,318.005,447.745,447.745,720.890,295.897,447.745,1.085441,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,773.271,318.005,535.211,1.257400217,1.000000,341.764650,304.504990,2.399315,15.431626,5.905000,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.173651,left+right,5.905000,1,7.868277,8.052073,0.302688,2.000000,left:0.6745->0.6197|right:0.3912->0.7412,7.992649,1,
20,0.791667,0.415959,-0.272371,4.590352,0.649601,-0.271311,0.390250,0.593392,0.120000,gvhmr_incam,721.693,307.147,768.517,320.602,454.477,454.477,721.693,307.147,454.477,1.084894,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,768.517,320.602,536.481,1.397277496,1.000000,336.259494,289.292119,2.841678,19.074197,8.234500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.166980,left+right,8.234500,1,8.023141,10.248228,0.354431,2.000000,left:0.6745->0.6487|right:0.3912->0.7412,8.123502,1,
