frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
79,2.283463,4.594279,2.310816,0,0,1,0.508211,0.653414,1.000000,audio_floor_soft
80,2.272975,4.548738,2.275763,0,0,1,0.527724,0.594627,0.000000,
81,2.272975,4.456444,2.183469,0,0,1,0.484204,0.554786,0.000000,
82,2.272975,4.347174,2.074199,0,0,1,0.383171,0.514845,0.000000,
83,2.272975,4.239374,1.966399,0,0,1,0.315938,0.515794,0.000000,
84,2.277452,4.144408,1.866956,0,0,1,0.180132,0.552402,0.000000,
85,2.384151,4.068391,1.684240,0,0,1,0.161473,0.586362,0.000000,
86,2.410897,4.013603,1.602706,0,0,1,0.116235,0.622563,0.000000,
87,2.588177,3.980286,1.392109,0,0,1,0.760601,0.376291,0.000000,
88,2.588177,3.967494,1.379317,0,0,1,1.370102,0.328707,0.000000,
89,2.588177,3.974089,1.385912,0,0,1,0.016456,0.625141,0.000000,
90,2.588177,3.998597,1.410420,0,0,1,0.054043,0.605112,0.000000,
91,2.575924,4.039924,1.464000,0,0,1,0.093607,0.578900,0.000000,
92,2.350049,4.096573,1.746524,0,0,1,0.116095,0.564600,0.000000,
93,2.324316,4.166342,1.842026,0,0,1,0.140540,0.565212,0.000000,
94,2.291739,4.244988,1.953249,0,0,1,0.355678,0.581218,0.000000,
95,2.291739,4.324954,2.033215,0,0,1,0.342834,0.640987,0.000000,
96,2.291739,4.393496,2.101757,0,1,0,1.005927,0.695612,0.000000,
97,2.291739,4.431516,2.139777,0,0,1,0.640260,0.653327,0.919473,audio_floor_soft
98,2.281159,4.411111,2.129952,0,0,1,0.637032,0.600184,0.000000,
99,2.291739,4.360850,2.069111,0,0,1,0.605848,0.515023,0.000000,
100,2.321978,4.297329,1.975351,0,0,1,0.621700,0.449882,0.000000,
101,2.326330,4.230885,1.904555,0,0,1,0.549258,0.397866,0.000000,
102,2.382698,4.167155,1.784457,0,0,1,0.516178,0.339573,0.000000,
103,2.548195,4.108554,1.560359,0,0,1,0.461738,0.280266,0.000000,
104,2.597169,4.055256,1.458087,0,0,1,0.361932,0.201961,0.000000,
105,2.597169,4.006595,1.409426,0,0,1,0.265325,0.115430,0.000000,
106,2.597169,3.962058,1.364889,0,0,1,0.157074,0.050205,0.000000,
107,2.597169,3.922280,1.325111,0,0,1,0.220176,-0.007745,0.000000,
108,2.487346,3.890121,1.402775,0,0,1,-0.055535,-0.023911,0.000000,
109,2.487346,3.871312,1.383966,0,0,1,-0.080660,-0.005654,0.000000,visual_sustained_left_hand
110,2.487346,3.875273,1.387927,0,0,1,-0.088055,-0.004111,0.000000,visual_sustained_left_hand
111,2.487346,3.897449,1.410103,0,0,1,-0.130841,-0.000064,0.000000,visual_sustained_left_hand
112,2.386757,3.926591,1.539834,0,0,1,-0.205039,-0.002541,0.000000,visual_sustained_left_hand
113,2.367266,3.955264,1.587998,0,0,1,-0.123055,-0.004749,0.000000,visual_sustained_left_hand
114,2.356547,3.972139,1.615592,0,0,1,-0.097506,0.008370,0.000000,visual_sustained_left_hand
115,2.332227,3.950119,1.617892,0,0,1,-0.104927,0.002066,0.188349,visual_sustained_left_hand
116,2.293464,3.909048,1.615584,0,0,1,-0.016433,-0.018630,0.000000,visual_sustained_left_hand
117,2.291475,3.879838,1.588363,0,0,1,-0.025423,0.002740,0.000000,visual_sustained_left_hand
118,2.291475,3.850726,1.559251,0,0,1,0.029720,-0.000134,0.000000,visual_sustained_left_hand
119,2.293464,3.822453,1.528989,0,0,1,0.049963,-0.005836,0.000000,visual_sustained_left_hand
120,2.332227,3.801095,1.468868,0,0,1,0.034318,-0.000685,0.000000,visual_sustained_left_hand
121,2.411865,3.782499,1.370634,0,0,1,0.004436,-0.002196,0.000000,visual_sustained_left_hand
122,2.445345,3.766957,1.321612,0,0,1,0.036465,-0.003318,0.000000,visual_sustained_left_hand
123,2.445345,3.755388,1.310043,0,0,1,-0.021688,-0.005946,0.000000,visual_sustained_left_hand
124,2.445345,3.746097,1.300752,0,0,1,-0.000614,-0.008239,0.000000,visual_sustained_left_hand
125,2.445345,3.727200,1.281855,0,0,1,0.046264,0.002238,0.000000,visual_sustained_left_hand
126,2.426139,3.669604,1.243465,0,0,1,-0.005720,0.048666,0.000000,visual_sustained_left_hand
127,2.353956,3.558197,1.204241,0,0,1,-0.173805,0.158965,0.000000,visual_sustained_right_hand
128,2.353956,3.511323,1.157367,0,0,1,-0.246932,0.218179,0.000000,visual_sustained_right_hand
129,2.353956,3.515900,1.161944,0,0,1,-0.360245,0.244490,0.000000,visual_sustained_right_hand
130,2.353956,3.541803,1.187847,0,0,1,-0.081895,-0.000568,0.000000,visual_sustained_right_hand
131,2.364161,3.574441,1.210280,0,0,1,-0.079676,-0.003968,0.000000,visual_sustained_right_hand
132,2.364161,3.609211,1.245050,0,0,1,-0.068620,-0.002496,0.000000,visual_sustained_right_hand
133,2.364161,3.642072,1.277911,0,0,1,-0.138570,-0.004667,0.000000,visual_sustained_right_hand
134,2.364161,3.673039,1.308878,0,0,1,-0.120617,-0.001956,0.000000,visual_sustained_right_hand
135,2.321540,3.700230,1.378690,0,0,1,-0.157450,-0.002546,0.000000,visual_sustained_right_hand
136,2.321540,3.726560,1.405020,0,0,1,-0.106243,-0.005713,0.000000,visual_sustained_right_hand
137,2.321540,3.757920,1.436380,0,0,1,-0.105181,-0.007729,0.000000,visual_sustained_right_hand
138,2.313171,3.795001,1.481830,0,0,1,-0.113517,-0.001142,0.000000,visual_sustained_right_hand
139,2.321540,3.828086,1.506546,0,0,1,-0.115456,-0.000565,0.000000,visual_sustained_right_hand
140,2.324394,3.852936,1.528542,0,0,1,-0.113379,-0.003762,0.000000,visual_sustained_right_hand
141,2.341211,3.871819,1.530608,0,0,1,-0.031912,-0.001404,0.000000,visual_sustained_right_hand
142,2.402569,3.885408,1.482839,0,0,1,-0.105157,-0.000159,0.000000,visual_sustained_right_hand
143,2.409999,3.898387,1.488388,0,0,1,-0.068423,0.000387,0.000000,visual_sustained_right_hand
