frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
1,0.000000,0.876038932,0.000000000,0.000000000,0.000000000,0.000000000,0.000448423,,0.000000000,,,,,0.875590509,0.875590509,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
2,0.041667,0.858565935,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.001673466,0.001673466,,,0.856892469,0.856892469,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
3,0.083333,0.905927477,0.000000000,0.000000000,0.000000000,0.000000000,0.000623701,,0.000000000,0.001672375,0.001672375,,,0.903631401,0.903631401,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
4,0.125000,0.923725372,0.000000000,0.000000000,0.000000000,0.000000000,0.001246019,,0.000000000,0.001663847,0.001663847,,,0.920815506,0.920815506,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
5,0.166667,0.880594921,0.000000000,0.000000000,0.000000000,0.000000000,0.002691742,,0.000000000,0.001653220,0.001653220,,,0.876249959,0.876249959,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
6,0.208333,0.970757047,0.000000000,0.000000000,0.000000000,0.000000000,0.020362719,,0.000000000,0.001624136,0.001624136,,,0.948770192,0.948770192,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
7,0.250000,1.045316711,0.000000000,0.000000000,0.000000000,0.000000000,0.030087678,,0.000000000,0.001438836,0.001438836,,,1.013790197,1.013790197,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
8,0.291667,1.094542520,0.000000000,0.000000000,0.000000000,0.000000000,0.027735905,,0.000000000,0.001105564,0.001105564,,,1.065701051,1.065701051,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
9,0.333333,1.199766169,0.000000000,0.000000000,0.000000000,0.000000000,0.091560708,,0.000000000,0.000893418,0.000893418,,,1.107312043,1.107312043,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
10,0.375000,1.101778141,0.000000000,0.000000000,0.000000000,0.000000000,0.044044577,,0.000000000,0.000561161,0.000561161,,,1.057172403,1.057172403,,,1,,,1,,non_invasive_loss_audit_from_generic_outputs
11,0.416667,1.062275485,0.000000000,0.000000000,0.000000000,0.000000000,0.023621846,,0.000000000,0.000084076,0.000084076,,,1.038569563,1.038569563,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
12,0.458333,1.154307736,0.000000000,0.000000000,0.000000000,0.000000000,0.049313308,,0.000000000,0.000094340,0.000094340,,,1.104900088,1.104900088,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
13,0.500000,1.079383992,0.000000000,0.000000000,0.000000000,0.000000000,0.034648472,,0.000000000,0.000092223,0.000092223,,,1.044643297,1.044643297,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
14,0.541667,1.035000433,0.000000000,0.000000000,0.000000000,0.000000000,0.024711526,,0.000000000,0.000078124,0.000078124,,,1.010210783,1.010210783,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
15,0.583333,1.017884419,0.000000000,0.000000000,0.000000000,0.000000000,0.015660020,,0.000000000,0.000026872,0.000026872,,,1.002197527,1.002197527,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
