frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,depth_conf,source
37,1.200000,-0.935117,0.913761,6.721732,1.000000,0.000000,0.000000,0.000000,0.111678,shared_fullimg_cam,653.535,839.466,36.600,0.562033,L0_backproject
38,1.233333,-0.933771,0.912356,6.709584,1.000000,0.000000,0.000000,0.000000,0.111558,shared_fullimg_cam,653.422,839.547,36.627,0.563178,L0_backproject
39,1.266667,-0.930774,0.909506,6.690906,1.000000,0.000000,0.000000,0.000000,0.111730,shared_fullimg_cam,653.553,839.445,36.786,0.550917,L0_backproject
40,1.300000,-0.928445,0.907370,6.675211,1.000000,0.000000,0.000000,0.000000,0.111923,shared_fullimg_cam,653.601,839.444,36.936,0.548608,L0_backproject
41,1.333333,-0.926711,0.905552,6.662701,1.000000,0.000000,0.000000,0.000000,0.110358,shared_fullimg_cam,653.599,839.405,36.488,0.558553,L0_backproject
42,1.366667,-0.925432,0.904366,6.655137,1.000000,0.000000,0.000000,0.000000,0.110897,shared_fullimg_cam,653.674,839.353,36.708,0.553911,L0_backproject
43,1.400000,-0.924405,0.903497,6.651052,1.000000,0.000000,0.000000,0.000000,0.110896,shared_fullimg_cam,653.826,839.249,36.730,0.557670,L0_backproject
44,1.433333,-0.924604,0.903240,6.652072,1.000000,0.000000,0.000000,0.000000,0.110913,shared_fullimg_cam,653.807,839.118,36.730,0.557253,L0_backproject
45,1.466667,-0.925725,0.904435,6.659111,1.000000,0.000000,0.000000,0.000000,0.111030,shared_fullimg_cam,653.760,839.197,36.730,0.556812,L0_backproject
46,1.500000,-0.925927,0.904737,6.661066,1.000000,0.000000,0.000000,0.000000,0.111063,shared_fullimg_cam,653.783,839.209,36.730,0.551220,L0_backproject
47,1.533333,-0.926879,0.905991,6.668696,1.000000,0.000000,0.000000,0.000000,0.111190,shared_fullimg_cam,653.819,839.281,36.730,0.556397,L0_backproject
48,1.566667,-0.927197,0.906461,6.673162,1.000000,0.000000,0.000000,0.000000,0.111192,shared_fullimg_cam,653.919,839.236,36.706,0.560525,L0_backproject
49,1.600000,-0.928797,0.907880,6.681911,1.000000,0.000000,0.000000,0.000000,0.111052,shared_fullimg_cam,653.792,839.312,36.612,0.564709,L0_backproject
50,1.633333,-0.934089,0.911771,6.715481,1.000000,0.000000,0.000000,0.000000,0.111988,shared_fullimg_cam,653.587,839.092,36.736,0.544986,L0_backproject
51,1.666667,-0.933869,0.909797,6.711579,1.000000,0.000000,0.000000,0.000000,0.111558,shared_fullimg_cam,653.481,838.618,36.616,0.527712,L0_backproject
52,1.700000,-0.877608,0.783972,6.971933,1.000000,0.000000,0.000000,0.000000,0.125133,shared_fullimg_cam,682.704,787.710,39.538,0.272599,L0_backproject
53,1.733333,-0.876486,0.782580,6.952962,1.000000,0.000000,0.000000,0.000000,0.124313,shared_fullimg_cam,682.303,787.945,39.386,0.277815,L0_backproject
54,1.766667,-0.824410,0.543977,7.006797,1.000000,0.000000,0.000000,0.000000,0.126913,shared_fullimg_cam,700.809,711.024,39.901,0.143949,L0_backproject
55,1.800000,-0.772098,0.283125,6.840960,1.000000,0.000000,0.000000,0.000000,0.125779,shared_fullimg_cam,711.371,631.171,40.503,0.073865,L0_backproject
56,1.833333,-0.754898,0.114230,6.835733,1.000000,0.000000,0.000000,0.000000,0.125608,shared_fullimg_cam,716.724,576.812,40.479,0.106364,L0_backproject
57,1.866667,-0.721928,-0.049636,6.764616,1.000000,0.000000,0.000000,0.000000,0.126728,shared_fullimg_cam,724.903,523.836,41.269,0.085311,L0_backproject
58,1.900000,-0.703812,-0.206812,6.813736,1.000000,0.000000,0.000000,0.000000,0.124734,shared_fullimg_cam,732.455,473.137,40.327,0.086181,L0_backproject
59,1.933333,-0.698491,-0.210650,6.804933,1.000000,0.000000,0.000000,0.000000,0.123921,shared_fullimg_cam,733.883,471.808,40.116,0.082531,L0_backproject
60,1.966667,-0.689795,-0.345587,6.807306,1.000000,0.000000,0.000000,0.000000,0.124972,shared_fullimg_cam,736.776,428.165,40.442,0.079647,L0_backproject
61,2.000000,-0.682013,-0.460852,6.824552,1.000000,0.000000,0.000000,0.000000,0.128383,shared_fullimg_cam,739.852,391.241,41.441,0.079183,L0_backproject
62,2.033333,-0.689949,-0.570253,6.882201,1.000000,0.000000,0.000000,0.000000,0.125953,shared_fullimg_cam,739.156,357.469,40.316,0.074613,L0_backproject
63,2.066667,-0.688040,-0.653904,6.913438,1.000000,0.000000,0.000000,0.000000,0.125706,shared_fullimg_cam,740.762,331.639,40.055,0.074707,L0_backproject
64,2.100000,-0.688154,-0.655239,6.910862,1.000000,0.000000,0.000000,0.000000,0.125659,shared_fullimg_cam,740.644,331.136,40.055,0.074687,L0_backproject
65,2.133333,-0.691932,-0.680082,6.889823,1.000000,0.000000,0.000000,0.000000,0.126796,shared_fullimg_cam,738.766,322.555,40.541,0.083269,L0_backproject
66,2.166667,-0.677558,-0.741504,6.828295,1.000000,0.000000,0.000000,0.000000,0.125379,shared_fullimg_cam,741.410,300.780,40.449,0.084340,L0_backproject
67,2.200000,-0.673548,-0.776253,6.833714,1.000000,0.000000,0.000000,0.000000,0.126310,shared_fullimg_cam,742.876,289.768,40.717,0.082537,L0_backproject
68,2.233333,-0.673701,-0.776229,6.847157,1.000000,0.000000,0.000000,0.000000,0.128103,shared_fullimg_cam,743.253,290.267,41.214,0.082971,L0_backproject
69,2.266667,-0.679037,-0.793504,6.919108,1.000000,0.000000,0.000000,0.000000,0.128161,shared_fullimg_cam,743.808,287.364,40.804,0.089020,L0_backproject
70,2.300000,-0.681562,-0.792935,6.976555,1.000000,0.000000,0.000000,0.000000,0.129384,shared_fullimg_cam,744.791,289.624,40.854,0.094496,L0_backproject
71,2.333333,-0.693338,-0.793597,7.082947,1.000000,0.000000,0.000000,0.000000,0.130746,shared_fullimg_cam,744.361,293.179,40.664,0.093921,L0_backproject
72,2.366667,-0.689904,-0.765909,7.118411,1.000000,0.000000,0.000000,0.000000,0.130470,shared_fullimg_cam,746.498,302.977,40.376,0.099879,L0_backproject
73,2.400000,-0.686897,-0.714904,7.142648,1.000000,0.000000,0.000000,0.000000,0.136556,shared_fullimg_cam,748.150,319.512,42.116,0.110645,L0_backproject
74,2.433333,-0.683328,-0.709117,7.120896,1.000000,0.000000,0.000000,0.000000,0.132280,shared_fullimg_cam,748.607,320.629,40.922,0.108728,L0_backproject
75,2.466667,-0.675841,-0.650524,7.083023,1.000000,0.000000,0.000000,0.000000,0.131924,shared_fullimg_cam,749.805,337.679,41.030,0.114693,L0_backproject
76,2.500000,-0.668954,-0.572640,7.034362,1.000000,0.000000,0.000000,0.000000,0.131040,shared_fullimg_cam,750.508,360.670,41.037,0.109787,L0_backproject
77,2.533333,-0.659322,-0.470055,6.931160,1.000000,0.000000,0.000000,0.000000,0.129690,shared_fullimg_cam,750.450,390.604,41.219,0.110875,L0_backproject
78,2.566667,-0.645085,-0.370556,6.860301,1.000000,0.000000,0.000000,0.000000,0.126331,shared_fullimg_cam,752.857,421.011,40.566,0.123864,L0_backproject
79,2.600000,-0.632948,-0.359193,6.736554,1.000000,0.000000,0.000000,0.000000,0.123945,shared_fullimg_cam,753.021,422.541,40.531,0.123554,L0_backproject
80,2.633333,-0.624785,-0.245434,6.623654,1.000000,0.000000,0.000000,0.000000,0.121735,shared_fullimg_cam,752.208,458.373,40.487,0.116852,L0_backproject
81,2.666667,-0.626017,-0.131071,6.564280,1.000000,0.000000,0.000000,0.000000,0.124271,shared_fullimg_cam,749.915,496.014,41.704,0.127163,L0_backproject
82,2.700000,-0.622338,0.003515,6.522939,1.000000,0.000000,0.000000,0.000000,0.121821,shared_fullimg_cam,749.826,541.187,41.141,0.136660,L0_backproject
83,2.733333,-0.619444,0.009821,6.496785,1.000000,0.000000,0.000000,0.000000,0.122527,shared_fullimg_cam,749.961,543.330,41.546,0.157590,L0_backproject
84,2.766667,-0.614679,0.153753,6.454800,1.000000,0.000000,0.000000,0.000000,0.118714,shared_fullimg_cam,750.221,592.473,40.515,0.188392,L0_backproject
85,2.800000,-0.602240,0.307093,6.330028,1.000000,0.000000,0.000000,0.000000,0.120281,shared_fullimg_cam,750.415,646.871,41.859,0.236379,L0_backproject
86,2.833333,-0.606906,0.476233,6.357079,1.000000,0.000000,0.000000,0.000000,0.117436,shared_fullimg_cam,749.690,705.028,40.695,0.300190,L0_backproject
87,2.866667,-0.617655,0.564072,6.452608,1.000000,0.000000,0.000000,0.000000,0.120417,shared_fullimg_cam,749.134,732.573,41.110,0.591243,L0_backproject
88,2.900000,-0.568387,0.433069,5.946174,1.000000,0.000000,0.000000,0.000000,0.113044,shared_fullimg_cam,749.427,700.441,41.880,0.317056,L0_backproject
89,2.933333,-0.577245,0.435079,6.045786,1.000000,0.000000,0.000000,0.000000,0.115890,shared_fullimg_cam,749.669,698.530,42.227,0.317983,L0_backproject
90,2.966667,-0.594185,0.382070,6.149651,1.000000,0.000000,0.000000,0.000000,0.126851,shared_fullimg_cam,747.153,676.864,45.440,0.239823,L0_backproject
91,3.000000,-0.637569,0.330729,6.498905,1.000000,0.000000,0.000000,0.000000,0.117510,shared_fullimg_cam,743.886,652.106,39.832,0.122487,L0_backproject
92,3.033333,-0.653361,0.283152,6.656614,1.000000,0.000000,0.000000,0.000000,0.128784,shared_fullimg_cam,743.780,633.705,42.619,0.136221,L0_backproject
93,3.066667,-0.668729,0.254434,6.761001,1.000000,0.000000,0.000000,0.000000,0.131718,shared_fullimg_cam,742.111,622.901,42.917,0.122902,L0_backproject
94,3.100000,-0.679349,0.255663,6.858864,1.000000,0.000000,0.000000,0.000000,0.132805,shared_fullimg_cam,741.809,622.113,42.654,0.119287,L0_backproject
