frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
39,1.583333,0.027914,-0.042776,4.083202,0.332811,0.038515,4.017664,-0.272870,0.162748,3.694357,-0.318713,0.438713,3.961844,0.766654,0.387050
40,1.625000,0.028923,-0.042264,4.088390,0.341054,0.043623,4.023431,-0.285030,0.111700,3.684635,-0.329892,0.512732,3.963280,0.820884,0.490390
41,1.666667,0.027087,-0.041884,4.098138,0.345565,0.048644,4.033031,-0.294653,0.062749,3.684366,-0.344918,0.568652,3.964716,0.867089,0.580569
42,1.708333,0.019810,-0.041244,4.097573,0.344200,0.052992,4.032641,-0.302668,0.030750,3.677247,-0.349856,0.604641,3.966153,0.889073,0.644239
43,1.750000,0.011833,-0.040178,4.104304,0.338934,0.056358,4.039794,-0.310837,0.011382,3.681239,-0.356080,0.624519,3.967589,0.900591,0.678218
44,1.791667,0.003287,-0.039339,4.110114,0.331252,0.057818,4.047460,-0.315938,0.012338,3.684337,-0.351648,0.632107,3.969026,0.895719,0.682962
45,1.833333,-0.004869,-0.037766,4.105069,0.320881,0.059578,4.044690,-0.315097,0.035370,3.676475,-0.336526,0.614833,3.970462,0.863713,0.650126
46,1.875000,-0.013751,-0.036905,4.104602,0.306750,0.059507,4.045107,-0.310716,0.076665,3.674495,-0.321601,0.562957,3.971898,0.808484,0.570129
47,1.916667,-0.021223,-0.034431,4.097803,0.289687,0.060410,4.037686,-0.301621,0.136077,3.676134,-0.303378,0.468408,3.973335,0.722724,0.445843
48,1.958333,-0.025862,-0.031855,4.094297,0.274172,0.060574,4.033202,-0.288098,0.192365,3.689447,-0.279155,0.335180,3.974771,0.620479,0.319195
49,2.000000,-0.027646,-0.030227,4.096466,0.262620,0.060053,4.035419,-0.271391,0.226439,3.709694,-0.246598,0.178425,3.976208,0.526138,0.271937
50,2.041667,-0.025844,-0.030321,4.095007,0.258092,0.058582,4.035119,-0.251933,0.241287,3.717322,-0.228886,0.120000,3.977644,0.494190,0.288113
51,2.083333,-0.024105,-0.029928,4.099888,0.256945,0.058733,4.043247,-0.236451,0.240373,3.720419,-0.212451,0.207432,3.982621,0.496104,0.265350
52,2.125000,-0.020904,-0.030789,4.102548,0.259410,0.060104,4.050221,-0.224265,0.219159,3.709282,-0.205443,0.321724,3.990587,0.536740,0.300011
53,2.166667,-0.015319,-0.031185,4.106077,0.267380,0.062763,4.059785,-0.210611,0.177886,3.690975,-0.186017,0.416226,3.998552,0.578148,0.389890
54,2.208333,-0.013369,-0.032557,4.101137,0.275432,0.064745,4.061624,-0.199374,0.129935,3.665828,-0.166029,0.489899,4.006518,0.615371,0.496745
