frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
36,1.166667,-0.894022,0.873888,6.426173,1.000000,0.000000,0.000000,0.000000,0.107975,shared_fullimg_cam,653.527,839.571,37.014,6.729783,0.553794,L1_L2ground
37,1.200000,-0.894601,0.874171,6.430502,1.000000,0.000000,0.000000,0.000000,0.106839,shared_fullimg_cam,653.535,839.466,36.600,6.721732,0.562033,L1_L2ground
38,1.233333,-0.895249,0.874717,6.432783,1.000000,0.000000,0.000000,0.000000,0.106956,shared_fullimg_cam,653.422,839.547,36.627,6.709584,0.563178,L1_L2ground
39,1.266667,-0.895112,0.874660,6.434552,1.000000,0.000000,0.000000,0.000000,0.107450,shared_fullimg_cam,653.553,839.445,36.786,6.690906,0.550917,L1_L2ground
40,1.300000,-0.895411,0.875086,6.437707,1.000000,0.000000,0.000000,0.000000,0.107941,shared_fullimg_cam,653.601,839.444,36.936,6.675211,0.548608,L1_L2ground
41,1.333333,-0.896256,0.875792,6.443740,1.000000,0.000000,0.000000,0.000000,0.106731,shared_fullimg_cam,653.599,839.405,36.488,6.662701,0.558553,L1_L2ground
42,1.366667,-0.896393,0.875988,6.446301,1.000000,0.000000,0.000000,0.000000,0.107418,shared_fullimg_cam,653.674,839.353,36.708,6.655137,0.553911,L1_L2ground
43,1.400000,-0.896058,0.875792,6.447098,1.000000,0.000000,0.000000,0.000000,0.107495,shared_fullimg_cam,653.826,839.249,36.730,6.651052,0.557670,L1_L2ground
44,1.433333,-0.895900,0.875199,6.445558,1.000000,0.000000,0.000000,0.000000,0.107470,shared_fullimg_cam,653.807,839.118,36.730,6.652072,0.557253,L1_L2ground
45,1.466667,-0.895318,0.874727,6.440383,1.000000,0.000000,0.000000,0.000000,0.107383,shared_fullimg_cam,653.760,839.197,36.730,6.659111,0.556812,L1_L2ground
46,1.500000,-0.894260,0.873794,6.433253,1.000000,0.000000,0.000000,0.000000,0.107264,shared_fullimg_cam,653.783,839.209,36.730,6.661066,0.551220,L1_L2ground
47,1.533333,-0.893073,0.872947,6.425474,1.000000,0.000000,0.000000,0.000000,0.107135,shared_fullimg_cam,653.819,839.281,36.730,6.668696,0.556397,L1_L2ground
48,1.566667,-0.891849,0.871904,6.418761,1.000000,0.000000,0.000000,0.000000,0.106953,shared_fullimg_cam,653.919,839.236,36.706,6.673162,0.560525,L1_L2ground
49,1.600000,-0.891480,0.871403,6.413443,1.000000,0.000000,0.000000,0.000000,0.106590,shared_fullimg_cam,653.792,839.312,36.612,6.681911,0.564709,L1_L2ground
50,1.633333,-0.891888,0.870579,6.412089,1.000000,0.000000,0.000000,0.000000,0.106929,shared_fullimg_cam,653.587,839.092,36.736,6.715481,0.544986,L1_L2ground
51,1.666667,-0.893213,0.870189,6.419392,1.000000,0.000000,0.000000,0.000000,0.106701,shared_fullimg_cam,653.481,838.618,36.616,6.711579,0.527712,L1_L2ground
52,1.700000,-0.810293,0.723839,6.437166,1.000000,0.000000,0.000000,0.000000,0.115535,shared_fullimg_cam,682.704,787.710,39.538,6.971933,0.272599,L1_L2ground
53,1.733333,-0.814486,0.727224,6.461136,1.000000,0.000000,0.000000,0.000000,0.115519,shared_fullimg_cam,682.303,787.945,39.386,6.952962,0.277815,L1_L2ground
54,1.766667,-0.763438,0.503745,6.488589,1.000000,0.000000,0.000000,0.000000,0.117527,shared_fullimg_cam,700.809,711.024,39.901,7.006797,0.143949,L1_L2ground
55,1.800000,-0.735680,0.269770,6.518284,1.000000,0.000000,0.000000,0.000000,0.119846,shared_fullimg_cam,711.371,631.171,40.503,6.840960,0.073865,L1_L2ground
56,1.833333,-0.723278,0.109445,6.549406,1.000000,0.000000,0.000000,0.000000,0.120347,shared_fullimg_cam,716.724,576.812,40.479,6.835733,0.106364,L1_L2ground
57,1.866667,-0.702355,-0.048290,6.581211,1.000000,0.000000,0.000000,0.000000,0.123292,shared_fullimg_cam,724.903,523.836,41.269,6.764616,0.085311,L1_L2ground
58,1.900000,-0.683086,-0.200721,6.613084,1.000000,0.000000,0.000000,0.000000,0.121061,shared_fullimg_cam,732.455,473.137,40.327,6.813736,0.086181,L1_L2ground
59,1.933333,-0.682020,-0.205682,6.644464,1.000000,0.000000,0.000000,0.000000,0.120999,shared_fullimg_cam,733.883,471.808,40.116,6.804933,0.082531,L1_L2ground
60,1.966667,-0.676373,-0.338862,6.674849,1.000000,0.000000,0.000000,0.000000,0.122540,shared_fullimg_cam,736.776,428.165,40.442,6.807306,0.079647,L1_L2ground
61,2.000000,-0.669944,-0.452696,6.703781,1.000000,0.000000,0.000000,0.000000,0.126111,shared_fullimg_cam,739.852,391.241,41.441,6.824552,0.079183,L1_L2ground
62,2.033333,-0.674774,-0.557711,6.730835,1.000000,0.000000,0.000000,0.000000,0.123183,shared_fullimg_cam,739.156,357.469,40.316,6.882201,0.074613,L1_L2ground
63,2.066667,-0.672333,-0.638977,6.755616,1.000000,0.000000,0.000000,0.000000,0.122836,shared_fullimg_cam,740.762,331.639,40.055,6.913438,0.074707,L1_L2ground
64,2.100000,-0.674901,-0.642619,6.777765,1.000000,0.000000,0.000000,0.000000,0.123239,shared_fullimg_cam,740.644,331.136,40.055,6.910862,0.074687,L1_L2ground
65,2.133333,-0.682606,-0.670915,6.796954,1.000000,0.000000,0.000000,0.000000,0.125087,shared_fullimg_cam,738.766,322.555,40.541,6.889823,0.083269,L1_L2ground
66,2.166667,-0.676029,-0.739831,6.812889,1.000000,0.000000,0.000000,0.000000,0.125096,shared_fullimg_cam,741.410,300.780,40.449,6.828295,0.084340,L1_L2ground
67,2.200000,-0.672718,-0.775297,6.825299,1.000000,0.000000,0.000000,0.000000,0.126154,shared_fullimg_cam,742.876,289.768,40.717,6.833714,0.082537,L1_L2ground
68,2.233333,-0.672398,-0.774728,6.833918,1.000000,0.000000,0.000000,0.000000,0.127855,shared_fullimg_cam,743.253,290.267,41.214,6.847157,0.082971,L1_L2ground
69,2.266667,-0.671125,-0.784258,6.838483,1.000000,0.000000,0.000000,0.000000,0.126668,shared_fullimg_cam,743.808,287.364,40.804,6.919108,0.089020,L1_L2ground
70,2.300000,-0.668097,-0.777270,6.838732,1.000000,0.000000,0.000000,0.000000,0.126828,shared_fullimg_cam,744.791,289.624,40.854,6.976555,0.094496,L1_L2ground
71,2.333333,-0.669011,-0.765752,6.834432,1.000000,0.000000,0.000000,0.000000,0.126158,shared_fullimg_cam,744.361,293.179,40.664,7.082947,0.093921,L1_L2ground
72,2.366667,-0.661506,-0.734382,6.825396,1.000000,0.000000,0.000000,0.000000,0.125099,shared_fullimg_cam,746.498,302.977,40.376,7.118411,0.099879,L1_L2ground
73,2.400000,-0.655054,-0.681763,6.811529,1.000000,0.000000,0.000000,0.000000,0.130225,shared_fullimg_cam,748.150,319.512,42.116,7.142648,0.110645,L1_L2ground
74,2.433333,-0.651848,-0.676449,6.792849,1.000000,0.000000,0.000000,0.000000,0.126186,shared_fullimg_cam,748.607,320.629,40.922,7.120896,0.108728,L1_L2ground
75,2.466667,-0.645930,-0.621733,6.769538,1.000000,0.000000,0.000000,0.000000,0.126085,shared_fullimg_cam,749.805,337.679,41.030,7.083023,0.114693,L1_L2ground
76,2.500000,-0.641144,-0.548834,6.741933,1.000000,0.000000,0.000000,0.000000,0.125593,shared_fullimg_cam,750.508,360.670,41.037,7.034362,0.109787,L1_L2ground
77,2.533333,-0.638335,-0.455093,6.710536,1.000000,0.000000,0.000000,0.000000,0.125562,shared_fullimg_cam,750.450,390.604,41.219,6.931160,0.110875,L1_L2ground
78,2.566667,-0.627754,-0.360600,6.675990,1.000000,0.000000,0.000000,0.000000,0.122937,shared_fullimg_cam,752.857,421.011,40.566,6.860301,0.123864,L1_L2ground
79,2.600000,-0.623786,-0.353994,6.639045,1.000000,0.000000,0.000000,0.000000,0.122151,shared_fullimg_cam,753.021,422.541,40.531,6.736554,0.123554,L1_L2ground
80,2.633333,-0.622606,-0.244579,6.600563,1.000000,0.000000,0.000000,0.000000,0.121311,shared_fullimg_cam,752.208,458.373,40.487,6.623654,0.116852,L1_L2ground
81,2.666667,-0.625749,-0.131014,6.561468,1.000000,0.000000,0.000000,0.000000,0.124217,shared_fullimg_cam,749.915,496.014,41.704,6.564280,0.127163,L1_L2ground
82,2.700000,-0.622314,0.003515,6.522694,1.000000,0.000000,0.000000,0.000000,0.121816,shared_fullimg_cam,749.826,541.187,41.141,6.522939,0.136660,L1_L2ground
83,2.733333,-0.618338,0.009803,6.485178,1.000000,0.000000,0.000000,0.000000,0.122308,shared_fullimg_cam,749.961,543.330,41.546,6.496785,0.157590,L1_L2ground
84,2.766667,-0.614209,0.153635,6.449857,1.000000,0.000000,0.000000,0.000000,0.118623,shared_fullimg_cam,750.221,592.473,40.515,6.454800,0.188392,L1_L2ground
85,2.800000,-0.610579,0.311345,6.417679,1.000000,0.000000,0.000000,0.000000,0.121947,shared_fullimg_cam,750.415,646.871,41.859,6.330028,0.236379,L1_L2ground
86,2.833333,-0.610011,0.478669,6.389604,1.000000,0.000000,0.000000,0.000000,0.118037,shared_fullimg_cam,749.690,705.028,40.695,6.357079,0.300190,L1_L2ground
87,2.866667,-0.609402,0.556535,6.366391,1.000000,0.000000,0.000000,0.000000,0.118808,shared_fullimg_cam,749.134,732.573,41.110,6.452608,0.591243,L1_L2ground
88,2.900000,-0.606863,0.462384,6.348686,1.000000,0.000000,0.000000,0.000000,0.120696,shared_fullimg_cam,749.427,700.441,41.880,5.946174,0.317056,L1_L2ground
89,2.933333,-0.605178,0.456132,6.338343,1.000000,0.000000,0.000000,0.000000,0.121498,shared_fullimg_cam,749.669,698.530,42.227,6.045786,0.317983,L1_L2ground
90,2.966667,-0.612155,0.393626,6.335637,1.000000,0.000000,0.000000,0.000000,0.130687,shared_fullimg_cam,747.153,676.864,45.440,6.149651,0.239823,L1_L2ground
91,3.000000,-0.621947,0.322626,6.339671,1.000000,0.000000,0.000000,0.000000,0.114631,shared_fullimg_cam,743.886,652.106,39.832,6.498905,0.122487,L1_L2ground
92,3.033333,-0.623180,0.270072,6.349123,1.000000,0.000000,0.000000,0.000000,0.122835,shared_fullimg_cam,743.780,633.705,42.619,6.656614,0.136221,L1_L2ground
93,3.066667,-0.629340,0.239447,6.362766,1.000000,0.000000,0.000000,0.000000,0.123959,shared_fullimg_cam,742.111,622.901,42.917,6.761001,0.122902,L1_L2ground
94,3.100000,-0.631880,0.237799,6.379607,1.000000,0.000000,0.000000,0.000000,0.123526,shared_fullimg_cam,741.809,622.113,42.654,6.858864,0.119287,L1_L2ground
95,3.133333,-0.635832,0.229980,6.398889,1.000000,0.000000,0.000000,0.000000,0.119310,shared_fullimg_cam,741.106,619.174,41.074,6.780079,0.107092,L1_L2ground
96,3.166667,-0.634853,0.234885,6.420132,1.000000,0.000000,0.000000,0.000000,0.122970,shared_fullimg_cam,742.166,620.595,42.194,6.640829,0.115898,L1_L2ground
97,3.200000,-0.639518,0.253102,6.443025,1.000000,0.000000,0.000000,0.000000,0.125122,shared_fullimg_cam,741.345,626.537,42.780,6.650655,0.119243,L1_L2ground
98,3.233333,-0.641140,0.256865,6.467380,1.000000,0.000000,0.000000,0.000000,0.122595,shared_fullimg_cam,741.616,627.493,41.758,6.598586,0.121193,L1_L2ground
99,3.266667,-0.640742,0.273368,6.493124,1.000000,0.000000,0.000000,0.000000,0.124551,shared_fullimg_cam,742.617,632.745,42.256,6.579518,0.121191,L1_L2ground
100,3.300000,-0.644867,0.313826,6.520261,1.000000,0.000000,0.000000,0.000000,0.119800,shared_fullimg_cam,742.128,646.028,40.475,6.648410,0.128368,L1_L2ground
101,3.333333,-0.643767,0.395278,6.548849,1.000000,0.000000,0.000000,0.000000,0.126134,shared_fullimg_cam,743.449,672.964,42.429,6.711345,0.100028,L1_L2ground
102,3.366667,-0.646746,0.483479,6.579027,1.000000,0.000000,0.000000,0.000000,0.128800,shared_fullimg_cam,743.445,701.887,43.127,6.668499,0.120484,L1_L2ground
103,3.400000,-0.652860,0.565389,6.611001,1.000000,0.000000,0.000000,0.000000,0.129231,shared_fullimg_cam,742.455,728.398,43.062,6.551065,0.106748,L1_L2ground
104,3.433333,-0.656748,0.570845,6.645028,1.000000,0.000000,0.000000,0.000000,0.129811,shared_fullimg_cam,742.280,729.242,43.034,6.562812,0.111183,L1_L2ground
105,3.466667,-0.664437,0.493360,6.681338,1.000000,0.000000,0.000000,0.000000,0.130114,shared_fullimg_cam,740.928,702.666,42.900,6.684601,0.131783,L1_L2ground
106,3.500000,-0.677199,0.416281,6.720120,1.000000,0.000000,0.000000,0.000000,0.134741,shared_fullimg_cam,738.009,676.460,44.169,6.860531,0.130624,L1_L2ground
107,3.533333,-0.689251,0.341754,6.761567,1.000000,0.000000,0.000000,0.000000,0.128951,shared_fullimg_cam,735.443,651.343,42.012,6.903631,0.146288,L1_L2ground
108,3.566667,-0.702789,0.295038,6.805965,1.000000,0.000000,0.000000,0.000000,0.129455,shared_fullimg_cam,732.526,635.496,41.901,6.888510,0.134901,L1_L2ground
109,3.600000,-0.709908,0.290006,6.853724,1.000000,0.000000,0.000000,0.000000,0.132074,shared_fullimg_cam,731.823,633.213,42.451,6.934004,0.126574,L1_L2ground
110,3.633333,-0.716819,0.259717,6.905314,1.000000,0.000000,0.000000,0.000000,0.138012,shared_fullimg_cam,731.323,622.854,44.028,6.956127,0.134420,L1_L2ground
111,3.666667,-0.717463,0.238298,6.961256,1.000000,0.000000,0.000000,0.000000,0.133919,shared_fullimg_cam,732.957,615.410,42.379,6.746931,0.105656,L1_L2ground
112,3.700000,-0.733036,0.226234,7.022110,1.000000,0.000000,0.000000,0.000000,0.132447,shared_fullimg_cam,730.039,610.972,41.550,6.683472,0.122157,L1_L2ground
113,3.733333,-0.742167,0.227663,7.088338,1.000000,0.000000,0.000000,0.000000,0.132535,shared_fullimg_cam,729.350,610.753,41.189,6.693094,0.128122,L1_L2ground
114,3.766667,-0.755230,0.237272,7.160201,1.000000,0.000000,0.000000,0.000000,0.137142,shared_fullimg_cam,727.646,612.999,42.193,6.719308,0.110294,L1_L2ground
115,3.800000,-0.765494,0.263318,7.237702,1.000000,0.000000,0.000000,0.000000,0.134342,shared_fullimg_cam,727.010,620.145,40.889,6.769790,0.098455,L1_L2ground
116,3.833333,-0.781915,0.281858,7.320628,1.000000,0.000000,0.000000,0.000000,0.135529,shared_fullimg_cam,724.708,624.816,40.783,6.921318,0.089577,L1_L2ground
117,3.866667,-0.794571,0.296608,7.408584,1.000000,0.000000,0.000000,0.000000,0.137611,shared_fullimg_cam,723.738,628.195,40.918,6.854524,0.101585,L1_L2ground
118,3.900000,-0.807056,0.343595,7.501048,1.000000,0.000000,0.000000,0.000000,0.141753,shared_fullimg_cam,722.984,640.907,41.630,6.737007,0.086580,L1_L2ground
119,3.933333,-0.819522,0.367109,7.597271,1.000000,0.000000,0.000000,0.000000,0.145544,shared_fullimg_cam,722.371,646.447,42.202,6.697679,0.101776,L1_L2ground
120,3.966667,-0.842514,0.444656,7.696278,1.000000,0.000000,0.000000,0.000000,0.140401,shared_fullimg_cam,718.847,667.274,40.187,6.771719,0.094458,L1_L2ground
121,4.000000,-0.863707,0.545879,7.796724,1.000000,0.000000,0.000000,0.000000,0.148186,shared_fullimg_cam,715.966,694.234,41.869,6.671766,0.102888,L1_L2ground
122,4.033333,-0.883226,0.660826,7.896945,1.000000,0.000000,0.000000,0.000000,0.150833,shared_fullimg_cam,713.618,724.342,42.076,6.776460,0.099979,L1_L2ground
123,4.066667,-0.919641,0.801834,7.994809,1.000000,0.000000,0.000000,0.000000,0.150227,shared_fullimg_cam,706.600,760.939,41.394,6.693996,0.133565,L1_L2ground
124,4.100000,-0.929623,0.805041,8.087743,1.000000,0.000000,0.000000,0.000000,0.155528,shared_fullimg_cam,706.793,759.274,42.362,6.699691,0.121608,L1_L2ground
125,4.133333,-0.944318,0.805684,8.172279,1.000000,0.000000,0.000000,0.000000,0.152991,shared_fullimg_cam,705.451,757.179,41.240,6.556148,0.108603,L1_L2ground
126,4.166667,-0.912767,0.655112,8.244123,1.000000,0.000000,0.000000,0.000000,0.158041,shared_fullimg_cam,716.100,715.052,42.230,6.754357,0.078531,L1_L2ground
127,4.200000,-0.917055,0.575968,8.298159,1.000000,0.000000,0.000000,0.000000,0.157860,shared_fullimg_cam,716.550,692.902,41.907,9.954758,0.308889,L1_L2ground
128,4.233333,-0.925063,0.575925,8.328744,1.000000,0.000000,0.000000,0.000000,0.158037,shared_fullimg_cam,715.326,692.329,41.800,10.476207,0.318218,L1_L2ground
129,4.266667,-0.926316,0.481675,8.334919,1.000000,0.000000,0.000000,0.000000,0.153644,shared_fullimg_cam,715.176,667.306,40.608,6.862682,0.097468,L1_L2ground
130,4.300000,-0.921965,0.377271,8.321257,1.000000,0.000000,0.000000,0.000000,0.151406,shared_fullimg_cam,715.926,639.876,40.082,6.977727,0.094680,L1_L2ground
131,4.333333,-0.908052,0.293435,8.291656,1.000000,0.000000,0.000000,0.000000,0.151962,shared_fullimg_cam,718.751,617.959,40.373,6.881244,0.079880,L1_L2ground
132,4.366667,-0.891444,0.221599,8.249467,1.000000,0.000000,0.000000,0.000000,0.155949,shared_fullimg_cam,721.952,599.175,41.644,6.717122,0.074539,L1_L2ground
133,4.400000,-0.878640,0.187419,8.197644,1.000000,0.000000,0.000000,0.000000,0.151501,shared_fullimg_cam,723.888,590.364,40.712,6.767516,0.079992,L1_L2ground
134,4.433333,-0.865389,0.187647,8.138780,1.000000,0.000000,0.000000,0.000000,0.152659,shared_fullimg_cam,725.767,590.790,41.320,6.778474,0.080299,L1_L2ground
135,4.466667,-0.844028,0.184555,8.075099,1.000000,0.000000,0.000000,0.000000,0.150999,shared_fullimg_cam,729.747,590.347,41.193,6.786818,0.082088,L1_L2ground
136,4.500000,-0.822952,0.196785,8.008472,1.000000,0.000000,0.000000,0.000000,0.153062,shared_fullimg_cam,733.629,594.130,42.103,6.782556,0.078359,L1_L2ground
137,4.533333,-0.803592,0.232939,7.940430,1.000000,0.000000,0.000000,0.000000,0.152850,shared_fullimg_cam,737.060,604.624,42.405,6.866184,0.077139,L1_L2ground
138,4.566667,-0.774078,0.305492,7.872203,1.000000,0.000000,0.000000,0.000000,0.149603,shared_fullimg_cam,743.387,625.487,41.864,6.911856,0.103572,L1_L2ground
139,4.600000,-0.769382,0.301728,7.804774,1.000000,0.000000,0.000000,0.000000,0.148322,shared_fullimg_cam,742.841,625.163,41.864,6.928471,0.102918,L1_L2ground
140,4.633333,-0.755349,0.359077,7.738718,1.000000,0.000000,0.000000,0.000000,0.143673,shared_fullimg_cam,744.982,642.215,40.898,7.259844,0.099689,L1_L2ground
141,4.666667,-0.741106,0.445567,7.674246,1.000000,0.000000,0.000000,0.000000,0.139494,shared_fullimg_cam,747.264,667.901,40.042,7.760531,0.117914,L1_L2ground
142,4.700000,-0.729023,0.547766,7.611378,1.000000,0.000000,0.000000,0.000000,0.142356,shared_fullimg_cam,749.004,698.536,41.201,8.711865,0.198907,L1_L2ground
143,4.733333,-0.721424,0.546172,7.550185,1.000000,0.000000,0.000000,0.000000,0.140601,shared_fullimg_cam,749.511,699.356,41.023,8.460626,0.198762,L1_L2ground
144,4.766667,-0.707690,0.643504,7.492333,1.000000,0.000000,0.000000,0.000000,0.141976,shared_fullimg_cam,751.924,729.204,41.744,7.191421,0.149896,L1_L2ground
145,4.800000,-0.696875,0.748142,7.440849,1.000000,0.000000,0.000000,0.000000,0.141230,shared_fullimg_cam,753.686,761.492,41.812,6.617658,0.180168,L1_L2ground
146,4.833333,-0.688016,0.806169,7.398507,1.000000,0.000000,0.000000,0.000000,0.132715,shared_fullimg_cam,755.143,780.037,39.516,6.527605,0.222684,L1_L2ground
147,4.866667,-0.689332,0.703298,7.367057,1.000000,0.000000,0.000000,0.000000,0.135278,shared_fullimg_cam,753.875,750.301,40.451,6.581150,0.141900,L1_L2ground
148,4.900000,-0.688636,0.576452,7.346614,1.000000,0.000000,0.000000,0.000000,0.135013,shared_fullimg_cam,753.510,712.851,40.484,6.869113,0.117124,L1_L2ground
149,4.933333,-0.687867,0.572960,7.336663,1.000000,0.000000,0.000000,0.000000,0.134344,shared_fullimg_cam,753.461,712.037,40.338,6.884426,0.114037,L1_L2ground
150,4.966667,-0.692407,0.460436,7.336427,1.000000,0.000000,0.000000,0.000000,0.137506,shared_fullimg_cam,752.091,678.255,41.289,7.691724,0.142001,L1_L2ground
151,5.000000,-0.691096,0.372045,7.344895,1.000000,0.000000,0.000000,0.000000,0.133284,shared_fullimg_cam,752.724,651.585,39.975,7.095057,0.103326,L1_L2ground
152,5.033333,-0.684453,0.300718,7.361345,1.000000,0.000000,0.000000,0.000000,0.135835,shared_fullimg_cam,755.175,629.991,40.649,7.033058,0.110288,L1_L2ground
153,5.066667,-0.677949,0.238903,7.384948,1.000000,0.000000,0.000000,0.000000,0.144299,shared_fullimg_cam,757.770,611.264,43.044,6.795550,0.090579,L1_L2ground
154,5.100000,-0.682466,0.237426,7.414718,1.000000,0.000000,0.000000,0.000000,0.139149,shared_fullimg_cam,757.240,610.539,41.341,6.706523,0.089604,L1_L2ground
155,5.133333,-0.687937,0.198869,7.449478,1.000000,0.000000,0.000000,0.000000,0.147210,shared_fullimg_cam,756.568,598.808,43.532,6.644639,0.084610,L1_L2ground
