frame,time,anchor_type,contact_part,contact_side,contact_label,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
1,0.0,hand,hand,right,right_hand,533.5,542.731,967.9404294587305,722.2443394628447,574.2812160125811,557.4637797758255,1,1,center,center,470.06757577330166,43.360839237585985,43.360839237585985,0.0,426.7554442321835,0.0,0.5582700953017516,right,center,1.0,0.0,0.0,0.0,0.4174810285905255,1,1
2,0.041667,hand,hand,right,right_hand,534.5,542.703,967.7663012024041,722.1788039516534,574.0910236852915,557.5048734263341,1,1,center,center,468.96828460110675,42.26753616404117,42.26753616404117,0.0,426.7291032058082,0.0,0.7764329794948539,right,center,1.0,0.0,0.5844390105959374,0.0,0.5998176959676437,1,1
3,0.083333,hand,hand,right,right_hand,534.038,542.115,967.5486027201471,722.2832931619484,573.8910888165617,557.696244372894,1,1,center,center,469.4593236177922,42.790698340043406,42.790698340043406,0.0,426.67919433907497,0.0,0.7037877074945742,right,center,1.0,0.0,0.3457601115516969,0.0,0.5302883345587117,1,1
4,0.125,hand,hand,right,right_hand,534.5,541.591,967.3779348841219,722.1115986124062,573.680291327682,557.6750025706037,1,1,center,center,469.0106534322259,42.35316242281346,42.35316242281346,0.0,426.65821058513404,0.0,0.7554796971483171,right,center,1.0,0.0,0.2314213142483507,0.0,0.5229281719941652,1,1
5,0.166667,hand,hand,right,right_hand,535.5,541.375,967.4979505500539,722.2872870784555,573.5741859869529,557.7168544496358,1,1,center,center,468.3497463385716,41.43307670716913,41.43307670716913,0.0,426.9184460563895,0.0,0.8507404116038586,right,center,1.0,0.0,0.06312495761088646,0.0,0.5178471150033348,1,1
6,0.208333,hand,hand,right,right_hand,536.587,541.014,967.7058426516189,722.2099476323469,573.9787365858559,557.3099553690496,1,1,center,center,467.6488297084208,40.788480313638715,40.788480313638715,0.0,426.8641956165404,0.0,0.9134399607951602,right,center,1.0,0.0,0.2828586861772041,0.0,0.5806037254739889,1,1
7,0.25,hand,hand,right,right_hand,538.0,539.969,967.5103346694443,722.0609458960032,574.1639467347984,556.677720793464,1,1,center,center,466.51538489963116,39.83732413191517,39.83732413191517,0.0,426.70011957644226,0.0,1.0,right,center,1.0,0.0,0.2447448266392752,0.0,0.598948965327855,1,1
8,0.291667,hand,hand,right,right_hand,540.0,539.216,967.4593806030671,722.4780046191074,574.0086980904658,556.1952490390378,1,1,center,center,465.0876093840509,38.011661943910305,38.011661943910305,0.0,427.1456360223442,0.0,1.0,right,center,1.0,0.0,0.3923782141345114,0.0,0.6284756428269023,1,1
9,0.333333,hand,hand,right,right_hand,542.014,537.412,967.8065704297192,722.7558098296229,574.3939329643065,555.3680886000088,1,1,center,center,464.38307556941254,37.02541257817861,37.02541257817861,0.0,427.5419892080019,0.0,1.0,right,center,1.0,0.0,0.16346874435352665,0.0,0.5826937488707054,1,1
10,0.375,hand,hand,right,right_hand,544.0,536.045,968.2060551096592,723.0967860460252,575.3109044235784,554.3400874074331,1,1,center,center,463.61530157524703,36.264072565944424,36.264072565944424,0.0,427.60428291591603,0.0,1.0,right,center,1.0,0.0,0.6576335941820242,0.0,0.6815267188364049,1,1
