frame,time,anchor_type,contact_part,contact_side,contact_label,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
1,0.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.5582700953017516,right,center,0.4174810285905255,0.012905908102747578,1,0,0,0
2,0.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7764329794948539,right,center,0.5998176959676437,0.015483785180604503,1,0,0,0
3,0.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7037877074945742,right,center,0.5302883345587117,0.012822400224680168,1,0,0,0
4,0.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7554796971483171,right,center,0.5229281719941652,0.010890964483293792,1,0,0,0
5,0.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.8507404116038586,right,center,0.5178471150033348,0.009725849899805706,1,0,0,0
6,0.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.9134399607951602,right,center,0.5806037254739889,0.008331967301825253,1,0,0,0
7,0.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.598948965327855,0.006477892551814571,1,0,0,0
8,0.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6284756428269023,0.005398580231899895,1,0,0,0
9,0.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5826937488707054,0.0038922034388272175,1,0,0,0
10,0.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6815267188364049,0.0022931218764327436,1,0,0,0
11,0.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6634996329720215,0.0008426527175862452,1,0,0,0
12,0.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7289939148938962,0.0002104629341804506,1,0,0,0
13,0.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6921907379073649,2.792718069279401e-05,1,0,0,0
14,0.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,3.5394010324762217e-06,1,0,0,0
15,0.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7137338433297821,7.759317070569088e-08,1,0,0,0
16,0.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6991460134602756,1.2685194461059706e-10,1,0,0,0
17,0.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7427803112020395,4.564738500897567e-13,1,0,0,0
18,0.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6333853095434747,1.732705978456256e-17,1,0,0,0
19,0.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6483882049012326,1.0544929400747728e-22,1,0,0,0
20,0.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.72073343319332,1.9285322547547178e-28,1,0,0,0
21,0.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6648630359041519,5.8998765548481356e-36,1,0,0,0
22,0.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6873244026723513,7.125831967725926e-44,1,0,0,0
23,0.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,5.229923813123618e-52,1,0,0,0
24,0.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7476610982208503,2.7059043983419893e-65,1,0,0,0
25,1.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5906305255726728,1.7056210225913056e-77,1,0,0,0
26,1.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,7.470890404748581e-90,1,0,0,0
27,1.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7345388763322274,7.448725615036633e-105,1,0,0,0
28,1.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6909240429573029,7.025105418444667e-119,1,0,0,0
29,1.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5992366325586904,1.0427351181087565e-131,1,0,0,0
30,1.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.697858321724943,2.4980337043257027e-145,1,0,0,0
31,1.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6195682025630451,4.213628668893394e-158,1,0,0,0
32,1.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6978946412271873,5.533342608733098e-173,1,0,0,0
33,1.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5718819068421493,2.122382076528672e-185,1,0,0,0
34,1.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,1.8972066113848836e-197,1,0,0,0
35,1.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.9909081998225364,right,center,0.6934683278328991,3.010850439136577e-206,1,0,0,0
36,1.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,3.2240962541621543e-217,1,0,0,0
37,1.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.8698282759047951,right,center,0.7109484827714385,4.103524520836168e-225,1,0,0,0
38,1.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.8187851661103069,right,center,0.5360078102087796,3.584585797138507e-232,1,0,0,0
39,1.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.7758680896840087,right,center,0.6653928847617422,6.578665758968375e-238,1,0,0,0
40,1.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.9313890069765005,right,center,0.6603139310610775,1.8611380706737287e-241,1,0,0,0
41,1.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.9965225078294351,right,center,0.6271541322539878,1.7110760755322528e-246,1,0,0,0
42,1.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.8426796773527805,right,center,0.529114772901726,1.5917415774310058e-250,1,0,0,0
43,1.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.5624239118278682,right,center,0.4702527652202312,3.3767063896331624e-255,1,0,0,0
44,1.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.21315140126158738,right,center,0.3689016775194802,2.2396249984771555e-259,0,0,0,0
45,1.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.07166666004230304,right,center,0.37447079610591383,2.7271376640072667e-262,0,0,0,0
46,1.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.01818585622956359,right,center,0.3260201713654392,1.3361261822174467e-265,0,0,0,0
47,1.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.3220809749981029,1.246043615803308e-267,0,0,0,0
48,1.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.0,right,center,0.2743651999016703,3.860734619827989e-271,0,0,0,0
49,2.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.08556495652658214,right,center,0.3337727895135262,8.983804536630583e-274,0,0,0,0
50,2.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.24697337237216122,right,center,0.4267777495723566,4.8886204805184356e-275,1,0,0,0
51,2.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.16195715614693906,right,center,0.42012147299667574,4.422370326626635e-279,1,0,0,0
52,2.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.42892745488260786,right,center,0.42788004349844755,4.632895665515338e-281,1,0,0,0
53,2.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.5248683160745014,right,center,0.4962686773291014,2.4951247733582884e-283,1,0,0,0
54,2.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.43752238654835995,right,center,0.5229351513694948,4.753283375963426e-286,1,0,0,0
55,2.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.5773305241126518,right,center,0.46408420348177815,1.3855036078056155e-287,1,0,0,0
56,2.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.6586726125686697,right,center,0.45909520930287395,8.744421579378661e-290,1,0,0,0
57,2.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.717626169751977,right,center,0.48158464974775433,3.194217596964749e-292,1,0,0,0
58,2.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.8554056185563388,right,center,0.6133883632925229,4.660441192925861e-294,1,0,0,0
59,2.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,2.601661642754615e-292,1,0,0,0
60,2.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,0.9144913709817848,right,center,0.7243474112945354,6.00193187875386e-303,1,0,0,0
61,2.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5523156940232941,4.064380875256486e-304,1,0,0,0
62,2.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6497801641372358,2.598179332972709e-305,1,0,0,0
63,2.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6362662541296782,2.56126452127652e-309,1,0,0,0
64,2.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.600025414058732,1.3343751317207e-311,1,0,0,0
65,2.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.610276193652836,1.61315577493e-312,1,0,0,0
66,2.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6165548858688088,4.51342994e-316,1,0,0,0
67,2.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6265395866209424,8.177615e-317,1,0,0,0
68,2.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6010026799056951,3.687e-320,1,0,0,0
69,2.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6278201592094415,3.01e-321,1,0,0,0
70,2.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6168133941327922,1e-323,1,0,0,0
71,2.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5868424473955781,0.0,1,0,0,0
72,2.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6025581955361458,0.0,1,0,0,0
73,3.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7001230163181857,0.0,1,0,0,0
74,3.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6715257948271836,0.0,1,0,0,0
75,3.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.562441753096109,0.0,1,0,0,0
76,3.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7264485352989651,0.0,1,0,0,0
77,3.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6601873020114915,0.0,1,0,0,0
78,3.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5576388062668787,0.0,1,0,0,0
79,3.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6016440255656681,0.0,1,0,0,0
80,3.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5955970148380128,0.0,1,0,0,0
81,3.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6347899514583881,0.0,1,0,0,0
82,3.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5693327230637286,0.0,1,0,0,0
83,3.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6188437319719013,0.0,1,0,0,0
84,3.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6696315050232113,0.0,1,0,0,0
85,3.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6053466976182559,0.0,1,0,0,0
86,3.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6050257440694031,0.0,1,0,0,0
87,3.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5908416671658258,1e-323,1,0,0,0
88,3.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.729102396946504,2.288e-321,1,0,0,0
89,3.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6779320708883763,4.79718315e-316,1,0,0,0
90,3.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6590627891311667,1.1779794758e-313,1,0,0,0
91,3.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6082355580386885,2.6734525558630617e-307,1,0,0,0
92,3.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5836041561456651,3.054659507370299e-303,1,0,0,0
93,3.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5780796728945482,8.407135690683686e-298,1,0,0,0
94,3.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5813312880243557,1.1362530312372508e-292,1,0,0,0
95,3.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6680282053337369,8.081370466001535e-289,1,0,0,0
96,3.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6775948800457501,2.1428649369664795e-287,1,0,0,0
97,4.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7438321342830009,2.7903517755586655e-283,1,0,0,0
98,4.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,2.1312989261400105e-280,1,0,0,0
99,4.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6380925120015939,6.900697188860424e-275,1,0,0,0
100,4.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7428422951976801,4.2006779015863914e-268,1,0,0,0
101,4.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6734575779092977,1.222059887672551e-258,1,0,0,0
102,4.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,2.8111751942185374e-252,1,0,0,0
103,4.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,1.4677603969862995e-242,1,0,0,0
104,4.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6342525828427577,2.361230240719686e-226,1,0,0,0
105,4.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,7.553563628869239e-214,1,0,0,0
106,4.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,5.137762774487381e-196,1,0,0,0
107,4.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6352175112759149,1.5703521396046499e-176,1,0,0,0
108,4.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6308521793093089,5.431136987940988e-156,1,0,0,0
109,4.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6797648070531344,4.575163030517141e-138,1,0,0,0
110,4.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6681425602713769,2.497882156132462e-117,1,0,0,0
111,4.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6318224302453713,1.8737756011873118e-98,1,0,0,0
112,4.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6199562150772435,4.464152735893436e-80,1,0,0,0
113,4.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,1.390783160953804e-63,1,0,0,0
114,4.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,1.6121628422149844e-46,1,0,0,0
115,4.75,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.678967574242415,3.906053232601018e-37,1,0,0,0
116,4.791667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,7.809035852440565e-27,1,0,0,0
117,4.833333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,3.981066944512484e-20,1,0,0,0
118,4.875,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,1.6772772294619533e-14,1,0,0,0
119,4.916667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6784110114206592,2.1058112923826484e-10,1,0,0,0
120,4.958333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,3.422284142127082e-07,1,0,0,0
121,5.0,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.75,3.935025904587227e-05,1,0,0,0
122,5.041667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.7217530991558039,0.000974010961771053,1,0,0,0
123,5.083333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5869842451825364,0.007063965885769117,1,0,0,0
124,5.125,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6501454141268893,0.031961832577704734,1,0,0,0
125,5.166667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6223103750134049,0.08833626972912553,1,0,0,0
126,5.208333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6032307073740768,0.15928485799083392,1,0,0,0
127,5.25,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6105011904202662,0.29102831329420675,1,0,0,0
128,5.291667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5735171395215191,0.4082298195302556,1,1,0,1
129,5.333333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5608237811084653,0.5442729019054606,1,1,0,1
130,5.375,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5805437296687617,0.6614490502072634,1,1,0,1
131,5.416667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5956751881863158,0.7614965630893888,1,1,0,1
132,5.458333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.581357785938394,0.8330599421837396,1,1,0,1
133,5.5,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5910725607126603,0.9082561424072824,1,1,0,1
134,5.541667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5958017527542736,0.9453060135930963,1,1,0,1
135,5.583333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6872011915228533,0.9761762937873446,1,1,0,1
136,5.625,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.624070495064963,0.9644661916233164,1,1,0,1
137,5.666667,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.5939662482233403,0.9740086202689193,1,1,0,1
138,5.708333,hand,hand,right,right_hand,,,,,,,,,,,,,,0.0,1.0,right,center,0.6019963151033227,0.9753767766912778,1,1,0,1
