frame,time,ball_center_y,ball_radius_px,ball_bottom_v,floor_v,left_support_v,right_support_v,floor_gap_px,floor_score,is_local_peak,is_bounce_turn,is_candidate,floor_contact_state
1,0.0,542.731,39.827,582.558,612.054,,,29.49599999999998,0.012905908102747578,0,0,0,0
2,0.041667,542.703,40.479,583.182,612.054,,,28.871999999999957,0.015483785180604503,1,1,0,0
3,0.083333,542.115,40.421,582.5360000000001,612.054,,,29.517999999999915,0.012822400224680168,0,0,0,0
4,0.125,541.591,40.397,581.988,612.054,,,30.065999999999917,0.010890964483293792,0,0,0,0
5,0.166667,541.375,40.239,581.614,612.054,,,30.43999999999994,0.009725849899805706,0,0,0,0
6,0.208333,541.014,40.096,581.11,612.054,,,30.94399999999996,0.008331967301825253,0,0,0,0
7,0.25,539.969,40.338,580.307,612.054,,,31.746999999999957,0.006477892551814571,0,0,0,0
8,0.291667,539.216,40.522,579.738,612.054,,,32.31599999999992,0.005398580231899895,0,0,0,0
9,0.333333,537.412,41.329,578.741,612.054,,,33.31299999999999,0.0038922034388272175,0,0,0,0
10,0.375,536.045,41.144,577.189,612.054,,,34.86500000000001,0.0022931218764327436,0,0,0,0
11,0.416667,532.993,41.434,574.427,612.054,,,37.62699999999995,0.0008426527175862452,0,0,0,0
12,0.458333,529.694,41.211,570.905,612.054,,,41.149,0.0002104629341804506,0,0,0,0
13,0.5,524.615,41.644,566.259,612.054,,,45.79499999999996,2.792718069279401e-05,0,0,0,0
14,0.541667,519.912,42.039,561.951,612.054,,,50.10299999999995,3.5394010324762217e-06,0,0,0,0
15,0.583333,512.286,42.546,554.832,612.054,,,57.22199999999998,7.759317070569088e-08,0,0,0,0
16,0.625,502.841,41.703,544.544,612.054,,,67.50999999999999,1.2685194461059706e-10,0,0,0,0
17,0.666667,493.0,43.668,536.668,612.054,,,75.38599999999997,4.564738500897567e-13,0,0,0,0
18,0.708333,480.58,43.617,524.197,612.054,,,87.85699999999997,1.732705978456256e-17,0,0,0,0
19,0.75,468.264,43.188,511.452,612.054,,,100.60199999999998,1.0544929400747728e-22,0,0,0,0
20,0.791667,455.848,43.232,499.08000000000004,612.054,,,112.97399999999993,1.9285322547547178e-28,0,0,0,0
