frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
50,1.633333,-0.935669,0.913314,6.726846,1.000000,0.000000,0.000000,0.000000,0.112178,shared_fullimg_cam,653.587,839.092,36.736,6.715481,0.544986,L1_confsmooth
51,1.666667,-0.938759,0.914561,6.746724,1.000000,0.000000,0.000000,0.000000,0.112142,shared_fullimg_cam,653.481,838.618,36.616,6.711579,0.527712,L1_confsmooth
52,1.700000,-0.851880,0.760989,6.767541,1.000000,0.000000,0.000000,0.000000,0.121465,shared_fullimg_cam,682.704,787.710,39.538,6.971933,0.272599,L1_confsmooth
53,1.733333,-0.855689,0.764012,6.787989,1.000000,0.000000,0.000000,0.000000,0.121363,shared_fullimg_cam,682.303,787.945,39.386,6.952962,0.277815,L1_confsmooth
54,1.766667,-0.800945,0.528494,6.807363,1.000000,0.000000,0.000000,0.000000,0.123301,shared_fullimg_cam,700.809,711.024,39.901,7.006797,0.143949,L1_confsmooth
55,1.800000,-0.770350,0.282483,6.825466,1.000000,0.000000,0.000000,0.000000,0.125494,shared_fullimg_cam,711.371,631.171,40.503,6.840960,0.073865,L1_confsmooth
56,1.833333,-0.755619,0.114339,6.842265,1.000000,0.000000,0.000000,0.000000,0.125728,shared_fullimg_cam,716.724,576.812,40.479,6.835733,0.106364,L1_confsmooth
57,1.866667,-0.731866,-0.050319,6.857732,1.000000,0.000000,0.000000,0.000000,0.128472,shared_fullimg_cam,724.903,523.836,41.269,6.764616,0.085311,L1_confsmooth
58,1.900000,-0.709813,-0.208575,6.871835,1.000000,0.000000,0.000000,0.000000,0.125798,shared_fullimg_cam,732.455,473.137,40.327,6.813736,0.086181,L1_confsmooth
59,1.933333,-0.706660,-0.213113,6.884514,1.000000,0.000000,0.000000,0.000000,0.125370,shared_fullimg_cam,733.883,471.808,40.116,6.804933,0.082531,L1_confsmooth
60,1.966667,-0.698751,-0.350074,6.895693,1.000000,0.000000,0.000000,0.000000,0.126594,shared_fullimg_cam,736.776,428.165,40.442,6.807306,0.079647,L1_confsmooth
61,2.000000,-0.690080,-0.466303,6.905274,1.000000,0.000000,0.000000,0.000000,0.129902,shared_fullimg_cam,739.852,391.241,41.441,6.824552,0.079183,L1_confsmooth
62,2.033333,-0.693050,-0.572817,6.913138,1.000000,0.000000,0.000000,0.000000,0.126519,shared_fullimg_cam,739.156,357.469,40.316,6.882201,0.074613,L1_confsmooth
63,2.066667,-0.688608,-0.654444,6.919142,1.000000,0.000000,0.000000,0.000000,0.125809,shared_fullimg_cam,740.762,331.639,40.055,6.913438,0.074707,L1_confsmooth
64,2.100000,-0.689376,-0.656403,6.923140,1.000000,0.000000,0.000000,0.000000,0.125882,shared_fullimg_cam,740.644,331.136,40.055,6.910862,0.074687,L1_confsmooth
65,2.133333,-0.695464,-0.683553,6.924983,1.000000,0.000000,0.000000,0.000000,0.127443,shared_fullimg_cam,738.766,322.555,40.541,6.889823,0.083269,L1_confsmooth
66,2.166667,-0.687106,-0.751953,6.924518,1.000000,0.000000,0.000000,0.000000,0.127146,shared_fullimg_cam,741.410,300.780,40.449,6.828295,0.084340,L1_confsmooth
67,2.200000,-0.682209,-0.786235,6.921586,1.000000,0.000000,0.000000,0.000000,0.127934,shared_fullimg_cam,742.876,289.768,40.717,6.833714,0.082537,L1_confsmooth
68,2.233333,-0.680474,-0.784033,6.915996,1.000000,0.000000,0.000000,0.000000,0.129391,shared_fullimg_cam,743.253,290.267,41.214,6.847157,0.082971,L1_confsmooth
69,2.266667,-0.677901,-0.792177,6.907536,1.000000,0.000000,0.000000,0.000000,0.127947,shared_fullimg_cam,743.808,287.364,40.804,6.919108,0.089020,L1_confsmooth
70,2.300000,-0.673690,-0.783776,6.895974,1.000000,0.000000,0.000000,0.000000,0.127889,shared_fullimg_cam,744.791,289.624,40.854,6.976555,0.094496,L1_confsmooth
71,2.333333,-0.673578,-0.770979,6.881082,1.000000,0.000000,0.000000,0.000000,0.127020,shared_fullimg_cam,744.361,293.179,40.664,7.082947,0.093921,L1_confsmooth
72,2.366667,-0.665117,-0.738392,6.862660,1.000000,0.000000,0.000000,0.000000,0.125782,shared_fullimg_cam,746.498,302.977,40.376,7.118411,0.099879,L1_confsmooth
73,2.400000,-0.657848,-0.684671,6.840581,1.000000,0.000000,0.000000,0.000000,0.130781,shared_fullimg_cam,748.150,319.512,42.116,7.142648,0.110645,L1_confsmooth
74,2.433333,-0.653956,-0.678637,6.814817,1.000000,0.000000,0.000000,0.000000,0.126595,shared_fullimg_cam,748.607,320.629,40.922,7.120896,0.108728,L1_confsmooth
75,2.466667,-0.647452,-0.623198,6.785492,1.000000,0.000000,0.000000,0.000000,0.126382,shared_fullimg_cam,749.805,337.679,41.030,7.083023,0.114693,L1_confsmooth
76,2.500000,-0.642184,-0.549725,6.752871,1.000000,0.000000,0.000000,0.000000,0.125796,shared_fullimg_cam,750.508,360.670,41.037,7.034362,0.109787,L1_confsmooth
77,2.533333,-0.638986,-0.455557,6.717378,1.000000,0.000000,0.000000,0.000000,0.125690,shared_fullimg_cam,750.450,390.604,41.219,6.931160,0.110875,L1_confsmooth
78,2.566667,-0.628091,-0.360794,6.679570,1.000000,0.000000,0.000000,0.000000,0.123003,shared_fullimg_cam,752.857,421.011,40.566,6.860301,0.123864,L1_confsmooth
79,2.600000,-0.623886,-0.354051,6.640110,1.000000,0.000000,0.000000,0.000000,0.122171,shared_fullimg_cam,753.021,422.541,40.531,6.736554,0.123554,L1_confsmooth
