frame,time,center_x,center_y,source
1,0.000000,717.111,260.685,cotracker_sam2_mask_points
2,0.041667,716.257,258.149,cotracker_sam2_mask_points
3,0.083333,715.296,259.167,cotracker_sam2_mask_points
4,0.125000,714.060,265.693,cotracker_sam2_mask_points
5,0.166667,713.266,279.627,cotracker_sam2_mask_points
6,0.208333,710.423,300.277,cotracker_sam2_mask_points
7,0.250000,708.305,328.178,cotracker_sam2_mask_points
8,0.291667,707.129,363.914,cotracker_sam2_mask_points
9,0.333333,704.953,412.668,cotracker_sam2_mask_points
10,0.375000,701.727,470.747,cotracker_sam2_mask_points
11,0.416667,701.970,537.891,cotracker_sam2_mask_points
12,0.458333,699.049,493.957,cotracker_sam2_mask_points
13,0.500000,698.917,456.289,cotracker_sam2_mask_points
14,0.541667,699.431,423.929,cotracker_sam2_mask_points
15,0.583333,699.388,400.357,cotracker_sam2_mask_points
16,0.625000,699.821,382.772,cotracker_sam2_mask_points
17,0.666667,716.387,360.312,cotracker_sam2_mask_points
18,0.708333,737.859,324.985,cotracker_sam2_mask_points
19,0.750000,756.194,296.232,cotracker_sam2_mask_points
20,0.791667,771.090,275.010,cotracker_sam2_mask_points
21,0.833333,783.692,259.190,cotracker_sam2_mask_points
22,0.875000,795.290,250.084,cotracker_sam2_mask_points
23,0.916667,804.708,245.902,cotracker_sam2_mask_points
24,0.958333,813.175,246.400,cotracker_sam2_mask_points
25,1.000000,807.705,243.434,cotracker_sam2_mask_points
26,1.041667,798.023,233.720,cotracker_sam2_mask_points
27,1.083333,786.259,226.574,cotracker_sam2_mask_points
28,1.125000,775.996,224.300,cotracker_sam2_mask_points
29,1.166667,764.680,224.399,cotracker_sam2_mask_points
30,1.208333,756.688,237.015,cotracker_sam2_mask_points
31,1.250000,750.194,244.668,cotracker_sam2_mask_points
32,1.291667,743.286,259.744,cotracker_sam2_mask_points
33,1.333333,732.576,298.286,cotracker_sam2_mask_points
34,1.375000,723.924,347.552,cotracker_sam2_mask_points
35,1.416667,715.772,366.231,cotracker_sam2_mask_points
36,1.458333,706.224,418.047,cotracker_sam2_mask_points
37,1.500000,696.517,477.042,cotracker_sam2_mask_points
38,1.541667,695.024,509.868,cotracker_sam2_mask_points
39,1.583333,697.682,453.277,cotracker_sam2_mask_points
40,1.625000,698.518,417.014,cotracker_sam2_mask_points
41,1.666667,698.691,385.662,cotracker_sam2_mask_points
42,1.708333,699.075,360.610,cotracker_sam2_mask_points
43,1.750000,698.297,341.294,cotracker_sam2_mask_points
44,1.791667,697.032,329.980,cotracker_sam2_mask_points
45,1.833333,695.812,324.394,cotracker_sam2_mask_points
46,1.875000,694.381,324.493,cotracker_sam2_mask_points
47,1.916667,699.499,321.704,cotracker_sam2_mask_points
48,1.958333,724.150,305.829,cotracker_sam2_mask_points
49,2.000000,745.705,286.059,cotracker_sam2_mask_points
50,2.041667,766.612,271.424,cotracker_sam2_mask_points
51,2.083333,784.542,260.783,cotracker_sam2_mask_points
52,2.125000,798.185,255.710,cotracker_sam2_mask_points
53,2.166667,808.168,252.798,cotracker_sam2_mask_points
54,2.208333,801.837,243.194,cotracker_sam2_mask_points
55,2.250000,789.199,231.193,cotracker_sam2_mask_points
56,2.291667,776.439,225.611,cotracker_sam2_mask_points
57,2.333333,763.571,224.338,cotracker_sam2_mask_points
58,2.375000,750.395,228.679,cotracker_sam2_mask_points
59,2.416667,736.984,237.429,cotracker_sam2_mask_points
60,2.458333,722.829,252.010,cotracker_sam2_mask_points
61,2.500000,709.111,271.320,cotracker_sam2_mask_points
62,2.541667,697.401,294.311,cotracker_sam2_mask_points
63,2.583333,685.188,323.666,cotracker_sam2_mask_points
64,2.625000,674.279,355.804,cotracker_sam2_mask_points
65,2.666667,662.767,390.565,cotracker_sam2_mask_points
66,2.708333,654.450,394.448,cotracker_sam2_mask_points
67,2.750000,647.845,368.873,cotracker_sam2_mask_points
68,2.791667,642.105,347.732,cotracker_sam2_mask_points
69,2.833333,636.299,331.731,cotracker_sam2_mask_points
70,2.875000,628.281,321.159,cotracker_sam2_mask_points
71,2.916667,619.628,315.929,cotracker_sam2_mask_points
72,2.958333,610.560,315.879,cotracker_sam2_mask_points
73,3.000000,600.582,320.212,cotracker_sam2_mask_points
74,3.041667,592.543,327.647,cotracker_sam2_mask_points
75,3.083333,591.603,325.482,cotracker_sam2_mask_points
76,3.125000,599.935,307.930,cotracker_sam2_mask_points
77,3.166667,616.085,290.129,cotracker_sam2_mask_points
78,3.208333,629.780,280.791,cotracker_sam2_mask_points
79,3.250000,643.347,278.626,cotracker_sam2_mask_points
80,3.291667,656.847,283.027,cotracker_sam2_mask_points
81,3.333333,669.488,294.532,cotracker_sam2_mask_points
82,3.375000,682.533,313.909,cotracker_sam2_mask_points
83,3.416667,695.073,340.688,cotracker_sam2_mask_points
84,3.458333,708.836,371.973,cotracker_sam2_mask_points
85,3.500000,732.904,346.863,cotracker_sam2_mask_points
86,3.541667,760.523,307.504,cotracker_sam2_mask_points
87,3.583333,783.969,277.714,cotracker_sam2_mask_points
88,3.625000,802.396,256.259,cotracker_sam2_mask_points
89,3.666667,817.236,242.533,cotracker_sam2_mask_points
90,3.708333,810.104,233.279,cotracker_sam2_mask_points
91,3.750000,801.773,227.796,cotracker_sam2_mask_points
92,3.791667,794.064,227.436,cotracker_sam2_mask_points
93,3.833333,787.432,230.990,cotracker_sam2_mask_points
94,3.875000,782.412,239.936,cotracker_sam2_mask_points
95,3.916667,776.685,252.993,cotracker_sam2_mask_points
96,3.958333,771.658,270.970,cotracker_sam2_mask_points
97,4.000000,766.953,292.565,cotracker_sam2_mask_points
98,4.041667,762.542,318.927,cotracker_sam2_mask_points
99,4.083333,757.994,311.087,cotracker_sam2_mask_points
100,4.125000,753.062,299.108,cotracker_sam2_mask_points
101,4.166667,747.475,291.101,cotracker_sam2_mask_points
102,4.208333,743.432,289.033,cotracker_sam2_mask_points
103,4.250000,738.287,291.585,cotracker_sam2_mask_points
104,4.291667,733.684,300.984,cotracker_sam2_mask_points
105,4.333333,728.763,317.076,cotracker_sam2_mask_points
106,4.375000,724.547,341.744,cotracker_sam2_mask_points
107,4.416667,718.909,375.877,cotracker_sam2_mask_points
108,4.458333,714.753,418.546,cotracker_sam2_mask_points
109,4.500000,708.740,470.921,cotracker_sam2_mask_points
110,4.541667,705.663,512.405,cotracker_sam2_mask_points
111,4.583333,705.375,468.216,cotracker_sam2_mask_points
112,4.625000,704.958,426.090,cotracker_sam2_mask_points
113,4.666667,702.798,393.070,cotracker_sam2_mask_points
114,4.708333,702.952,365.335,cotracker_sam2_mask_points
115,4.750000,701.330,345.950,cotracker_sam2_mask_points
116,4.791667,703.095,331.251,cotracker_sam2_mask_points
117,4.833333,715.281,319.973,cotracker_sam2_mask_points
118,4.875000,719.040,300.686,cotracker_sam2_mask_points
119,4.916667,726.421,276.555,cotracker_sam2_mask_points
120,4.958333,737.491,259.874,cotracker_sam2_mask_points
121,5.000000,748.524,249.603,cotracker_sam2_mask_points
122,5.041667,757.404,245.547,cotracker_sam2_mask_points
123,5.083333,766.143,245.544,cotracker_sam2_mask_points
124,5.125000,773.720,250.189,cotracker_sam2_mask_points
125,5.166667,766.962,250.636,cotracker_sam2_mask_points
126,5.208333,750.100,243.596,cotracker_sam2_mask_points
127,5.250000,732.565,242.200,cotracker_sam2_mask_points
128,5.291667,715.446,245.209,cotracker_sam2_mask_points
129,5.333333,697.868,252.290,cotracker_sam2_mask_points
130,5.375000,680.664,263.966,cotracker_sam2_mask_points
131,5.416667,664.339,280.387,cotracker_sam2_mask_points
132,5.458333,646.993,301.647,cotracker_sam2_mask_points
133,5.500000,633.514,325.466,cotracker_sam2_mask_points
134,5.541667,616.524,355.741,cotracker_sam2_mask_points
135,5.583333,612.044,352.866,cotracker_sam2_mask_points
136,5.625000,622.583,317.616,cotracker_sam2_mask_points
137,5.666667,631.017,288.095,cotracker_sam2_mask_points
138,5.708333,639.835,265.194,cotracker_sam2_mask_points
139,5.750000,646.316,245.121,cotracker_sam2_mask_points
140,5.791667,653.538,229.813,cotracker_sam2_mask_points
141,5.833333,660.808,221.391,cotracker_sam2_mask_points
142,5.875000,668.848,218.181,cotracker_sam2_mask_points
143,5.916667,677.365,221.103,cotracker_sam2_mask_points
144,5.958333,685.965,229.557,cotracker_sam2_mask_points
145,6.000000,693.683,244.682,cotracker_sam2_mask_points
146,6.041667,702.606,266.821,cotracker_sam2_mask_points
147,6.083333,709.996,297.366,cotracker_sam2_mask_points
148,6.125000,718.378,337.303,cotracker_sam2_mask_points
149,6.166667,725.836,340.134,cotracker_sam2_mask_points
150,6.208333,732.295,338.939,cotracker_sam2_mask_points
151,6.250000,747.331,310.753,cotracker_sam2_mask_points
152,6.291667,771.658,280.368,cotracker_sam2_mask_points
153,6.333333,789.775,254.265,cotracker_sam2_mask_points
154,6.375000,806.753,234.759,cotracker_sam2_mask_points
155,6.416667,819.995,221.471,cotracker_sam2_mask_points
156,6.458333,832.500,213.350,cotracker_sam2_mask_points
157,6.500000,844.343,208.688,cotracker_sam2_mask_points
158,6.541667,851.046,205.753,cotracker_sam2_mask_points
159,6.583333,842.556,193.333,cotracker_sam2_mask_points
160,6.625000,832.673,184.355,cotracker_sam2_mask_points
161,6.666667,823.518,180.135,cotracker_sam2_mask_points
162,6.708333,814.789,178.976,cotracker_sam2_mask_points
163,6.750000,805.663,182.355,cotracker_sam2_mask_points
164,6.791667,797.317,189.471,cotracker_sam2_mask_points
165,6.833333,788.387,199.484,cotracker_sam2_mask_points
166,6.875000,779.646,214.044,cotracker_sam2_mask_points
167,6.916667,772.660,232.152,cotracker_sam2_mask_points
168,6.958333,763.759,254.232,cotracker_sam2_mask_points
169,7.000000,755.926,280.901,cotracker_sam2_mask_points
170,7.041667,747.041,312.063,cotracker_sam2_mask_points
171,7.083333,740.165,347.324,cotracker_sam2_mask_points
172,7.125000,734.185,387.406,cotracker_sam2_mask_points
173,7.166667,725.552,432.074,cotracker_sam2_mask_points
174,7.208333,717.876,486.500,cotracker_sam2_mask_points
175,7.250000,710.993,545.080,cotracker_sam2_mask_points
176,7.291667,701.959,610.743,cotracker_sam2_mask_points
177,7.333333,697.161,663.561,cotracker_sam2_mask_points
178,7.375000,698.683,609.680,cotracker_sam2_mask_points
179,7.416667,701.035,562.114,cotracker_sam2_mask_points
180,7.458333,700.323,518.607,cotracker_sam2_mask_points
181,7.500000,701.839,481.347,cotracker_sam2_mask_points
182,7.541667,704.060,449.840,cotracker_sam2_mask_points
183,7.583333,705.133,424.480,cotracker_sam2_mask_points
184,7.625000,706.468,406.676,cotracker_sam2_mask_points
185,7.666667,707.737,397.054,cotracker_sam2_mask_points
186,7.708333,708.561,396.632,cotracker_sam2_mask_points
187,7.750000,709.453,407.530,cotracker_sam2_mask_points
