frame,time,ball_center_x,ball_center_y,radius,mask_area,source
1,0.000000,716.594,260.312,9.739,298.0,sam2_video_propagation
2,0.041667,715.566,257.373,9.424,279.0,sam2_video_propagation
3,0.083333,714.434,258.615,9.541,286.0,sam2_video_propagation
4,0.125000,712.913,265.354,10.124,322.0,sam2_video_propagation
5,0.166667,711.575,277.903,10.734,362.0,sam2_video_propagation
6,0.208333,710.172,297.984,10.896,373.0,sam2_video_propagation
7,0.250000,708.171,325.845,12.061,457.0,sam2_video_propagation
8,0.291667,706.459,361.968,12.952,527.0,sam2_video_propagation
9,0.333333,703.437,407.721,14.127,627.0,sam2_video_propagation
10,0.375000,700.468,465.880,15.554,760.0,sam2_video_propagation
11,0.416667,700.496,533.759,16.323,837.0,sam2_video_propagation
12,0.458333,698.427,489.899,13.727,592.0,sam2_video_propagation
13,0.500000,698.643,452.866,13.716,591.0,sam2_video_propagation
14,0.541667,698.881,421.465,13.576,579.0,sam2_video_propagation
15,0.583333,698.991,397.845,13.303,556.0,sam2_video_propagation
16,0.625000,699.208,380.932,12.964,528.0,sam2_video_propagation
17,0.666667,713.732,359.544,14.658,675.0,sam2_video_propagation
18,0.708333,736.775,323.784,13.291,555.0,sam2_video_propagation
19,0.750000,755.960,294.007,11.631,425.0,sam2_video_propagation
20,0.791667,771.679,272.393,10.540,349.0,sam2_video_propagation
21,0.833333,783.665,258.060,10.265,331.0,sam2_video_propagation
22,0.875000,794.802,249.218,9.657,293.0,sam2_video_propagation
23,0.916667,804.050,245.088,9.132,262.0,sam2_video_propagation
24,0.958333,811.446,246.317,8.740,240.0,sam2_video_propagation
25,1.000000,808.421,244.640,10.218,328.0,sam2_video_propagation
26,1.041667,798.745,234.126,10.061,318.0,sam2_video_propagation
27,1.083333,787.110,225.848,9.491,283.0,sam2_video_propagation
28,1.125000,776.170,223.764,9.288,271.0,sam2_video_propagation
29,1.166667,764.263,226.500,13.111,540.0,sam2_video_propagation
30,1.208333,756.900,235.290,11.424,410.0,sam2_video_propagation
31,1.250000,750.000,244.567,10.540,349.0,sam2_video_propagation
32,1.291667,742.562,258.962,13.351,560.0,sam2_video_propagation
33,1.333333,731.613,292.030,15.706,775.0,sam2_video_propagation
34,1.375000,723.470,333.371,19.257,1165.0,sam2_video_propagation
35,1.416667,713.977,364.946,12.399,483.0,sam2_video_propagation
36,1.458333,701.658,522.184,21.822,1496.0,sam2_video_propagation
37,1.500000,695.907,475.397,13.315,557.0,sam2_video_propagation
38,1.541667,694.887,502.183,15.023,709.0,sam2_video_propagation
39,1.583333,696.977,450.768,12.890,522.0,sam2_video_propagation
40,1.625000,698.193,414.429,13.207,548.0,sam2_video_propagation
41,1.666667,698.473,383.418,12.679,505.0,sam2_video_propagation
42,1.708333,698.685,358.808,12.679,505.0,sam2_video_propagation
43,1.750000,698.419,340.378,12.514,492.0,sam2_video_propagation
44,1.791667,697.366,329.260,12.578,497.0,sam2_video_propagation
45,1.833333,695.727,324.030,12.952,527.0,sam2_video_propagation
46,1.875000,693.185,324.401,13.183,546.0,sam2_video_propagation
47,1.916667,,,,0,sam2_video_propagation
48,1.958333,725.139,303.239,10.705,360.0,sam2_video_propagation
49,2.000000,745.237,285.059,12.903,523.0,sam2_video_propagation
50,2.041667,766.728,269.820,11.199,394.0,sam2_video_propagation
51,2.083333,784.193,259.731,10.202,327.0,sam2_video_propagation
52,2.125000,798.110,254.144,9.624,291.0,sam2_video_propagation
53,2.166667,809.241,253.441,9.950,311.0,sam2_video_propagation
54,2.208333,802.602,244.488,11.562,420.0,sam2_video_propagation
55,2.250000,789.364,230.879,9.982,313.0,sam2_video_propagation
56,2.291667,776.365,224.567,9.474,282.0,sam2_video_propagation
57,2.333333,763.041,223.884,9.236,268.0,sam2_video_propagation
58,2.375000,749.860,227.795,9.167,264.0,sam2_video_propagation
59,2.416667,736.335,236.361,9.253,269.0,sam2_video_propagation
60,2.458333,722.302,250.253,9.458,281.0,sam2_video_propagation
61,2.500000,709.498,269.288,9.525,285.0,sam2_video_propagation
62,2.541667,696.720,293.582,9.950,311.0,sam2_video_propagation
63,2.583333,684.580,322.285,10.077,319.0,sam2_video_propagation
64,2.625000,671.781,354.887,10.093,320.0,sam2_video_propagation
65,2.666667,661.504,390.071,10.388,339.0,sam2_video_propagation
66,2.708333,653.275,392.665,9.253,269.0,sam2_video_propagation
67,2.750000,647.730,366.986,9.474,282.0,sam2_video_propagation
68,2.791667,641.510,345.610,9.772,300.0,sam2_video_propagation
69,2.833333,635.722,330.408,9.918,309.0,sam2_video_propagation
70,2.875000,628.564,320.312,9.739,298.0,sam2_video_propagation
71,2.916667,620.060,315.217,10.555,350.0,sam2_video_propagation
72,2.958333,610.368,314.932,10.852,370.0,sam2_video_propagation
73,3.000000,599.411,320.264,11.672,428.0,sam2_video_propagation
74,3.041667,592.737,324.486,7.464,175.0,sam2_video_propagation
75,3.083333,590.440,321.193,7.269,166.0,sam2_video_propagation
76,3.125000,599.965,306.331,12.754,511.0,sam2_video_propagation
77,3.166667,615.506,289.119,12.361,480.0,sam2_video_propagation
78,3.208333,629.538,280.579,12.754,511.0,sam2_video_propagation
79,3.250000,642.672,277.666,12.878,521.0,sam2_video_propagation
80,3.291667,655.950,282.406,13.135,542.0,sam2_video_propagation
81,3.333333,668.766,293.747,13.493,572.0,sam2_video_propagation
82,3.375000,681.408,312.725,13.912,608.0,sam2_video_propagation
83,3.416667,694.048,338.317,14.071,622.0,sam2_video_propagation
84,3.458333,706.620,370.184,14.723,681.0,sam2_video_propagation
85,3.500000,731.215,344.963,15.787,783.0,sam2_video_propagation
86,3.541667,760.604,305.547,13.541,576.0,sam2_video_propagation
87,3.583333,783.586,275.539,11.604,423.0,sam2_video_propagation
88,3.625000,801.563,254.805,10.449,343.0,sam2_video_propagation
89,3.666667,817.827,242.800,10.779,365.0,sam2_video_propagation
90,3.708333,810.566,234.782,10.998,380.0,sam2_video_propagation
91,3.750000,801.324,227.519,9.558,287.0,sam2_video_propagation
92,3.791667,793.510,226.089,9.045,257.0,sam2_video_propagation
93,3.833333,787.538,230.394,9.167,264.0,sam2_video_propagation
94,3.875000,781.832,239.421,9.441,280.0,sam2_video_propagation
95,3.916667,776.158,252.265,9.624,291.0,sam2_video_propagation
96,3.958333,770.716,269.353,9.356,275.0,sam2_video_propagation
97,4.000000,765.676,292.758,10.249,330.0,sam2_video_propagation
98,4.041667,761.440,317.876,9.885,307.0,sam2_video_propagation
99,4.083333,756.726,310.067,9.525,285.0,sam2_video_propagation
100,4.125000,751.773,297.514,9.474,282.0,sam2_video_propagation
101,4.166667,747.654,290.541,9.202,266.0,sam2_video_propagation
102,4.208333,743.104,288.438,9.723,297.0,sam2_video_propagation
103,4.250000,738.748,291.227,10.249,330.0,sam2_video_propagation
104,4.291667,733.986,299.865,10.630,355.0,sam2_video_propagation
105,4.333333,729.518,315.495,11.227,396.0,sam2_video_propagation
106,4.375000,724.478,339.374,12.127,462.0,sam2_video_propagation
107,4.416667,719.311,372.772,13.564,578.0,sam2_video_propagation
108,4.458333,713.789,415.809,14.373,649.0,sam2_video_propagation
109,4.500000,708.247,467.958,15.605,765.0,sam2_video_propagation
110,4.541667,705.364,509.490,14.417,653.0,sam2_video_propagation
111,4.583333,704.464,464.957,14.461,657.0,sam2_video_propagation
112,4.625000,703.993,424.359,13.969,613.0,sam2_video_propagation
113,4.666667,703.044,391.221,14.003,616.0,sam2_video_propagation
114,4.708333,702.417,364.819,13.646,585.0,sam2_video_propagation
115,4.750000,700.878,345.476,13.517,574.0,sam2_video_propagation
116,4.791667,701.520,330.257,11.396,408.0,sam2_video_propagation
117,4.833333,,,,0,sam2_video_propagation
