frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
15,0.583333,527.823,438.871,527.083,438.507,ref,521.931,395.060,human_nearest_mesh_topk,528.000,481.433,481.850,42.562,42.926,bottom_percentile_95,2.632877,4.793787,2.160910,1.000000,0.618489,0.619094,1.000000,1.000000,1.000000,0.000000,0.338000,5.000000,8.000000,right_hand,0.619094,519.038,374.921,3.755041,boundary_000,2.599041,2.632877,1.000000,0.416895,0.000000,0.000000
16,0.625000,527.348,423.359,528.045,424.069,ref,524.084,379.730,human_nearest_mesh_topk,529.000,467.068,466.000,43.709,42.999,bottom_percentile_95,2.636054,3.186303,0.550248,1.000000,0.366902,0.753833,0.618649,0.618649,0.746258,10.465785,0.000000,5.000000,8.000000,right_hand,0.753833,521.786,368.163,3.729562,boundary_000,2.638654,2.636054,0.618649,1.068105,0.000000,0.000000
17,0.666667,529.287,416.293,529.063,416.323,ref,526.704,371.573,human_nearest_mesh_topk,532.000,459.044,459.000,42.751,42.722,bottom_percentile_95,2.633945,2.642504,0.008560,1.000000,1.000000,0.904716,0.703197,0.703197,0.575206,17.521000,0.066000,5.000000,8.000000,right_hand,0.904716,525.329,368.008,3.714808,boundary_003,2.632219,2.633945,0.703197,0.044476,0.020973,0.000000
18,0.708333,530.680,417.553,531.147,417.040,ref,528.713,374.519,human_nearest_mesh_topk,535.000,458.190,459.000,40.637,41.150,bottom_percentile_95,2.613565,2.597237,-0.016328,1.000000,0.294662,0.945113,1.000000,1.000000,0.605754,16.261000,0.000000,5.000000,8.000000,right_hand,0.945113,528.677,377.235,3.699178,boundary_002,2.596891,2.613565,1.000000,0.810267,0.308689,0.000000
19,0.750000,533.560,433.814,532.965,437.237,ref,530.408,390.480,human_nearest_mesh_topk,531.000,476.068,474.000,42.254,38.831,bottom_percentile_95,2.603126,2.601108,-0.002018,1.000000,0.000000,0.901788,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.901788,529.924,395.031,3.699030,boundary_003,2.594584,2.603126,1.000000,2.068133,0.482524,0.000000
20,0.791667,534.040,482.778,534.195,481.406,ref,533.870,438.610,human_nearest_mesh_topk,526.500,517.999,517.000,35.221,36.593,bottom_percentile_95,2.504573,2.432317,-0.072256,1.000000,0.000000,0.617283,1.000000,1.000000,1.000000,0.000000,1.760000,5.000000,8.000000,right_hand,0.617283,529.850,419.722,3.711479,boundary_003,2.423939,2.504573,1.000000,0.998657,0.171536,0.000000
21,0.833333,535.175,540.956,535.705,545.599,ref,535.836,495.121,human_nearest_mesh_topk,539.000,580.371,575.850,39.415,34.772,bottom_percentile_95,2.445397,2.486735,0.041338,1.000000,0.000000,0.242323,0.880318,0.880318,0.972482,1.135000,1.088000,5.000000,8.000000,right_hand,0.242323,530.156,438.307,3.735127,boundary_003,2.396981,2.445397,0.880318,4.521086,0.086797,0.000000
22,0.875000,539.066,604.311,537.907,595.202,ref,513.612,627.650,human_nearest_mesh_topk,539.500,630.415,639.850,26.104,35.213,bottom_percentile_95,2.430783,2.442822,0.012039,1.000000,0.000000,0.573102,0.933602,0.933602,0.000000,63.554046,0.443000,5.000000,8.000000,right_foot,0.573102,498.178,643.458,3.994147,boundary_021,2.418826,2.430783,0.933602,9.435276,1.000000,0.433646
23,0.916667,538.213,600.868,537.755,595.145,ref,511.777,626.209,human_nearest_mesh_topk,541.000,632.860,636.850,31.992,37.716,bottom_percentile_95,2.414422,2.435790,0.021368,1.000000,0.000000,0.579133,1.000000,1.000000,0.000000,60.057153,0.000000,5.000000,8.000000,right_foot,0.579133,497.751,643.232,3.985387,boundary_019,2.401036,2.414422,1.000000,3.989867,1.000000,0.650468
24,0.958333,533.800,545.411,534.023,552.104,ref,532.832,503.338,human_nearest_mesh_topk,537.000,591.456,587.850,46.045,39.351,bottom_percentile_95,2.369664,2.494684,0.125020,1.000000,0.000000,0.285891,1.000000,1.000000,0.891989,4.455000,3.992000,5.000000,8.000000,right_hand,0.285891,522.314,452.860,3.714227,boundary_000,2.333044,2.369664,1.000000,3.605505,0.000000,0.867291
25,1.000000,528.938,505.726,529.152,505.185,ref,520.370,459.722,human_nearest_mesh_topk,532.000,545.371,546.850,39.645,40.187,bottom_percentile_95,2.313867,2.275252,-0.038615,1.000000,0.000000,0.654390,0.315606,0.315606,1.000000,0.000000,2.079000,5.000000,8.000000,right_hand,0.654390,517.698,443.088,3.668438,boundary_003,2.268215,2.313867,0.315606,1.478590,0.037657,0.650468
26,1.041667,524.993,474.955,524.542,475.069,ref,521.568,434.036,human_nearest_mesh_topk,525.000,515.235,514.000,40.280,40.165,bottom_percentile_95,2.263822,2.258621,-0.005201,1.000000,0.000000,0.740000,0.000000,0.100000,1.000000,0.000000,0.439000,5.000000,8.000000,right_hand,0.740000,513.966,424.576,3.641512,boundary_004,2.222876,2.263822,0.000000,1.234638,0.000000,0.433646
27,1.083333,520.833,452.553,521.528,452.294,ref,515.591,413.063,human_nearest_mesh_topk,526.000,491.624,491.000,39.071,39.330,bottom_percentile_95,2.249813,2.284172,0.034359,1.000000,0.167246,0.766135,0.116252,0.116252,1.000000,0.000000,1.911000,5.000000,8.000000,right_hand,0.766135,512.539,403.523,3.619800,boundary_003,2.238351,2.249813,0.116252,0.624400,0.000000,0.000000
28,1.125000,519.796,436.642,520.191,436.777,ref,516.954,395.239,human_nearest_mesh_topk,523.000,476.115,477.000,39.473,39.339,bottom_percentile_95,2.239419,2.312777,0.073357,1.000000,0.497963,0.783244,0.677290,0.677290,0.974858,1.037000,0.000000,5.000000,8.000000,right_hand,0.783244,512.501,386.702,3.608790,boundary_001,2.230916,2.239419,0.677290,0.884619,0.000000,0.000000
29,1.166667,520.589,428.366,520.377,428.856,ref,515.200,383.410,human_nearest_mesh_topk,522.000,468.839,467.850,40.473,39.983,bottom_percentile_95,2.282833,2.409439,0.126605,1.000000,0.354064,0.814712,0.508598,0.508598,0.799262,8.279596,0.874000,5.000000,8.000000,right_hand,0.814712,513.507,376.676,3.600039,boundary_000,2.318354,2.282833,0.508598,0.989133,0.000000,0.000000
30,1.208333,520.286,424.626,520.478,425.291,ref,517.790,376.809,human_nearest_mesh_topk,525.500,465.857,465.000,41.231,40.566,bottom_percentile_95,2.304464,2.419843,0.115378,1.000000,0.517820,0.883802,0.458562,0.458562,0.708372,12.028444,0.000000,5.000000,8.000000,right_hand,0.883802,515.461,373.762,3.591058,boundary_001,2.322162,2.304464,0.458562,0.856819,0.000000,0.000000
31,1.250000,521.106,427.299,520.979,429.454,ref,519.586,382.045,human_nearest_mesh_topk,528.000,471.054,469.850,43.755,41.600,bottom_percentile_95,2.340408,2.428193,0.087785,1.000000,0.130146,0.964316,0.000000,0.100000,0.773480,9.343000,1.201000,5.000000,8.000000,right_hand,0.964316,518.628,381.521,3.585791,boundary_003,2.369816,2.340408,0.000000,1.203800,0.105616,0.000000
32,1.291667,522.738,445.650,523.370,443.389,ref,521.912,400.052,human_nearest_mesh_topk,527.000,486.734,487.000,41.084,43.345,bottom_percentile_95,2.287791,2.286062,-0.001729,1.000000,0.000000,0.925422,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.867547,523.132,402.903,3.585649,interior_005,2.244740,2.287791,1.000000,0.265600,0.259453,0.000000
