frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame
32,1.291667,-0.299343,0.215506,3.990632,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.979,439.374,49.416,529.838,439.309,44.162,483.470,657.784,0.155435,0,0
33,1.333333,-0.286180,0.305264,3.983526,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.500,472.500,50.384,534.494,472.542,44.240,516.782,657.784,0.041982,0,0
34,1.375000,-0.284055,0.468145,3.976420,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.008,532.830,46.859,535.090,532.899,44.319,577.218,657.784,0.107559,0,0
35,1.416667,-0.272737,0.624497,3.969313,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.971,590.980,46.079,539.090,591.057,44.399,635.456,657.784,0.142123,0,0
36,1.458333,-0.276216,0.683441,3.962207,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,537.498,615.445,45.488,537.620,613.320,44.478,657.798,657.784,2.128936,1,1
37,1.500000,-0.287794,0.566504,3.953218,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.000,570.441,44.797,533.086,570.454,44.580,615.033,657.784,0.086595,0,0
38,1.541667,-0.289744,0.458519,3.955446,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.519,530.242,48.341,532.422,530.242,44.554,574.796,657.784,0.097177,0,0
39,1.583333,-0.311391,0.357477,3.957674,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.545,492.597,47.358,524.450,492.652,44.529,537.181,657.784,0.110059,0,0
40,1.625000,-0.324221,0.285827,3.959902,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.683,465.867,46.615,519.756,466.004,44.504,510.509,657.784,0.155628,0,0
41,1.666667,-0.330704,0.227833,3.962130,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.509,444.427,47.267,517.421,444.449,44.479,488.928,657.784,0.090590,0,0
42,1.708333,-0.336405,0.190980,3.964358,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.305,430.628,47.230,515.378,430.749,44.454,475.203,657.784,0.141308,0,0
