frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame
138,5.708333,-0.356332,0.547685,3.986702,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.669,561.797,44.101,508.736,561.754,44.205,605.959,657.784,0.079447,0,0
139,5.750000,-0.343835,0.423217,3.993416,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.514,515.486,50.364,513.553,515.641,44.131,559.771,657.784,0.159378,0,0
140,5.791667,-0.334499,0.351892,4.000130,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.150,489.148,48.392,517.192,489.193,44.057,533.250,657.784,0.061845,0,0
141,5.833333,-0.322718,0.297986,4.006844,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.659,469.061,47.119,521.716,469.219,43.983,513.202,657.784,0.168155,0,0
142,5.875000,-0.307055,0.261651,4.013558,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.723,455.668,47.581,527.645,455.741,43.909,499.650,657.784,0.106637,0,0
143,5.916667,-0.283566,0.253168,4.020273,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.329,452.481,47.320,536.414,452.482,43.836,496.318,657.784,0.084573,0,0
144,5.958333,-0.257185,0.273109,4.026987,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,546.128,459.602,47.917,546.207,459.600,43.763,503.363,657.784,0.078878,0,0
145,6.000000,-0.231635,0.324993,4.033701,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.731,478.287,47.131,555.665,478.325,43.690,522.015,657.784,0.075724,0,0
146,6.041667,-0.203108,0.453720,4.040415,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.118,524.927,45.793,566.175,524.917,43.617,568.535,657.784,0.057344,0,0
147,6.083333,-0.177457,0.608322,4.047129,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.555,580.774,44.782,575.605,580.745,43.545,624.290,657.784,0.057763,0,0
148,6.125000,-0.157278,0.702155,4.053844,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.032,624.407,45.121,583.022,614.373,43.473,657.846,657.784,10.033873,1,1
149,6.166667,-0.154929,0.618045,4.051981,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,583.718,583.886,45.480,583.847,584.005,43.493,627.498,657.784,0.175549,0,0
150,6.208333,-0.152722,0.510606,4.044280,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.508,545.289,45.223,584.542,545.417,43.576,588.993,657.784,0.132575,0,0
151,6.250000,-0.153788,0.410230,4.036579,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.000,509.000,46.044,584.048,509.251,43.659,552.910,657.784,0.256022,0,0
152,6.291667,-0.149488,0.337639,4.028879,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.500,483.071,46.183,585.509,483.076,43.742,526.818,657.784,0.009977,0,0
153,6.333333,-0.151958,0.282080,4.021178,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.508,462.897,46.393,584.502,463.021,43.826,506.847,657.784,0.123666,0,0
154,6.375000,-0.149533,0.255405,4.013477,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,585.200,453.295,46.317,585.283,453.457,43.910,497.367,657.784,0.182248,0,0
155,6.416667,-0.145177,0.248719,4.005776,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.809,451.201,46.919,586.775,451.186,43.995,495.180,657.784,0.037182,0,0
156,6.458333,-0.141703,0.262059,3.998075,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,588.014,456.185,47.114,587.948,456.261,44.079,500.341,657.784,0.100754,0,0
157,6.500000,-0.141702,0.306203,3.990374,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.859,472.572,49.296,587.848,472.694,44.164,516.858,657.784,0.122280,0,0
158,6.541667,-0.149528,0.419605,3.982674,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.741,514.660,48.419,584.862,514.729,44.250,558.979,657.784,0.139109,0,0
159,6.583333,-0.167824,0.560986,3.974973,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,578.000,567.000,55.570,577.995,567.263,44.336,611.599,657.784,0.263436,0,0
160,6.625000,-0.187209,0.726519,3.967272,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,570.604,629.000,47.167,570.699,628.943,44.422,673.364,657.784,0.110808,0,0
161,6.666667,-0.221069,0.682659,3.959571,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,558.000,600.024,45.301,558.005,613.198,44.508,657.706,657.784,13.174238,1,1
162,6.708333,-0.260393,0.522395,3.958862,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,543.283,553.623,46.684,543.403,553.791,44.516,598.307,657.784,0.206499,0,0
163,6.750000,-0.288571,0.416548,3.959873,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.000,514.387,49.412,532.977,514.486,44.505,558.991,657.784,0.101527,0,0
164,6.791667,-0.315987,0.343357,3.960884,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.886,487.270,47.419,522.839,487.309,44.493,531.802,657.784,0.060721,0,0
165,6.833333,-0.335632,0.289305,3.961895,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.496,467.168,46.489,515.587,467.240,44.482,511.722,657.784,0.116340,0,0
166,6.875000,-0.351894,0.248081,3.962906,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.477,451.795,46.214,509.592,451.936,44.471,496.406,657.784,0.181925,0,0
167,6.916667,-0.363789,0.222290,3.963917,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,505.168,442.279,46.340,505.219,442.357,44.459,486.816,657.784,0.093050,0,0
168,6.958333,-0.373345,0.210645,3.964928,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,501.643,438.071,46.305,501.714,438.023,44.448,482.471,657.784,0.085406,0,0
169,7.000000,-0.383174,0.216921,3.965939,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,498.009,440.330,46.658,498.109,440.327,44.437,484.763,657.784,0.100120,0,0
170,7.041667,-0.390518,0.270332,3.966950,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,495.539,460.114,47.085,495.426,460.079,44.425,504.505,657.784,0.117754,0,0
171,7.083333,-0.388868,0.364467,3.967961,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.304,494.921,48.554,496.074,494.895,44.414,539.309,657.784,0.231445,0,0
172,7.125000,-0.387182,0.514162,3.968972,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.732,550.273,47.785,496.734,550.251,44.403,594.653,657.784,0.022320,0,0
173,7.166667,-0.375267,0.685883,3.969983,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,501.124,613.616,46.131,501.178,613.727,44.391,658.118,657.784,0.123395,0,0
174,7.208333,-0.370354,0.685013,3.970994,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.000,603.000,45.804,503.031,613.341,44.380,657.721,657.784,10.340649,1,1
175,7.250000,-0.361546,0.530029,3.969794,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,506.330,555.979,45.984,506.248,556.082,44.393,600.475,657.784,0.131277,0,0
176,7.291667,-0.350358,0.429813,3.970513,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.359,519.020,48.559,510.410,518.978,44.385,563.364,657.784,0.065948,0,0
177,7.333333,-0.335170,0.329891,3.971232,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.040,481.947,49.584,516.051,481.997,44.377,526.375,657.784,0.051363,0,0
178,7.375000,-0.319572,0.275653,3.971951,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.756,461.834,47.709,521.840,461.921,44.369,506.290,657.784,0.121157,0,0
179,7.416667,-0.302999,0.234234,3.972670,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.007,446.535,47.751,527.988,446.591,44.361,490.952,657.784,0.058942,0,0
180,7.458333,-0.280063,0.215347,3.973388,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.559,439.568,46.803,536.486,439.595,44.353,483.948,657.784,0.077845,0,0
181,7.500000,-0.255822,0.214765,3.974107,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,545.500,439.406,46.742,545.463,439.365,44.345,483.710,657.784,0.055401,0,0
182,7.541667,-0.225482,0.234154,3.974826,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,556.715,446.460,48.602,556.690,446.514,44.337,490.852,657.784,0.060035,0,0
183,7.583333,-0.205157,0.287322,3.975545,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.133,466.021,46.773,564.213,466.140,44.329,510.469,657.784,0.143064,0,0
184,7.625000,-0.174999,0.374701,3.976264,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.471,498.418,49.509,575.365,498.393,44.321,542.714,657.784,0.108471,0,0
185,7.666667,-0.154895,0.498364,3.976983,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.820,543.866,54.028,582.801,544.034,44.313,588.347,657.784,0.169060,0,0
186,7.708333,-0.140573,0.689670,3.977702,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,588.129,614.693,46.689,588.099,614.633,44.305,658.938,657.784,0.067224,0,0
187,7.750000,-0.151520,0.686670,3.978421,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.058,612.386,45.398,584.068,613.479,44.297,657.776,657.784,1.093109,1,1
188,7.791667,-0.170997,0.554625,3.983742,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.929,564.432,47.308,576.962,564.462,44.238,608.700,657.784,0.044784,0,0
189,7.833333,-0.190299,0.454367,3.981754,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,569.723,527.486,46.624,569.811,527.586,44.260,571.846,657.784,0.133342,0,0
190,7.875000,-0.215181,0.383341,3.979766,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,560.617,501.315,45.635,560.594,501.460,44.282,545.742,657.784,0.146319,0,0
191,7.916667,-0.237092,0.321993,3.977778,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,552.451,478.924,47.144,552.465,478.880,44.304,523.185,657.784,0.045886,0,0
192,7.958333,-0.252611,0.284961,3.975791,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,546.731,465.269,46.508,546.689,465.261,44.326,509.587,657.784,0.042995,0,0
