frame,time,ball_center_x,ball_center_y,radius,mask_area
133,5.500000,642.892,365.306,22.447,1583.0
134,5.541667,642.696,365.320,22.405,1577.0
135,5.583333,642.668,365.247,22.490,1589.0
136,5.625000,642.735,365.177,22.546,1597.0
137,5.666667,642.744,365.191,22.539,1596.0
138,5.708333,642.580,365.504,22.454,1584.0
139,5.750000,642.179,365.554,22.518,1593.0
140,5.791667,642.556,365.995,22.169,1544.0
141,5.833333,642.137,366.102,22.133,1539.0
142,5.875000,641.374,366.013,22.334,1567.0
143,5.916667,641.229,366.033,22.305,1563.0
144,5.958333,641.248,366.072,22.284,1560.0
145,6.000000,641.323,365.994,22.277,1559.0
146,6.041667,641.345,365.964,22.262,1557.0
147,6.083333,641.385,365.966,22.226,1552.0
148,6.125000,642.050,366.071,21.960,1515.0
149,6.166667,642.075,366.055,21.982,1518.0
150,6.208333,642.025,365.999,22.068,1530.0
151,6.250000,641.898,365.974,22.104,1535.0
152,6.291667,642.033,365.914,22.068,1530.0
153,6.333333,641.323,365.742,22.341,1568.0
154,6.375000,641.228,365.673,22.383,1574.0
155,6.416667,641.154,365.684,22.483,1588.0
156,6.458333,641.952,365.968,22.097,1534.0
157,6.500000,641.845,365.914,22.068,1530.0
158,6.541667,641.810,365.887,22.133,1539.0
159,6.583333,641.671,365.950,22.205,1549.0
160,6.625000,641.665,365.851,22.234,1553.0
161,6.666667,641.314,365.894,22.032,1525.0
162,6.708333,641.456,365.900,22.334,1567.0
163,6.750000,641.282,365.960,22.405,1577.0
164,6.791667,641.128,365.925,22.497,1590.0
165,6.833333,640.934,365.977,22.596,1604.0
166,6.875000,640.912,365.954,22.631,1609.0
167,6.916667,640.861,365.974,22.631,1609.0
168,6.958333,640.827,366.000,22.687,1617.0
169,7.000000,640.885,366.027,22.645,1611.0
170,7.041667,640.893,366.015,22.708,1620.0
171,7.083333,640.815,366.012,22.750,1626.0
172,7.125000,640.835,366.049,22.736,1624.0
173,7.166667,640.767,366.049,22.722,1622.0
174,7.208333,640.741,366.033,22.708,1620.0
175,7.250000,640.728,366.034,22.729,1623.0
176,7.291667,640.683,366.020,22.799,1633.0
177,7.333333,640.635,366.014,22.771,1629.0
178,7.375000,640.532,365.990,22.792,1632.0
179,7.416667,640.585,365.985,22.778,1630.0
180,7.458333,640.573,365.986,22.771,1629.0
