event,audio_time,audio_frame,peak,prominence,rms_rise,sharpness,audio_score
audio event 1,0.096000,2,3.198423,2.698593,0.000233,2.848258,0.233097
audio event 2,0.416000,10,10.651795,10.431614,0.011498,5.614671,0.932983
audio event 3,0.992000,24,10.207685,9.858742,0.006141,8.951416,0.867291
audio event 4,1.504000,36,8.021961,7.680118,0.006662,5.576976,0.686363
audio event 5,2.112000,51,9.969407,9.717540,0.012022,8.029579,0.938178
audio event 6,2.656000,64,9.885345,9.540390,0.009337,8.118592,0.887106
audio event 7,3.200000,77,7.398664,7.084469,0.004352,5.700498,0.612349
audio event 8,3.680000,88,9.735875,9.456899,0.006306,8.296322,0.832265
audio event 9,4.192000,101,6.794633,6.449175,0.005046,4.548180,0.566947
audio event 10,4.704000,113,6.869180,6.496286,0.006949,4.805887,0.606620
audio event 11,5.248000,126,7.137806,6.746159,0.011969,5.295651,0.714152
audio event 12,5.728000,137,9.426092,9.152495,0.006706,8.022974,0.815531
audio event 13,6.208000,149,8.735468,8.391677,0.005677,7.228674,0.740864
audio event 14,6.720000,161,8.674757,8.343110,0.004648,7.485680,0.724553
audio event 15,7.264000,174,10.485188,10.139404,0.004325,9.184611,0.858065
audio event 16,7.808000,187,8.826015,8.404522,0.005706,7.172048,0.743766
