event,event_type,audio_time,audio_frame,start_time_s,end_time_s,start_frame,end_frame,peak,prominence,rms_rise,sharpness,audio_score,snr,band_profile,detector,source
motion_onset_0002,motion_onset,0.0625,2,0.041666666666666664,0.08333333333333333,2,2,0.0058243279792638035,1.374594115076071,0.698145794005194,0.18312304610952249,0.5861816356871226,0.698145794005194,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
seam_click_0027,seam_click,0.0625,2,0.041666666666666664,0.08333333333333333,2,2,0.0058243279792638035,1.374594115076071,0.698145794005194,0.18312304610952249,0.798121387997312,0.698145794005194,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
short_tug_0001,short_tug,0.0625,2,0.041666666666666664,0.25,2,6,0.0058243279792638035,1.374594115076071,0.698145794005194,0.18312304610952249,0.5861816356871226,0.698145794005194,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
legacy_peak_0001,unknown,0.048,2,0.048,0.048,2,2,0.009693958017224402,0.9980166689016428,0.9980166689016428,0.2831236370442963,0.142623633146286,0.9980166689016428,legacy_peak,combined,audio
motion_offset_0003,motion_offset,0.22916666666666666,6,0.20833333333333334,0.25,6,6,0.0038215706294941775,0.0,0.003091481235815188,0.1671237908449608,0.5861816356871226,0.003091481235815188,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
seam_click_0028,seam_click,0.4375,11,0.4166666666666667,0.4583333333333333,11,11,0.004960130319858753,1.978671883987597,0.43322278116313373,0.16655149991876345,0.8785395129552577,0.43322278116313373,low_mid,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
legacy_peak_0002,unknown,0.44,12,0.44,0.44,12,12,0.13452645655842344,0.9763127374719602,0.9763127374719602,0.19591269432815603,0.0,0.9763127374719602,legacy_peak,combined,audio
motion_onset_0005,motion_onset,0.5625,14,0.5416666666666666,0.5833333333333334,14,14,0.04145117519354026,6.868365923185672,3.9351766284579317,0.348814048414519,0.7055574652859897,3.9351766284579317,broadband,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
seam_click_0029,seam_click,0.5625,14,0.5416666666666666,0.5833333333333334,14,14,0.04145117519354026,6.868365923185672,3.9351766284579317,0.348814048414519,0.9989609054374669,3.9351766284579317,broadband,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
sustained_motion_0004,sustained_motion,0.5625,14,0.5416666666666666,1.1666666666666667,14,28,0.04145117519354026,6.868365923185672,3.9351766284579317,0.348814048414519,0.7055574652859897,3.9351766284579317,broadband,robust_interval_envelope_v2,/tmp/audiohoi-nine/samples_known_object/13_volleyball/audio.wav
legacy_peak_0003,unknown,0.5760000000000001,15,0.5760000000000001,0.5760000000000001,15,15,0.13452645655842344,0.9763127374719602,0.9763127374719602,0.3734126042400751,0.8316764879583456,0.9763127374719602,legacy_peak,combined,audio
