frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
70,2.875000,left,left,547.119,22.951,60.336413,60.336413,0.865958,0.001997,none,0,0
71,2.916667,left,grid_10_07,549.065,25.797,47.986879,47.986879,0.219491,0.015742,none,0,0
72,2.958333,left,,,,inf,inf,0.000000,0.000000,none,0,0
73,3.000000,left,,,,inf,inf,0.000000,0.000000,none,0,0
74,3.041667,left,,,,inf,inf,0.000000,0.000000,none,0,0
75,3.083333,left,,,,inf,inf,0.000000,0.000000,none,0,0
76,3.125000,left,,,,inf,inf,0.000000,0.000000,none,0,0
77,3.166667,left,,,,inf,inf,0.325115,0.097534,none,0,0
78,3.208333,left,,,,inf,inf,0.487672,0.146302,none,0,0
79,3.250000,left,,,,inf,inf,0.650230,0.195069,none,0,0
80,3.291667,left,,,,inf,inf,0.487672,0.146302,none,0,0
81,3.333333,left,,,,inf,inf,0.325115,0.097534,none,0,0
82,3.375000,left,,,,inf,inf,0.287232,0.086170,none,0,0
83,3.416667,left,,,,inf,inf,0.430848,0.129254,none,0,0
84,3.458333,left,,,,inf,inf,0.574464,0.172339,none,0,0
85,3.500000,left,,,,inf,inf,0.430848,0.129254,none,0,0
86,3.541667,left,,,,inf,inf,0.287232,0.086170,none,0,0
87,3.583333,left,grid_10_05,578.939,21.225,136.882237,136.882237,0.000000,0.000000,none,0,0
88,3.625000,left,left,558.216,22.988,136.865235,136.865235,0.346136,0.000000,none,0,0
89,3.666667,left,bottom,584.276,69.856,93.746038,93.746038,0.319279,0.000001,none,0,0
90,3.708333,left,bottom,583.988,95.620,70.998060,70.998060,0.000230,0.000230,none,0,0
91,3.750000,left,bottom,583.733,121.307,49.408784,49.408784,0.012713,0.012713,none,0,0
92,3.791667,left,bottom,582.701,153.525,23.407701,23.407701,0.236125,0.236125,none,0,0
93,3.833333,left,bottom,584.328,173.894,21.308651,21.308651,1.000000,0.422207,proposal,1,1
94,3.875000,left,left,560.415,152.399,13.633372,13.633372,1.000000,0.636767,soft,1,1
95,3.916667,left,left,557.595,141.578,16.141336,16.141336,1.000000,0.666469,soft,1,1
96,3.958333,left,left,553.753,125.403,18.171944,18.171944,0.746390,0.554322,soft,1,1
97,4.000000,right,bottom,576.137,133.730,23.372973,23.372973,0.497594,0.385996,proposal,1,1
98,4.041667,left,left,543.603,79.986,28.474478,28.474478,0.157384,0.157384,none,0,0
99,4.083333,left,left,540.199,56.489,34.162653,34.162653,0.090818,0.090818,none,0,0
100,4.125000,left,bottom,568.586,64.861,39.196261,39.196261,0.406020,0.051368,none,0,0
101,4.166667,left,bottom,569.309,44.968,45.458178,45.458178,0.375554,0.022668,none,0,0
102,4.208333,left,bottom,569.483,27.887,55.187800,55.187800,0.005002,0.005002,none,0,0
103,4.250000,left,bottom,571.492,16.084,67.535952,67.535952,0.291202,0.087843,none,0,0
104,4.291667,left,grid_11_06,574.270,9.693,80.609937,80.609937,0.436802,0.131065,none,0,0
