frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
66,2.166667,1.928824,3.614022,1.643560,0.443884,1739,0.636577,0.6579,0.0000,mask
67,2.200000,1.922753,3.609754,1.569374,0.592236,1798,0.617299,0.6399,0.0000,mask
68,2.233333,1.929202,3.625623,1.531847,0.670379,1780,0.570202,0.5934,0.0000,mask
69,2.266667,1.907367,3.598074,1.529023,0.681665,1598,0.563721,0.5875,0.0000,mask
70,2.300000,1.889135,3.574613,1.552527,0.641680,1620,0.661635,0.6870,0.0000,mask
71,2.333333,1.910497,3.611252,1.588608,0.576221,1473,0.667220,0.6915,0.0000,mask
72,2.366667,1.936648,3.655627,1.624755,0.509047,1420,0.704685,0.7222,0.0000,mask
73,2.400000,1.951634,3.681827,1.656406,0.449129,1430,0.649436,0.6660,0.0000,mask
74,2.433333,1.923049,3.634208,1.689028,0.386125,1405,0.656692,0.6748,0.0000,mask
75,2.466667,1.935534,3.654039,1.735781,0.294375,1512,0.636619,0.6554,0.0000,mask
76,2.500000,1.921893,3.626459,1.809443,0.148903,1503,0.671946,0.6926,0.0000,mask
77,2.533333,1.934008,3.644416,1.909056,-0.047714,1362,0.634039,0.6544,0.0000,mask
78,2.566667,1.909307,3.591675,2.011538,-0.248969,1473,0.779742,0.8085,0.0000,mask
79,2.600000,1.888802,3.550259,2.081423,-0.384755,1379,0.748303,0.7837,0.0097,mask
80,2.633333,1.883927,3.537256,2.093896,-0.407491,1367,0.748397,0.7806,0.0000,mask
81,2.666667,1.880373,3.533687,2.049897,-0.320884,1345,0.735044,0.7695,0.0000,mask
82,2.700000,1.908164,3.592946,1.972511,-0.170928,1284,0.694914,0.7251,0.0000,mask
83,2.733333,1.943372,3.661087,1.892811,-0.017349,1448,0.703164,0.7337,0.0000,mask
84,2.766667,1.958226,3.687652,1.836782,0.090817,1440,0.677109,0.7030,0.0000,mask
85,2.800000,1.956843,3.685479,1.815658,0.132521,1426,0.686728,0.7129,0.0000,mask
86,2.833333,1.958357,3.690188,1.820705,0.124599,1409,0.710030,0.7328,0.0000,mask
87,2.866667,1.958024,3.692464,1.828783,0.111663,1448,0.693128,0.7159,0.0000,mask
88,2.900000,1.964983,3.708330,1.819400,0.133240,1435,0.709857,0.7313,0.0000,mask
89,2.933333,1.953572,3.690318,1.791485,0.190522,1411,0.722286,0.7448,0.0000,mask
90,2.966667,1.926334,3.642668,1.765161,0.242380,1481,0.724239,0.7462,0.0000,mask
91,3.000000,1.932563,3.649679,1.765608,0.237529,1460,0.702139,0.7235,0.0000,mask
92,3.033333,1.926259,3.628638,1.803044,0.155506,1386,0.686446,0.7101,0.0000,mask
93,3.066667,1.987653,3.730173,1.866588,0.020043,1435,0.735640,0.7481,0.0000,mask
94,3.100000,2.007095,3.761048,1.934259,-0.121192,1490,0.658107,0.6680,0.0000,mask
95,3.133333,2.014574,3.776225,1.986461,-0.225648,1490,0.707315,0.7110,0.0000,mask
96,3.166667,1.937628,3.628367,2.013188,-0.272443,1725,0.674516,0.7441,0.0000,mask
97,3.200000,1.963216,3.691384,2.015738,-0.265945,1800,0.721759,0.7603,0.0000,mask
98,3.233333,1.996729,3.772615,2.004900,-0.230627,1644,0.714090,0.7536,0.0000,mask
99,3.266667,1.966707,3.725610,1.994318,-0.196629,1809,0.650972,0.7831,0.0000,mask
100,3.300000,1.905368,3.613081,1.991520,-0.181496,1875,0.620752,0.7977,0.0000,mask
101,3.333333,1.918991,3.644653,1.993894,-0.181613,1792,0.574163,0.7904,0.0000,mask
102,3.366667,1.866819,3.540135,1.994640,-0.183498,1795,0.555814,0.7714,0.0000,mask
103,3.400000,1.848732,3.499949,1.992798,-0.184198,1644,0.577852,0.7807,0.0000,mask
104,3.433333,1.814272,3.423548,1.995583,-0.196983,1209,0.617968,0.8015,0.0000,mask
105,3.466667,1.866554,3.516590,2.010632,-0.236363,935,0.589858,0.7640,0.0000,mask
106,3.500000,1.729805,3.301302,2.038010,-0.301750,928,0.597565,0.8320,0.1232,mask
107,3.533333,1.767526,3.349872,2.071009,-0.378535,809,0.636524,0.8210,0.1126,mask
108,3.566667,1.745467,3.348593,2.103157,-0.452106,544,0.608976,0.8142,0.2163,mask
109,3.600000,1.721736,3.288000,2.132908,-0.517789,468,0.668189,0.8144,0.1997,mask
110,3.633333,1.746008,3.329639,2.161783,-0.577774,440,0.639033,0.7861,0.2156,mask
111,3.666667,1.766009,3.356130,2.189632,-0.632024,431,0.641594,0.7828,0.2042,mask
112,3.700000,1.768387,3.363635,2.212851,-0.674713,424,0.644257,0.7923,0.2133,mask
113,3.733333,1.752518,3.366008,2.226853,-0.698765,448,0.607176,0.7878,0.2826,mask
114,3.766667,1.712858,3.295377,2.229504,-0.701914,551,0.549850,0.8123,0.2818,mask
115,3.800000,1.819487,3.404082,2.222604,-0.688840,665,0.621769,0.8092,0.0892,mask
116,3.833333,1.813341,3.376838,2.212178,-0.671578,894,0.610891,0.8347,0.0627,mask
117,3.866667,1.792769,3.421957,2.206141,-0.665347,1730,0.505644,0.7753,0.2483,mask
118,3.900000,1.894726,3.507696,2.204618,-0.669452,2181,0.589674,0.7837,0.0000,mask
119,3.933333,1.951713,3.627271,2.188561,-0.644170,1890,0.566293,0.7867,0.0000,mask
120,3.966667,2.037892,3.809244,2.127595,-0.526564,2574,0.739821,0.7877,0.0000,mask
121,4.000000,2.003621,3.735486,2.010067,-0.291926,2379,0.592939,0.5961,0.0000,mask
122,4.033333,2.013410,3.756068,1.861136,0.008839,2341,0.707508,0.7178,0.0000,mask
123,4.066667,1.936315,3.625609,1.724452,0.286526,1608,0.586859,0.6076,0.0000,mask
124,4.100000,1.940669,3.642863,1.630251,0.479085,1583,0.618208,0.6383,0.0000,mask
125,4.133333,1.912548,3.604499,1.583218,0.576518,1695,0.613465,0.6344,0.0000,mask
126,4.166667,1.924953,3.627328,1.572547,0.600249,1532,0.665904,0.6888,0.0000,mask
127,4.200000,2.004324,3.753412,1.588643,0.569256,1330,0.682309,0.6972,0.0000,mask
