frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
12,0.500000,1,-0.250096,-0.104483,4.447135,-0.238199,-0.043662,4.470628,-0.265874,0.013721,4.438561,-0.261789,0.021030,4.437081,-0.248129,0.014284,4.431046,-0.233173,0.010881,4.430079,-0.209525,0.010314,4.440344,1,0.150208,-0.011738,3.834163,0.164874,0.053685,3.829334,0.180824,0.093483,3.873278,0.172043,0.119950,3.889485,0.155625,0.121293,3.879250,0.142508,0.118029,3.866872,0.130550,0.114492,3.841468
13,0.541667,1,-0.246803,-0.106438,4.442455,-0.233569,-0.046403,4.467867,-0.267448,0.011967,4.438908,-0.259344,0.019943,4.438661,-0.245457,0.013920,4.430763,-0.230422,0.010748,4.428893,-0.205398,0.009967,4.438928,1,0.164672,-0.013471,3.838097,0.181655,0.051272,3.834101,0.195668,0.090688,3.879317,0.187720,0.114609,3.895316,0.172054,0.115669,3.884399,0.158699,0.111890,3.872064,0.147333,0.109695,3.846914
14,0.583333,1,-0.244532,-0.107427,4.436575,-0.228148,-0.048509,4.462218,-0.271884,0.011152,4.438593,-0.257885,0.020553,4.439413,-0.243924,0.015581,4.428877,-0.228745,0.012853,4.425617,-0.202017,0.011078,4.434402,1,0.177293,-0.015504,3.841583,0.194494,0.048950,3.835371,0.206686,0.088498,3.880875,0.198954,0.110795,3.896231,0.183898,0.110600,3.885129,0.170326,0.105185,3.873243,0.159357,0.103208,3.849184
15,0.625000,1,-0.242217,-0.108451,4.425896,-0.223136,-0.049350,4.453409,-0.275214,0.010981,4.434090,-0.255989,0.021247,4.435251,-0.242082,0.017301,4.422714,-0.226697,0.015143,4.418382,-0.198755,0.012446,4.425935,1,0.184039,-0.017567,3.839658,0.203540,0.047008,3.833601,0.214004,0.086961,3.878857,0.206087,0.108622,3.893452,0.191332,0.106830,3.882494,0.177678,0.099751,3.870987,0.167117,0.097112,3.848225
16,0.666667,1,-0.238812,-0.108222,4.414628,-0.219018,-0.048956,4.443001,-0.275989,0.011514,4.426126,-0.253544,0.021175,4.426535,-0.239676,0.017743,4.413161,-0.224166,0.016280,4.408299,-0.195757,0.013415,4.415119,1,0.190933,-0.020004,3.835303,0.209126,0.045613,3.829796,0.218254,0.085977,3.874696,0.210217,0.107960,3.888617,0.195360,0.105196,3.877949,0.181660,0.097370,3.866558,0.171505,0.093803,3.844702
17,0.708333,1,-0.235400,-0.106593,4.403601,-0.215662,-0.047693,4.433187,-0.275187,0.012950,4.418129,-0.251273,0.020401,4.416921,-0.237385,0.016731,4.403436,-0.222046,0.016129,4.398224,-0.193767,0.014004,4.404495,1,0.194666,-0.020117,3.828589,0.211410,0.044813,3.825136,0.219926,0.085500,3.869743,0.211984,0.108779,3.883076,0.196744,0.106064,3.872743,0.182916,0.098591,3.861225,0.173022,0.094177,3.839643
18,0.750000,1,-0.234535,-0.103879,4.393132,-0.212808,-0.045938,4.425606,-0.273708,0.015299,4.412897,-0.249461,0.019287,4.409980,-0.235564,0.014900,4.396506,-0.220851,0.015260,4.390735,-0.193076,0.014446,4.396189,1,0.192643,-0.020508,3.821229,0.210717,0.044332,3.820905,0.219312,0.085232,3.865401,0.211635,0.110637,3.878052,0.195942,0.108754,3.868023,0.181950,0.102403,3.856100,0.172200,0.097248,3.834210
19,0.791667,1,-0.233092,-0.099739,4.388854,-0.210424,-0.043961,4.420844,-0.271658,0.018477,4.410795,-0.247781,0.018306,4.406895,-0.233877,0.013384,4.393300,-0.220123,0.014541,4.386757,-0.193014,0.015029,4.391209,1,0.190646,-0.020591,3.818799,0.207743,0.043630,3.817804,0.216734,0.084737,3.862398,0.209458,0.112568,3.874074,0.193382,0.111876,3.864248,0.179373,0.107024,3.851628,0.169837,0.101201,3.829091
20,0.833333,1,-0.233465,-0.095289,4.386492,-0.208822,-0.041832,4.418428,-0.269165,0.022346,4.410269,-0.246079,0.017824,4.406277,-0.232045,0.013010,4.392525,-0.219223,0.014539,4.385286,-0.192732,0.015987,4.389065,1,0.186880,-0.022557,3.817574,0.203111,0.042303,3.815413,0.212302,0.083856,3.859863,0.205426,0.113645,3.870508,0.189133,0.114050,3.860775,0.175408,0.110667,3.847406,0.166265,0.104233,3.824285
21,0.875000,1,-0.235365,-0.090899,4.383280,-0.208307,-0.039493,4.417555,-0.266782,0.026546,4.409968,-0.244867,0.017713,4.406213,-0.230544,0.013490,4.392493,-0.218338,0.014972,4.384821,-0.192252,0.017259,4.388535,1,0.180753,-0.025259,3.814944,0.197294,0.040305,3.813088,0.206119,0.082652,3.856636,0.199436,0.113471,3.866674,0.183138,0.114464,3.857013,0.169987,0.112085,3.843232,0.161292,0.105041,3.819966
