frame,time,ball_center_x,ball_center_y,left_foot_u,left_foot_v,right_foot_u,right_foot_v,left_foot_valid,right_foot_valid,left_foot_dist_px,right_foot_dist_px,min_foot_dist_px,left_best_probe,right_best_probe,active_foot,active_foot_probe,proximity_score,approaching_score,object_response_score,foot_score,is_candidate,foot_contact_state
16,0.625,653.443,841.127,572.9477386414419,600.9221036039007,569.143092624666,849.4733453687327,1,1,253.33353381233078,84.71207626132212,84.71207626132212,inner_edge,toe,right,toe,0.17001214579297527,0.09335659736679322,0.0046238024583026395,0.10506453310733707,1,0
17,0.666667,653.643,841.184,576.3224093135339,600.9468177508298,570.2834755875208,848.7561177027303,1,1,252.37348806704128,83.70273159687635,83.70273159687635,inner_edge,toe,right,toe,0.17729985072328117,0.07083120452251067,0.0046238024583026395,0.1042033070036335,1,0
18,0.708333,653.643,841.184,579.6317109284751,601.0274956057397,570.9820743350604,848.1414090869541,1,1,251.30224335031153,82.95320471800902,82.95320471800902,inner_edge,toe,right,toe,0.18285346837135294,0.05259837746437394,0.0046238024583026395,0.10333355041604204,1,0
19,0.75,653.443,841.127,580.1644018353875,601.4113280454603,570.0803693776888,847.9990383849458,1,1,250.66582601062157,83.64540092459393,83.64540092459393,inner_edge,toe,right,toe,0.17772036017374543,0.0,0.0046238024583026395,0.0902473208243635,1,0
20,0.791667,653.443,841.127,582.9938346469067,602.3456264400016,570.9941036346634,848.2428113235231,1,1,248.95708316524542,82.7553942813035,82.7553942813035,inner_edge,toe,right,toe,0.18433940779314875,0.062456606546697116,0.0046238024583026395,0.10604816594340459,1,0
21,0.833333,653.643,841.184,584.6519897146845,602.92355124259,571.1990067017312,848.1427164517685,1,1,248.0479811291979,82.7371486432855,82.7371486432855,inner_edge,toe,right,toe,0.18447689508413104,0.0012803956503860622,0.0046238024583026395,0.09388166740963352,1,0
22,0.875,653.643,841.184,585.3315193080239,603.4595900855816,570.5164753796844,848.01943680042,1,1,247.34460467834882,83.40708777858438,83.40708777858438,inner_edge,toe,right,toe,0.17947593514251525,0.0,0.0,0.08973796757125763,0,0
23,0.916667,653.643,841.184,585.268157599742,604.1468466284042,569.7369172724577,848.4544616431788,1,1,246.7017048011009,84.22048641029157,84.22048641029157,inner_edge,toe,right,toe,0.1735342437613233,0.0,0.0,0.08676712188066164,0,0
24,0.958333,653.643,841.184,585.5124583649007,604.61720842836,569.3982631610115,848.6810191784439,1,1,246.1820821627597,84.5776624270994,84.5776624270994,inner_edge,toe,right,toe,0.17097004572116026,0.0,0.0,0.08548502286058013,0,0
25,1.0,653.643,841.184,585.6462944475174,604.7408988328523,569.1823784709784,848.5088622428932,1,1,246.02620196948342,84.77765151232957,84.77765151232957,inner_edge,toe,right,toe,0.1695462245703079,0.0,0.006566165252424344,0.08674296186088126,1,0
26,1.041667,653.459,840.953,584.7071041990303,604.8232941470575,568.3900080924254,848.3594325887638,1,1,245.93507509589708,85.39079943332817,85.39079943332817,inner_edge,toe,right,toe,0.16523406182068484,0.0,0.006566165252424344,0.08458688048606973,1,0
27,1.083333,653.459,840.953,583.7482466007932,605.1442375267811,567.8381365444613,848.7016060109182,1,1,245.89705487995573,85.9707691833941,85.9707691833941,inner_edge,toe,right,toe,0.16122866486753584,0.0,0.0,0.08061433243376792,0,0
28,1.125,653.459,840.953,582.4227595512648,605.6150086131852,567.1937638328272,848.95460832324,1,1,245.82538039647378,86.63553951316183,86.63553951316183,inner_edge,toe,right,toe,0.15672487735375373,0.0,0.004413762330654917,0.07968656737607334,0,0
29,1.166667,653.644,841.025,582.3161532966219,605.8462701303915,567.5917351506328,848.8813799416489,1,1,245.757393985253,86.41015560391723,86.41015560391723,inner_edge,toe,right,toe,0.1582414368059191,0.015816414683831482,0.0040468951674746635,0.08349806988996825,0,0
30,1.208333,654.008,841.064,580.7063237148727,607.0647939418627,566.9004997315781,850.0871530736263,1,1,245.21167219781398,87.57359130698721,87.57359130698721,inner_edge,toe,right,toe,0.15052692498193918,0.0,0.021407888016113746,0.08168582889580371,0,0
31,1.25,653.431,840.899,579.3050195056328,608.5000302811636,566.5015633179075,851.5616241059383,1,1,243.934298758145,87.58092551857662,87.58092551857662,inner_edge,toe,right,toe,0.1504791868887725,0.0,0.03200161082570894,0.08484007669209892,1,0
32,1.291667,654.281,840.922,577.4568490212309,609.6268146377658,564.9655773988943,852.3349965382904,1,1,243.7199477789189,90.04166371406694,90.04166371406694,inner_edge,toe,right,toe,0.13508485408312518,0.0,0.017495740206154548,0.07279114910340895,0,0
33,1.333333,654.351,840.841,576.6330281542314,610.240151105981,564.9829559627676,852.2473752969644,1,1,243.34509376287386,90.09302244045266,90.09302244045266,inner_edge,toe,right,toe,0.134776629489648,0.0,0.02761762436907471,0.07567360205554641,0,0
34,1.375,653.609,841.7,576.5498442238276,610.0870739520174,565.3548642604378,851.5815601418781,1,1,244.09559807879518,88.80561753613692,88.80561753613692,inner_edge,toe,right,toe,0.14266321455915776,0.09034420381163057,0.025237374871411346,0.09697166050332841,0,0
35,1.416667,653.609,841.7,576.3629330382939,609.3980578936691,565.4078777149898,849.8889004295013,1,1,244.80838867862659,88.58044966345346,88.58044966345346,inner_edge,toe,right,toe,0.14407713901881974,0.015801254223400486,0.0,0.07519882035408997,0,0
36,1.458333,653.609,841.7,577.2130576435007,608.324474432587,566.479515698398,848.2138826953052,1,1,245.56155224791164,87.37263703489387,87.37263703489387,inner_edge,toe,right,toe,0.15183926784266197,0.08475878095155047,0.0,0.09287139011164108,0,0
37,1.5,653.609,841.7,579.2734146894502,607.2341938797593,568.744128497916,846.9973136838682,1,1,245.96746427744532,85.03004144024942,85.03004144024942,inner_edge,toe,right,toe,0.1677615188289852,0.16439267330838248,0.0031419572298806925,0.11770188124513332,0,0
38,1.541667,653.662,841.831,579.9894914292247,606.783816515381,569.6581323318046,846.8172910373482,1,1,246.32258723706832,84.15172536273293,84.15172536273293,inner_edge,toe,right,toe,0.17403102359423817,0.06163621596606929,0.007488524578635918,0.10158931236392373,0,0
39,1.583333,653.86,841.658,583.2879554735516,606.4296503535681,573.2857591182458,847.0875954017671,1,1,245.586624118715,80.75697369204622,80.75697369204622,inner_edge,toe,right,toe,0.1998289495064358,0.23822818741661167,0.011691868813089716,0.15106767288046713,0,0
40,1.625,653.662,841.831,587.0490369294002,606.5657191461662,577.0649671538331,848.2028441299499,1,1,244.51388350005485,76.86160184678143,76.86160184678143,inner_edge,toe,right,toe,0.23254005258279073,0.27335942773788,0.009719778126421247,0.17385784527689774,0,0
41,1.666667,653.837,841.776,591.5199922895183,606.5970088650524,580.8332588587873,849.658736967916,1,1,243.2952266717125,73.42808565336931,73.42808565336931,inner_edge,toe,right,toe,0.26413896244809776,0.24094850480085034,1.0,0.4802591821842189,1,1
42,1.708333,683.5,786.0,596.6002679098308,606.6798836367676,585.1400292389658,851.0103000995875,1,1,199.2668250609378,117.90259949275901,117.90259949275901,inner_edge,toe,right,toe,0.0323108772035989,0.0,0.512698952074484,0.16996512422414467,0,0
43,1.75,699.817,711.419,600.9878180840244,607.6111295163768,587.9290294464652,853.2516900292724,1,1,143.32927535059156,180.65278828606088,143.32927535059156,inner_edge,toe,left,inner_edge,0.0062672657478189476,0.0,0.08580369220133936,0.028874740534311282,0,0
44,1.791667,713.069,639.183,599.3398878029232,608.6077762550133,584.9053799816968,854.791033959912,1,1,117.76737777581397,250.8241172699599,117.76737777581397,inner_edge,toe,left,inner_edge,0.0325661204087954,1.0,0.4297941856753183,0.34522131590699323,0,0
45,1.833333,716.439,583.561,603.1282446502507,609.9461700108684,588.4865579312616,856.798921383904,1,1,116.3421869935113,301.7130907228759,116.3421869935113,inner_edge,toe,left,inner_edge,0.035362622783199654,0.1000133882317659,1.0,0.337683989037953,0,0
46,1.875,726.065,482.041,592.7025463672047,479.7012958268616,590.3841685021121,857.781018864833,1,1,133.38297587989737,399.48698328293915,133.38297587989737,forefoot,toe,left,forefoot,0.012365511483027683,0.0,1.0,0.3061827557415138,0,0
47,1.916667,726.712,481.855,593.0386583763765,481.2880050353096,589.4804527610853,859.5403314251066,1,1,133.674544114113,401.84413288149307,133.674544114113,forefoot,toe,left,forefoot,0.012130042403529346,0.0,0.9852387135169907,0.30163663525686185,0,0
48,1.958333,729.738,437.42,595.1632802938213,483.61353203471145,591.5683661186697,861.9361592679629,1,1,142.28210564170914,446.4356809289814,142.28210564170914,forefoot,toe,left,forefoot,0.006747607339589925,0.0,0.17337738839083142,0.05538702018704439,0,0
49,2.0,732.235,400.765,591.8266168313675,359.12418568195744,591.2456095963504,860.9943739107366,1,1,146.4529667883148,481.34092368783826,146.4529667883148,toe,toe,left,toe,0.005012006804928746,0.0,0.4571110265788669,0.13963931137612443,0,0
50,2.041667,735.988,343.589,594.3706811734726,360.6204233537389,592.9194822198851,861.2545052487776,1,1,142.63777330380833,537.0718537628567,142.63777330380833,toe,toe,left,toe,0.0065808672982181245,0.2677328761057169,1.0,0.35683700887025244,0,0
51,2.083333,735.969,343.782,598.8274583378789,361.1377048817678,576.5159212527975,853.414937172674,1,1,138.2353896128135,533.9953323515181,138.2353896128135,toe,center,left,toe,0.008930550235424474,0.3089392063856027,0.4754116511984439,0.20887661175436595,0,0
52,2.125,739.396,322.872,601.5089839600315,361.06967167072435,621.0665114669032,856.4179863575825,1,1,143.0800171703616,546.5100066922745,143.0800171703616,toe,inner_edge,left,toe,0.006378719043690625,0.0,0.07262432862704557,0.02497665810995898,0,0
53,2.166667,741.623,305.0,600.4100223095791,360.75876401685673,636.2137621419877,849.4977887976534,1,1,151.8227414878379,554.6070225225615,151.8227414878379,toe,inner_edge,left,toe,0.0033748858214985794,0.0,0.17989869193134492,0.055657050490152765,0,0
54,2.208333,741.822,294.961,602.5702064095178,359.07956150541565,650.8592243188423,837.5904750635586,1,1,153.30444203508918,550.2008485702052,153.30444203508918,toe,inner_edge,left,toe,0.0030184097103443477,0.0,0.13950821765602459,0.04336167015197955,0,0
55,2.25,743.423,291.038,603.9636694185324,355.39859774185896,658.7642552945147,827.6639254969584,1,1,153.59424282153432,543.2628157444385,153.59424282153432,toe,inner_edge,left,toe,0.0029528468568500773,0.0,0.08374122034458059,0.026598789531799217,0,0
56,2.291667,743.289,290.458,604.429941687699,350.5494822550529,659.7690950237122,823.7029480127669,1,1,151.30374851598464,539.7460042542108,151.30374851598464,toe,inner_edge,left,toe,0.0035085612929587695,0.1607364424947148,0.10447606321089152,0.0652443881086898,0,0
57,2.333333,743.058,294.576,602.9995137011904,345.3781326465362,659.1932185693659,825.4553303374685,1,1,148.98736948396026,537.4627102822734,148.98736948396026,toe,inner_edge,left,toe,0.004165999409179465,0.16255291452802612,0.4393876490949771,0.1664098773386881,0,0
58,2.375,747.049,318.0,600.8892151326638,340.49222240764834,654.7830616849349,830.2567641880922,1,1,147.88029882746756,520.49975584011,147.88029882746756,toe,inner_edge,left,toe,0.004518161708797191,0.07768916887668136,0.5335922081236634,0.17787457706683388,0,0
59,2.416667,746.616,317.836,599.681702590409,337.243830972061,650.2124031667853,835.700734249105,1,1,148.2104978005614,526.7613657637366,148.2104978005614,toe,inner_edge,left,toe,0.004410397167543395,0.0,0.42587136172034307,0.1299666070998746,0,0
60,2.458333,748.388,336.699,597.8709863522726,332.48404227566976,642.6035316396151,842.8476176143579,1,1,150.57601823015534,517.0848836112064,150.57601823015534,toe,inner_edge,left,toe,0.0037041350666318375,0.0,0.09778765720542001,0.03118836469494192,0,0
61,2.5,748.369,359.579,595.1569000870885,328.2795072985075,632.1784664404847,848.4376472625587,1,1,156.37648737292562,502.47688214705323,156.37648737292562,toe,inner_edge,left,toe,0.002386500149703936,0.0,0.8304704220445329,0.25033437668821185,0,0
62,2.541667,749.015,419.805,596.2262498373566,457.4534885843375,622.0334080255382,851.958444624029,1,1,157.3588601539413,450.42305047675165,157.3588601539413,forefoot,inner_edge,left,forefoot,0.002211625806098322,0.0,1.0,0.30110581290304916,0,0
63,2.583333,748.815,419.944,595.0306213769143,454.99519012962014,611.1009852909117,853.9039149196665,1,1,157.72831400224686,455.2871155703609,157.72831400224686,forefoot,inner_edge,left,forefoot,0.0021489613928251734,0.0,0.8011058092611554,0.24140622347475918,0,0
64,2.625,748.497,456.114,593.7784603263273,453.3960639312716,605.299581543638,855.4919986503025,1,1,154.74241078394613,424.273834284519,154.74241078394613,forefoot,inner_edge,left,forefoot,0.00270568965574567,0.20953706795092872,0.07730062742929333,0.06645044664684657,0,0
65,2.666667,749.5,495.5,590.9373128594939,452.0920268070472,595.4243201431993,854.50439840632,1,1,164.3970130201219,390.6705430390408,164.3970130201219,forefoot,toe,left,forefoot,0.0012643719960149793,0.0,0.1815186692258127,0.055087786765751295,0,0
66,2.708333,748.379,542.769,604.8411517423676,583.9454470468256,595.3505657671724,854.8634392178697,1,1,149.327203395199,347.59263610506395,149.327203395199,inner_edge,toe,left,inner_edge,0.004063012697821693,1.0,0.06607557685753607,0.22185417940617166,0,0
67,2.75,747.5,593.0,602.6589062942087,583.687161698664,593.8351095373921,855.871709096711,1,1,145.14017839012274,304.4904497752124,145.14017839012274,inner_edge,toe,left,inner_edge,0.005508844752955353,0.2938263161457028,0.061196462484514956,0.07987862435097273,0,0
68,2.791667,748.148,645.521,602.2993450504978,583.1863145930507,594.2317915352259,856.1280176786674,1,1,158.61098056364918,260.85535287525613,158.61098056364918,inner_edge,toe,left,inner_edge,0.0020057958599557515,0.0,0.05916207314044623,0.01875151987211174,0,0
69,2.833333,751.437,697.717,600.919514775012,582.8674159762371,593.8249695938425,856.5861814843084,1,1,189.33024140080173,223.7877765970377,189.33024140080173,inner_edge,toe,left,inner_edge,0.0001432599910883412,0.0,1.0,0.30007162999554415,0,0
70,2.875,749.027,693.811,599.7485464489778,582.5707933124509,593.9125100550693,856.7269509688178,1,1,186.1677745434837,224.9491321853682,186.1677745434837,inner_edge,toe,left,inner_edge,0.00019207213085864453,0.2219274987591605,0.09784594399552123,0.07383531901591779,0,0
71,2.916667,748.126,694.039,598.3806286523973,582.3601389529684,593.6308108994965,856.5748197112157,1,1,186.80429396776086,224.24686429111367,186.80429396776086,inner_edge,toe,left,inner_edge,0.0001811368313088924,0.0,0.5021414708491773,0.15073300967040762,0,0
72,2.958333,751.0,672.0,597.3814779537038,582.9963039500665,592.9082903335566,856.4364065939234,1,1,177.5395962207793,242.91928030219844,177.5395962207793,inner_edge,toe,left,inner_edge,0.00041684664790634355,0.6501542278583556,0.1616721137914388,0.17874090303305595,0,0
73,3.0,746.814,648.22,596.9811540274223,583.4977577571864,592.8883029499975,854.7607875302782,1,1,163.2141243066286,257.5892410912316,163.2141243066286,inner_edge,toe,left,inner_edge,0.0013913317189585563,1.0,0.06832963704060974,0.2211945569716622,0,0
74,3.041667,744.421,626.936,597.6139131907822,583.2366686287108,593.7263512956648,851.9865186905552,1,1,153.17294898155794,270.8442598819678,153.17294898155794,inner_edge,toe,left,inner_edge,0.0030485944156820118,0.7046438824610995,0.46486714303416826,0.2819132166103114,0,0
75,3.083333,745.195,626.319,600.0677549892837,582.6357680596352,596.9910161041744,847.5664177253053,1,1,151.55903799231572,266.29840535142137,151.55903799231572,inner_edge,toe,left,inner_edge,0.003442215413622885,0.11325691152576942,0.12519472548522897,0.06193090765753402,0,0
76,3.125,742.634,621.165,603.8665761261036,581.3204143999403,602.5249533013166,842.0249803710202,1,1,144.37447464921948,261.55243431538025,144.37447464921948,inner_edge,toe,left,inner_edge,0.005818784234988472,0.5041798837260522,0.20492448429172896,0.16522271415022335,0,0
77,3.166667,742.668,624.855,609.0631230746626,580.3991101297129,610.5459135531094,837.4522247236625,1,1,140.80692199744178,250.307462308424,140.80692199744178,inner_edge,toe,left,inner_edge,0.007480511224566634,0.2503545720545757,0.045377120575725675,0.06742430619591616,0,0
78,3.208333,740.892,627.602,615.246818980948,579.9801300796242,620.7769514327354,834.2776865573949,1,1,134.36723561949003,239.04490018882834,134.36723561949003,inner_edge,toe,left,inner_edge,0.011586500948053592,0.45190781599661367,0.14966249743703477,0.14107356290445996,0,0
79,3.25,739.048,637.08,620.2802049483275,579.9827365593845,629.4280060949825,832.4928729628559,1,1,131.77968976228135,224.0596661234086,131.77968976228135,inner_edge,toe,left,inner_edge,0.013734103360542278,0.18158216541815309,0.15932739940598686,0.09098170458569782,0,0
80,3.291667,740.095,653.115,628.7561957501371,579.1768979878772,644.6046637102463,830.0481125214781,1,1,133.65317901548167,201.05653590785917,133.65317901548167,inner_edge,toe,left,inner_edge,0.012147160775681223,0.0,0.2857838844608021,0.09180874572608125,0,0
81,3.333333,740.644,681.994,640.6364215502596,578.0959195283282,664.460441247642,826.8716857754061,1,1,144.20931617991602,163.68713590203504,144.20931617991602,inner_edge,toe,left,inner_edge,0.0058876665916572455,0.0,0.6025043972102048,0.18369515245889004,0,0
82,3.375,738.396,737.827,653.6065131017353,575.5756382864516,686.3217495640487,821.0714432467907,1,1,183.07037298910956,98.19045213224318,98.19045213224318,inner_edge,toe,right,toe,0.09249655083395246,1.0,1.0,0.5462482754169762,0,0
83,3.416667,738.744,737.524,660.6517239347356,573.189561046507,699.5331367631097,816.2408709170168,1,1,181.94562761224236,87.94223992342016,87.94223992342016,inner_edge,toe,right,toe,0.1481411828627318,0.7191727865840716,0.6557201758551544,0.4146212015047266,1,0
84,3.458333,738.731,707.731,673.5578328256299,566.4794059043343,721.7619368556303,802.8813633783279,1,1,155.5620601371205,96.65164641652751,96.65164641652751,inner_edge,toe,right,toe,0.09960396829701201,0.0,0.05988900454487841,0.06776868551196953,0,0
85,3.5,740.296,680.121,686.8244794966059,557.8292821705961,742.8071993593942,785.3888539370241,1,1,133.4708498310078,105.29780242117721,105.29780242117721,inner_edge,toe,right,toe,0.06471995334584454,0.0,0.4141465409283895,0.1566039389514391,0,0
86,3.541667,730.479,637.766,696.5838333735787,550.6501231255763,756.9839357842415,771.0377171613268,1,1,93.47758193402632,135.8817950133698,93.47758193402632,inner_edge,toe,left,inner_edge,0.11560856136415623,0.829489156993045,0.9636835043639219,0.5128071633898637,1,0
87,3.583333,730.244,637.682,701.0233499272601,549.6293472970525,761.0673002589505,767.2684803432176,1,1,92.77454413091667,133.20184580776845,92.77454413091667,inner_edge,toe,left,inner_edge,0.11940743184342476,0.04933598618313346,0.2946372917537002,0.15796210068444913,0,0
88,3.625,729.859,624.347,701.9406546664102,555.2580862174208,757.0162985807198,776.470171412149,1,1,74.51652175069795,154.52824384782366,74.51652175069795,inner_edge,toe,left,inner_edge,0.2538428248219423,1.0,0.07184045553184674,0.3484735490705252,0,0
89,3.666667,726.245,611.13,699.5368736748496,560.9524677548246,749.6914245869006,786.1047610488015,1,1,56.84284259267656,176.5386695032972,56.84284259267656,inner_edge,toe,left,inner_edge,0.4503164907623099,1.0,0.24354751844675346,0.49822250091518105,0,1
90,3.708333,724.144,608.762,694.987491325342,569.44940278222,736.1973966312804,801.7316583092882,1,1,48.94468610689833,193.34573540255394,48.94468610689833,inner_edge,toe,left,inner_edge,0.5534954197138798,0.5542565954932092,0.09935761307339032,0.41740631287759883,0,1
91,3.75,722.227,610.859,687.0220429401135,579.3362350032929,716.1337595580487,820.0814967983097,1,1,47.25540936893972,209.31120549459868,47.25540936893972,inner_edge,toe,left,inner_edge,0.5761563432669562,0.11854573599709527,0.08349607892135416,0.33683614250930344,1,0
92,3.791667,720.256,616.711,679.0026095264948,588.6302059702566,697.1640106139857,837.4005707643074,1,1,49.90363933522646,221.89440420600525,49.90363933522646,inner_edge,toe,left,inner_edge,0.54069119475298,0.0,0.11091282109664169,0.3036194437054825,0,0
93,3.833333,719.0,627.5,670.7454283134473,594.5986841868353,678.7897433101758,848.8746406399752,1,1,58.40376932091162,224.9968805595751,58.40376932091162,inner_edge,toe,left,inner_edge,0.43075220306160156,0.0,0.21544081138890836,0.2800083449474733,0,0
94,3.875,713.5,647.0,667.2118950258061,596.9977869764739,671.7087556922862,853.1498127639122,1,1,68.13816822715499,210.34318007338172,68.13816822715499,inner_edge,toe,left,inner_edge,0.3177873495683564,0.0,0.44758213977421524,0.2931683167164428,0,0
95,3.916667,713.0,647.0,666.1041775057217,599.6498593060097,667.8836262786741,857.3659735206936,1,1,66.64273397119545,215.14955262112798,66.64273397119545,inner_edge,toe,left,inner_edge,0.33400279300763036,0.10494275480417807,0.4539488720651058,0.32417460908418255,0,0
96,3.958333,712.087,667.413,667.4157915860872,602.098701440169,667.7456865768568,860.3104703839114,1,1,79.12947906767734,197.9282348645624,79.12947906767734,inner_edge,toe,left,inner_edge,0.21308948674628095,0.0,0.18805608033721408,0.16296156747430468,0,0
97,4.0,709.0,696.0,669.9796876129144,604.5212964489531,668.6378836477486,862.1713562834325,1,1,99.45319493191795,171.00298268015135,99.45319493191795,inner_edge,toe,left,inner_edge,0.08696870747917657,0.0,0.9571265244720047,0.33062231108118967,0,0
98,4.041667,702.5,767.5,668.8915290388836,606.2914863483996,665.7632579303638,862.9653012134552,1,1,164.6745705751268,102.28984286656572,102.28984286656572,inner_edge,toe,right,toe,0.07550856961286748,0.0,1.0,0.3377542848064337,0,0
99,4.083333,703.225,767.659,670.7612821769574,608.4333249538314,666.0153371304265,863.5117563357087,1,1,162.5014109748042,102.82173849930795,102.82173849930795,inner_edge,toe,right,toe,0.07350168918863353,0.0,0.044916204156581215,0.05022570584129113,0,0
100,4.125,701.932,767.724,674.1624106447773,609.0543548273275,647.5076374578641,844.9740605049029,1,1,161.08136575091328,94.49647128929736,94.49647128929736,inner_edge,center,right,center,0.11026868176345843,0.5842292778954803,0.8706066708725948,0.43316219772260367,0,0
101,4.166667,709.693,729.693,678.073819772627,609.390629415542,675.7728184103299,845.9899400639028,1,1,124.38823467873223,121.14271330667482,121.14271330667482,inner_edge,inner_edge,right,inner_edge,0.02668658383760453,0.0,0.2218271531044822,0.07989143785014692,0,0
102,4.208333,709.89,698.168,680.7168330761665,609.3601168623773,695.8123783420508,838.7182016007703,1,1,93.47680875891898,141.25345518450698,93.47680875891898,inner_edge,inner_edge,left,inner_edge,0.1156126876209875,1.0,0.09208343429085354,0.2854313740977498,0,0
103,4.25,714.0,668.0,682.5660381434675,609.8628253412172,706.3013209947969,830.6508566549363,1,1,66.09103596785086,162.832953756326,66.09103596785086,inner_edge,inner_edge,left,inner_edge,0.3400969006467669,1.0,0.10466919553855,0.40144920898494846,0,1
104,4.291667,717.5,642.5,682.025788833221,610.1472165262303,706.3936879622236,830.651907235847,1,1,48.01168874769826,188.47941628614845,48.01168874769826,inner_edge,inner_edge,left,inner_edge,0.5659972897397934,1.0,0.26327400904380927,0.5619808475830395,0,1
105,4.333333,720.462,628.829,681.9528467621047,609.429055694544,702.6564900821065,835.5238131486853,1,1,43.11974863278416,207.46031419528452,43.11974863278416,inner_edge,inner_edge,left,inner_edge,0.6318586524562203,0.3432940431518666,0.11043351355992224,0.4177181889264602,1,1
106,4.375,724.5,610.309,680.7720005084191,607.9017784528347,693.7354867835847,843.3827934636679,1,1,43.7942080087406,235.0954029175975,43.7942080087406,inner_edge,inner_edge,left,inner_edge,0.62277896246772,0.0,0.41297847178845776,0.4352830227703973,1,1
107,4.416667,724.384,609.893,679.8898329359438,606.0259711307664,665.4658478696917,848.2488868156338,1,1,44.66189444033507,245.5297892926994,44.66189444033507,inner_edge,center,left,inner_edge,0.6110877157579986,0.0,0.06724460709760113,0.3257172400082796,0,0
108,4.458333,727.251,608.978,678.1992550437872,605.2452868867604,653.8495238213611,852.2714435045441,1,1,49.193564929115475,254.1249227397858,49.193564929115475,inner_edge,center,left,inner_edge,0.5501674730092853,0.0,0.10822751728692301,0.3075519916907195,0,0
