frame,time,ball_center_x,ball_center_y,left_foot_u,left_foot_v,right_foot_u,right_foot_v,left_foot_valid,right_foot_valid,left_foot_dist_px,right_foot_dist_px,min_foot_dist_px,left_best_probe,right_best_probe,active_foot,active_foot_probe,proximity_score,approaching_score,object_response_score,foot_score,is_candidate,foot_contact_state
1,0.0,654.057,841.01,556.3145805124949,599.38302655008,553.4800940884916,846.8809034920741,1,1,260.64760667583306,100.74810921573501,100.74810921573501,inner_edge,toe,right,toe,0.08157620565297641,0.0,0.0,0.040788102826488204,0,0
2,0.041667,653.609,840.7,553.6935267903973,599.1818422411665,550.7343556754679,846.4138309318469,1,1,261.3697042771401,103.03320003191556,103.03320003191556,inner_edge,toe,right,toe,0.07271590533451039,0.0,0.012090540348828649,0.039985114771903786,0,0
3,0.083333,653.565,840.754,551.9310933514603,598.7027049326063,549.0126531974497,845.783438120691,1,1,262.5229140940779,104.67324619849438,104.67324619849438,inner_edge,toe,right,toe,0.06684987836245584,0.0,0.0037607127746851123,0.03455315301363346,0,0
4,0.125,653.414,840.939,552.17570438752,598.3099557605709,549.6240529436716,845.3603254937116,1,1,262.90311068349627,103.88407591674866,103.88407591674866,inner_edge,toe,right,toe,0.0696225360560858,0.05538037064882286,0.005184309287542815,0.04744263494407032,0,0
5,0.166667,653.41,840.943,551.679436147741,597.7268855195277,549.6934359057411,844.862248743576,1,1,263.63456898646035,103.79058810042713,103.79058810042713,inner_edge,toe,right,toe,0.06995709660858855,0.006560548513791394,0.0002515453081730617,0.036366121599504475,0,0
6,0.208333,653.414,840.939,552.2365247852288,597.1461653586572,551.243192725686,844.4049897242944,1,1,263.9542151838018,102.22957959345199,102.22957959345199,inner_edge,toe,right,toe,0.07573870822334,0.10954445662983453,0.004407261610640904,0.06110042392082918,0,0
7,0.25,653.396,841.132,554.0493153122434,597.0277280394323,554.4448682530199,844.6476023501248,1,1,263.5463134780058,99.01356439343253,99.01356439343253,inner_edge,toe,right,toe,0.08886266476658802,0.22568527719434778,0.011905981997236307,0.09314018242133447,0,0
8,0.291667,652.971,841.673,555.1997326165099,597.098527427478,556.4094592810986,845.0853227032619,1,1,263.39303969524565,96.62181478444319,96.62181478444319,inner_edge,toe,right,toe,0.09974586752364258,0.16784207782381355,0.015296153790149111,0.08803019546362874,0,0
9,0.333333,652.971,841.673,557.740841080282,597.397722313551,560.1272759220209,845.8243502640332,1,1,262.1816058701802,92.93648804254768,92.93648804254768,inner_edge,toe,right,toe,0.11852401199150926,0.25861942048389536,0.02084641429336317,0.11723981438054265,1,0
10,0.375,653.819,841.273,560.3892288493513,597.848177207922,563.6445559566774,846.699001843909,1,1,260.73888564734096,90.3375439921432,90.3375439921432,inner_edge,toe,right,toe,0.13331639214347565,0.18238203862487604,0.018535271508905396,0.10869518524938465,0,0
11,0.416667,653.951,841.3,562.58631542684,598.4787456456488,565.9709981288025,847.5769927116136,1,1,259.4410668212986,88.20363579103508,88.20363579103508,inner_edge,toe,right,toe,0.1464665268697742,0.14974794393741145,0.01571725773112218,0.10789802954170605,0,0
12,0.458333,653.408,841.117,564.7810066934896,599.2867660748184,567.4171738145963,848.8044007980952,1,1,257.55893691126363,86.33376117764635,86.33376117764635,inner_edge,toe,right,toe,0.1587578976294686,0.13121927111499868,0.012740069895612664,0.10944482400641783,0,0
13,0.5,653.408,841.117,566.8275328329918,600.122855442739,568.1178958418673,849.9250755358146,1,1,256.07490116320145,85.74371150090104,85.74371150090104,inner_edge,toe,right,toe,0.1627882981546131,0.041406994859319944,0.0008093179551986615,0.08991834343573013,1,0
14,0.541667,653.443,841.127,567.0931984482015,600.5586906484169,567.1297756337544,850.0305761069304,1,1,255.59616525353803,86.77123007074262,86.77123007074262,inner_edge,toe,right,toe,0.15581697818056675,0.0,0.0008093179551986615,0.07815128447684297,0,0
15,0.583333,653.443,841.127,569.7525214878808,600.9000525436144,567.8721239058959,850.122615598734,1,1,254.38766180339903,86.04240777379893,86.04240777379893,inner_edge,toe,right,toe,0.16073884607301248,0.05114542434692562,0.0,0.09059850790589136,0,0
