frame,time,anchor_type,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
50,1.633333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.26368722105102477,0.9439669915748949,0,1,0,0
51,1.666667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.5210546569116854,0.9382299554101607,0,1,0,0
52,1.7,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.3932910711474226,1.2204169052174452e-07,0,0,1,0
53,1.733333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.6634784515322271,2.587561705797439e-07,1,0,0,0
54,1.766667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.1922926505879451,8.673446992538263e-38,0,0,0,0
55,1.8,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.16320367417046583,2.0464512519682733e-89,0,0,0,0
56,1.833333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.029880970240436074,4.109748683768329e-145,0,0,0,0
57,1.866667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.004045216239599967,5.570061358502465e-207,0,0,0,0
58,1.9,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.20000000086880898,3.452079618169615e-283,0,0,0,0
59,1.933333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.2000000001907685,7.686030783815172e-283,0,0,0,0
60,1.966667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.035672083430018126,0.0,0,0,0,0
61,2.0,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.039776446796302344,0.0,0,0,0,0
62,2.033333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.03176092992590907,0.0,0,0,0,0
