frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
22,0.875000,hammer,603.937,245.549,tracking,1,603.937,245.549,,1,603.977,245.495,1485.5,584.000,214.000,626.000,277.000,42.000,63.000,31.303,59.000,37.861,0.666667,0.511189,0,,,,,,,,,,,,0.000000,0.511189,0.511189,,,,,,,,,,,,
23,0.916667,hammer,603.478,231.329,tracking,1,603.478,231.329,,1,603.511,231.327,1532.5,584.000,200.000,626.000,265.000,42.000,65.000,32.289,63.954,37.943,0.646154,0.512092,0,,,,,,,,,,,,0.000000,0.512092,0.512092,,,,,,,,,,,,
24,0.958333,hammer,603.303,211.536,tracking,1,603.303,211.536,,1,603.347,211.431,1594.5,583.000,180.000,626.000,251.000,43.000,71.000,35.132,67.584,38.009,0.605634,0.507236,0,,,,,,,,,,,,0.000000,0.507236,0.507236,,,,,,,,,,,,
25,1.000000,hammer,599.250,205.414,tracking,1,599.250,205.414,,1,604.396,193.026,1431.0,586.000,161.000,626.000,232.000,40.000,71.000,35.430,69.430,32.137,0.563380,0.519649,0,,,,,,,,,,,,0.000000,0.519649,0.519649,,,,,,,,,,,,
26,1.041667,hammer,599.310,184.296,tracking,1,599.310,184.296,,1,604.648,168.181,1490.5,586.000,136.000,628.000,211.000,42.000,75.000,37.122,74.103,35.849,0.560000,0.459374,0,,,,,,,,,,,,0.000000,0.459374,0.459374,,,,,,,,,,,,
27,1.083333,hammer,598.619,169.247,tracking,1,598.619,169.247,,1,604.423,148.594,1535.0,584.000,114.000,627.000,197.000,43.000,83.000,41.076,80.657,33.935,0.518072,0.399182,0,,,,,,,,,,,,0.000000,0.399182,0.399182,,,,,,,,,,,,
28,1.125000,hammer,599.039,154.817,tracking,1,599.039,154.817,,1,604.316,133.011,1509.0,587.000,102.000,629.000,183.000,42.000,81.000,40.091,82.749,38.087,0.518519,0.376209,0,,,,,,,,,,,,0.000000,0.376209,0.376209,,,,,,,,,,,,
29,1.166667,hammer,599.565,145.159,tracking,1,599.565,145.159,,1,604.620,122.474,1458.0,587.000,91.000,630.000,175.000,43.000,84.000,41.741,83.280,42.132,0.511905,0.329453,0,,,,,,,,,,,,0.000000,0.329453,0.329453,,,,,,,,,,,,
30,1.208333,hammer,600.596,139.934,tracking,1,600.596,139.934,,1,605.512,116.568,1528.5,586.000,85.000,631.000,168.000,45.000,83.000,41.161,83.134,42.956,0.542169,0.341687,0,,,,,,,,,,,,0.000000,0.341687,0.341687,,,,,,,,,,,,
31,1.250000,hammer,601.093,143.549,tracking,1,601.093,143.549,,1,606.244,118.312,1514.0,586.000,87.000,631.000,169.000,45.000,82.000,40.701,82.400,41.928,0.548780,0.342520,0,,,,,,,,,,,,0.000000,0.342520,0.342520,,,,,,,,,,,,
