frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
31,1.250000,-0.098782,-0.549555,3.728691,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,601.093,143.549,40.701,601.093,143.549,39.387,182.936,331.589,0.000072,0,0,0
32,1.291667,-0.096204,-0.523936,3.730038,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,602.122,153.714,39.810,602.122,153.714,39.372,193.086,331.589,0.000088,0,0,0
33,1.333333,-0.086099,-0.481258,3.731386,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,606.113,170.586,43.238,606.113,170.586,39.358,209.944,331.589,0.000153,0,0,0
34,1.375000,-0.070629,-0.423424,3.732733,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,612.212,193.408,43.073,612.212,193.408,39.344,232.752,331.589,0.000269,0,0,0
35,1.416667,-0.056855,-0.338135,3.734081,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,617.639,227.012,39.623,617.639,227.012,39.330,266.342,331.589,0.000466,0,0,0
36,1.458333,-0.039404,-0.236437,3.735429,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,624.508,267.044,35.344,624.508,267.044,39.316,306.359,331.589,0.000486,0,0,0
37,1.500000,-0.029233,-0.172192,3.736776,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.511,298.511,34.329,628.511,292.326,39.301,331.627,331.589,6.184951,1,0,0
38,1.541667,-0.028782,-0.152271,3.623314,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.334,298.281,33.852,628.334,298.281,40.532,338.813,331.589,0.000236,0,0,0
39,1.583333,-0.027463,-0.157079,3.622091,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.865,296.311,36.791,628.865,296.311,40.546,336.857,331.589,0.000101,0,0,0
40,1.625000,-0.027417,-0.187248,3.620867,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.880,284.053,32.990,628.880,284.053,40.559,324.613,331.589,0.000086,0,0,0
41,1.666667,-0.031590,-0.233193,3.619644,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,627.183,265.386,30.233,627.183,265.386,40.573,305.959,331.589,0.000013,0,0,0
42,1.708333,-0.035897,-0.290547,3.618421,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,625.430,242.076,31.478,625.430,242.076,40.587,282.663,331.589,0.000363,0,0,0
43,1.750000,-0.035378,-0.355939,3.617198,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,625.637,215.486,31.894,625.636,215.486,40.601,256.087,331.589,0.000865,0,0,0
44,1.791667,-0.059172,-0.411996,3.615974,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,615.967,192.671,38.243,615.968,192.670,40.614,233.285,331.589,0.000939,0,0,0
45,1.833333,-0.064311,-0.491402,3.614751,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,613.872,160.352,42.574,613.872,160.353,40.628,200.981,331.589,0.000649,0,0,0
46,1.875000,-0.073362,-0.557621,3.613528,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,610.184,133.373,38.720,610.184,133.373,40.642,174.014,331.589,0.000431,0,0,0
47,1.916667,-0.076620,-0.631565,3.612305,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,608.850,103.233,40.156,608.850,103.233,40.656,143.889,331.589,0.000267,0,0,0
