frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,z_da3_raw,depth_conf,source
36,1.166667,-0.933063,0.912050,6.706793,1.000000,0.000000,0.000000,0.000000,0.112690,shared_fullimg_cam,653.527,839.571,37.014,6.729783,0.553794,L1_L3contact
37,1.200000,-0.932398,0.911104,6.702189,1.000000,0.000000,0.000000,0.000000,0.111353,shared_fullimg_cam,653.535,839.466,36.600,6.721732,0.562033,L1_L3contact
38,1.233333,-0.931903,0.910531,6.696162,1.000000,0.000000,0.000000,0.000000,0.111335,shared_fullimg_cam,653.422,839.547,36.627,6.709584,0.563178,L1_L3contact
39,1.266667,-0.930543,0.909281,6.689247,1.000000,0.000000,0.000000,0.000000,0.111703,shared_fullimg_cam,653.553,839.445,36.786,6.690906,0.550917,L1_L3contact
40,1.300000,-0.929410,0.908314,6.682152,1.000000,0.000000,0.000000,0.000000,0.112039,shared_fullimg_cam,653.601,839.444,36.936,6.675211,0.548608,L1_L3contact
41,1.333333,-0.928506,0.907305,6.675603,1.000000,0.000000,0.000000,0.000000,0.110572,shared_fullimg_cam,653.599,839.405,36.488,6.662701,0.558553,L1_L3contact
42,1.366667,-0.927533,0.906419,6.670244,1.000000,0.000000,0.000000,0.000000,0.111149,shared_fullimg_cam,653.674,839.353,36.708,6.655137,0.553911,L1_L3contact
43,1.400000,-0.926560,0.905603,6.666556,1.000000,0.000000,0.000000,0.000000,0.111154,shared_fullimg_cam,653.826,839.249,36.730,6.651052,0.557670,L1_L3contact
44,1.433333,-0.926379,0.904974,6.664837,1.000000,0.000000,0.000000,0.000000,0.111126,shared_fullimg_cam,653.807,839.118,36.730,6.652072,0.557253,L1_L3contact
45,1.466667,-0.926570,0.905261,6.665190,1.000000,0.000000,0.000000,0.000000,0.111132,shared_fullimg_cam,653.760,839.197,36.730,6.659111,0.556812,L1_L3contact
46,1.500000,-0.926830,0.905619,6.667562,1.000000,0.000000,0.000000,0.000000,0.111171,shared_fullimg_cam,653.783,839.209,36.730,6.661066,0.551220,L1_L3contact
