factor_id,residual_index,value,squared_error
point_reprojection:measurement_ir,0,0.12839794978549435,0.016486033509118328
point_reprojection:measurement_ir,1,1.4597708345778742,2.1309308894841834
point_reprojection:measurement_ir,2,0.17463650911736295,0.030497910316698792
point_reprojection:measurement_ir,3,1.5314172834808972,2.3452388961440107
point_reprojection:measurement_ir,4,0.15480156839323628,0.023963525577005807
point_reprojection:measurement_ir,5,2.3580577631683526,5.5604364144385343
point_reprojection:measurement_ir,6,4.8187774586949673e-05,2.3220616196426728e-09
point_reprojection:measurement_ir,7,0.0045838598010192301,2.1011770675400056e-05
point_reprojection:measurement_ir,8,0.00011346454257363803,1.2874202421444917e-08
point_reprojection:measurement_ir,9,-0.0013230723360805996,1.750520406501775e-06
point_reprojection:measurement_ir,10,-0.00013837273163517239,1.9147012860179438e-08
point_reprojection:measurement_ir,11,-6.5466888433718398e-05,4.2859134811929321e-09
point_reprojection:measurement_ir,12,8.7560568613298531e-05,7.6668531758841593e-09
point_reprojection:measurement_ir,13,0.00036852918834995307,1.3581376266587519e-07
point_reprojection:measurement_ir,14,-0.0001667683555979238,2.7811684428835562e-08
point_reprojection:measurement_ir,15,-0.0002227976684167743,4.9638801051950904e-08
point_reprojection:measurement_ir,16,0.0010371549575211247,1.0756904059106459e-06
point_reprojection:measurement_ir,17,0.0021587002879812191,4.6599869333301982e-06
point_reprojection:measurement_ir,18,-0.052097167744477701,0.0027141148869962478
point_reprojection:measurement_ir,19,0.039405054735826187,0.0015527583387334577
point_reprojection:measurement_ir,20,-0.20927186077710758,0.043794711713113096
point_reprojection:measurement_ir,21,-0.12065053066925487,0.014556550550772809
point_reprojection:measurement_ir,22,0.046030039018455683,0.0021187644920405528
point_reprojection:measurement_ir,23,0.19018753351812451,0.036171297905707736
point_reprojection:measurement_ir,24,0.40542334553954334,0.16436808910847597
point_reprojection:measurement_ir,25,0.62041719221906244,0.38491749240098505
point_reprojection:measurement_ir,26,0.31695677959448859,0.10046160013090923
point_reprojection:measurement_ir,27,1.8859858883328258,3.5569427709905579
point_reprojection:measurement_ir,28,0.26091716146797805,0.068077765148506927
point_reprojection:measurement_ir,29,3.7886346047562327,14.353752168356415
point_reprojection:measurement_ir,30,0.00017142252004305193,2.9385680377910539e-08
point_reprojection:measurement_ir,31,0.0081754768628591983,6.6838421935146083e-05
point_reprojection:measurement_ir,32,-0.0001441951558490473,2.079224297033104e-08
point_reprojection:measurement_ir,33,-0.0060899246989581709,3.7087182838980771e-05
point_reprojection:measurement_ir,34,9.8254129907218173e-05,9.6538740438245048e-09
point_reprojection:measurement_ir,35,0.004816483627409625,2.319851453310498e-05
point_reprojection:measurement_ir,36,-7.7061109118403694e-06,5.9384145385585216e-11
point_reprojection:measurement_ir,37,-0.0011979706951852976,1.4351337865227451e-06
point_reprojection:measurement_ir,38,3.8260571386672384e-07,1.4638713228346535e-13
point_reprojection:measurement_ir,39,-1.0057449966183185e-05,1.0115229982227816e-10
point_reprojection:measurement_ir,40,-3.2629770203129742e-07,1.0647019035090535e-13
point_reprojection:measurement_ir,41,2.341919373876067e-06,5.4845863537360691e-12
point_reprojection:measurement_ir,42,3.8636422004856287e-07,1.4927731053373432e-13
point_reprojection:measurement_ir,43,-4.6685247220068508e-07,2.1795123079989144e-13
point_reprojection:measurement_ir,44,-9.4036332257019248e-07,8.8428317843525186e-13
point_reprojection:measurement_ir,45,-2.0913546323697576e-06,4.3737641983344437e-12
point_reprojection:measurement_ir,46,-1.1903355300546537e-06,1.4168986741104935e-12
point_reprojection:measurement_ir,47,-9.9428883488883459e-06,9.8861028718459619e-11
point_reprojection:measurement_ir,48,-0.00018261816033941612,3.3349392485752698e-08
point_reprojection:measurement_ir,49,-0.00057305654085887175,3.2839379902113576e-07
point_reprojection:measurement_ir,50,0.00060971376987595249,3.7175088117634596e-07
point_reprojection:measurement_ir,51,0.0029456502090333282,8.6768551539780894e-06
point_reprojection:measurement_ir,52,-0.00042383642276035973,1.7963731325829839e-07
