case,loss_family_removed,metric,better_direction,full_value,removed_value,removed_minus_full,degradation_magnitude,supports_expected_effect,candidate_pose,full_summary,removal_summary
mug,support_penetration,penetration_depth_max_mm,lower,0.0,0.0,0.0,0.0,False,samples_known_object/02_mug/results/paper_loss_no_support_penetration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/02_mug/results/paper_loss_no_support_penetration/evaluation/final_evaluation_summary.json
mug,temporal_acceleration,object_jerk,lower,1e-06,1e-06,0.0,0.0,False,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
mug,temporal_acceleration,translation_spike_count,lower,0.0,12.0,12.0,12.0,True,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
mug,temporal_acceleration,rotation_spike_count,lower,9.0,12.0,3.0,3.0,True,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
mug,temporal_acceleration,non_event_spike_count,lower,9.0,22.0,13.0,13.0,True,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/02_mug/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/02_mug/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
stick,visual_geometry,overlay_hard_score,higher,0.22550084736495857,0.2194742084605392,-0.0060266389044193736,0.0060266389044193736,True,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/evaluation/final_evaluation_summary.json
stick,visual_geometry,overlay_mask_coverage,higher,0.3722496733459876,0.3834581542762009,0.011208480930213316,-0.011208480930213316,False,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/11_stick/results/paper_loss_no_visual_geometry/evaluation/final_evaluation_summary.json
stick,temporal_velocity,translation_velocity_mean,lower,0.05122967730915162,0.058142980580161666,0.006913303271010043,0.006913303271010043,True,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/evaluation/final_evaluation_summary.json
stick,temporal_velocity,translation_spike_count,lower,12.0,12.0,0.0,0.0,False,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/evaluation/final_evaluation_summary.json
stick,temporal_velocity,rotation_spike_count,lower,12.0,12.0,0.0,0.0,False,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/11_stick/results/benchmark_vlm_qwen/evaluation/final_evaluation_summary.json,samples_known_object/11_stick/results/paper_loss_no_temporal_velocity/evaluation/final_evaluation_summary.json
back_view_basketball,contact_distance,contact_gap_mm,lower,35.47312500000002,105.79827339477438,70.32514839477437,70.32514839477437,True,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/12_back_view_basketball/results/contact_surface_candidate/evaluation/final_evaluation_summary.json,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/evaluation/final_evaluation_summary.json
back_view_basketball,contact_distance,tradeoff_score,higher,0.7013619088953769,0.3471554092762018,-0.35420649961917505,0.35420649961917505,True,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/12_back_view_basketball/results/contact_surface_candidate/evaluation/final_evaluation_summary.json,samples_known_object/12_back_view_basketball/results/paper_loss_no_contact_distance/evaluation/final_evaluation_summary.json
pingpong_wall,temporal_acceleration,translation_spike_count,lower,12.0,12.0,0.0,0.0,False,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/evaluation/final_evaluation_summary.json,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
pingpong_wall,temporal_acceleration,rotation_spike_count,lower,0.0,0.0,0.0,0.0,False,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/evaluation/final_evaluation_summary.json,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
pingpong_wall,temporal_acceleration,non_event_spike_count,lower,1.0,4.0,3.0,3.0,True,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/generic_stage4_candidate/generic_object_pose_candidate.csv,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/evaluation/final_evaluation_summary.json,samples_known_object/14_pingpong_wall/results/paper_loss_no_temporal_acceleration/evaluation/final_evaluation_summary.json
