frame,time,anchor_type,contact_part,contact_side,contact_label,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
1,0.0,hand,hand,left,left_hand,823.192,495.173,898.7023366706877,381.31961002969206,846.5004297229848,360.49054454309737,1,1,center,center,136.61773439730152,136.68447865083982,136.61773439730152,58.94073439730151,56.20399503613142,0.0,0.0,left,center,0.42410242301464596,0.0,0.0,0.0,0.10602560575366149,0,0
2,0.041667,hand,hand,right,right_hand,822.802,495.468,897.3970467463023,383.8435501153375,843.7312823750847,363.9983283390573,1,1,center,center,134.25512582816552,133.12516451584995,133.12516451584995,55.02916451584994,57.217541828505674,0.0,0.0,right,center,0.4734514466930587,0.1629820783938154,0.1454358989127991,0.0,0.1718973532148968,0,0
3,0.083333,hand,hand,right,right_hand,822.741,495.758,895.754135712433,386.05334739829993,840.1046082878355,367.1637872618337,1,1,center,center,131.780229127976,129.7611900474181,129.7611900474181,51.7671900474181,58.768064326896166,0.0,0.0,right,center,0.5159789163231595,0.13591560285132687,0.1342417407186785,0.0,0.1762304176522246,0,0
4,0.125,hand,hand,right,right_hand,822.959,496.168,894.3917097115595,387.72441922257383,836.100600336398,370.19214612378937,1,1,center,center,129.85623677192442,126.65945451975541,126.65945451975541,49.25545451975542,60.87063357808435,0.0,0.0,right,center,0.5493404030458152,0.10465564698594498,0.1152747821451623,0.0,0.17608840423837802,0,0
5,0.166667,hand,hand,right,right_hand,822.968,496.734,893.431437970253,389.70515307565626,831.8567644960478,373.67836328076083,1,1,center,center,128.14160200552473,123.37625323636458,123.37625323636458,45.94925323636457,63.62623990606979,0.0,0.0,right,center,0.5937380764080721,0.13775838680795202,0.6377085375815232,0.0,0.29663998463951546,0,0
6,0.208333,hand,hand,right,right_hand,822.468,495.95,892.5677390850026,391.8917751538014,827.8672961039222,377.34110982887086,1,1,center,center,125.46747617581006,118.73171954471476,118.73171954471476,41.999719544714765,66.31643222721027,0.0,0.0,right,center,0.6469089384133361,0.16456390381874186,0.7629179070516502,0.0,0.33899540158647534,0,0
7,0.25,hand,hand,right,right_hand,822.656,496.749,892.15142565178,394.2773051555828,824.3031974942774,381.03828904750526,1,1,center,center,123.81462930853304,115.72243468194465,115.72243468194465,37.881434681944654,69.12780635621577,0.0,0.0,right,center,0.7016491743605767,0.17159520261542127,1.0,0.0,0.4011515739824574,0,0
8,0.291667,hand,hand,right,right_hand,822.002,495.446,891.626057736111,396.21716855162146,821.5221923053492,384.5735292604683,1,1,center,center,121.21827587559578,110.87350893388447,110.87350893388447,34.248508933884466,71.06424054527591,0.0,0.0,right,center,0.7485480792795579,0.1513719061691745,0.6080221782378809,0.0,0.3314472413928418,0,0
9,0.333333,hand,hand,right,right_hand,821.777,495.45,891.4076036061109,398.20396686850194,819.4368920889192,387.7802346653962,1,1,center,center,119.60439757117527,107.6951924286509,107.6951924286509,31.251192428650896,72.72164402248409,0.0,0.0,right,center,0.7857277306415594,0.12488818771806542,0.18812734875707018,0.0,0.2527906305695137,0,0
10,0.375,hand,hand,right,right_hand,821.462,495.87,890.6044897806942,399.860933306437,817.4167143720188,390.46395019377337,1,1,center,center,118.31493895718506,105.48364646505486,105.48364646505486,29.246646465054866,73.7885747313932,0.0,0.0,right,center,0.8096108629790858,0.08352274848316792,0.14771181031044853,0.0,0.24447349007933636,0,0
