frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
44,1.791667,509.638,424.541,0.000000,480.343,426.623,0.000000,557.190,448.128,0.000000,504.803,381.496,0.000000,516.154,460.859,0.000000
45,1.833333,515.492,431.106,0.000000,482.448,431.325,0.000000,561.860,452.104,0.000000,507.349,386.415,0.000000,520.560,468.636,0.000000
46,1.875000,521.052,450.454,0.000000,485.212,449.282,0.000000,568.141,460.395,0.000000,510.715,405.165,0.000000,527.299,488.988,0.000000
47,1.916667,527.895,485.366,0.000000,489.625,478.138,0.000000,572.643,480.584,0.000000,517.925,437.591,0.000000,531.004,522.473,0.000000
48,1.958333,536.808,534.688,0.000000,501.450,518.398,0.000000,577.734,522.950,0.000000,530.773,471.915,0.000000,537.862,569.268,0.000000
49,2.000000,548.897,592.756,0.000000,514.272,572.997,0.000000,584.335,584.008,0.000000,539.227,501.258,0.000000,548.337,628.131,0.000000
50,2.041667,555.445,624.880,0.000000,522.630,602.386,0.000000,591.904,614.052,0.000000,543.870,503.036,0.000000,550.619,659.836,0.000000
51,2.083333,561.590,581.902,0.000000,524.307,563.164,0.000000,597.280,570.656,0.000000,551.456,498.632,0.000000,556.724,617.338,0.000000
52,2.125000,564.316,540.207,0.000000,526.425,527.940,0.000000,601.778,533.033,0.000000,554.851,481.499,0.000000,558.846,575.927,0.000000
53,2.166667,571.752,505.622,0.000000,531.908,498.297,0.000000,607.456,503.965,0.000000,557.201,458.206,0.000000,563.785,542.225,0.000000
54,2.208333,579.247,478.847,0.000000,537.033,474.718,0.000000,612.340,478.921,0.000000,560.425,436.286,0.000000,570.229,515.945,0.000000
55,2.250000,582.655,459.220,0.000000,543.460,457.337,0.000000,614.711,460.682,0.000000,567.026,416.321,0.000000,574.092,496.631,0.000000
56,2.291667,590.001,444.529,0.000000,551.089,442.380,0.000000,620.883,448.312,0.000000,575.936,401.966,0.000000,580.396,482.231,0.000000
57,2.333333,595.282,438.518,0.000000,557.513,435.076,0.000000,626.036,443.005,0.000000,584.404,393.615,0.000000,584.695,475.234,0.000000
58,2.375000,602.024,437.688,0.000000,564.499,433.461,0.000000,631.963,442.280,0.000000,593.757,392.337,0.000000,589.963,474.542,0.000000
59,2.416667,606.735,446.864,0.000000,568.833,442.577,0.000000,638.429,450.740,0.000000,601.752,401.836,0.000000,596.583,482.725,0.000000
60,2.458333,614.211,471.285,0.000000,576.286,466.198,0.000000,645.332,472.128,0.000000,610.379,425.213,0.000000,605.138,507.724,0.000000
61,2.500000,618.083,516.286,0.000000,583.310,508.778,0.000000,649.980,512.025,0.000000,612.662,463.999,0.000000,611.525,554.132,0.000000
62,2.541667,619.454,576.719,0.000000,586.937,565.895,0.000000,653.658,567.235,0.000000,611.971,500.118,0.000000,613.676,612.291,0.000000
63,2.583333,620.935,622.173,0.000000,590.537,608.117,0.000000,657.308,616.086,0.000000,608.982,510.782,0.000000,612.968,660.670,0.000000
64,2.625000,613.193,584.890,0.000000,585.080,568.834,0.000000,649.260,573.062,0.000000,606.115,504.514,0.000000,610.390,617.907,0.000000
65,2.666667,614.194,537.831,1.000000,572.000,537.831,1.000000,657.000,537.831,1.000000,614.194,495.000,1.000000,614.194,578.000,1.000000
66,2.708333,610.860,505.848,1.000000,568.297,520.894,0.000000,652.175,511.426,1.000000,610.416,470.551,0.000000,609.488,543.740,1.000000
67,2.750000,603.875,480.160,1.000000,561.919,497.060,0.000000,643.677,487.797,0.000000,605.106,449.446,0.000000,601.485,518.492,1.000000
68,2.791667,599.698,461.189,1.000000,558.705,474.386,0.000000,636.489,470.671,0.000000,602.405,432.116,0.000000,595.255,498.244,1.000000
69,2.833333,596.625,449.974,1.000000,556.822,458.830,0.000000,631.775,461.047,0.000000,600.023,422.068,0.000000,591.211,485.739,1.000000
70,2.875000,592.364,445.020,1.000000,553.583,451.761,0.000000,626.715,458.227,0.000000,597.458,418.773,0.000000,584.734,480.373,1.000000
71,2.916667,589.351,446.269,1.000000,551.285,452.211,0.000000,624.177,460.423,0.000000,595.951,423.732,0.000000,580.072,480.715,1.000000
72,2.958333,582.337,460.624,1.000000,544.661,461.448,0.000000,619.709,478.093,0.000000,592.107,437.656,0.000000,570.906,494.643,1.000000
73,3.000000,576.040,491.129,1.000000,538.068,496.711,0.000000,616.179,502.673,0.000000,585.831,462.924,0.000000,567.455,527.702,1.000000
74,3.041667,567.917,538.055,1.000000,529.077,543.754,0.000000,610.642,541.097,0.000000,576.912,502.410,0.000000,565.435,576.333,1.000000
75,3.083333,559.457,602.595,0.000000,523.557,600.928,0.000000,602.095,598.987,0.000000,565.335,561.359,0.000000,561.321,641.587,1.000000
76,3.125000,548.267,617.725,0.000000,513.912,618.918,0.000000,590.229,612.343,0.000000,558.217,572.100,0.000000,552.101,652.696,1.000000
77,3.166667,535.419,573.049,0.000000,503.089,574.368,0.000000,577.535,570.633,0.000000,543.031,530.744,0.000000,538.266,606.722,1.000000
78,3.208333,525.723,531.022,0.000000,492.604,537.383,0.000000,566.259,534.345,0.000000,535.112,495.224,0.000000,523.127,567.526,1.000000
79,3.250000,519.381,497.002,0.000000,486.734,506.808,0.000000,560.767,502.593,0.000000,529.504,467.702,0.000000,513.638,532.073,1.000000
80,3.291667,513.327,472.308,0.000000,482.446,482.921,0.000000,552.849,478.842,0.000000,523.719,448.685,0.000000,505.256,505.264,1.000000
81,3.333333,505.081,454.618,0.000000,476.314,466.859,0.000000,543.399,461.730,0.000000,516.413,435.508,0.000000,496.540,487.356,1.000000
82,3.375000,503.947,447.231,0.000000,475.767,460.820,0.000000,541.525,455.533,0.000000,515.095,430.319,0.000000,495.924,479.685,1.000000
83,3.416667,502.438,449.081,0.000000,473.934,461.604,0.000000,539.147,458.616,0.000000,512.793,432.567,0.000000,494.814,481.247,1.000000
84,3.458333,499.349,463.893,0.000000,469.362,470.362,0.000000,536.900,473.725,0.000000,510.373,441.307,0.000000,492.903,495.752,1.000000
85,3.500000,492.456,496.093,0.000000,465.058,505.539,0.000000,533.632,504.283,0.000000,505.393,468.748,0.000000,490.266,532.318,0.000000
86,3.541667,496.503,546.665,0.000000,466.228,549.116,0.000000,538.638,549.876,0.000000,507.297,508.440,0.000000,497.310,583.748,0.000000
87,3.583333,493.254,609.215,0.000000,465.188,607.287,0.000000,534.576,608.427,0.000000,504.331,563.887,0.000000,493.896,636.929,0.000000
88,3.625000,493.822,604.176,0.000000,465.832,602.741,0.000000,535.457,603.235,0.000000,505.078,561.776,0.000000,494.333,632.258,0.000000
89,3.666667,493.930,555.947,0.000000,463.836,561.234,0.000000,536.917,555.048,0.000000,504.929,515.103,0.000000,493.200,591.960,0.000000
90,3.708333,494.840,516.461,0.000000,463.939,526.210,0.000000,535.888,521.791,0.000000,506.648,482.487,0.000000,492.489,554.777,0.000000
91,3.750000,497.092,487.136,0.000000,465.055,497.143,0.000000,535.824,495.048,0.000000,505.916,459.788,0.000000,493.079,523.565,0.000000
92,3.791667,497.702,464.992,0.000000,466.488,473.702,0.000000,533.490,477.049,0.000000,506.985,441.388,0.000000,491.014,500.826,0.000000
93,3.833333,499.072,452.431,0.000000,467.571,461.436,0.000000,532.764,464.755,0.000000,506.938,431.549,0.000000,491.807,487.869,0.000000
94,3.875000,502.272,444.268,0.000000,472.733,454.795,0.000000,536.522,458.234,0.000000,508.993,425.486,0.000000,497.098,480.346,0.000000
95,3.916667,503.570,444.514,0.000000,474.614,454.252,0.000000,538.210,458.520,0.000000,510.605,426.145,0.000000,499.454,480.560,0.000000
96,3.958333,508.172,453.557,0.000000,479.641,464.644,0.000000,544.634,465.586,0.000000,516.191,430.718,0.000000,506.379,490.218,0.000000
97,4.000000,509.149,487.203,1.000000,466.000,487.203,1.000000,552.000,487.203,1.000000,509.149,443.000,1.000000,509.149,530.000,1.000000
98,4.041667,521.117,545.771,1.000000,478.691,543.455,1.000000,558.990,540.019,1.000000,521.676,480.711,0.000000,522.052,582.292,0.000000
99,4.083333,535.908,614.311,1.000000,493.167,611.049,1.000000,569.019,603.173,0.000000,529.978,496.020,0.000000,536.704,648.302,0.000000
100,4.125000,544.560,611.858,1.000000,500.325,606.501,1.000000,575.149,600.612,0.000000,535.103,499.916,0.000000,543.666,646.444,0.000000
101,4.166667,552.230,571.178,1.000000,503.921,566.417,1.000000,580.012,560.492,0.000000,537.227,491.107,0.000000,547.384,606.168,0.000000
102,4.208333,555.017,534.601,1.000000,506.692,531.905,1.000000,582.847,525.961,0.000000,538.683,473.507,0.000000,550.032,570.468,0.000000
103,4.250000,561.283,506.441,1.000000,512.446,505.184,1.000000,587.475,499.032,0.000000,542.215,456.416,0.000000,553.291,540.869,0.000000
104,4.291667,564.695,486.443,0.000000,516.347,485.563,0.000000,590.244,478.777,0.000000,543.737,439.318,0.000000,555.664,517.642,0.000000
105,4.333333,569.602,470.216,0.000000,523.691,470.093,0.000000,594.433,462.173,0.000000,547.877,423.254,0.000000,562.210,500.394,0.000000
106,4.375000,573.518,460.789,0.000000,530.248,459.606,0.000000,599.334,454.593,0.000000,552.008,413.129,0.000000,565.780,491.322,0.000000
107,4.416667,576.370,458.333,0.000000,535.369,455.934,0.000000,603.032,453.021,0.000000,556.877,410.750,0.000000,568.721,489.263,0.000000
108,4.458333,581.543,463.863,0.000000,542.479,460.866,0.000000,608.741,457.563,0.000000,565.238,417.281,0.000000,574.251,494.107,0.000000
109,4.500000,587.105,485.174,0.000000,549.335,481.879,0.000000,616.564,476.393,0.000000,574.464,436.826,0.000000,581.063,513.275,0.000000
110,4.541667,593.026,526.415,0.000000,553.031,521.470,1.000000,620.589,515.760,0.000000,582.479,473.070,0.000000,584.265,553.617,0.000000
111,4.583333,599.609,579.179,0.000000,556.634,571.453,0.000000,626.160,567.552,0.000000,582.570,499.180,0.000000,589.477,608.100,0.000000
112,4.625000,602.478,626.350,0.000000,561.777,619.417,0.000000,630.299,612.056,0.000000,580.017,502.535,0.000000,596.214,657.116,0.000000
113,4.666667,595.327,597.840,0.000000,556.253,589.187,0.000000,625.508,582.880,0.000000,578.624,503.171,0.000000,588.835,623.693,0.000000
114,4.708333,592.297,553.520,0.000000,554.110,547.443,0.000000,622.909,542.776,0.000000,574.869,487.384,0.000000,582.653,581.095,0.000000
115,4.750000,587.918,515.617,0.000000,551.448,511.130,0.000000,619.664,510.549,0.000000,573.190,467.978,0.000000,578.389,547.843,0.000000
116,4.791667,584.592,488.236,0.000000,549.554,486.217,0.000000,616.396,484.692,0.000000,570.124,445.214,0.000000,576.385,520.063,0.000000
117,4.833333,580.695,467.961,0.000000,546.238,466.594,0.000000,611.590,465.549,0.000000,566.858,427.757,0.000000,574.342,501.535,0.000000
118,4.875000,578.361,455.950,0.000000,544.645,455.075,0.000000,609.642,454.321,0.000000,564.635,415.676,0.000000,573.088,489.699,0.000000
119,4.916667,577.277,449.699,0.000000,544.401,449.440,0.000000,608.762,448.645,0.000000,564.659,409.194,0.000000,573.047,483.219,0.000000
120,4.958333,578.407,447.631,0.000000,545.034,448.060,0.000000,608.756,446.540,0.000000,567.054,407.409,0.000000,574.194,481.855,0.000000
121,5.000000,579.776,453.166,0.000000,545.324,452.196,0.000000,610.217,452.240,0.000000,572.122,411.453,0.000000,574.883,488.028,0.000000
122,5.041667,581.042,477.177,0.000000,544.620,474.895,0.000000,611.123,474.012,0.000000,578.174,432.848,0.000000,575.459,511.103,0.000000
123,5.083333,580.891,519.951,0.000000,542.614,514.898,0.000000,609.927,514.966,0.000000,577.467,471.359,0.000000,574.054,550.262,0.000000
124,5.125000,579.022,576.362,0.000000,537.425,568.371,0.000000,609.304,568.049,0.000000,568.510,496.894,0.000000,572.583,606.014,0.000000
125,5.166667,576.998,625.456,0.000000,538.366,620.016,0.000000,606.705,616.628,0.000000,561.963,506.813,0.000000,574.707,654.117,0.000000
126,5.208333,566.935,598.351,0.000000,528.332,589.371,0.000000,598.511,586.898,0.000000,557.450,509.470,0.000000,565.731,623.952,0.000000
127,5.250000,558.272,553.177,0.000000,521.193,548.204,0.000000,591.941,547.390,0.000000,550.976,493.518,0.000000,557.161,581.331,0.000000
128,5.291667,545.594,515.876,0.000000,510.194,512.329,0.000000,581.480,511.604,0.000000,543.291,463.960,0.000000,545.491,546.266,0.000000
129,5.333333,538.774,477.491,1.000000,497.000,477.491,1.000000,582.000,477.491,1.000000,538.774,433.000,1.000000,538.774,523.000,1.000000
130,5.375000,532.924,457.568,1.000000,491.145,459.081,0.000000,578.566,466.294,1.000000,529.629,413.662,1.000000,537.097,505.583,1.000000
131,5.416667,527.804,450.719,0.000000,486.107,452.615,0.000000,574.940,462.700,1.000000,523.847,405.994,0.000000,534.226,497.289,1.000000
