frame,time,ball_center_x,ball_center_y,radius,mask_area,source
1,0.000000,513.847,388.459,46.265,6050.0,sam2_mask_circle
2,0.041667,517.041,381.280,46.539,6038.5,sam2_mask_circle
3,0.083333,519.478,379.743,46.553,6013.0,sam2_mask_circle
4,0.125000,520.628,383.106,45.554,5945.5,sam2_mask_circle
5,0.166667,524.193,395.050,47.204,6076.5,sam2_mask_circle
6,0.208333,526.081,417.918,48.281,6293.0,sam2_mask_circle
7,0.250000,525.746,454.762,51.399,6358.5,sam2_mask_circle
8,0.291667,528.398,517.203,45.820,5710.0,sam2_mask_circle
9,0.333333,529.901,582.494,45.684,5534.0,sam2_mask_circle
10,0.375000,530.000,599.500,46.220,5551.5,sam2_mask_circle
11,0.416667,529.000,557.000,44.654,5013.0,sam2_mask_circle
12,0.458333,530.000,515.500,45.213,5664.5,sam2_mask_circle
13,0.500000,530.371,484.292,45.350,5899.5,sam2_mask_circle
14,0.541667,529.000,458.856,45.746,5978.5,sam2_mask_circle
15,0.583333,529.042,438.000,45.256,5972.0,sam2_mask_circle
16,0.625000,529.778,423.168,46.477,6054.5,sam2_mask_circle
17,0.666667,530.030,413.418,46.884,6024.0,sam2_mask_circle
18,0.708333,530.821,414.977,45.717,5845.5,sam2_mask_circle
19,0.750000,531.994,429.713,46.570,5827.0,sam2_mask_circle
20,0.791667,534.182,476.567,45.025,5531.5,sam2_mask_circle
21,0.833333,538.406,534.935,45.027,5548.0,sam2_mask_circle
22,0.875000,541.000,602.500,44.511,5244.5,sam2_mask_circle
23,0.916667,539.800,601.000,43.369,5149.0,sam2_mask_circle
24,0.958333,534.738,547.007,45.441,5856.0,sam2_mask_circle
25,1.000000,529.500,503.500,48.130,6279.5,sam2_mask_circle
26,1.041667,527.411,470.277,46.376,5744.0,sam2_mask_circle
27,1.083333,524.197,446.770,46.099,5767.0,sam2_mask_circle
28,1.125000,523.407,431.722,46.719,5971.5,sam2_mask_circle
29,1.166667,523.932,422.845,46.909,6176.0,sam2_mask_circle
30,1.208333,524.500,419.750,48.050,6470.5,sam2_mask_circle
31,1.250000,526.536,423.280,47.877,6436.5,sam2_mask_circle
32,1.291667,529.979,439.374,49.416,6611.0,sam2_mask_circle
33,1.333333,534.500,472.500,50.384,6529.0,sam2_mask_circle
34,1.375000,535.008,532.830,46.859,6040.0,sam2_mask_circle
35,1.416667,538.971,590.980,46.079,5527.0,sam2_mask_circle
36,1.458333,537.498,615.445,45.488,5820.5,sam2_mask_circle
37,1.500000,533.000,570.441,44.797,5669.5,sam2_mask_circle
38,1.541667,532.519,530.242,48.341,6283.5,sam2_mask_circle
39,1.583333,524.545,492.597,47.358,6192.5,sam2_mask_circle
40,1.625000,519.683,465.867,46.615,6098.5,sam2_mask_circle
41,1.666667,517.509,444.427,47.267,6120.5,sam2_mask_circle
42,1.708333,515.305,430.628,47.230,6262.0,sam2_mask_circle
43,1.750000,515.112,423.581,47.605,6469.0,sam2_mask_circle
44,1.791667,515.357,422.416,47.556,6510.5,sam2_mask_circle
45,1.833333,517.981,426.538,47.982,6426.5,sam2_mask_circle
46,1.875000,523.364,442.742,49.025,6348.5,sam2_mask_circle
47,1.916667,527.875,478.523,48.391,6293.5,sam2_mask_circle
48,1.958333,539.487,529.516,49.885,6143.5,sam2_mask_circle
49,2.000000,550.285,588.010,48.185,6470.0,sam2_mask_circle
50,2.041667,557.347,626.624,44.702,5778.0,sam2_mask_circle
51,2.083333,561.435,580.701,46.237,5994.0,sam2_mask_circle
52,2.125000,566.368,535.406,47.868,6083.0,sam2_mask_circle
53,2.166667,570.310,504.851,44.883,5656.5,sam2_mask_circle
54,2.208333,575.000,474.877,46.847,6139.0,sam2_mask_circle
55,2.250000,580.803,454.887,46.945,6206.0,sam2_mask_circle
56,2.291667,586.331,441.264,47.220,6269.0,sam2_mask_circle
57,2.333333,592.523,433.403,46.387,6048.0,sam2_mask_circle
58,2.375000,599.671,433.340,47.670,6323.0,sam2_mask_circle
59,2.416667,606.000,441.500,47.035,6178.5,sam2_mask_circle
60,2.458333,612.000,465.868,46.761,5989.0,sam2_mask_circle
61,2.500000,616.493,513.394,46.388,5813.0,sam2_mask_circle
62,2.541667,621.625,574.562,46.101,5963.5,sam2_mask_circle
63,2.583333,622.500,622.839,46.303,5893.0,sam2_mask_circle
64,2.625000,618.183,581.122,47.080,6129.0,sam2_mask_circle
65,2.666667,612.500,538.214,46.239,5801.5,sam2_mask_circle
66,2.708333,606.278,501.887,47.271,6055.5,sam2_mask_circle
67,2.750000,600.948,476.656,47.448,5898.5,sam2_mask_circle
68,2.791667,595.564,458.268,46.503,5875.0,sam2_mask_circle
69,2.833333,591.197,447.870,46.322,5934.5,sam2_mask_circle
70,2.875000,587.500,443.000,47.024,6133.0,sam2_mask_circle
71,2.916667,585.629,443.655,47.364,6343.0,sam2_mask_circle
72,2.958333,581.148,456.715,47.866,6291.0,sam2_mask_circle
73,3.000000,577.500,490.000,47.130,6023.0,sam2_mask_circle
74,3.041667,566.433,536.305,47.730,6263.5,sam2_mask_circle
75,3.083333,558.411,600.397,45.833,5723.5,sam2_mask_circle
76,3.125000,548.312,612.849,46.876,6020.5,sam2_mask_circle
77,3.166667,535.100,568.900,45.140,5836.5,sam2_mask_circle
78,3.208333,526.124,531.440,47.813,6323.0,sam2_mask_circle
79,3.250000,516.427,496.675,45.989,6004.0,sam2_mask_circle
80,3.291667,509.963,471.324,46.626,5927.5,sam2_mask_circle
81,3.333333,503.383,451.130,46.860,6052.0,sam2_mask_circle
82,3.375000,500.692,441.722,47.602,6187.5,sam2_mask_circle
83,3.416667,498.161,442.772,47.278,6281.0,sam2_mask_circle
84,3.458333,494.585,460.724,46.704,6217.0,sam2_mask_circle
85,3.500000,494.416,493.835,47.806,6065.5,sam2_mask_circle
86,3.541667,494.913,546.629,46.902,5723.5,sam2_mask_circle
87,3.583333,496.789,605.582,45.560,5844.0,sam2_mask_circle
88,3.625000,496.123,603.262,44.967,5628.0,sam2_mask_circle
89,3.666667,491.422,553.193,48.395,6371.5,sam2_mask_circle
90,3.708333,489.000,516.500,47.846,6138.0,sam2_mask_circle
91,3.750000,491.074,487.378,47.747,6206.0,sam2_mask_circle
92,3.791667,488.198,461.827,48.546,6547.5,sam2_mask_circle
93,3.833333,491.711,448.241,46.812,6352.5,sam2_mask_circle
94,3.875000,494.398,439.968,47.409,6426.0,sam2_mask_circle
95,3.916667,497.971,440.027,47.162,6326.5,sam2_mask_circle
96,3.958333,499.943,449.068,50.747,6714.0,sam2_mask_circle
97,4.000000,509.016,485.181,49.251,6230.5,sam2_mask_circle
98,4.041667,522.503,547.582,45.926,5742.5,sam2_mask_circle
99,4.083333,533.869,611.295,45.857,5831.0,sam2_mask_circle
100,4.125000,541.417,607.489,45.464,5920.0,sam2_mask_circle
101,4.166667,543.809,567.214,45.627,6014.0,sam2_mask_circle
102,4.208333,544.500,532.500,51.464,6327.0,sam2_mask_circle
103,4.250000,547.886,498.503,47.812,6164.0,sam2_mask_circle
104,4.291667,556.954,473.590,46.684,6033.0,sam2_mask_circle
105,4.333333,562.763,458.857,47.149,6274.5,sam2_mask_circle
106,4.375000,568.197,448.577,47.074,6317.5,sam2_mask_circle
107,4.416667,573.777,446.076,47.171,6249.0,sam2_mask_circle
108,4.458333,579.144,451.892,47.265,6055.5,sam2_mask_circle
109,4.500000,586.122,472.644,46.510,5840.0,sam2_mask_circle
110,4.541667,589.557,511.550,48.138,6086.0,sam2_mask_circle
111,4.583333,593.800,571.200,46.120,5947.5,sam2_mask_circle
112,4.625000,599.097,624.000,47.087,6017.0,sam2_mask_circle
113,4.666667,594.052,587.330,46.575,6049.0,sam2_mask_circle
114,4.708333,592.098,547.198,44.775,5547.0,sam2_mask_circle
115,4.750000,585.452,509.838,47.740,5702.0,sam2_mask_circle
116,4.791667,583.612,481.712,46.952,5756.0,sam2_mask_circle
117,4.833333,582.599,461.457,46.812,5941.0,sam2_mask_circle
118,4.875000,580.438,449.076,46.150,5991.0,sam2_mask_circle
119,4.916667,579.739,442.167,46.405,5984.5,sam2_mask_circle
120,4.958333,580.244,440.936,46.422,6065.0,sam2_mask_circle
121,5.000000,581.182,447.211,46.908,6165.5,sam2_mask_circle
122,5.041667,580.675,468.898,49.009,6463.5,sam2_mask_circle
123,5.083333,579.000,511.000,47.011,5869.5,sam2_mask_circle
124,5.125000,576.139,570.328,45.296,5956.5,sam2_mask_circle
125,5.166667,572.270,620.270,47.889,6156.5,sam2_mask_circle
126,5.208333,566.252,590.610,44.323,5292.5,sam2_mask_circle
127,5.250000,553.052,544.569,47.318,6013.5,sam2_mask_circle
128,5.291667,548.335,501.674,51.457,6346.0,sam2_mask_circle
129,5.333333,537.156,477.370,48.480,6186.0,sam2_mask_circle
130,5.375000,533.415,457.539,47.394,6166.0,sam2_mask_circle
131,5.416667,527.171,448.310,47.342,6153.0,sam2_mask_circle
132,5.458333,521.543,449.775,47.188,6375.0,sam2_mask_circle
133,5.500000,516.500,461.000,47.437,6336.5,sam2_mask_circle
134,5.541667,509.706,488.059,48.610,6181.5,sam2_mask_circle
135,5.583333,507.812,534.264,52.033,6516.0,sam2_mask_circle
136,5.625000,508.746,600.662,47.420,5771.5,sam2_mask_circle
137,5.666667,508.979,606.485,45.401,5590.5,sam2_mask_circle
138,5.708333,508.669,561.797,44.101,5255.0,sam2_mask_circle
139,5.750000,513.514,515.486,50.364,6242.5,sam2_mask_circle
140,5.791667,517.150,489.148,48.392,6173.5,sam2_mask_circle
141,5.833333,521.659,469.061,47.119,5960.5,sam2_mask_circle
142,5.875000,527.723,455.668,47.581,6191.5,sam2_mask_circle
143,5.916667,536.329,452.481,47.320,6308.5,sam2_mask_circle
144,5.958333,546.128,459.602,47.917,6306.5,sam2_mask_circle
145,6.000000,555.731,478.287,47.131,5857.5,sam2_mask_circle
146,6.041667,566.118,524.927,45.793,5832.5,sam2_mask_circle
147,6.083333,575.555,580.774,44.782,5738.5,sam2_mask_circle
148,6.125000,583.032,624.407,45.121,5923.0,sam2_mask_circle
149,6.166667,583.718,583.886,45.480,5820.5,sam2_mask_circle
150,6.208333,584.508,545.289,45.223,5863.0,sam2_mask_circle
151,6.250000,584.000,509.000,46.044,5632.5,sam2_mask_circle
152,6.291667,585.500,483.071,46.183,5898.5,sam2_mask_circle
153,6.333333,584.508,462.897,46.393,5904.0,sam2_mask_circle
154,6.375000,585.200,453.295,46.317,5867.5,sam2_mask_circle
155,6.416667,586.809,451.201,46.919,6197.5,sam2_mask_circle
156,6.458333,588.014,456.185,47.114,6076.0,sam2_mask_circle
157,6.500000,587.859,472.572,49.296,6173.0,sam2_mask_circle
158,6.541667,584.741,514.660,48.419,5843.5,sam2_mask_circle
159,6.583333,578.000,567.000,55.570,6647.5,sam2_mask_circle
160,6.625000,570.604,629.000,47.167,6237.0,sam2_mask_circle
161,6.666667,558.000,600.024,45.301,5778.5,sam2_mask_circle
162,6.708333,543.283,553.623,46.684,5971.5,sam2_mask_circle
163,6.750000,533.000,514.387,49.412,6282.5,sam2_mask_circle
164,6.791667,522.886,487.270,47.419,6056.0,sam2_mask_circle
165,6.833333,515.496,467.168,46.489,6042.0,sam2_mask_circle
166,6.875000,509.477,451.795,46.214,6125.0,sam2_mask_circle
167,6.916667,505.168,442.279,46.340,6144.0,sam2_mask_circle
168,6.958333,501.643,438.071,46.305,6206.0,sam2_mask_circle
169,7.000000,498.009,440.330,46.658,6247.5,sam2_mask_circle
170,7.041667,495.539,460.114,47.085,6237.5,sam2_mask_circle
171,7.083333,496.304,494.921,48.554,6208.5,sam2_mask_circle
172,7.125000,496.732,550.273,47.785,5899.5,sam2_mask_circle
173,7.166667,501.124,613.616,46.131,5863.5,sam2_mask_circle
174,7.208333,503.000,603.000,45.804,5545.0,sam2_mask_circle
175,7.250000,506.330,555.979,45.984,5943.0,sam2_mask_circle
176,7.291667,510.359,519.020,48.559,6298.5,sam2_mask_circle
177,7.333333,516.040,481.947,49.584,6422.5,sam2_mask_circle
178,7.375000,521.756,461.834,47.709,6097.0,sam2_mask_circle
179,7.416667,528.007,446.535,47.751,6142.5,sam2_mask_circle
180,7.458333,536.559,439.568,46.803,6033.0,sam2_mask_circle
181,7.500000,545.500,439.406,46.742,6045.5,sam2_mask_circle
182,7.541667,556.715,446.460,48.602,6218.5,sam2_mask_circle
183,7.583333,564.133,466.021,46.773,6090.0,sam2_mask_circle
184,7.625000,575.471,498.418,49.509,6465.0,sam2_mask_circle
185,7.666667,582.820,543.866,54.028,6981.0,sam2_mask_circle
186,7.708333,588.129,614.693,46.689,6115.0,sam2_mask_circle
187,7.750000,584.058,612.386,45.398,5684.0,sam2_mask_circle
188,7.791667,576.929,564.432,47.308,5947.0,sam2_mask_circle
189,7.833333,569.723,527.486,46.624,5923.5,sam2_mask_circle
190,7.875000,560.617,501.315,45.635,5684.5,sam2_mask_circle
191,7.916667,552.451,478.924,47.144,6285.0,sam2_mask_circle
192,7.958333,546.731,465.269,46.508,6163.5,sam2_mask_circle
