frame,time,z_init,z_ref,z_final,anchor_used,anchor_kind,anchor_weight,target_center_z,hand_z,local_delta_z,contact_depth_offset_m,contact_label,frame_mode,human_contact_state,floor_contact_state,support_conf,table_static_start_frame
14,0.541667,3.686965724,3.991040961,3.994008102,1,confirmed_update,1.786491,3.991040961,3.964757156,-0.009371804,-0.016912000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
15,0.583333,3.693101771,3.972341192,3.990144191,1,continuous_keep,0.941564,3.972341192,3.964395237,-0.008970955,0.001025000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
16,0.625000,3.705355150,3.983869117,3.986563649,1,continuous_keep,0.939516,3.983869117,3.964044189,-0.008441928,-0.011383000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
17,0.666667,3.724470618,3.960633083,3.983229617,1,continuous_keep,0.892627,3.960633083,3.962117767,-0.007800316,0.009285000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
18,0.708333,3.750712564,4.000315638,3.980105670,1,continuous_keep,0.942045,4.000315638,3.957120466,-0.007065172,-0.036130000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
19,0.750000,3.785388251,3.941474665,3.977039344,1,continuous_keep,0.802864,3.941474665,3.940135813,-0.006377853,0.005039000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
20,0.791667,3.828908888,3.952443460,3.974016304,1,continuous_keep,0.985347,3.952443460,3.927047539,-0.005975921,-0.019420000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
21,0.833333,3.881560603,4.001916608,3.970866440,1,continuous_keep,0.907074,4.001916608,3.918720484,-0.006228124,-0.076968000,left_hand,keep_previous_grasp_anchor,1,0,0.15,167
22,0.875000,3.941192396,3.944238455,3.967253541,1,continuous_keep,0.932953,3.944238455,3.909041452,-0.007775002,-0.027422000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
23,0.916667,4.005795629,3.989819933,3.962963077,1,continuous_keep,0.962742,3.989819933,3.898668385,-0.011151549,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
24,0.958333,4.067980688,3.984526335,3.957517618,1,continuous_keep,0.928204,3.984526335,3.888487148,-0.016039187,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
