factor_id,residual_index,value,squared_error
point_reprojection:measurement_ir,0,4.9045985929296879e-05,2.4055087357767873e-09
point_reprojection:measurement_ir,1,0.00010620731353583324,1.1279993448498786e-08
point_reprojection:measurement_ir,2,-0.00014816390648775268,2.1952543185711522e-08
point_reprojection:measurement_ir,3,-8.183291024579375e-05,6.6966251992961355e-09
point_reprojection:measurement_ir,4,4.7995835666370111e-05,2.3036002413132051e-09
point_reprojection:measurement_ir,5,0.00019552228479824407,3.8228963852725666e-08
point_reprojection:measurement_ir,6,0.00010880852084937942,1.1839294209429836e-08
point_reprojection:measurement_ir,7,-0.00049443711308185814,2.4446805879272216e-07
point_reprojection:measurement_ir,8,-8.642970215078094e-05,7.4700934138727073e-09
point_reprojection:measurement_ir,9,0.00036383584416626035,1.3237652150017529e-07
point_reprojection:measurement_ir,10,0.00010372477927376167,1.0758829835390579e-08
point_reprojection:measurement_ir,11,-0.00027439173237553405,7.5290822796046697e-08
point_reprojection:measurement_ir,12,-0.00011179603052369202,1.2498352440854279e-08
point_reprojection:measurement_ir,13,2.9587260110019996e-05,8.7540596081798048e-10
point_reprojection:measurement_ir,14,9.4784417001392285e-05,8.9840857062938225e-09
point_reprojection:measurement_ir,15,0.00042661550412503857,1.820007883598608e-07
point_reprojection:measurement_ir,16,-1.4995203264334122e-05,2.2485612093869673e-10
point_reprojection:measurement_ir,17,-0.00041260657818611437,1.702441883624541e-07
point_reprojection:measurement_ir,18,0.00024560219098930248,6.0320436218745815e-08
point_reprojection:measurement_ir,19,-9.6061813792402972e-06,9.227872069086302e-11
point_reprojection:measurement_ir,20,-0.00047537201508021101,2.2597855272142037e-07
point_reprojection:measurement_ir,21,0.00014907649541555655,2.2223801485384455e-08
point_reprojection:measurement_ir,22,0.00026892462440173401,7.2320453609613719e-08
point_reprojection:measurement_ir,23,-0.00011053120335873246,1.2217146915929469e-08
point_reprojection:measurement_ir,24,-8.9025528632191714e-05,7.9255447482411863e-09
point_reprojection:measurement_ir,25,8.2698955316118367e-05,6.8391172103773425e-09
point_reprojection:measurement_ir,26,-9.7218121345576941e-05,9.4513631179633235e-09
point_reprojection:measurement_ir,27,-0.00036009194849384585,1.2966621137009452e-07
point_reprojection:measurement_ir,28,0.00030217075725431642,9.1307166539647025e-08
point_reprojection:measurement_ir,29,1.4254414196557263e-05,2.0318832408701326e-10
point_reprojection:measurement_ir,30,-0.00044608192370105827,1.9898908265283676e-07
point_reprojection:measurement_ir,31,0.00046230624441250255,2.1372706362279255e-07
point_reprojection:measurement_ir,32,0.0002428120199510886,5.8957677032727848e-08
point_reprojection:measurement_ir,33,-8.4177678832020317e-05,7.0858816135467617e-09
point_reprojection:measurement_ir,34,-5.4112781276671741e-05,2.9281930974969156e-09
point_reprojection:measurement_ir,35,-5.233159066619919e-05,2.7385953816546261e-09
point_reprojection:measurement_ir,36,0.0015425558933884532,2.3794786842274491e-06
point_reprojection:measurement_ir,37,-3.3496516334707851e-05,1.1220166065613498e-09
point_reprojection:measurement_ir,38,-0.002724973515455531,7.4254806599340755e-06
point_reprojection:measurement_ir,39,0.0012875547513317542,1.6577972376769753e-06
point_reprojection:measurement_ir,40,-5.8468711745263133e-05,3.4185902531506709e-09
point_reprojection:measurement_ir,41,0.002344247918972542,5.4954983056070942e-06
