factor_id,residual_index,value,squared_error
point_reprojection:measurement_ir,0,4.9019998618859974e-05,2.4029602645930337e-09
point_reprojection:measurement_ir,1,0.00010621128550383218,1.1280837168376552e-08
point_reprojection:measurement_ir,2,-0.0001481480376696709,2.1947841065374226e-08
point_reprojection:measurement_ir,3,-8.1835966648213804e-05,6.6971254372475623e-09
point_reprojection:measurement_ir,4,4.8112192416738253e-05,2.3147830591452459e-09
point_reprojection:measurement_ir,5,0.00019550852535985542,3.8223583488385229e-08
point_reprojection:measurement_ir,6,0.00010864459825370432,1.1803648729708812e-08
point_reprojection:measurement_ir,7,-0.00049441504862670629,2.4444624030854834e-07
point_reprojection:measurement_ir,8,-8.6421076889564572e-05,7.468602530752032e-09
point_reprojection:measurement_ir,9,0.00036383337300094354,1.323747233092437e-07
point_reprojection:measurement_ir,10,0.0001038683449223754,1.0788633076913547e-08
point_reprojection:measurement_ir,11,-0.00027442174457519285,7.5307293895692387e-08
point_reprojection:measurement_ir,12,-0.00011145918638248986,1.2423150229046614e-08
point_reprojection:measurement_ir,13,2.9501972096568353e-05,8.7036635758669765e-10
point_reprojection:measurement_ir,14,9.5110395182018689e-05,9.0459872716797641e-09
point_reprojection:measurement_ir,15,0.00042651761276601974,1.8191727399962436e-07
point_reprojection:measurement_ir,16,-1.5048306522658095e-05,2.2645152919987416e-10
point_reprojection:measurement_ir,17,-0.00041258590903225922,1.7022713233197567e-07
point_reprojection:measurement_ir,18,0.00024577215529006933,6.0403952315925952e-08
point_reprojection:measurement_ir,19,-9.6676520229266316e-06,9.3463495636397389e-11
point_reprojection:measurement_ir,20,-0.00047680854156624265,2.2734638531052736e-07
point_reprojection:measurement_ir,21,0.00014962026192506529,2.2386222778525142e-08
point_reprojection:measurement_ir,22,0.00026868653205838202,7.2192452509559947e-08
point_reprojection:measurement_ir,23,-0.00011043964774444248,1.2196915793916539e-08
point_reprojection:measurement_ir,24,-8.903319380806351e-05,7.9269095996641992e-09
