frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
1,0.000000,-0.925575,0.902754,6.652603,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.510,838.933,36.661,653.510,838.933,39.736,878.669,879.464,0.000107,0,0,0
2,0.033333,-0.924467,0.904458,6.654278,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.954,839.422,36.729,653.954,839.422,39.726,879.148,879.464,0.000115,0,0,0
3,0.066667,-0.924697,0.905039,6.655953,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.955,839.539,36.730,653.955,839.539,39.716,879.255,879.464,0.000015,0,0,0
4,0.100000,-0.925561,0.904814,6.657628,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.746,839.389,36.747,653.746,839.389,39.706,879.095,879.464,0.000034,0,0,0
5,0.133333,-0.925836,0.905204,6.659302,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.732,839.443,36.747,653.732,839.443,39.696,879.139,879.464,0.000018,0,0,0
6,0.166667,-0.925903,0.905281,6.660977,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.787,839.393,36.810,653.787,839.393,39.686,879.079,879.464,0.000012,0,0,0
7,0.200000,-0.926024,0.905587,6.662652,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.824,839.419,36.809,653.824,839.419,39.676,879.095,879.464,0.000007,0,0,0
8,0.233333,-0.926169,0.905727,6.664326,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.853,839.390,36.809,653.853,839.390,39.666,879.056,879.464,0.000003,0,0,0
9,0.266667,-0.926429,0.905873,6.666001,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.844,839.363,36.746,653.844,839.363,39.656,879.019,879.464,0.000005,0,0,0
10,0.300000,-0.926719,0.905976,6.667676,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.825,839.322,36.868,653.825,839.322,39.646,878.968,879.464,0.000008,0,0,0
11,0.333333,-0.927148,0.906370,6.669351,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.760,839.377,36.922,653.760,839.377,39.636,879.013,879.464,0.000008,0,0,0
12,0.366667,-0.927675,0.906704,6.671025,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.663,839.412,36.960,653.663,839.412,39.626,879.038,879.464,0.000015,0,0,0
13,0.400000,-0.927729,0.907059,6.672700,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.722,839.454,36.692,653.722,839.454,39.616,879.070,879.464,0.000012,0,0,0
14,0.433333,-0.927944,0.907250,6.674375,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.728,839.442,36.611,653.728,839.442,39.607,879.049,879.464,0.000006,0,0,0
15,0.466667,-0.928049,0.907508,6.676049,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,653.770,839.452,36.741,653.770,839.452,39.597,879.049,879.464,0.000003,0,0,0
