frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
17,0.666667,-0.280046,0.142392,3.714808,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,529.287,416.293,46.884,529.287,416.293,47.441,463.734,658.417,floor,ball_contact_events,0.428931,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.020257,3.714808,3.645280,0.000000
18,0.708333,-0.274659,0.144598,3.689766,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,530.680,417.553,45.717,530.680,417.553,47.763,465.316,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.043412,3.699178,3.641574,-0.009411
19,0.750000,-0.265738,0.184284,3.666516,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.560,433.814,46.570,533.560,433.814,48.065,481.879,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.088233,3.699030,3.637867,-0.032513
20,0.791667,-0.263052,0.304804,3.645905,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,534.040,482.778,45.025,534.040,482.778,48.337,531.115,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.150929,3.711479,3.634161,-0.065574
21,0.833333,-0.258972,0.447056,3.628220,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.175,540.956,45.027,535.175,540.956,48.573,589.529,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.199159,3.735127,3.630455,-0.106907
22,0.875000,-0.248341,0.601111,3.613405,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.066,604.311,44.511,539.066,604.311,48.772,653.083,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.231528,3.730947,3.626749,-0.117543
23,0.916667,-0.249735,0.590971,3.603230,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.213,600.868,43.369,538.213,600.868,48.910,649.778,658.417,floor,ball_contact_events,0.428931,0.000000,0,1,0,0,0,0,hand,right,right_hand,right_hand,0.243225,3.729294,3.623043,-0.126064
24,0.958333,-0.260106,0.454111,3.596924,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.800,545.411,45.441,533.800,545.411,48.995,594.406,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.234850,3.714227,3.604189,-0.117303
25,1.000000,-0.271666,0.356456,3.592315,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,528.938,505.726,48.130,528.938,505.726,49.058,554.784,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.207546,3.668438,3.597733,-0.076122
26,1.041667,-0.281089,0.280962,3.589417,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.993,474.955,46.376,524.993,474.955,49.098,524.053,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.160121,3.641512,3.591277,-0.052094
27,1.083333,-0.291144,0.226122,3.588041,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.833,452.553,46.099,520.833,452.553,49.117,501.670,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.107274,3.619800,3.584821,-0.031760
28,1.125000,-0.293677,0.187248,3.588031,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.796,436.642,46.719,519.796,436.642,49.117,485.759,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.065614,3.608790,3.578365,-0.020758
29,1.166667,-0.291833,0.167082,3.589172,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.589,428.366,46.909,520.589,428.366,49.101,477.467,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.040879,3.600039,3.571909,-0.010867
30,1.208333,-0.292727,0.158025,3.591058,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,520.286,424.626,48.050,520.286,424.626,49.075,473.701,658.417,floor,ball_contact_events,0.428931,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.033650,3.591058,3.565453,0.000000
