frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
39,1.583333,0.027914,-0.042776,4.083202,0.332811,0.038515,4.017663,-0.272870,0.162748,3.694357,-0.311391,0.445008,3.957674,0.764088,0.387931
40,1.625000,0.028923,-0.042264,4.088390,0.341054,0.043623,4.023431,-0.285030,0.111700,3.684635,-0.324221,0.517108,3.959902,0.819033,0.491593
41,1.666667,0.027087,-0.041884,4.098138,0.345565,0.048644,4.033031,-0.294653,0.062749,3.684366,-0.330704,0.575555,3.962130,0.860234,0.584314
42,1.708333,0.019810,-0.041244,4.097573,0.344200,0.052992,4.032641,-0.302668,0.030750,3.677247,-0.336405,0.612860,3.964358,0.883934,0.649941
43,1.750000,0.011833,-0.040178,4.104304,0.338934,0.056358,4.039794,-0.310837,0.011382,3.681239,-0.337055,0.632287,3.966586,0.891075,0.683837
44,1.791667,0.003287,-0.039339,4.110114,0.331252,0.057818,4.047460,-0.315938,0.012338,3.684337,-0.337123,0.635709,3.968814,0.887056,0.685542
45,1.833333,-0.004869,-0.037766,4.105069,0.320881,0.059578,4.044690,-0.315097,0.035370,3.676475,-0.330251,0.625167,3.971041,0.865614,0.659438
46,1.875000,-0.013751,-0.036905,4.104602,0.306750,0.059507,4.045107,-0.310716,0.076665,3.674495,-0.315429,0.581446,3.973269,0.815283,0.586593
47,1.916667,-0.021223,-0.034431,4.097803,0.289687,0.060410,4.037686,-0.301621,0.136077,3.676134,-0.303561,0.485086,3.975497,0.732230,0.459815
48,1.958333,-0.025862,-0.031855,4.094297,0.274172,0.060574,4.033202,-0.288098,0.192365,3.689447,-0.272295,0.347271,3.977725,0.619596,0.327643
49,2.000000,-0.027646,-0.030227,4.096466,0.262620,0.060053,4.035419,-0.271391,0.226439,3.709694,-0.243141,0.188935,3.979953,0.524863,0.274307
50,2.041667,-0.025844,-0.030321,4.095007,0.258092,0.058582,4.035119,-0.251933,0.241287,3.717322,-0.224134,0.120000,3.982181,0.488996,0.292632
51,2.083333,-0.024105,-0.029928,4.099888,0.256945,0.058733,4.043247,-0.236451,0.240373,3.720419,-0.213015,0.209342,3.986166,0.496793,0.268577
52,2.125000,-0.020904,-0.030789,4.102548,0.259410,0.060104,4.050221,-0.224265,0.219159,3.709282,-0.200193,0.332621,3.994064,0.537265,0.307496
53,2.166667,-0.015319,-0.031185,4.106077,0.267380,0.062763,4.059785,-0.210611,0.177886,3.690975,-0.189961,0.416860,4.001962,0.581283,0.392744
54,2.208333,-0.013369,-0.032557,4.101137,0.275432,0.064745,4.061624,-0.199374,0.129935,3.665828,-0.177236,0.499183,4.009860,0.629543,0.505166
55,2.250000,-0.006891,-0.033711,4.103337,0.287159,0.065963,4.067160,-0.184839,0.083729,3.653949,-0.162012,0.555083,4.017758,0.665908,0.595863
56,2.291667,-0.000262,-0.033552,4.105145,0.296940,0.067984,4.070964,-0.169414,0.052483,3.643638,-0.147190,0.593042,4.025656,0.689195,0.662296
57,2.333333,0.004198,-0.032689,4.107915,0.302110,0.069092,4.073952,-0.150920,0.033236,3.632273,-0.130279,0.615728,4.033554,0.698143,0.707637
58,2.375000,0.007388,-0.031830,4.106134,0.305953,0.070485,4.070057,-0.128851,0.038694,3.617347,-0.111071,0.617736,4.041452,0.688630,0.717963
59,2.416667,0.010005,-0.031480,4.100550,0.309391,0.070701,4.065353,-0.106168,0.067948,3.598698,-0.093622,0.595986,4.049350,0.662269,0.694312
60,2.458333,0.011350,-0.030554,4.093875,0.310184,0.070911,4.059358,-0.084034,0.120594,3.587485,-0.077128,0.529917,4.057248,0.600585,0.623114
61,2.500000,0.011809,-0.031103,4.087845,0.308609,0.068696,4.053332,-0.073509,0.185233,3.591340,-0.064799,0.399259,4.065146,0.498843,0.519975
62,2.541667,0.012598,-0.030942,4.091588,0.305879,0.066598,4.057418,-0.074076,0.233879,3.615089,-0.050857,0.230562,4.073045,0.392924,0.458556
63,2.583333,0.013647,-0.030952,4.093086,0.304761,0.066196,4.060883,-0.083963,0.252053,3.631439,-0.048491,0.120000,4.080942,0.357889,0.469840
64,2.625000,0.014033,-0.031511,4.099119,0.304785,0.066247,4.070047,-0.093839,0.250618,3.638863,-0.060340,0.212660,4.072329,0.393394,0.436413
65,2.666667,0.014363,-0.032112,4.096723,0.306963,0.068593,4.069999,-0.105729,0.227330,3.620132,-0.076243,0.331066,4.067124,0.464486,0.459818
66,2.708333,0.012853,-0.032499,4.085226,0.308327,0.071964,4.061406,-0.119409,0.181928,3.587390,-0.092893,0.431093,4.061919,0.538471,0.536623
67,2.750000,0.011932,-0.033109,4.075926,0.310613,0.075468,4.052771,-0.133066,0.131110,3.567034,-0.107815,0.500056,4.056713,0.596131,0.613632
68,2.791667,0.010874,-0.032849,4.064396,0.312439,0.079717,4.040484,-0.146608,0.086962,3.556145,-0.122511,0.549932,4.051508,0.640629,0.678459
69,2.833333,0.009168,-0.032700,4.059364,0.312342,0.082636,4.032845,-0.153884,0.056785,3.556026,-0.134344,0.578551,4.046303,0.667564,0.716236
70,2.875000,0.006852,-0.031318,4.060935,0.310775,0.085522,4.031401,-0.153564,0.042297,3.564828,-0.144567,0.590693,4.041097,0.680168,0.726396
71,2.916667,0.004209,-0.030533,4.057448,0.308799,0.085249,4.026555,-0.148333,0.053727,3.570321,-0.149726,0.588092,4.035892,0.680576,0.708735
72,2.958333,0.001633,-0.028803,4.049423,0.303775,0.084386,4.016588,-0.144260,0.092110,3.575673,-0.161329,0.552031,4.030687,0.659706,0.647191
73,3.000000,0.001078,-0.027126,4.044127,0.300228,0.081924,4.008388,-0.147225,0.153191,3.586855,-0.171714,0.459989,4.025482,0.604942,0.535834
74,3.041667,-0.000676,-0.026153,4.041861,0.296049,0.077744,4.003717,-0.164987,0.212897,3.609730,-0.201208,0.332171,4.020276,0.558813,0.429053
75,3.083333,-0.001128,-0.026121,4.048681,0.292954,0.072943,4.007482,-0.190524,0.248760,3.642768,-0.223235,0.156673,4.015071,0.522991,0.384915
76,3.125000,-0.000112,-0.025944,4.041325,0.291108,0.070194,3.996840,-0.219373,0.255475,3.649879,-0.250648,0.120019,4.009866,0.544198,0.385898
77,3.166667,0.001833,-0.027489,4.044904,0.291151,0.067930,3.996093,-0.250927,0.241226,3.656232,-0.286390,0.242704,4.007539,0.603515,0.353095
78,3.208333,0.003093,-0.026652,4.037069,0.291537,0.069267,3.983807,-0.277244,0.212930,3.643380,-0.310423,0.344387,4.003149,0.662133,0.384468
79,3.250000,0.004415,-0.028042,4.041495,0.295207,0.071717,3.983647,-0.298283,0.158798,3.639048,-0.336774,0.438925,3.998760,0.731075,0.457543
80,3.291667,0.002649,-0.028683,4.046469,0.297049,0.074763,3.983385,-0.309493,0.114195,3.646036,-0.353698,0.506938,3.994370,0.781261,0.526818
81,3.333333,0.001122,-0.028569,4.057427,0.300018,0.078208,3.990153,-0.314207,0.068718,3.659674,-0.370848,0.561228,3.989981,0.826662,0.595716
82,3.375000,-0.002488,-0.028679,4.061069,0.300103,0.079246,3.990862,-0.319290,0.050076,3.669753,-0.377823,0.586169,3.985592,0.846512,0.624961
83,3.416667,-0.006768,-0.028210,4.061352,0.299112,0.078137,3.989926,-0.321964,0.058132,3.677565,-0.384292,0.582763,3.981202,0.849567,0.609358
84,3.458333,-0.009135,-0.027173,4.060566,0.297740,0.075145,3.989650,-0.323728,0.096293,3.687893,-0.393444,0.533462,3.976813,0.829430,0.528632
85,3.500000,-0.011177,-0.025649,4.054739,0.293753,0.070461,3.984430,-0.329335,0.153195,3.698547,-0.393906,0.443538,3.972424,0.782436,0.404323
86,3.541667,-0.013231,-0.025001,4.048001,0.289111,0.064688,3.976973,-0.329917,0.204996,3.715984,-0.391972,0.300336,3.968034,0.720752,0.276532
87,3.583333,-0.016241,-0.025198,4.037835,0.283240,0.061082,3.962610,-0.323311,0.228586,3.718698,-0.386413,0.140752,3.963645,0.674376,0.267760
88,3.625000,-0.017911,-0.025343,4.036997,0.278828,0.058693,3.959159,-0.323234,0.234519,3.719773,-0.387964,0.120164,3.959256,0.669619,0.273165
89,3.666667,-0.018397,-0.025596,4.046095,0.277248,0.057701,3.968264,-0.329941,0.223051,3.719111,-0.399626,0.281229,3.949973,0.713062,0.248069
