frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
22,0.875000,0.002352,-0.047078,3.858894,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,640.895,342.083,,640.895,342.083,,364.434,364.434,640.895,342.083,640.895,342.083,364.434,364.434,0.000076,1.000000,0.286555,0.000000,3.797509,0.061385,-0.178266,0,1
23,0.916667,-0.006390,-0.066224,3.857436,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,637.567,334.787,,637.567,334.787,,356.744,356.744,637.567,334.787,637.567,334.787,356.744,356.744,0.000028,0.852606,0.294158,0.000000,3.992577,-0.135141,-0.460660,0,1
24,0.958333,-0.015682,-0.086249,3.855275,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,634.026,327.145,,634.026,327.145,,349.021,349.021,634.026,327.145,634.026,327.145,349.021,349.021,0.000018,0.435618,0.317890,0.000000,4.171454,-0.316179,-0.649831,0,1
25,1.000000,-0.024962,-0.107084,3.852355,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,630.484,319.177,,630.484,319.177,,341.082,341.082,630.484,319.177,630.484,319.177,341.082,341.082,0.000016,0.766910,0.342346,0.000000,4.307513,-0.455158,-0.733247,0,1
26,1.041667,-0.035766,-0.129095,3.848672,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,626.352,310.739,,626.352,310.739,,332.734,332.734,626.352,310.739,626.352,310.739,332.734,332.734,0.000017,1.000000,0.361682,0.000000,4.222079,-0.373407,-0.687381,0,1
27,1.083333,-0.047756,-0.152118,3.844268,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,621.756,301.887,,621.756,301.887,,324.037,324.037,621.756,301.887,621.756,301.887,324.037,324.037,0.000056,0.667626,0.397502,0.000000,4.387206,-0.542938,-0.843420,0,1
28,1.125000,-0.062446,-0.175277,3.839110,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,616.112,292.950,,616.112,292.950,,314.943,314.943,616.112,292.950,616.112,292.950,314.943,314.943,0.000092,0.447659,0.447659,0.000000,4.486279,-0.647169,-0.906845,0,1
29,1.166667,-0.075056,-0.199933,3.833191,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,611.244,283.400,,611.244,283.400,,305.482,305.482,611.244,283.400,611.244,283.400,305.482,305.482,0.000103,0.474894,0.474894,0.000000,4.537605,-0.704414,-0.875515,1,1
30,1.208333,-0.091389,-0.224311,3.826951,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,604.929,273.920,,604.929,273.920,,295.950,295.950,604.929,273.920,604.929,273.920,295.950,295.950,0.000091,0.526616,0.526616,0.000000,4.472281,-0.645330,-0.768213,1,1
31,1.250000,-0.105004,-0.248517,3.820833,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,599.640,264.478,,599.640,264.478,,286.683,286.683,599.640,264.478,599.640,264.478,286.683,286.683,0.000031,0.541755,0.541755,0.000000,4.179788,-0.358955,-0.170515,1,1
32,1.291667,-0.120426,-0.272656,3.814718,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,593.638,255.032,,593.638,255.032,,277.673,277.673,593.638,255.032,593.638,255.032,277.673,277.673,0.000081,0.549724,0.549724,0.000000,4.048166,-0.233448,-0.350380,1,1
33,1.333333,-0.138620,-0.295597,3.804291,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,586.487,245.888,,586.487,245.888,,268.806,268.806,586.487,245.888,586.487,245.888,268.806,268.806,0.000150,0.604208,0.534130,0.000000,3.837366,-0.033075,-0.180717,1,1
34,1.375000,-0.151040,-0.318469,3.792737,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,581.515,236.684,,581.515,236.684,,260.105,260.105,581.515,236.684,581.515,236.684,260.105,260.105,0.000138,0.499707,0.499707,0.000000,3.719722,0.073015,-0.092803,1,1
35,1.416667,-0.166931,-0.339153,3.779420,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,575.134,228.212,,575.134,228.212,,251.209,251.209,575.134,228.212,575.134,228.212,251.209,251.209,0.000124,0.443557,0.443557,0.000000,3.703256,0.076164,0.011077,0,1
36,1.458333,-0.179642,-0.360825,3.765135,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,569.930,219.259,,569.930,219.259,,242.141,242.141,569.930,219.259,569.930,219.259,242.141,242.141,0.000114,0.420291,0.376000,0.000000,3.733463,0.031672,0.026769,0,1
37,1.500000,-0.196688,-0.381718,3.751145,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,562.995,210.554,,562.995,210.554,,233.277,233.277,562.995,210.554,562.995,210.554,233.277,233.277,0.000066,0.562953,0.321242,0.000000,3.789141,-0.037996,0.045555,0,1
38,1.541667,-0.211700,-0.401015,3.737097,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,556.806,202.409,,556.806,202.409,,225.067,225.067,556.806,202.409,556.806,202.409,225.067,225.067,0.000020,1.000000,0.393631,0.000000,3.797987,-0.060890,0.022485,0,1
39,1.583333,-0.226363,-0.418542,3.721249,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,550.665,194.821,,550.665,194.821,,217.952,217.952,550.665,194.821,550.665,194.821,217.952,217.952,0.000032,1.000000,0.442489,0.000000,3.780760,-0.059511,0.886127,0,1
40,1.625000,-0.240189,-0.433060,3.705200,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,544.798,188.351,,544.798,188.351,,211.497,211.497,544.798,188.351,544.798,188.351,211.497,211.497,0.000028,0.673350,0.467127,0.000000,3.754753,-0.049553,0.072236,1,1
41,1.666667,-0.253160,-0.447275,3.687322,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,539.170,181.857,,539.170,181.857,,205.323,205.323,539.170,181.857,539.170,181.857,205.323,205.323,0.000032,0.915171,0.503412,0.000000,3.723784,-0.036462,0.962783,1,1
42,1.708333,-0.263321,-0.460973,3.668872,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,534.596,175.478,,534.596,175.478,,198.973,198.973,534.596,175.478,534.596,175.478,198.973,198.973,0.000009,0.519542,0.519542,0.000000,3.698568,-0.029696,0.954641,1,1
43,1.750000,-0.272668,-0.473729,3.649794,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,530.284,169.381,,530.284,169.381,,193.073,193.073,530.284,169.381,530.284,169.381,193.073,193.073,0.000044,0.984442,0.532497,0.000000,3.651889,-0.002095,0.983189,1,1
44,1.791667,-0.283687,-0.484086,3.630684,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,525.249,164.188,,525.249,164.188,,187.717,187.717,525.249,164.188,525.249,164.188,187.717,187.717,0.000025,0.748720,0.539408,0.000000,3.643668,-0.012984,0.972963,1,1
45,1.833333,-0.293808,-0.492922,3.611626,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,520.528,159.562,,520.528,159.562,,183.235,183.235,520.528,159.562,520.528,159.562,183.235,183.235,0.000041,0.586922,0.548014,0.000000,3.645236,-0.033610,0.180888,1,1
46,1.875000,-0.303607,-0.501097,3.593538,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,515.922,155.212,,515.922,155.212,,179.316,179.316,515.922,155.212,515.922,155.212,179.316,179.316,0.000134,0.730290,0.549743,0.000000,3.628996,-0.035458,0.456977,1,1
47,1.916667,-0.314929,-0.514554,3.618224,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,512.173,151.147,,512.173,151.147,,175.939,175.939,512.173,151.147,512.173,151.147,175.939,175.939,0.000138,0.546165,0.546165,0.000000,3.605026,0.013198,0.023554,1,1
48,1.958333,-0.324036,-0.523003,3.616390,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,508.410,147.610,,508.410,147.610,,172.526,172.526,508.410,147.610,508.410,147.610,172.526,172.526,0.000090,0.546943,0.546943,0.000000,3.640976,-0.024586,0.843836,1,1
49,2.000000,-0.331627,-0.533149,3.613076,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,505.204,143.291,,505.204,143.291,,169.027,169.027,505.204,143.291,505.204,143.291,169.027,169.027,0.000071,0.534619,0.532725,0.000000,3.691742,-0.078666,0.800584,1,1
50,2.041667,-0.339963,-0.540396,3.609698,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,501.686,140.140,,501.686,140.140,,165.524,165.524,501.686,140.140,501.686,140.140,165.524,165.524,0.000054,0.832155,0.512980,0.000000,3.683625,-0.073927,0.838081,1,1
51,2.083333,-0.345932,-0.547452,3.606631,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,499.138,137.080,,499.138,137.080,,162.733,162.733,499.138,137.080,499.138,137.080,162.733,162.733,0.000047,0.502210,0.502210,0.000000,3.638322,-0.031691,0.251799,1,1
52,2.125000,-0.352607,-0.553932,3.609220,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,496.523,134.603,,496.523,134.603,,160.242,160.242,496.523,134.603,496.523,134.603,160.242,160.242,0.000079,0.476067,0.476067,0.000000,3.591600,0.017620,0.060331,1,1
53,2.166667,-0.357132,-0.558290,3.599319,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,494.282,132.205,,494.282,132.205,,157.991,157.991,494.282,132.205,494.282,132.205,157.991,157.991,0.000114,0.458427,0.458427,0.000000,3.597832,0.001487,0.522888,1,1
54,2.208333,-0.363649,-0.566259,3.615303,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,492.279,129.975,,492.279,129.975,,155.922,155.922,492.279,129.975,492.279,129.975,155.922,155.922,0.000082,0.585227,0.440404,0.000000,3.596673,0.018630,0.039438,0,1
55,2.250000,-0.367460,-0.571999,3.621130,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,490.971,128.017,,490.971,128.017,,153.837,153.837,490.971,128.017,490.971,128.017,153.837,153.837,0.000022,0.431042,0.431042,0.000000,3.602650,0.018480,1.117753,0,1
56,2.291667,-0.370760,-0.577504,3.626469,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,489.854,126.129,,489.854,126.129,,151.943,151.943,489.854,126.129,489.854,126.129,151.943,151.943,0.000045,0.416363,0.416363,0.000000,3.605340,0.021129,1.095927,0,1
57,2.333333,-0.374015,-0.582633,3.633192,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,488.816,124.489,,488.816,124.489,,149.990,149.990,488.816,124.489,488.816,124.489,149.990,149.990,0.000116,0.415916,0.415916,0.000000,3.780144,-0.146952,0.618102,0,1
58,2.375000,-0.379721,-0.592554,3.665292,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,487.854,122.576,,487.854,122.576,,148.290,148.290,487.854,122.576,487.854,122.576,148.290,148.290,0.000089,0.425919,0.425919,0.000000,3.709504,-0.044212,0.000738,0,1
59,2.416667,-0.383984,-0.599236,3.688725,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,487.123,121.424,,487.123,121.424,,146.994,146.994,487.123,121.424,487.123,121.424,146.994,146.994,0.000008,0.430479,0.430479,0.000000,3.648889,0.039836,0.011358,0,1
60,2.458333,-0.387160,-0.604923,3.704308,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,486.507,120.173,,486.507,120.173,,145.543,145.543,486.507,120.173,486.507,120.173,145.543,145.543,0.000046,0.468136,0.468136,0.000000,3.617642,0.086666,0.046627,1,1
61,2.500000,-0.390463,-0.611308,3.714399,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,485.618,118.300,,485.618,118.300,,143.802,143.802,485.618,118.300,485.618,118.300,143.802,143.802,0.000051,0.438376,0.438376,0.000000,3.612086,0.102313,0.064454,0,1
62,2.541667,-0.392125,-0.615245,3.722775,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,485.310,117.291,,485.310,117.291,,142.191,142.191,485.310,117.291,485.310,117.291,142.191,142.191,0.000024,0.451429,0.451429,0.000000,3.626465,0.096310,0.073419,1,1
63,2.583333,-0.393928,-0.618775,3.729389,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.874,116.331,,484.874,116.331,,140.864,140.864,484.874,116.331,484.874,116.331,140.864,140.864,0.000013,0.454459,0.454459,0.000000,3.611852,0.117537,0.038121,1,1
64,2.625000,-0.395163,-0.622336,3.733976,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.579,115.230,,484.579,115.230,,139.341,139.341,484.579,115.230,484.579,115.230,139.341,139.341,0.000027,0.480060,0.480060,0.000000,3.584752,0.149224,0.044898,1,1
65,2.666667,-0.396677,-0.626090,3.734569,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.008,113.793,,484.008,113.792,,137.490,137.491,484.008,113.793,484.008,113.792,137.491,137.490,0.000752,0.959361,0.492811,0.000000,3.592026,0.142543,0.072378,1,1
66,2.708333,-0.396564,-0.632140,3.735460,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.090,111.473,,484.090,111.473,,134.904,134.904,484.090,111.473,484.090,111.473,134.904,134.904,0.000168,0.482164,0.482164,0.000000,3.589610,0.145850,0.059929,1,1
67,2.750000,-0.395967,-0.639109,3.736430,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.365,108.798,,484.365,108.798,,132.199,132.199,484.365,108.798,484.365,108.798,132.199,132.199,0.000039,0.477082,0.477082,0.000000,3.584322,0.152108,0.069609,1,1
68,2.791667,-0.396431,-0.644676,3.737422,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.224,106.677,,484.224,106.677,,129.918,129.918,484.224,106.677,484.224,106.677,129.918,129.918,0.000038,0.477910,0.477910,0.000000,3.557098,0.180324,0.043676,1,1
69,2.833333,-0.395611,-0.649227,3.737452,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.548,104.891,,484.548,104.891,,128.177,128.177,484.548,104.891,484.548,104.891,128.177,128.177,0.000467,0.494391,0.494391,0.000000,3.550027,0.187425,0.057449,1,1
