frame,time,active_hand,hand_score,floor_score,hand_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
1,0.0,right,0.5317597239941415,9.051741194162906e-109,1,0,0,0
2,0.041667,right,0.6183964162871037,1.4590412899552312e-115,1,0,0,0
3,0.083333,right,0.6539660777999754,4.344823603471601e-117,1,0,0,0
4,0.125,right,0.6735801598941993,1.005679790513614e-114,1,0,0,0
5,0.166667,right,0.6476620625686484,1.3433814323897515e-101,1,0,0,0
6,0.208333,right,0.5724912133162192,1.9793060718666672e-80,1,0,0,0
7,0.25,right,0.4048252541857593,1.199115263799651e-50,1,0,0,0
8,0.291667,right,0.06039477133929141,3.169159005940521e-20,0,0,1,0
9,0.333333,right,0.0015681475290943933,0.012493132570578243,0,0,1,0
10,0.375,right,0.0005248293323723884,0.48301842454558463,0,1,0,0
11,0.416667,right,0.011967980641697332,1.4408182061772378e-07,0,0,0,0
12,0.458333,right,0.08857059887639457,3.456967459189012e-21,0,0,0,0
13,0.5,right,0.20052085015035243,2.206047665456057e-36,0,0,0,0
14,0.541667,right,0.2800463063564874,1.1142863138340807e-51,0,0,0,0
15,0.583333,right,0.36524709037999353,7.192848802684743e-67,0,0,0,0
16,0.625,right,0.46635114006607264,1.3738754686763752e-77,1,0,0,0
17,0.666667,right,0.5977371314279208,2.0627319314032232e-85,1,0,0,0
18,0.708333,right,0.7026776478035723,4.4700178615671995e-85,1,0,0,0
19,0.75,right,0.7422536332910228,2.9243191681694525e-72,1,0,0,0
20,0.791667,right,0.44820313204538476,5.284005844613347e-41,1,0,0,0
21,0.833333,right,0.0980539208962609,7.063021128924408e-14,0,0,1,0
22,0.875,right,0.003374778653100859,0.5597373377604256,0,1,0,0
23,0.916667,right,0.005252114282814989,0.40664645783747655,0,1,0,0
24,0.958333,right,0.10788541155858995,5.375687377054669e-10,0,0,1,0
25,1.0,right,0.39237752812035726,3.391487937972465e-25,0,0,1,0
26,1.041667,right,0.5710213492088309,5.606621369812293e-44,1,0,0,0
27,1.083333,right,0.6093451658308616,8.761082362184441e-60,1,0,0,0
28,1.125,right,0.588712940333206,1.4353349901526755e-70,1,0,0,0
29,1.166667,right,0.5751383873815359,1.686486988739784e-77,1,0,0,0
30,1.208333,right,0.5813629010752372,4.198053924207186e-79,1,0,0,0
31,1.25,right,0.6401707378992919,2.3356294407043238e-76,1,0,0,0
32,1.291667,right,0.7117615913829748,9.660067913907635e-63,1,0,0,0
33,1.333333,right,0.6204888294214059,3.0445518656162852e-40,1,0,0,0
34,1.375,right,0.23149979597304735,5.709013130341669e-14,0,0,1,0
35,1.416667,right,0.03303904644546004,0.11676077155218761,0,0,1,0
36,1.458333,right,0.011428295642371899,0.9516280683824972,0,1,0,0
37,1.5,right,0.12933663449894178,0.00011729592064729699,0,0,1,0
38,1.541667,right,0.39006803798641254,2.392166156071744e-14,0,0,1,0
39,1.583333,right,0.5870074589355047,7.111915933838572e-31,1,0,0,0
40,1.625,right,0.5982618542655387,1.4269770529276732e-46,1,0,0,0
41,1.666667,right,0.5469301741111215,1.2531558875685326e-60,1,0,0,0
42,1.708333,right,0.5127177429368626,5.0365142340588384e-71,1,0,0,0
43,1.75,right,0.47087688138107764,2.4655108996679247e-76,1,0,0,0
44,1.791667,right,0.4859701910032269,2.540384482254826e-77,1,0,0,0
