frame,time,ball_center_y,ball_radius_px,ball_bottom_v,floor_v,floor_gap_px,floor_score,is_local_peak,is_bounce_turn,is_candidate,floor_contact_state
1,0.0,388.459,46.265,434.724,657.784,223.06,9.051741194162906e-109,1,0,0,0
2,0.041667,381.28,46.539,427.81899999999996,657.784,229.96500000000003,1.4590412899552312e-115,0,0,0,0
3,0.083333,379.743,46.553,426.296,657.784,231.488,4.344823603471601e-117,0,0,0,0
4,0.125,383.106,45.554,428.65999999999997,657.784,229.12400000000002,1.005679790513614e-114,0,0,0,0
5,0.166667,395.05,47.204,442.254,657.784,215.52999999999997,1.3433814323897515e-101,0,0,0,0
6,0.208333,417.918,48.281,466.199,657.784,191.58499999999998,1.9793060718666672e-80,0,0,0,0
7,0.25,454.762,51.399,506.161,657.784,151.623,1.199115263799651e-50,0,0,0,0
8,0.291667,517.203,45.82,563.023,657.784,94.76099999999997,3.169159005940521e-20,0,0,0,0
9,0.333333,582.494,45.684,628.178,657.784,29.605999999999995,0.012493132570578243,0,0,0,0
10,0.375,599.5,46.22,645.72,657.784,12.063999999999965,0.48301842454558463,1,1,1,1
11,0.416667,557.0,44.654,601.654,657.784,56.129999999999995,1.4408182061772378e-07,0,0,0,0
12,0.458333,515.5,45.213,560.713,657.784,97.07100000000003,3.456967459189012e-21,0,0,0,0
13,0.5,484.292,45.35,529.6419999999999,657.784,128.14200000000005,2.206047665456057e-36,0,0,0,0
14,0.541667,458.856,45.746,504.602,657.784,153.18200000000002,1.1142863138340807e-51,0,0,0,0
15,0.583333,438.0,45.256,483.256,657.784,174.52800000000002,7.192848802684743e-67,0,0,0,0
16,0.625,423.168,46.477,469.645,657.784,188.139,1.3738754686763752e-77,0,0,0,0
17,0.666667,413.418,46.884,460.302,657.784,197.48199999999997,2.0627319314032232e-85,0,0,0,0
18,0.708333,414.977,45.717,460.69399999999996,657.784,197.09000000000003,4.4700178615671995e-85,0,0,0,0
19,0.75,429.713,46.57,476.283,657.784,181.50099999999998,2.9243191681694525e-72,0,0,0,0
20,0.791667,476.567,45.025,521.592,657.784,136.192,5.284005844613347e-41,0,0,0,0
21,0.833333,534.935,45.027,579.962,657.784,77.822,7.063021128924408e-14,0,0,0,0
22,0.875,602.5,44.511,647.011,657.784,10.773000000000025,0.5597373377604256,1,1,1,1
23,0.916667,601.0,43.369,644.369,657.784,13.414999999999964,0.40664645783747655,0,0,0,1
24,0.958333,547.007,45.441,592.448,657.784,65.33600000000001,5.375687377054669e-10,0,0,0,0
25,1.0,503.5,48.13,551.63,657.784,106.154,3.391487937972465e-25,0,0,0,0
26,1.041667,470.277,46.376,516.653,657.784,141.13099999999997,5.606621369812293e-44,0,0,0,0
27,1.083333,446.77,46.099,492.86899999999997,657.784,164.91500000000002,8.761082362184441e-60,0,0,0,0
28,1.125,431.722,46.719,478.441,657.784,179.34300000000002,1.4353349901526755e-70,0,0,0,0
29,1.166667,422.845,46.909,469.754,657.784,188.02999999999997,1.686486988739784e-77,0,0,0,0
30,1.208333,419.75,48.05,467.8,657.784,189.98399999999998,4.198053924207186e-79,0,0,0,0
31,1.25,423.28,47.877,471.157,657.784,186.627,2.3356294407043238e-76,0,0,0,0
32,1.291667,439.374,49.416,488.79,657.784,168.99399999999997,9.660067913907635e-63,0,0,0,0
33,1.333333,472.5,50.384,522.884,657.784,134.89999999999998,3.0445518656162852e-40,0,0,0,0
34,1.375,532.83,46.859,579.6890000000001,657.784,78.09499999999991,5.709013130341669e-14,0,0,0,0
35,1.416667,590.98,46.079,637.059,657.784,20.725000000000023,0.11676077155218761,0,0,0,0
36,1.458333,615.445,45.488,660.933,657.784,3.149000000000001,0.9516280683824972,1,1,1,1
37,1.5,570.441,44.797,615.238,657.784,42.545999999999935,0.00011729592064729699,0,0,0,0
38,1.541667,530.242,48.341,578.583,657.784,79.20100000000002,2.392166156071744e-14,0,0,0,0
39,1.583333,492.597,47.358,539.9549999999999,657.784,117.82900000000006,7.111915933838572e-31,0,0,0,0
40,1.625,465.867,46.615,512.482,657.784,145.30200000000002,1.4269770529276732e-46,0,0,0,0
41,1.666667,444.427,47.267,491.694,657.784,166.08999999999997,1.2531558875685326e-60,0,0,0,0
42,1.708333,430.628,47.23,477.858,657.784,179.926,5.0365142340588384e-71,0,0,0,0
43,1.75,423.581,47.605,471.18600000000004,657.784,186.59799999999996,2.4655108996679247e-76,0,0,0,0
44,1.791667,422.416,47.556,469.972,657.784,187.812,2.540384482254826e-77,0,0,0,0
45,1.833333,426.538,47.982,474.52,657.784,183.264,1.1737964309764316e-73,0,0,0,0
46,1.875,442.742,49.025,491.767,657.784,166.017,1.414652806621502e-60,0,0,0,0
47,1.916667,478.523,48.391,526.914,657.784,130.87,6.4459307083251e-38,0,0,0,0
48,1.958333,529.516,49.885,579.401,657.784,78.38300000000004,4.5572430979850024e-14,0,0,0,0
49,2.0,588.01,48.185,636.1949999999999,657.784,21.589000000000055,0.09725444359829367,0,0,0,0
50,2.041667,626.624,44.702,671.326,657.784,13.54200000000003,0.39974484616363437,1,1,1,1
51,2.083333,580.701,46.237,626.938,657.784,30.846000000000004,0.0085880929137792,0,0,0,0
52,2.125,535.406,47.868,583.274,657.784,74.50999999999999,8.80135519379704e-13,0,0,0,0
53,2.166667,504.851,44.883,549.734,657.784,108.04999999999995,4.4513166011484884e-26,0,0,0,0
54,2.208333,474.877,46.847,521.724,657.784,136.05999999999995,6.32411948304548e-41,0,0,0,0
55,2.25,454.887,46.945,501.832,657.784,155.952,1.5401478351740824e-53,0,0,0,0
56,2.291667,441.264,47.22,488.48400000000004,657.784,169.29999999999995,5.756967489917162e-63,0,0,0,0
57,2.333333,433.403,46.387,479.79,657.784,177.99399999999997,1.5984768971606054e-69,0,0,0,0
58,2.375,433.34,47.67,481.01,657.784,176.774,1.3917346845904027e-68,0,0,0,0
59,2.416667,441.5,47.035,488.53499999999997,657.784,169.24900000000002,6.276050325902377e-63,0,0,0,0
60,2.458333,465.868,46.761,512.629,657.784,145.15499999999997,1.7665776657191457e-46,0,0,0,0
61,2.5,513.394,46.388,559.782,657.784,98.00199999999995,1.3942085866321583e-21,0,0,0,0
62,2.541667,574.562,46.101,620.663,657.784,37.12099999999998,0.0010180734573093373,0,0,0,0
63,2.583333,622.839,46.303,669.142,657.784,11.358000000000061,0.5246516187461752,1,1,1,1
64,2.625,581.122,47.08,628.202,657.784,29.581999999999994,0.012582181658142556,0,0,0,0
65,2.666667,538.214,46.239,584.4530000000001,657.784,73.3309999999999,2.104006345785409e-12,0,0,0,0
66,2.708333,501.887,47.271,549.158,657.784,108.62599999999998,2.384937784520723e-26,0,0,0,0
67,2.75,476.656,47.448,524.104,657.784,133.67999999999995,1.5669117230249754e-39,0,0,0,0
68,2.791667,458.268,46.503,504.77099999999996,657.784,153.01300000000003,1.4433241600409708e-51,0,0,0,0
69,2.833333,447.87,46.322,494.192,657.784,163.59199999999998,7.696827004915227e-59,0,0,0,0
70,2.875,443.0,47.024,490.024,657.784,167.76,7.715164175525075e-62,0,0,0,0
71,2.916667,443.655,47.364,491.01899999999995,657.784,166.76500000000004,4.074974738924607e-61,0,0,0,0
72,2.958333,456.715,47.866,504.58099999999996,657.784,153.20300000000003,1.0790097233662974e-51,0,0,0,0
73,3.0,490.0,47.13,537.13,657.784,120.654,2.449256222491261e-32,0,0,0,0
74,3.041667,536.305,47.73,584.035,657.784,73.74900000000002,1.5471988631358677e-12,0,0,0,0
75,3.083333,600.397,45.833,646.23,657.784,11.553999999999974,0.5130024900112762,0,0,0,1
76,3.125,612.849,46.876,659.725,657.784,1.941000000000031,0.9813389100716974,1,1,1,1
77,3.166667,568.9,45.14,614.04,657.784,43.74400000000003,6.995295033306877e-05,0,0,0,0
78,3.208333,531.44,47.813,579.253,657.784,78.53099999999995,4.0576398908510614e-14,0,0,0,0
79,3.25,496.675,45.989,542.664,657.784,115.12,1.6684510763229575e-29,0,0,0,0
80,3.291667,471.324,46.626,517.95,657.784,139.83399999999995,3.4674561209278595e-43,0,0,0,0
81,3.333333,451.13,46.86,497.99,657.784,159.79399999999998,3.5756716322677755e-56,0,0,0,0
82,3.375,441.722,47.602,489.32399999999996,657.784,168.46000000000004,2.378375676058787e-62,0,0,0,0
83,3.416667,442.772,47.278,490.05,657.784,167.73399999999998,8.059100788809201e-62,0,0,0,0
84,3.458333,460.724,46.704,507.428,657.784,150.356,8.122361765495545e-50,0,0,0,0
85,3.5,493.835,47.806,541.641,657.784,116.14300000000003,5.1118968804781335e-30,0,0,0,0
86,3.541667,546.629,46.902,593.5310000000001,657.784,64.25299999999993,1.0843988649635413e-09,0,0,0,0
87,3.583333,605.582,45.56,651.142,657.784,6.641999999999939,0.8020528143336548,1,1,1,1
88,3.625,603.262,44.967,648.2289999999999,657.784,9.555000000000064,0.6335032652073785,0,0,0,1
89,3.666667,553.193,48.395,601.588,657.784,56.196000000000026,1.3883882902182627e-07,0,0,0,0
90,3.708333,516.5,47.846,564.346,657.784,93.43799999999999,1.1005582453965135e-19,0,0,0,0
91,3.75,487.378,47.747,535.125,657.784,122.65899999999999,2.136473694936371e-33,0,0,0,0
92,3.791667,461.827,48.546,510.373,657.784,147.411,6.51475665715977e-48,0,0,0,0
93,3.833333,448.241,46.812,495.053,657.784,162.731,3.1362994589150137e-58,0,0,0,0
94,3.875,439.968,47.409,487.377,657.784,170.40699999999998,8.782118860602823e-64,0,0,0,0
95,3.916667,440.027,47.162,487.18899999999996,657.784,170.59500000000003,6.373672452531964e-64,0,0,0,0
96,3.958333,449.068,50.747,499.815,657.784,157.969,6.495796722638862e-55,0,0,0,0
97,4.0,485.181,49.251,534.432,657.784,123.35199999999998,9.109461892982348e-34,0,0,0,0
98,4.041667,547.582,45.926,593.508,657.784,64.27599999999995,1.0684884187722389e-09,0,0,0,0
99,4.083333,611.295,45.857,657.1519999999999,657.784,0.6320000000000618,0.9980048729172277,1,1,1,1
100,4.125,607.489,45.464,652.953,657.784,4.831000000000017,0.8898585112656522,0,0,0,1
101,4.166667,567.214,45.627,612.841,657.784,44.942999999999984,4.11055978502731e-05,0,0,0,0
102,4.208333,532.5,51.464,583.9639999999999,657.784,73.82000000000005,1.4682322350283756e-12,0,0,0,0
103,4.25,498.503,47.812,546.3149999999999,657.784,111.46900000000005,1.0440503391129634e-27,0,0,0,0
104,4.291667,473.59,46.684,520.274,657.784,137.51,8.702178579502816e-42,0,0,0,0
105,4.333333,458.857,47.149,506.00600000000003,657.784,151.77799999999996,9.478568689013423e-51,0,0,0,0
106,4.375,448.577,47.074,495.651,657.784,162.13299999999998,8.284505381840744e-58,0,0,0,0
107,4.416667,446.076,47.171,493.247,657.784,164.53699999999998,1.632967058901693e-59,0,0,0,0
108,4.458333,451.892,47.265,499.157,657.784,158.627,2.292297224789766e-55,0,0,0,0
109,4.5,472.644,46.51,519.154,657.784,138.63,1.8537106847520743e-42,0,0,0,0
110,4.541667,511.55,48.138,559.688,657.784,98.096,1.2714536762779068e-21,0,0,0,0
111,4.583333,571.2,46.12,617.32,657.784,40.46399999999994,0.00027833740865903367,0,0,0,0
112,4.625,624.0,47.087,671.087,657.784,13.302999999999997,0.4127764792496577,1,1,1,1
113,4.666667,587.33,46.575,633.9050000000001,657.784,23.878999999999905,0.0577845866974296,0,0,0,0
114,4.708333,547.198,44.775,591.973,657.784,65.81100000000004,3.936973673285681e-10,0,0,0,0
115,4.75,509.838,47.74,557.578,657.784,100.20600000000002,1.5693474026879788e-22,0,0,0,0
116,4.791667,481.712,46.952,528.664,657.784,129.12,6.270000540065539e-37,0,0,0,0
117,4.833333,461.457,46.812,508.269,657.784,149.515,2.8662181174978054e-49,0,0,0,0
118,4.875,449.076,46.15,495.226,657.784,162.558,4.155441057325446e-58,0,0,0,0
119,4.916667,442.167,46.405,488.572,657.784,169.212,6.681591038636159e-63,0,0,0,0
120,4.958333,440.936,46.422,487.35799999999995,657.784,170.42600000000004,8.502315784447017e-64,0,0,0,0
121,5.0,447.211,46.908,494.119,657.784,163.66499999999996,6.830236923600605e-59,0,0,0,0
122,5.041667,468.898,49.009,517.907,657.784,139.87699999999995,3.2650770255746006e-43,0,0,0,0
123,5.083333,511.0,47.011,558.011,657.784,99.77300000000002,2.419629431269963e-22,0,0,0,0
124,5.125,570.328,45.296,615.624,657.784,42.15999999999997,0.00013812824399933856,0,0,0,0
125,5.166667,620.27,47.889,668.159,657.784,10.375,0.5837963194807689,1,1,1,1
126,5.208333,590.61,44.323,634.933,657.784,22.851,0.07347272684189309,0,0,0,0
127,5.25,544.569,47.318,591.887,657.784,65.89700000000005,3.7202016914254417e-10,0,0,0,0
128,5.291667,501.674,51.457,553.131,657.784,104.65300000000002,1.6500245834416897e-24,0,0,0,0
129,5.333333,477.37,48.48,525.85,657.784,131.93399999999997,1.5925424332208495e-38,0,0,0,0
130,5.375,457.539,47.394,504.933,657.784,152.851,1.849099451678193e-51,0,0,0,0
131,5.416667,448.31,47.342,495.652,657.784,162.132,8.297948152133296e-58,0,0,0,0
132,5.458333,449.775,47.188,496.96299999999997,657.784,160.82100000000003,6.892129412263459e-57,0,0,0,0
133,5.5,461.0,47.437,508.437,657.784,149.34699999999998,3.6841414436884694e-49,0,0,0,0
134,5.541667,488.059,48.61,536.669,657.784,121.11500000000001,1.402851359588225e-32,0,0,0,0
135,5.583333,534.264,52.033,586.297,657.784,71.48699999999997,7.9969904002376e-12,0,0,0,0
136,5.625,600.662,47.42,648.082,657.784,9.701999999999998,0.6245998839075819,0,0,0,1
137,5.666667,606.485,45.401,651.886,657.784,5.898000000000025,0.8403540229832008,1,1,1,1
138,5.708333,561.797,44.101,605.898,657.784,51.88599999999997,1.42578933257915e-06,0,0,0,0
139,5.75,515.486,50.364,565.85,657.784,91.93399999999997,4.436274674084429e-19,0,0,0,0
140,5.791667,489.148,48.392,537.5400000000001,657.784,120.24399999999991,4.0133459536691675e-32,0,0,0,0
141,5.833333,469.061,47.119,516.18,657.784,141.60400000000004,2.872779453256894e-44,0,0,0,0
142,5.875,455.668,47.581,503.249,657.784,154.53499999999997,1.3897080799894764e-52,0,0,0,0
143,5.916667,452.481,47.32,499.801,657.784,157.983,6.353708573008506e-55,0,0,0,0
144,5.958333,459.602,47.917,507.519,657.784,150.265,9.312927835358653e-50,0,0,0,0
145,6.0,478.287,47.131,525.418,657.784,132.36599999999999,8.998238597269994e-39,0,0,0,0
146,6.041667,524.927,45.793,570.72,657.784,87.06399999999996,3.4668489606473575e-17,0,0,0,0
147,6.083333,580.774,44.782,625.556,657.784,32.22799999999995,0.005554094252721504,0,0,0,0
148,6.125,624.407,45.121,669.528,657.784,11.744000000000028,0.5017728859945542,1,1,1,1
149,6.166667,583.886,45.48,629.366,657.784,28.418000000000006,0.017634225757508386,0,0,0,0
150,6.208333,545.289,45.223,590.512,657.784,67.27200000000005,1.4892028993620417e-10,0,0,0,0
151,6.25,509.0,46.044,555.044,657.784,102.74000000000001,1.1995171956339894e-23,0,0,0,0
152,6.291667,483.071,46.183,529.254,657.784,128.52999999999997,1.3407898059899666e-36,0,0,0,0
153,6.333333,462.897,46.393,509.28999999999996,657.784,148.49400000000003,1.3122513943501839e-48,0,0,0,0
154,6.375,453.295,46.317,499.612,657.784,158.17199999999997,4.712752794226534e-55,0,0,0,0
155,6.416667,451.201,46.919,498.12,657.784,159.664,4.40086330634831e-56,0,0,0,0
156,6.458333,456.185,47.114,503.299,657.784,154.485,1.5013259896109518e-52,0,0,0,0
157,6.5,472.572,49.296,521.868,657.784,135.91599999999994,7.69209772770704e-41,0,0,0,0
158,6.541667,514.66,48.419,563.079,657.784,94.70500000000004,3.3418238969729696e-20,0,0,0,0
159,6.583333,567.0,55.57,622.57,657.784,35.21399999999994,0.0020291688972122234,0,0,0,0
160,6.625,629.0,47.167,676.167,657.784,18.383000000000038,0.1845797896056285,1,1,0,0
161,6.666667,600.024,45.301,645.325,657.784,12.458999999999946,0.4601819128299281,0,0,0,1
162,6.708333,553.623,46.684,600.307,657.784,57.476999999999975,6.703656333428471e-08,0,0,0,0
163,6.75,514.387,49.412,563.799,657.784,93.98500000000001,6.591630477825772e-20,0,0,0,0
164,6.791667,487.27,47.419,534.689,657.784,123.09500000000003,1.250336785973344e-33,0,0,0,0
165,6.833333,467.168,46.489,513.657,657.784,144.12699999999995,7.81428627967704e-46,0,0,0,0
166,6.875,451.795,46.214,498.009,657.784,159.77499999999998,3.685890245156388e-56,0,0,0,0
167,6.916667,442.279,46.34,488.619,657.784,169.16499999999996,7.234597553766128e-63,0,0,0,0
168,6.958333,438.071,46.305,484.37600000000003,657.784,173.40799999999996,5.047756148964709e-66,0,0,0,0
169,7.0,440.33,46.658,486.988,657.784,170.796,4.522558491370536e-64,0,0,0,0
170,7.041667,460.114,47.085,507.19899999999996,657.784,150.58500000000004,5.754853148824492e-50,0,0,0,0
171,7.083333,494.921,48.554,543.475,657.784,114.30899999999997,4.2301197054873127e-29,0,0,0,0
172,7.125,550.273,47.785,598.058,657.784,59.726,1.794462194494642e-08,0,0,0,0
173,7.166667,613.616,46.131,659.747,657.784,1.9629999999999654,0.9809175743658354,1,1,1,1
174,7.208333,603.0,45.804,648.804,657.784,8.980000000000018,0.6681771139134813,0,0,0,1
175,7.25,555.979,45.984,601.9630000000001,657.784,55.82099999999991,1.712878769483864e-07,0,0,0,0
176,7.291667,519.02,48.559,567.579,657.784,90.20500000000004,2.1421747447770853e-18,0,0,0,0
177,7.333333,481.947,49.584,531.531,657.784,126.25300000000004,2.43848808460017e-35,0,0,0,0
178,7.375,461.834,47.709,509.543,657.784,148.24099999999999,1.9100206599241e-48,0,0,0,0
179,7.416667,446.535,47.751,494.286,657.784,163.498,8.975875394851533e-59,0,0,0,0
180,7.458333,439.568,46.803,486.371,657.784,171.413,1.573595465719356e-64,0,0,0,0
181,7.5,439.406,46.742,486.148,657.784,171.63599999999997,1.0734346615670456e-64,0,0,0,0
182,7.541667,446.46,48.602,495.06199999999995,657.784,162.72200000000004,3.182569768182616e-58,0,0,0,0
183,7.583333,466.021,46.773,512.794,657.784,144.99,2.2443451314455027e-46,0,0,0,0
184,7.625,498.418,49.509,547.927,657.784,109.85699999999997,6.21518359925981e-27,0,0,0,0
185,7.666667,543.866,54.028,597.894,657.784,59.889999999999986,1.626808701616133e-08,0,0,0,0
186,7.708333,614.693,46.689,661.382,657.784,3.5979999999999563,0.9373223616481389,1,1,1,1
187,7.75,612.386,45.398,657.784,657.784,0.0,1.0,0,0,0,1
188,7.791667,564.432,47.308,611.74,657.784,46.04399999999998,2.4909789478762297e-05,0,0,0,0
189,7.833333,527.486,46.624,574.11,657.784,83.67399999999998,6.26306766808144e-16,0,0,0,0
190,7.875,501.315,45.635,546.95,657.784,110.83399999999995,2.1147143215867298e-27,0,0,0,0
191,7.916667,478.924,47.144,526.068,657.784,131.716,2.1227454061115683e-38,0,0,0,0
192,7.958333,465.269,46.508,511.777,657.784,146.007,5.110407393126962e-47,0,0,0,0
